
[00:00:00.000 --> 00:00:02.000]  大家有聖經在手上嗎?
[00:00:02.000 --> 00:00:05.000]  我們一起打開一段很熟悉的經文
[00:00:05.000 --> 00:00:12.000]  我們讀《馬可福音》第一章
[00:00:12.000 --> 00:00:20.000]  《馬可福音》第一章
[00:00:20.000 --> 00:00:28.000]  馬可福音第一章
[00:00:28.000 --> 00:00:31.000]  馬可福音第一章
[00:00:31.000 --> 00:00:34.000]  找到的話我們一起同聲讀
[00:00:34.000 --> 00:00:37.000]  我們由第一節一直讀到第十一節
[00:00:37.000 --> 00:00:40.000]  《馬可福音》第一章
[00:00:40.000 --> 00:00:43.000]  第一節到第十一節
[00:00:43.000 --> 00:00:46.000]  我們一起讀神的話
[00:00:47.000 --> 00:00:51.000]  神的兒子耶穌基督福音的起頭
[00:00:51.000 --> 00:00:55.000]  正如先知以賽亞書上記著說
[00:00:55.000 --> 00:01:01.000]  看啊!我要差遣我的使者在你前面預備道路
[00:01:01.000 --> 00:01:04.000]  在曠野有人聲喊著說
[00:01:04.000 --> 00:01:08.000]  預備主的道,修直下的路
[00:01:08.000 --> 00:01:16.000]  照這話約翰來了,在曠野施洗,全佩戴的洗禮使罪得赦
[00:01:16.000 --> 00:01:24.000]  猶太傳遞和耶路撒冷的人都出去到約翰那裡承認他們的罪
[00:01:24.000 --> 00:01:28.000]  在約旦河裡受他的洗
[00:01:28.000 --> 00:01:35.000]  約翰穿落塘毛的衣服,腰束其帶,吃的是蝗蟲野蜜
[00:01:35.000 --> 00:01:41.000]  他傳道說:有一位在我耳後來的,能力比我更大
[00:01:41.000 --> 00:01:46.000]  我就是彎腰給他解鞋帶,也是不配的
[00:01:46.000 --> 00:01:53.000]  我是用水給你們施洗,他卻要用聖靈給你們施洗
[00:01:53.000 --> 00:02:00.000]  那時耶穌從加里里的那撒勒來,在約旦河裡受了約翰的洗
[00:02:00.000 --> 00:02:05.000]  他從水裡一上來,就看見天裂開了
[00:02:05.000 --> 00:02:09.000]  聖靈彷彿甲子降在他身上
[00:02:09.000 --> 00:02:17.000]  又有聲音從天上來說:你是我的愛子,我喜悅你
[00:02:17.000 --> 00:02:22.000]  可能你第一個反應就會問:為什麼不是讀舊約聖經的呢?
[00:02:22.000 --> 00:02:28.000]  明天崇拜,我們三堂都會讀舊約
[00:02:28.000 --> 00:02:35.000]  不過如果我們要從聖經來問關於敬拜這個題目
[00:02:35.000 --> 00:02:39.000]  那就不應該只是新約還是舊約
[00:02:39.000 --> 00:02:43.000]  所以今晚我們從福音書開始
[00:02:43.000 --> 00:02:47.000]  敬拜不是一個陌生的題目
[00:02:47.000 --> 00:02:53.000]  我相信弟兄姊妹都參加過很多的訓練
[00:02:53.000 --> 00:02:59.000]  很多的聚會,很多的專題,很多的講座
[00:02:59.000 --> 00:03:05.000]  又或者這樣說,其實我們每個禮拜主日回來教會裡
[00:03:05.000 --> 00:03:09.000]  我們都在敬拜,以熟能詳
[00:03:09.000 --> 00:03:12.000]  其實還有什麼好說呢?
[00:03:12.000 --> 00:03:17.000]  不如訓練一下我們關於敬拜的某一方面
[00:03:17.000 --> 00:03:21.000]  我們有些欠缺,這樣好不好呢?
[00:03:21.000 --> 00:03:25.000]  我們在加拿大那邊的華人教會
[00:03:25.000 --> 00:03:34.000]  現在都很樂意去做一些教會的健康檢查
[00:03:34.000 --> 00:03:39.000]  以前就說教會要增長,要增長,要增長
[00:03:39.000 --> 00:03:43.000]  但現在就說,不是的,增長也有很多種
[00:03:43.000 --> 00:03:46.000]  這些癌細胞也會增長的
[00:03:46.000 --> 00:03:50.000]  所以不一定是大,一定是快,一定是增長
[00:03:50.000 --> 00:03:54.000]  現在問的是健康的教會,怎樣健康呢?
[00:03:54.000 --> 00:04:03.000]  所以就在檢查,檢查到我們教會在過去幾年裡
[00:04:03.000 --> 00:04:09.000]  哪一方面是最弱的一環,哪一方面是最強的一環
[00:04:09.000 --> 00:04:11.000]  大家都要做很多功課
[00:04:11.000 --> 00:04:17.000]  由傳道同工,一直到信徒領袖,到弟兄姊妹
[00:04:17.000 --> 00:04:23.000]  找出我們崇拜有什麼問題
[00:04:23.000 --> 00:04:28.000]  怎樣能夠將它做得更好
[00:04:28.000 --> 00:04:37.000]  我們多數都是從這樣的角度來問關於敬拜的事
[00:04:37.000 --> 00:04:41.000]  聖經不是這樣說的
[00:04:41.000 --> 00:04:44.000]  這樣說好像很突然
[00:04:44.000 --> 00:04:50.000]  敬拜在聖經裡是怎樣說的呢?
[00:04:50.000 --> 00:04:57.000]  聖經裡關心的不是我們有沒有敬拜
[00:04:57.000 --> 00:05:02.000]  我們就很緊張,為什麼星期天不見你,去了哪裡,懶了嗎?
[00:05:02.000 --> 00:05:07.000]  不是,其實聖經是看得很準的
[00:05:07.000 --> 00:05:10.000]  其實人人都敬拜的
[00:05:10.000 --> 00:05:15.000]  關鍵是你敬拜誰
[00:05:15.000 --> 00:05:20.000]  我敬拜上帝,我不會拜偶像
[00:05:20.000 --> 00:05:31.000]  對,但是你知不知道你正在敬拜的上帝是怎樣的上帝
[00:05:31.000 --> 00:05:35.000]  我以為敬拜是說我敬拜的
[00:05:35.000 --> 00:05:39.000]  原來不是,聖經說的是我們沒錯在敬拜
[00:05:39.000 --> 00:05:45.000]  但是我們敬拜的上帝比我們怎樣敬拜的重要
[00:05:45.000 --> 00:05:51.000]  今天我們開始討論來敬拜上帝
[00:05:51.000 --> 00:05:53.000]  聖經怎樣教呢?
[00:05:53.000 --> 00:05:59.000]  其實新舊約聖經都提醒我們
[00:05:59.000 --> 00:06:04.000]  你要知道你所敬拜的上帝
[00:06:04.000 --> 00:06:10.000]  是比你知道你怎樣敬拜的上帝更加重要
