
[00:00:00.000 --> 00:00:06.600]  今天又要繼續我們的針研系列
[00:00:06.600 --> 00:00:08.800]  今天會講第七講
[00:00:08.800 --> 00:00:10.800]  是謙卑的智慧
[00:00:10.800 --> 00:00:13.500]  謙卑的相反就是驕傲
[00:00:13.500 --> 00:00:16.200]  我們每一個人都是一個驕傲的人
[00:00:16.200 --> 00:00:18.200]  我們每一個人都是罪人
[00:00:18.200 --> 00:00:21.500]  所以這篇道給所有的人聽
[00:00:21.500 --> 00:00:23.500]  包括我自己
[00:00:23.500 --> 00:00:26.700]  有很多人認為他們自己是因為他們的財富
[00:00:26.700 --> 00:00:27.700]  他們的地位
[00:00:27.700 --> 00:00:29.700]  他們的知識
[00:00:29.700 --> 00:00:32.500]  都是值得驕傲
[00:00:32.500 --> 00:00:34.500]  是高人一等
[00:00:34.500 --> 00:00:37.700]  有一個小型的飛機飛了上天
[00:00:37.700 --> 00:00:40.700]  裡面載了三個乘客
[00:00:40.700 --> 00:00:42.700]  一個是童子軍
[00:00:42.700 --> 00:00:45.700]  一個是電腦專家
[00:00:45.700 --> 00:00:47.700]  另外一個是牧師
[00:00:47.700 --> 00:00:49.200]  飛到一半的時候
[00:00:49.200 --> 00:00:51.200]  突然間他們聽見這個引擎
[00:00:51.200 --> 00:00:53.200]  "噗噗"兩聲就停了
[00:00:53.200 --> 00:00:56.700]  接著那個飛機師就走出來說
[00:00:56.700 --> 00:00:58.700]  他說很對不起
[00:00:58.700 --> 00:01:01.700]  這架飛機的引擎已經壞了
[00:01:01.700 --> 00:01:04.700]  這架飛機立刻就會墮山
[00:01:04.700 --> 00:01:05.700]  他說很可惜
[00:01:05.700 --> 00:01:08.700]  這架飛機上只有三個降落傘
[00:01:08.700 --> 00:01:10.700]  但我們有四個人
[00:01:10.700 --> 00:01:13.700]  他說因為我兒子和老婆亂
[00:01:13.700 --> 00:01:15.700]  我有三個子女等著我去養
[00:01:15.700 --> 00:01:19.700]  所以他說我一定要拿一個降落傘
[00:01:19.700 --> 00:01:21.700]  所以他搶了一個降落傘
[00:01:21.700 --> 00:01:24.700]  就跳了出去飛機
[00:01:24.700 --> 00:01:27.700]  剩下的那個電腦專家
[00:01:27.700 --> 00:01:30.700]  都不等到其餘兩個人說話
[00:01:30.700 --> 00:01:31.700]  他立刻說
[00:01:31.700 --> 00:01:34.700]  我是世界上最聰明的人
[00:01:34.700 --> 00:01:37.700]  他說我的智商是超過200
[00:01:37.700 --> 00:01:39.700]  這個世界很需要我這些人
[00:01:39.700 --> 00:01:41.700]  沒有我不行
[00:01:41.700 --> 00:01:45.700]  所以我配授第二個降落傘
[00:01:45.700 --> 00:01:47.700]  於是他又抱著一個
[00:01:47.700 --> 00:01:49.700]  跳了出去飛機
[00:01:49.700 --> 00:01:54.700]  剩下的牧師和童子軍
[00:01:54.700 --> 00:01:55.700]  你看看我
[00:01:55.700 --> 00:01:56.700]  我看看你
