
[00:00:00.000 --> 00:00:04.000]  聽著 各位早安
[00:00:04.000 --> 00:00:10.000]  我們今天要讀的經文是詩篇51篇
[00:00:10.000 --> 00:00:14.000]  51篇是一篇比較沉重的詩篇
[00:00:14.000 --> 00:00:17.000]  不過來到上帝面前 每次都是這麼沉重的了
[00:00:17.000 --> 00:00:20.000]  所以都沒什麼分別的了 你讀就算是很輕鬆
[00:00:20.000 --> 00:00:23.000]  讚美詩篇也好 都可以很沉重的
[00:00:23.000 --> 00:00:26.000]  請聽我讀出大家
[00:00:26.000 --> 00:00:31.000]  有聖經的可以回到第51篇
[00:00:31.000 --> 00:00:37.000]  標題是大衛與拔士巴同室以後
[00:00:37.000 --> 00:00:41.000]  先知那丹來見他 他作者思交與靈長
[00:00:41.000 --> 00:00:43.000]  大衛的褔問
[00:00:43.000 --> 00:00:46.000]  神啊 求你按你的慈愛憐恤我
[00:00:46.000 --> 00:00:49.000]  按你豐盛的慈悲 淘沒我的過犯
[00:00:49.000 --> 00:00:54.000]  求你將我的罪孽洗除正盡 並解除我的罪
[00:00:54.000 --> 00:00:57.000]  因為我知道我的過犯 我的罪常在我面前
[00:00:57.000 --> 00:01:00.000]  我向你犯罪 唯獨得罪了你
[00:01:00.000 --> 00:01:05.000]  在你眼中行了這惡 以致你責備我的時候顯為公義
[00:01:05.000 --> 00:01:08.000]  判斷我的時候顯為清正
[00:01:08.000 --> 00:01:12.000]  我是在罪孽裡生的 在母親懷胎的時候就有了罪
[00:01:12.000 --> 00:01:17.000]  你所喜愛的是內裡誠實 你在隱密處 必使我得智慧
[00:01:17.000 --> 00:01:20.000]  求你用牛膝草潔淨我 我就乾淨
[00:01:20.000 --> 00:01:23.000]  求你洗滌我 我就比雪更白
[00:01:23.000 --> 00:01:26.000]  求你使我得聽歡喜快樂的聲音
[00:01:26.000 --> 00:01:29.000]  使你所壓傷的骨頭可以融揚
[00:01:29.000 --> 00:01:33.000]  求你掩面不看我的罪 淘沒我一切的罪孽
[00:01:33.000 --> 00:01:36.000]  神啊 求你為我做清潔的心
[00:01:36.000 --> 00:01:39.000]  使我裡面重新有正直的靈
[00:01:39.000 --> 00:01:41.000]  不要丟棄我 使我離開你的面
[00:01:41.000 --> 00:01:44.000]  不要從我收回你的聖靈
[00:01:44.000 --> 00:01:49.000]  求你使我贏得救恩之樂 賜我樂意的靈扶持我
[00:01:49.000 --> 00:01:54.000]  我就把你的道指教有過犯的人 罪人必歸順你
[00:01:54.000 --> 00:01:59.000]  神啊 你是拯救我的神 求你救我脫離流人血的罪
[00:01:59.000 --> 00:02:03.000]  我的舌頭就高聲歌唱你的公義
[00:02:03.000 --> 00:02:08.000]  主啊 求你使我嘴唇張開 我的口邊全陽讚美你的話
[00:02:08.000 --> 00:02:12.000]  你本不起愛祭物 你若喜愛我就獻上
[00:02:12.000 --> 00:02:17.000]  凡祭你也不起悅 神所要的祭就是憂傷的靈
[00:02:17.000 --> 00:02:21.000]  神啊 憂傷痛悔的心 你必不輕寒
[00:02:21.000 --> 00:02:26.000]  求你隨你的美意善待錫安 建造耶路撒冷的城牆
[00:02:26.000 --> 00:02:31.000]  那時你必喜愛公義的祭和凡祭 並全身的凡祭
[00:02:31.000 --> 00:02:35.000]  那時人必將公牛獻在你壇上
[00:02:35.000 --> 00:02:36.000]  一齊祈禱
[00:02:37.000 --> 00:02:44.000]  我們每個禮拜都齊集來到你自己的面前
[00:02:44.000 --> 00:02:52.000]  我們教會的弟兄姊妹 屬於你自己的羊 是你國度的子民
[00:02:52.000 --> 00:02:56.000]  我們來到你面前 敬拜你的時候 讀你自己的華語
[00:02:56.000 --> 00:02:59.000]  我們唱詩歌 頌讚你的作為
[00:02:59.000 --> 00:03:05.000]  我們讀你華語的時候 我們思考 我們默想
[00:03:05.000 --> 00:03:09.000]  你華語對我們所要說的話
[00:03:09.000 --> 00:03:12.000]  這些都是你所閱納的敬拜
[00:03:12.000 --> 00:03:16.000]  我們在這裡離開之後 同樣的
[00:03:16.000 --> 00:03:22.000]  你是預期我們並沒有因為這樣 離開了一個敬拜的場合
[00:03:22.000 --> 00:03:27.000]  就不再敬拜 你仍然是預期我們有一個敬拜的人生
[00:03:27.000 --> 00:03:33.000]  我們在外面的所言所行 和我們在你面前的所言所行
[00:03:33.000 --> 00:03:35.000]  你都有同樣的期望
[00:03:35.000 --> 00:03:40.000]  求天父幫助我們 你知道我們本來是塵土 是軟弱的
[00:03:40.000 --> 00:03:44.000]  你在我們這裡最慘的時刻 藉著你自己的華語
[00:03:44.000 --> 00:03:49.000]  激勵我們 警惕我們 勸勉我們 也造就我們
[00:03:49.000 --> 00:03:52.000]  讓我們生命在你面前
[00:03:52.000 --> 00:03:56.000]  就像大衛說的 你賜給我們一個喜樂的靈
[00:03:56.000 --> 00:04:00.000]  讓我們再一次在你面前 踴躍 跳躍
[00:04:00.000 --> 00:04:05.000]  能夠有喜樂 能夠有盼望的時候
[00:04:05.000 --> 00:04:08.000]  我們的生命就注滿了活力
[00:04:08.000 --> 00:04:12.000]  因為在你面前 我們重新得到一個清潔的良心
[00:04:12.000 --> 00:04:16.000]  誰聽我們這樣祈禱 奉救主耶穌基督命求
[00:04:16.000 --> 00:04:22.000]  和大家分享的題目就是不能認錯的文化
[00:04:22.000 --> 00:04:25.000]  不過題目很多時候都是題目
[00:04:25.000 --> 00:04:30.000]  可能會譁眾取寵 可能不會
[00:04:30.000 --> 00:04:35.000]  但是去到內容始終都是我們說在聖經裡面
[00:04:35.000 --> 00:04:38.000]  這次在大衛的詩篇裡面
[00:04:38.000 --> 00:04:43.000]  我們怎樣來看裡面所說的話
[00:04:43.000 --> 00:04:47.000]  那件事本身大家應該知道
[00:04:47.000 --> 00:04:50.000]  記載在撒姆爾記下十二章那裡
[00:04:50.000 --> 00:04:55.000]  大衛所做的事情是得閒得濟
[00:04:55.000 --> 00:04:58.000]  應該得閒得濟 聖經沒有說的
[00:04:58.000 --> 00:05:02.000]  一天日落西斜 他上到屋頂看見
[00:05:02.000 --> 00:05:07.000]  有位女士洗澡 沐浴
[00:05:07.000 --> 00:05:14.000]  他就動了淫念 將她接了過來
[00:05:14.000 --> 00:05:16.000]  和她發生關係
[00:05:16.000 --> 00:05:20.000]  這位女士其實無論是有結婚還是沒有結婚
[00:05:20.000 --> 00:05:22.000]  在這個位置都不是太相關
[00:05:22.000 --> 00:05:25.000]  但這正正就是結了婚的女士
[00:05:25.000 --> 00:05:33.000]  大衛就把心一橫 動了殺機
[00:05:33.000 --> 00:05:36.000]  因為他和這位女士發生關係之後
[00:05:36.000 --> 00:05:40.000]  發覺這位女士有了新人
[00:05:40.000 --> 00:05:44.000]  其實是出古畫的 如果你看過故事
[00:05:44.000 --> 00:05:49.000]  他不是馬上調了烏尼亞 拔士巴的老公
[00:05:49.000 --> 00:05:52.000]  調他上戰場站在最前面的一方
[00:05:52.000 --> 00:05:54.000]  而是他叫他回來
[00:05:54.000 --> 00:05:59.000]  見到你這麼辛苦 不如休息一下吧
[00:05:59.000 --> 00:06:03.000]  有些R&R Rest and Recreation
[00:06:03.000 --> 00:06:05.000]  好像當兵那些
[00:06:05.000 --> 00:06:10.000]  有一隻戰艦美國的海軍進來香港靠岸上岸
[00:06:10.000 --> 00:06:12.000]  那班水兵就R&R
[00:06:12.000 --> 00:06:20.000]  其實他希望烏尼亞和拔士巴回到家的時候
[00:06:20.000 --> 00:06:22.000]  會行夫妻之禮
[00:06:22.000 --> 00:06:24.000]  將來的孩子就與他無關
[00:06:24.000 --> 00:06:27.000]  因為當時沒有DNA測試
[00:06:27.000 --> 00:06:30.000]  就算生出來的樣子不像他爸爸也好
[00:06:30.000 --> 00:06:32.000]  都不能說
[00:06:32.000 --> 00:06:36.000]  大衛出古畫想掩蓋他所做的事
[00:06:36.000 --> 00:06:38.000]  當然烏尼亞就很敬虔
[00:06:38.000 --> 00:06:42.000]  打仗有公務在身
[00:06:42.000 --> 00:06:46.000]  烏尼亞不是以色列人 是黑人
[00:06:46.000 --> 00:06:48.000]  所以他是一個僱傭兵
[00:06:48.000 --> 00:06:53.000]  在這個故事裡烏尼亞和大衛是一個很強烈的對比
[00:06:53.000 --> 00:06:55.000]  烏尼亞做一個僱傭兵
[00:06:55.000 --> 00:06:57.000]  看錢份上 拿命去搏
[00:06:57.000 --> 00:06:59.000]  回來的時候
[00:06:59.000 --> 00:07:02.000]  說我是有公務在身
[00:07:02.000 --> 00:07:04.000]  在戰場上打仗
[00:07:04.000 --> 00:07:09.000]  不會回來和太太有歡悅的時間
[00:07:09.000 --> 00:07:12.000]  認為他現在是分開出來的
