
[00:00:00.000 --> 00:00:09.000]  我回到CCAC之後,我發現自己是很偏心的
[00:00:09.000 --> 00:00:16.000]  說了好幾個沒有親節的信息,但是父親節好像說得很少
[00:00:16.000 --> 00:00:24.000]  通常父親節我都是在說港獨的系列,就是找一篇頂替父親節的信息
[00:00:24.000 --> 00:00:33.000]  我現在說天堂的系列,下一個信息應該說什麼?人死了之後到底去了哪裡?
[00:00:33.000 --> 00:00:40.000]  這個信息相信是很不符合父親節,風馬牛不相合
[00:00:40.000 --> 00:00:49.000]  所以我今天真真正正實實在在要說一個父親節的信息,叫做如何做一個夢福的父親
[00:00:49.000 --> 00:00:55.000]  經文是記載在C篇的128篇
[00:00:55.000 --> 00:01:03.000]  其實我很想說一個有關C篇的系列,我最近才說完針言的系列
[00:01:03.000 --> 00:01:11.000]  很想說一個C篇的系列,針言你可以將針言不同的主題放在一起
[00:01:11.000 --> 00:01:19.000]  就成為了一個一個的信息,但是在C篇來說就比較困難
[00:01:19.000 --> 00:01:25.000]  但是C篇也有它的好處,就是我們知道C篇可以分為五部書
[00:01:25.000 --> 00:01:30.000]  而每一部書的分段都是非常明顯的,書和書之間
[00:01:30.000 --> 00:01:37.000]  你看到最後的那一篇的C篇,你能夠看到有雙重的祝福,有雙重的阿門
[00:01:37.000 --> 00:01:43.000]  你就知道這是一個分段,又開始另外一部新的書
[00:01:43.000 --> 00:01:53.000]  而猶太人也看到這個C篇的五部書和摩西五經是有非常相似的地方
[00:01:53.000 --> 00:02:01.000]  究竟有什麼相似的地方呢?例如C篇的第一部書是講到人的墮落,講到人的罪
[00:02:01.000 --> 00:02:09.000]  這個就和創世紀我們看到講到亞當夏娃的墮落,和他們的罪是很相似
[00:02:09.000 --> 00:02:15.000]  C篇第二部的書就是講到有很多關於救贖的經文
[00:02:15.000 --> 00:02:27.000]  這個又和出哀及記是很相似,因為我們知道出哀及記是有關神救贖以色列人出哀及
[00:02:27.000 --> 00:02:37.000]  第三部書就是講到聖殿裡的敬拜,這個也和利美記是很相似
[00:02:37.000 --> 00:02:46.000]  而去到第四部的書,C篇就是講到以色列人在樹曠野漂流,慢慢進入安息
[00:02:46.000 --> 00:02:50.000]  這個主題又和文素記是一樣的
[00:02:50.000 --> 00:02:59.000]  然後第五部的書在C篇就是講到神的話語是聖言,這個和生命記很相似
[00:02:59.000 --> 00:03:05.000]  因為我們知道生命記就是重申神的律例典章
[00:03:05.000 --> 00:03:15.000]  我們看到每一部的書在C篇都可以再分開有兩至三個主題,少的主題,351、15
[00:03:15.000 --> 00:03:27.000]  如果我真的講過C篇的系列,相信15篇左右,每一篇都是介紹一篇有代表性的C篇,就能夠給C篇有一個好的介紹
[00:03:27.000 --> 00:03:33.000]  另外我也可以再講一個系列,是從大衛的新評來看C篇
[00:03:33.000 --> 00:03:39.000]  因為我們知道很多C篇的經文都是出自大衛的手筆
[00:03:39.000 --> 00:03:53.000]  今天要和大家講的是C篇的128篇,C篇128篇是第五部份,也是在神的話語的部份
[00:03:53.000 --> 00:03:58.000]  是有關家庭的倫理,是有關日常的生活
[00:03:58.000 --> 00:04:02.000]  請聽我讀一次C篇的128篇
[00:04:02.000 --> 00:04:21.000]  (讀)
[00:04:21.000 --> 00:04:39.000]  (讀)
[00:04:39.000 --> 00:04:56.000]  C篇第128篇是屬於所謂的上行詩,什麼叫上行詩?原來C篇120篇至到134篇,一共是15篇的經文,是叫做上行詩
[00:04:56.000 --> 00:05:08.000]  上行詩有很多都是出自大衛的手筆,122篇、124篇、131篇、133篇都是出於大衛
[00:05:08.000 --> 00:05:16.000]  C篇的132篇有講到大衛的名字,但是由第三者的身份出現
[00:05:16.000 --> 00:05:22.000]  你說第三者的身份,那就不是大衛寫的了
[00:05:22.000 --> 00:05:34.000]  但是你要知道,C篇122篇講明是大衛所寫,大衛仍然是以第三者的身份在C篇122篇出現
[00:05:34.000 --> 00:05:40.000]  所以我相信132篇也有可能是出自大衛的手筆
[00:05:40.000 --> 00:05:45.000]  其餘在屬於127篇就是所羅門王所作
[00:05:45.000 --> 00:05:52.000]  其他的C篇都沒有講到,這個上行詩,都沒有講到誰是作者
[00:05:52.000 --> 00:06:05.000]  上行詩有什麼特色呢?上行詩的特色就是它們很短,最短的只有三節的經文,最長的有18節的經文
[00:06:05.000 --> 00:06:11.000]  而今天所講的C篇128篇,一共有6節的經文
[00:06:11.000 --> 00:06:27.000]  在結構上,我們看到上行詩很有趣,有重複的字句出現,是用希伯來人特殊的體才來寫的,是大家互相對唱互相唱和
[00:06:27.000 --> 00:06:34.000]  上行詩其實有兩個概念讓我們知道,都和上升有關
[00:06:34.000 --> 00:06:39.000]  一個是意念上的上升,另外一個是實體上的上升
[00:06:39.000 --> 00:06:48.000]  我們先看看什麼是意念上的上升,就是每一篇的C篇在上行詩裡面
[00:06:48.000 --> 00:06:57.000]  15篇的C篇,每一篇都比前面的一篇好像是更加接近神,幫助你的心情能夠更加接近神
[00:06:57.000 --> 00:07:04.000]  一篇是比一篇好,就是意識上越來越接近神,這是第一個概念
[00:07:04.000 --> 00:07:11.000]  第二個概念就是實體上真的好像一個人越來越接近神
[00:07:11.000 --> 00:07:22.000]  在這方面有三個可能性,第一個可能性就是這些上行詩是朝聖者去到耶路撒冷朝聖的時候所唱的詩
[00:07:22.000 --> 00:07:32.000]  我們知道猶太人的律法是有三個節日猶太人的男丁都要上耶路撒冷朝聖
[00:07:32.000 --> 00:07:38.000]  第一個就是無教節,第二個是五秦節,第三個是駐盤節
[00:07:38.000 --> 00:07:48.000]  男人都要去到耶路撒冷聖殿來朝見神,這些詩歌很可能是他們在路上來唱
[00:07:48.000 --> 00:07:57.000]  當他們的腳步越來越接近耶路撒冷,越接近聖殿,越接近神的時候,他們就是唱這些詩歌
[00:07:57.000 --> 00:08:04.000]  所以是實體上越來越接近神,C篇122篇的四節就是一個好的例子
[00:08:04.000 --> 00:08:14.000]  經文說:眾支派,就試耶和華的支派上哪裏去,作以色列的證據稱讚耶和華的名
[00:08:14.000 --> 00:08:20.000]  就是他們在路上不斷稱讚耶和華的名,越來越接近聖殿
[00:08:20.000 --> 00:08:31.000]  第二個可能性就是祭司所唱的歌,我們知道以前耶路撒冷聖殿由外縣進入內縣有七級的台階
[00:08:31.000 --> 00:08:40.000]  由內縣進入聖殿又有八級的台階,一共加起來就是15個台階,有15篇的上行詩
[00:08:40.000 --> 00:08:49.000]  所以也有可能是祭司進入聖殿的時候,越來越接近神,一直唱出的詩歌
[00:08:49.000 --> 00:09:00.000]  這個也有根據,在C篇的134篇,說夜間站在耶和華殿中的,這一班就是祭司
