
[00:00:00.000 --> 00:00:04.800]  今天我們講題來到一個新的系列
[00:00:04.800 --> 00:00:08.000]  我定為《舊約 僕人傳》
[00:00:08.000 --> 00:00:11.720]  因為我很多時候喜歡看不同的成長故事
[00:00:11.720 --> 00:00:14.920]  因為當你看成長故事的時候
[00:00:14.920 --> 00:00:19.120]  不多不少你會在那些人的成長故事中
[00:00:19.120 --> 00:00:22.280]  得到一些提醒或者得到一些啟示
[00:00:22.280 --> 00:00:25.280]  第一個想和大家分享的就是《藥室》
[00:00:25.280 --> 00:00:27.560]  大家都很熟悉的名字
[00:00:27.560 --> 00:00:33.240]  因為在《創世紀》由第37章到最後一章
[00:00:33.240 --> 00:00:36.200]  都是講他的故事
[00:00:36.200 --> 00:00:39.880]  我當然不可以整個故事很詳細地告訴你
[00:00:39.880 --> 00:00:42.880]  因為如果不是讀一次就夠了
[00:00:42.880 --> 00:00:47.800]  我只可以講一些 篩選一些他重要的事跡
[00:00:47.800 --> 00:00:50.600]  但我相信他這個事跡裏面
[00:00:50.600 --> 00:00:55.520]  會和我們每一個弟兄姊妹都有關聯
[00:00:55.520 --> 00:00:59.960]  所以待會有一個部分我定他的名字為
[00:00:59.960 --> 00:01:04.600]  《藥室和塗造他的功臣》
[00:01:04.600 --> 00:01:08.400]  《藥室和塗造他的功臣》
[00:01:08.400 --> 00:01:11.080]  因為我深信在我們的成長裏面
[00:01:11.080 --> 00:01:13.240]  到大家今天
[00:01:13.240 --> 00:01:16.760]  可能我們今天在座有些二十多歲 三十多歲
[00:01:16.760 --> 00:01:18.960]  在你不同的日子裏面
[00:01:18.960 --> 00:01:21.600]  你可能會遇到不同的人
[00:01:21.600 --> 00:01:24.680]  但遇到的人一定不會全部都是好人
[00:01:24.680 --> 00:01:27.960]  起碼對你一定會有些人比你更傷愛
[00:01:27.960 --> 00:01:31.040]  所以待會當我去重述《藥室》的故事時
[00:01:31.040 --> 00:01:33.120]  我很想你想一下
[00:01:33.120 --> 00:01:35.760]  有沒有一些人 有沒有一群人
[00:01:35.760 --> 00:01:39.360]  浮現在你的腦海裏面
[00:01:39.360 --> 00:01:41.080]  因為原來可能這些人
[00:01:41.080 --> 00:01:45.280]  原來對你的一生很重要的意義
