
[00:00:00.000 --> 00:00:05.400]  各位兄弟姐妹早晨
[00:00:05.400 --> 00:00:11.800]  在是在現在這個時候年初八跟大家來祝賀大家
[00:00:11.800 --> 00:00:17.800]  不是年初九 年初八 比年初一還要初
[00:00:17.800 --> 00:00:25.200]  但我仍然在這個時候 仍然在新年期間來恭祝大家
[00:00:25.200 --> 00:00:29.800]  新年期間最多人恭喜你 是恭喜你什麼
[00:00:29.800 --> 00:00:38.800]  發財 最近有些人快結婚的時候
[00:00:38.800 --> 00:00:48.200]  那些親家都要跟他說 你的禮最好就跟八有關
[00:00:48.200 --> 00:00:52.800]  所以全部都是八 八萬八千八百八十八
[00:00:52.800 --> 00:01:04.800]  做生意的每逢去到過年這些時間一定有什麼菜式在
[00:01:04.800 --> 00:01:16.000]  一定有發財好市 跟著一定有魚 年年都有魚
[00:01:16.000 --> 00:01:24.000]  當我留意看到這一切現象的時候 你會看到不只是個人
[00:01:24.000 --> 00:01:31.200]  甚至政府國家一個個都是在這些時刻裏面
[00:01:31.200 --> 00:01:40.800]  都是想著怎樣發展經濟 發 每樣東西都是有這麼大得這麼大去發
[00:01:40.800 --> 00:01:45.600]  所以我今天特別選擇了聖經裏面一個人
[00:01:45.600 --> 00:01:50.800]  他的夢跟大家分享夢與人生的關係
[00:01:50.800 --> 00:01:58.600]  有人說人向高處水向低流 你同不同意呢?
[00:01:58.600 --> 00:02:03.600]  我所說這個夢境他不一定是做夢
[00:02:03.600 --> 00:02:10.800]  而是心裏面一種願望 大部分人的願望到底是什麼呢?
[00:02:10.800 --> 00:02:16.200]  離不開三樣東西 當你留意看今天整個世界
[00:02:16.200 --> 00:02:19.800]  由上到下這三樣東西是什麼呢?
[00:02:19.800 --> 00:02:27.400]  第一 錢 第二 性慾 慾望 第三 就是權力
[00:02:27.400 --> 00:02:37.400]  過去裏面令我自己本身最近都想了想
[00:02:37.400 --> 00:02:45.400]  跟同學聊天 有一個非常感歎的就是一位師兄
[00:02:45.400 --> 00:02:53.200]  他的遭遇 學校的成績非常出眾 長袖善舞
[00:02:53.200 --> 00:03:00.400]  非常著名 學生領袖 然後出來的時候步步高升
[00:03:00.400 --> 00:03:05.000]  一路升到一人之下 萬人之上
[00:03:05.000 --> 00:03:13.200]  但就是因為受賄 貪污 龍蕩入獄
