
[00:00:00.000 --> 00:00:06.320]  今天繼續講亞哥的系列
[00:00:06.320 --> 00:00:08.980]  今天已經講到第四講
[00:00:08.980 --> 00:00:11.780]  第一講是亞哥的介紹
[00:00:11.780 --> 00:00:16.000]  第二講是講到舒拉蜜和索羅門王的愛情
[00:00:16.000 --> 00:00:20.240]  第三講就是上一次講到他們兩個人的愛情
[00:00:20.240 --> 00:00:23.200]  他們的感情出現了問題
[00:00:23.200 --> 00:00:26.680]  而今天,剛才周長老跟我們講
[00:00:26.680 --> 00:00:30.400]  是會講到他們的婚禮和他們的洞房
[00:00:30.400 --> 00:00:35.680]  其實今天講這篇文章,我希望可以戴著口罩來講
[00:00:35.680 --> 00:00:40.320]  因為希望大家不會看到我臉紅
[00:00:40.320 --> 00:00:46.480]  今天其實的經文是亞哥最中心的一張書
[00:00:46.480 --> 00:00:49.120]  是亞哥的高潮
[00:00:49.120 --> 00:00:52.000]  是講到有性愛的部分
[00:00:52.000 --> 00:00:56.000]  我叫他做聖經中美麗的性愛
[00:00:56.000 --> 00:01:01.840]  如果性愛是在正確的範圍合適的時候
[00:01:01.840 --> 00:01:04.360]  是美麗的,是聖結的
[00:01:04.360 --> 00:01:07.360]  因為性愛是神所發明
[00:01:07.360 --> 00:01:13.360]  上一次講到索羅門王因為有公事在身
[00:01:13.360 --> 00:01:17.160]  他是要離開舒拉蜜來理這些公事
[00:01:17.160 --> 00:01:21.320]  舒拉蜜就很掛著他的未婚夫
[00:01:21.320 --> 00:01:24.520]  他是日有所思,夜有所夢
[00:01:24.520 --> 00:01:26.520]  做夢都能發他
[00:01:26.520 --> 00:01:28.760]  然後在山莊那裡
[00:01:28.760 --> 00:01:32.720]  突然有人看到在遙遠的礦野裡面
[00:01:32.720 --> 00:01:34.720]  是有一條煙柱
[00:01:34.720 --> 00:01:39.440]  這個煙柱和昔日神在礦野
[00:01:39.440 --> 00:01:42.560]  用煙柱雲柱來帶領以色列人
[00:01:42.560 --> 00:01:45.120]  是不同的一個希伯萊文
[00:01:45.120 --> 00:01:48.600]  究竟這條煙柱是什麼來的
[00:01:48.600 --> 00:01:52.760]  原來是有一個很尊貴的人坐在頂橋的上高
[00:01:52.760 --> 00:01:58.000]  在這頂橋的前面是燒著末約、乳香和香粉
[00:01:58.000 --> 00:02:03.000]  那些香氣就向上升成為一條煙柱
[00:02:03.000 --> 00:02:07.400]  山莊裡面的人都知道有一個很尊貴的人
[00:02:07.400 --> 00:02:10.720]  向著山莊來,他們都很好奇
[00:02:10.720 --> 00:02:13.720]  希望知道這個究竟是誰
[00:02:13.720 --> 00:02:18.320]  連耶路撒冷的女子就是舒拉蜜的好朋友
[00:02:18.320 --> 00:02:21.800]  他們都出去看究竟是誰
[00:02:21.800 --> 00:02:26.360]  原來這個就是牧羊人回來迎娶舒拉蜜
[00:02:26.360 --> 00:02:29.360]  這個牧羊人就是所羅門王
[00:02:29.360 --> 00:02:32.160]  他坐在一頂橋的上高
[00:02:32.160 --> 00:02:35.840]  這頂橋是用尼巴嫩的木來製造
[00:02:35.840 --> 00:02:40.640]  這頂橋所有的柱無論是橫柱、直柱
[00:02:40.640 --> 00:02:42.640]  都是用銀來做
[00:02:42.640 --> 00:02:44.640]  橋底是金做的
[00:02:44.640 --> 00:02:47.040]  那個座墊是紫色
[00:02:47.040 --> 00:02:50.040]  是專門給皇家用
[00:02:50.040 --> 00:02:54.040]  而其實這頂橋是一張很大的廠
[00:02:54.040 --> 00:02:57.040]  四邊都有60個勇士
[00:02:57.040 --> 00:02:59.040]  每一個勇士都是佩戴著寶刀
[00:02:59.040 --> 00:03:03.040]  來保護所羅門王
[00:03:03.040 --> 00:03:08.040]  我們曾經說過猶太人的婚禮分開五個部分
[00:03:08.040 --> 00:03:15.040]  有定婚、有迎娶、婚禮、婚宴和洞房
[00:03:15.040 --> 00:03:20.040]  猶太人和中國人的婚禮是相似的
[00:03:20.040 --> 00:03:24.040]  在這裏定婚是父母之命、媒卓之宴
[00:03:24.040 --> 00:03:30.040]  但我們看到在數所羅門王和舒拉蜜的情形是自由戀愛
[00:03:30.040 --> 00:03:34.040]  在數第一、第二章他們是私定終身
[00:03:34.040 --> 00:03:40.040]  定了婚後要隔很長時間才會來迎娶新娘
[00:03:40.040 --> 00:03:44.040]  現在的確是所羅門王回來迎娶舒拉蜜
[00:03:44.040 --> 00:03:48.040]  記載在雅歌的三章6至11節
[00:03:48.040 --> 00:03:56.040]  其實C篇45篇也是一篇有關一個王來迎娶自己的新娘
[00:03:56.040 --> 00:04:02.040]  大家如果有時間可以自己來看C篇45篇
[00:04:02.040 --> 00:04:08.040]  有一天耶穌基督都會回來迎娶他的新娘、迎娶教會
[00:04:08.040 --> 00:04:14.040]  就是記載在鐵薩羅尼加前書的四章13至17節
[00:04:14.040 --> 00:04:22.040]  迎娶後就是婚禮,這個婚禮來證實這對新人是合法的夫妻
[00:04:22.040 --> 00:04:27.040]  接著就是婚宴,如果我們記得
[00:04:27.040 --> 00:04:31.040]  耶穌基督在約翰福音的第二章參加了一個婚宴
[00:04:31.040 --> 00:04:36.040]  這是他母親的朋友,他在那裏死到死變成酒
[00:04:36.040 --> 00:04:43.040]  但是他自己的婚宴將會在啟示錄的19章就是羔羊的婚宴
[00:04:43.040 --> 00:04:49.040]  在這個婚宴我們全部都是教會,我們都是耶穌基督的新娘子
[00:04:49.040 --> 00:04:53.040]  接著第五個步驟就是洞房
[00:04:53.040 --> 00:04:57.040]  兩個人進入新房,二人成為一體
[00:04:57.040 --> 00:05:02.040]  就是在數雅歌的第四章來記載
[00:05:02.040 --> 00:05:12.040]  其實我和大家以前也說過羔羊的婚禮和猶太人的婚禮是非常相似
[00:05:12.040 --> 00:05:14.040]  一共都有五步
