
[00:00:00.000 --> 00:00:04.320]  相信我們大家都知道
[00:00:04.320 --> 00:00:07.520]  愛是人世間最重要的一個感情
[00:00:07.520 --> 00:00:09.920]  如果世上沒有愛
[00:00:09.920 --> 00:00:14.560]  這個世界會變得很黑暗、很冷淡、很冷漠
[00:00:14.560 --> 00:00:18.240]  而這個世界也沒有值得我們留戀的地方
[00:00:18.240 --> 00:00:22.320]  愛不單單是在夫婦之間可以表達
[00:00:22.320 --> 00:00:25.840]  父母和兒女、朋友的友情
[00:00:25.840 --> 00:00:28.720]  其實愛是無遠弗屆
[00:00:28.720 --> 00:00:34.480]  也不受民族、年齡或背景的限制
[00:00:34.480 --> 00:00:43.200]  我們今天講了很多關於雅歌書的恩愛之道
[00:00:43.200 --> 00:00:52.080]  我們講過有戀慕律、有讚悅律、有親密律和解困律
[00:00:52.080 --> 00:00:56.400]  雅歌這本書我們很多時候都覺得很難讀
[00:00:56.400 --> 00:00:58.160]  而我自己也不例外
[00:00:58.160 --> 00:01:02.560]  直到大概十多年前我開始去研讀的時候
[00:01:02.560 --> 00:01:06.480]  我發覺它對我們夫婦之間的關係
[00:01:06.480 --> 00:01:11.600]  人世間的愛情表達是非常之理盡全
[00:01:11.600 --> 00:01:15.040]  今天我要和大家
[00:01:15.040 --> 00:01:18.640]  不需要夫婦一起
[00:01:18.640 --> 00:01:22.960]  我們每一個人都可以領受雅歌書裡講到的
[00:01:22.960 --> 00:01:24.400]  這個真愛律
[00:01:24.400 --> 00:01:25.600]  就是第五個律
[00:01:25.600 --> 00:01:27.120]  真愛律
[00:01:27.120 --> 00:01:30.000]  在這個愛慾不分的時代
[00:01:30.000 --> 00:01:33.520]  我覺得要找到真愛真的挺難的
[00:01:33.520 --> 00:01:37.040]  我們廣東人有個說法就是
[00:01:37.040 --> 00:01:38.640]  給你一樣東西
[00:01:38.640 --> 00:01:39.920]  你愛不愛?
[00:01:39.920 --> 00:01:41.200]  愛不愛?
[00:01:41.200 --> 00:01:43.360]  愛!就拿過來
[00:01:43.360 --> 00:01:46.080]  愛!就拿過來
[00:01:46.080 --> 00:01:48.880]  其實愛是什麼呢?
[00:01:48.880 --> 00:01:51.200]  愛是否從他身上拿東西過來
[00:01:51.200 --> 00:01:52.480]  那就叫做愛呢?
[00:01:52.480 --> 00:01:54.000]  這個其實不是愛
[00:01:54.000 --> 00:01:55.680]  這個叫做慾
[00:01:55.680 --> 00:01:58.240]  我的慾望我想得
[00:01:58.240 --> 00:01:59.760]  這個就叫做愛
[00:01:59.760 --> 00:02:03.360]  我不知道為什麼廣東話變成愛字
[00:02:03.360 --> 00:02:04.640]  變成這樣用法
[00:02:04.640 --> 00:02:05.920]  我也不太明白
[00:02:05.920 --> 00:02:08.480]  好像普通話沒有這樣用法
[00:02:08.480 --> 00:02:11.040]  普通話不是這樣用的
[00:02:11.040 --> 00:02:14.640]  也有很多人認為愛是很虛無縹緲的
[00:02:14.640 --> 00:02:16.160]  根本不切實際
[00:02:16.160 --> 00:02:18.720]  掌握不了的
[00:02:18.720 --> 00:02:20.640]  愛也不知道是什麼
[00:02:20.640 --> 00:02:24.160]  所以他們也沒有辦法可以真真正正
[00:02:24.160 --> 00:02:28.800]  形容什麼叫做愛
[00:02:28.800 --> 00:02:34.160]  我一直在書稿裏看到一些書籤
[00:02:34.160 --> 00:02:36.960]  這些書籤其實很可愛
[00:02:36.960 --> 00:02:39.520]  這些小朋友
[00:02:39.520 --> 00:02:43.840]  其實是一系列的愛事
[00:02:43.840 --> 00:02:45.200]  然後…
[00:02:45.200 --> 00:02:46.880]  Lust is
[00:02:46.880 --> 00:02:48.960]  他有很多張
[00:02:48.960 --> 00:02:50.400]  我選了幾張
[00:02:50.400 --> 00:02:51.920]  我覺得很有意思
[00:02:51.920 --> 00:02:57.360]  他用這些實際的行動去表彰什麼叫做愛
[00:02:57.360 --> 00:02:58.320]  愛是什麼呢?
[00:02:58.320 --> 00:03:01.520]  愛是你痛苦難過的時候
[00:03:01.520 --> 00:03:03.840]  握著你的手
[00:03:03.840 --> 00:03:05.600]  這個是不是愛?
[00:03:05.600 --> 00:03:06.800]  是,這個是愛
[00:03:06.800 --> 00:03:10.800]  愛是跟你一起分享一杯雪糕
[00:03:10.800 --> 00:03:12.400]  這個是不是愛呢?
[00:03:12.400 --> 00:03:16.160]  這個有點浪漫
[00:03:16.160 --> 00:03:18.800]  愛是用一整夜的時間排隊
[00:03:18.800 --> 00:03:20.480]  跟你買一張車票
[00:03:20.480 --> 00:03:22.320]  這個是不是愛呢?
[00:03:22.320 --> 00:03:24.000]  這個是愛
[00:03:24.000 --> 00:03:27.280]  愛是在夜裏離開我溫暖的被窩
[00:03:27.280 --> 00:03:31.520]  來為你病中的你灌一個熱水袋
[00:03:31.520 --> 00:03:32.880]  是不是愛呢?
[00:03:32.880 --> 00:03:34.080]  是愛
