
[00:00:00.000 --> 00:00:13.000]  主持人:今天跟大家繼續講約翰上一次和撒瑪利亞婦人的交談的下半部
[00:00:13.000 --> 00:00:22.000]  上次我們講過活水江河 耶穌基督是很知道這個婦人的需要
[00:00:22.000 --> 00:00:26.000]  特別要妖道見她 但上次我們還沒講完
[00:00:26.000 --> 00:00:31.000]  在這個婦人的心裏面有一個很大的問題
[00:00:31.000 --> 00:00:40.000]  就是撒瑪利亞人和猶太人關於敬拜的地方有一個很大的不同的爭議
[00:00:40.000 --> 00:00:50.000]  這個婦人知道耶穌是先知 因為耶穌將她過去的事講出來
[00:00:50.000 --> 00:01:01.000]  這個婦人當時將她心裏面一直難以解決的問題就是在哪裏敬拜
[00:01:01.000 --> 00:01:07.000]  婦人說我們祖宗在這個山上就是基利森山
[00:01:07.000 --> 00:01:11.000]  但猶太人堅持在耶路撒冷
[00:01:11.000 --> 00:01:16.000]  這兩個地方其實在歷史上是很長遠的
[00:01:16.000 --> 00:01:21.000]  上次我都提過一點點 今天我不用很多時間補充
[00:01:21.000 --> 00:01:31.000]  因為在撒瑪利亞人的五經和以色列人的五經
[00:01:31.000 --> 00:01:36.000]  在抄寫上就有很小的分別
[00:01:36.000 --> 00:01:42.000]  這個分別就是《以經》和《章回》
[00:01:42.000 --> 00:01:51.000]  原來在撒瑪利亞人的抄本上 上帝已經選擇了一個地方
[00:01:51.000 --> 00:02:01.000]  但在猶太人的五經抄寫上 動詞是用章回 即是還未
[00:02:01.000 --> 00:02:07.000]  摩西人當時決定在哪裏敬拜呢?
[00:02:07.000 --> 00:02:12.000]  有很多猶太人說上帝已經定了
[00:02:12.000 --> 00:02:18.000]  就是阿伯拉罕在那裏獻祭的地方就是基利森山
[00:02:18.000 --> 00:02:22.000]  而猶太人 特別是猶太家
[00:02:22.000 --> 00:02:27.000]  他們認為在大衛的城就是耶路撒冷
[00:02:27.000 --> 00:02:30.000]  這個我們不詳細說了
[00:02:30.000 --> 00:02:35.000]  因為爭辯的緣故 以至撒瑪利亞人問耶穌
[00:02:35.000 --> 00:02:37.000]  究竟在哪裏敬拜才是重要呢?
[00:02:37.000 --> 00:02:39.000]  這就牽涉到問題
[00:02:39.000 --> 00:02:44.000]  上帝在早期的猶太人和撒瑪利亞人裏
[00:02:44.000 --> 00:02:49.000]  都有一種偶像敬拜的傾向
[00:02:49.000 --> 00:02:51.000]  什麼是偶像敬拜呢?
[00:02:51.000 --> 00:02:55.000]  偶像敬拜就是必須有一個固定的地點
[00:02:55.000 --> 00:02:58.000]  來敬拜上帝
[00:02:58.000 --> 00:03:02.000]  但上帝很清楚地說 祂不會駐人手所做的殿
[00:03:02.000 --> 00:03:05.000]  這正正就是聖經的啟示
[00:03:05.000 --> 00:03:10.000]  和所有民族對宗教的看法的不同
[00:03:10.000 --> 00:03:15.000]  在中國裏面 很多人很辛苦去華山
[00:03:15.000 --> 00:03:19.000]  不是論劍 去武當山 少林寺
[00:03:19.000 --> 00:03:21.000]  去名山大村的敬拜
[00:03:21.000 --> 00:03:25.000]  因為那間廟是很靈的 所以就要去
[00:03:25.000 --> 00:03:28.000]  但基督教呢?不會的
[00:03:28.000 --> 00:03:32.000]  是不是來拉街宣道會祈禱會靈一點呢?
[00:03:32.000 --> 00:03:34.000]  隔壁的浸信會不會這麼靈呢?
[00:03:34.000 --> 00:03:38.000]  不會的 因為上帝是超越時空的
[00:03:38.000 --> 00:03:42.000]  所以這一點正正就是耶穌回答撒瑪利亞人
[00:03:42.000 --> 00:03:47.000]  要讓他們知道一個新的看法 新的時代
[00:03:47.000 --> 00:03:54.000]  就是不在乎基利森山 也不在乎耶路撒冷
[00:03:54.000 --> 00:03:57.000]  這正正就是打破了舊約裏面
[00:03:57.000 --> 00:04:01.000]  猶太人經常堅持一定要去聖殿 去耶路撒冷
[00:04:01.000 --> 00:04:05.000]  否則你就不是猶太人
[00:04:05.000 --> 00:04:07.000]  耶穌怎麼說呢?
[00:04:07.000 --> 00:04:12.000]  「時後將到 如今就是了」
[00:04:12.000 --> 00:04:15.000]  這對於整個猶太人和撒瑪利亞人來說
[00:04:15.000 --> 00:04:18.000]  是一個很大的改變
[00:04:18.000 --> 00:04:23.000]  因為這個堅持 以至於過去產生很多互相傷害的地方
[00:04:23.000 --> 00:04:26.000]  上次提到的就是亞歷山大統治的時候
[00:04:26.000 --> 00:04:29.000]  容許撒瑪利亞人在基利森建一個聖殿
[00:04:29.000 --> 00:04:33.000]  當時撒瑪利亞人很開心 有自己的聖殿
[00:04:33.000 --> 00:04:35.000]  但後來猶太人成立了一個國家之後
[00:04:35.000 --> 00:04:38.000]  就派兵去拆了它
[00:04:38.000 --> 00:04:42.000]  這種仇恨直到耶穌基督沒有辦法解決
[00:04:42.000 --> 00:04:45.000]  現在耶穌徹底解決了矛盾
[00:04:45.000 --> 00:04:50.000]  就是上帝不在基利森山 也不在耶路撒冷
[00:04:50.000 --> 00:04:54.000]  真正敬拜的是用心靈和誠實
[00:04:54.000 --> 00:04:57.000]  因為父要這樣的人敬拜他
[00:04:57.000 --> 00:05:02.000]  耶穌不去糾纏哪個地方好一點
[00:05:02.000 --> 00:05:06.000]  耶穌將真正敬拜的意思說出來
[00:05:06.000 --> 00:05:08.000]  就是上帝是個靈
[00:05:08.000 --> 00:05:13.000]  所以拜祂的必須用心靈和誠實敬拜祂
[00:05:13.000 --> 00:05:17.000]  今天我們就說心靈和誠實
[00:05:17.000 --> 00:05:21.000]  真正敬拜父就是用心靈和誠實
[00:05:21.000 --> 00:05:24.000]  什麼叫心靈和誠實?我分兩部分說
[00:05:24.000 --> 00:05:28.000]  第一部分先說心靈
[00:05:28.000 --> 00:05:32.000]  當耶穌說上帝是靈 或者是靈
[00:05:32.000 --> 00:05:35.000]  剛才讀經特別主持很好
[00:05:35.000 --> 00:05:39.000]  有古卷不一定有一個
[00:05:39.000 --> 00:05:44.000]  因為在希臘文上靈這個字
[00:05:44.000 --> 00:05:48.000]  是有些不確定性的
[00:05:48.000 --> 00:05:56.000]  不是很準確
[00:05:56.000 --> 00:05:58.000]  對不起 要說英文
[00:05:58.000 --> 00:06:02.000]  它的字有不同的解法
[00:06:02.000 --> 00:06:05.000]  我們看下去就知道
[00:06:05.000 --> 00:06:10.000]  它是上帝的靈 拜祂用心靈和誠實
[00:06:10.000 --> 00:06:14.000]  這個靈在英文翻譯會發現
[00:06:14.000 --> 00:06:19.000]  翻譯的時候也有些不知怎樣的翻譯
[00:06:19.000 --> 00:06:23.000]  首先在Kingdom Version
