
[00:00:00.000 --> 00:00:02.000]  (字幕:Stanley)
[00:00:02.000 --> 00:00:05.160]  很快就要我們講彈爾里斯
[00:00:05.160 --> 00:00:08.080]  就到最後一個星期六了
[00:00:08.080 --> 00:00:10.720]  彈爾里斯有12章
[00:00:10.720 --> 00:00:13.040]  今天是第12堂
[00:00:13.040 --> 00:00:14.240]  最後的一堂了
[00:00:14.240 --> 00:00:18.480]  今天我們要將彈爾里斯11章和12章
[00:00:18.480 --> 00:00:19.920]  放在一起來講
[00:00:19.920 --> 00:00:21.800]  這個本來是不可能的
[00:00:21.800 --> 00:00:23.440]  因為11章是很長
[00:00:23.440 --> 00:00:25.680]  而12章是壓軸的好戲
[00:00:25.680 --> 00:00:27.320]  但我今天沒辦法了
[00:00:27.320 --> 00:00:30.760]  我都試下將11章和12章放在一起
[00:00:30.760 --> 00:00:34.880]  題目仍然是《絕望中的希望》
[00:00:34.880 --> 00:00:38.480]  如果你在這裡有聽過彈爾里斯
[00:00:38.480 --> 00:00:41.440]  你知道彈爾里斯這個人是猶太人
[00:00:41.440 --> 00:00:46.520]  他在主前600年被抓到巴比倫
[00:00:46.520 --> 00:00:48.200]  即是今天的伊拉克那裡
[00:00:48.200 --> 00:00:53.720]  那個時候是猶太人以色列國的開始
[00:00:53.720 --> 00:00:56.560]  要走入一個很重大的苦難
[00:00:57.000 --> 00:01:00.360]  由那時候開始一直到上個世紀
[00:01:00.360 --> 00:01:04.040]  1948年猶太人是沒有自己的國家的
[00:01:04.040 --> 00:01:06.160]  是一個亡國的情況
[00:01:06.160 --> 00:01:10.920]  當彈爾里斯去到巴比倫的時候
[00:01:10.920 --> 00:01:13.560]  我們在第9章的時候看到
[00:01:13.560 --> 00:01:16.520]  彈爾里斯是看先知書
[00:01:16.520 --> 00:01:19.960]  知道先知書說他們在巴比倫
[00:01:19.960 --> 00:01:22.280]  只是70年的時間
[00:01:22.280 --> 00:01:23.760]  他數一數
[00:01:23.760 --> 00:01:25.920]  他已經被捕到巴比倫
[00:01:25.920 --> 00:01:27.520]  已經差不多70年了
[00:01:27.520 --> 00:01:30.560]  他以為猶太人的苦難就完了
[00:01:30.560 --> 00:01:33.400]  他們就要回到自己的國家
[00:01:33.400 --> 00:01:35.840]  去建立他們自己的國家
[00:01:35.840 --> 00:01:38.160]  所以你記得在第9章那裡
[00:01:38.160 --> 00:01:40.680]  他就開始向神祈禱
[00:01:40.680 --> 00:01:42.720]  求神說快點吧
[00:01:42.720 --> 00:01:43.840]  這70年完結
[00:01:43.840 --> 00:01:45.360]  我們要回到故土那裡
[00:01:45.360 --> 00:01:48.080]  第9章神給他看到
[00:01:48.080 --> 00:01:50.720]  原來在神的計劃當中
[00:01:50.720 --> 00:01:53.520]  猶太人需要經過的苦難
[00:01:53.520 --> 00:01:54.960]  是不止70年
[00:01:54.960 --> 00:01:57.200]  甚至不止700年
[00:01:57.200 --> 00:02:00.200]  原來神因為以色列人
[00:02:00.200 --> 00:02:01.960]  猶太人離棄他們
[00:02:01.960 --> 00:02:04.920]  是需要有一段很長的時間
[00:02:04.920 --> 00:02:06.720]  來不僅懲罰他們
[00:02:06.720 --> 00:02:09.040]  更加重要的是要結證他們
[00:02:09.040 --> 00:02:11.320]  和要拯救他們
[00:02:11.320 --> 00:02:14.440]  這一個猶太人要經過的苦難
[00:02:14.440 --> 00:02:17.320]  原來可能是幾千年
[00:02:17.320 --> 00:02:21.040]  起碼到現在為止已經是2500年了
[00:02:21.040 --> 00:02:24.080]  我們看到猶太人仍然在苦難當中
[00:02:24.760 --> 00:02:28.200]  雖然在1948年他們建立了以色列國
[00:02:28.200 --> 00:02:30.680]  但以色列國現在是一個很小的國
[00:02:30.680 --> 00:02:33.240]  是周圍被敵人圍著的
[00:02:33.240 --> 00:02:34.840]  經常威脅著他們
[00:02:34.840 --> 00:02:37.080]  他們的生存經常都有問題
[00:02:37.080 --> 00:02:42.480]  所以神對以色列人的煉證
[00:02:42.480 --> 00:02:44.360]  懲罰和拯救
[00:02:44.360 --> 00:02:46.960]  現在還一直在進行
[00:02:46.960 --> 00:02:52.080]  所以在第9章神要給彈爾利知道
[00:02:52.080 --> 00:02:54.080]  遠遠不止70年
[00:02:54.080 --> 00:02:55.440]  你們要有耐性
[00:02:55.440 --> 00:02:58.640]  但神也給他們一個信息
[00:02:58.640 --> 00:03:03.200]  雖然他們還要經過一段相當長時間的苦難
[00:03:03.200 --> 00:03:04.720]  但神沒有離開他們
[00:03:04.720 --> 00:03:06.240]  神仍然愛他們
[00:03:06.240 --> 00:03:09.040]  他們仍然是神揀選的民族
[00:03:09.040 --> 00:03:11.000]  神最後都會拯救他們
[00:03:11.000 --> 00:03:14.080]  不過他們要經過一段相當長的時間
[00:03:14.080 --> 00:03:15.240]  那是第9章
[00:03:15.240 --> 00:03:17.640]  到第10章的時候
[00:03:17.640 --> 00:03:22.800]  開始我們發覺彈爾利悲傷了21天
[00:03:23.240 --> 00:03:24.920]  為什麼他要這麼悲傷呢?
[00:03:24.920 --> 00:03:28.000]  我們當時說有兩個原因
[00:03:28.000 --> 00:03:29.200]  第一,沒錯
[00:03:29.200 --> 00:03:34.560]  他們開始有些以色列人被波斯王放回到以色列
[00:03:34.560 --> 00:03:37.160]  他們可以回去建聖殿建城牆
[00:03:37.160 --> 00:03:38.800]  不過只有很少人肯回去
[00:03:38.800 --> 00:03:42.360]  其他人在伊拉克流亡的地方
[00:03:42.360 --> 00:03:45.920]  已經是非常舒服非常習慣的生活
[00:03:45.920 --> 00:03:48.080]  大部分的人都不肯回去
[00:03:48.080 --> 00:03:49.720]  這是他第一個悲傷的原因
[00:03:49.720 --> 00:03:51.440]  第二個悲傷的原因
[00:03:51.440 --> 00:03:53.880]  就是那些回去的人是老弱殘兵
[00:03:53.880 --> 00:03:56.200]  他們回去建城牆建聖殿
[00:03:56.200 --> 00:03:57.760]  遭遇很多困難
[00:03:57.760 --> 00:04:00.720]  所以當彈爾利聽到這些消息的時候
[00:04:00.720 --> 00:04:02.760]  他的心裡就很悲痛
[00:04:02.760 --> 00:04:04.840]  他一直在禁食祈禱
[00:04:04.840 --> 00:04:06.560]  悲痛了21天
[00:04:06.560 --> 00:04:09.560]  神都好像沒有聽他祈禱
[00:04:09.560 --> 00:04:13.360]  彈爾利以前一祈禱天使就來服侍他
[00:04:13.360 --> 00:04:16.280]  但這次21天都沒有天使來
[00:04:16.280 --> 00:04:19.080]  沒有答案
[00:04:19.440 --> 00:04:20.840]  後來天使出現
[00:04:20.840 --> 00:04:22.520]  我們就講到天上
[00:04:22.520 --> 00:04:24.120]  原來靈界有徵戰
[00:04:24.120 --> 00:04:24.680]  你記得嗎?
[00:04:24.680 --> 00:04:25.560]  前一個星期
