
[00:00:00.000 --> 00:00:02.000]  (字幕:我都不知道在說什麼)
[00:00:02.000 --> 00:00:09.000]  這是出自何經何典的,不是我作的
[00:00:09.000 --> 00:00:14.000]  李清照
[00:00:14.000 --> 00:00:16.000]  或者我們看看
[00:00:16.000 --> 00:00:19.000]  他的手詞叫做
[00:00:19.000 --> 00:00:21.000]  星星萬
[00:00:21.000 --> 00:00:23.000]  給大家欣賞一下
[00:00:23.000 --> 00:00:25.000]  寫得很漂亮
[00:00:25.000 --> 00:00:27.000]  找到嗎?
[00:00:29.000 --> 00:00:31.000]  尋尋覓覓
[00:00:31.000 --> 00:00:34.000]  發覺電腦冷冷清清
[00:00:34.000 --> 00:00:37.000]  我就淒淒慘慘戚戚
[00:00:37.000 --> 00:00:39.000]  找到嗎?
[00:00:39.000 --> 00:00:44.000]  我看過來應該有的
[00:00:44.000 --> 00:00:48.000]  可以一起跟我讀嗎?
[00:00:48.000 --> 00:00:50.000]  星星萬
[00:00:50.000 --> 00:00:52.000]  為了方便大家看
[00:00:52.000 --> 00:00:54.000]  我用盡簡體字
[00:00:54.000 --> 00:00:56.000]  可能有很多在中國來的會容易
[00:00:56.000 --> 00:00:59.000]  我們看繁體字的人都會看簡體字
[00:00:59.000 --> 00:01:03.000]  星星萬
[00:01:03.000 --> 00:01:04.000]  一起讀吧
[00:01:04.000 --> 00:01:06.000]  尋尋覓覓
[00:01:06.000 --> 00:01:08.000]  冷冷清清
[00:01:08.000 --> 00:01:10.000]  淒淒慘慘戚戚
[00:01:10.000 --> 00:01:12.000]  乍暖還寒時候
[00:01:12.000 --> 00:01:14.000]  醉難將息
[00:01:14.000 --> 00:01:17.000]  三杯兩盞淡酒
[00:01:17.000 --> 00:01:20.000]  斟滴他晚來風急
[00:01:20.000 --> 00:01:22.000]  雁過也正相森
[00:01:22.000 --> 00:01:24.000]  卻是舊時相識
[00:01:24.000 --> 00:01:27.000]  滿地黃花堆積
[00:01:27.000 --> 00:01:29.000]  潮誰選
[00:01:29.000 --> 00:01:31.000]  如今有誰堪擇
[00:01:31.000 --> 00:01:33.000]  守著窗宜
[00:01:33.000 --> 00:01:35.000]  獨自枕身得客
[00:01:35.000 --> 00:01:37.000]  吾同近兼細語
[00:01:37.000 --> 00:01:40.000]  到黃昏點點滴滴
