
[00:00:00.000 --> 00:00:05.000]  各位電影節目的各位朋友你們好
[00:00:05.000 --> 00:00:08.000]  歡迎大家參加我們三藩市播道會
[00:00:08.000 --> 00:00:10.000]  網上的五堂崇拜
[00:00:10.000 --> 00:00:12.000]  今天我們繼續思想
[00:00:12.000 --> 00:00:14.000]  要求呼應的訊息
[00:00:14.000 --> 00:00:18.000]  來到要求呼應第18章33節
[00:00:18.000 --> 00:00:20.000]  第19章16節
[00:00:20.000 --> 00:00:23.000]  題目叫做真理是什麼
[00:00:23.000 --> 00:00:26.000]  未開始思想這段聖經之前
[00:00:26.000 --> 00:00:28.000]  請與心底同學同途
[00:00:28.000 --> 00:00:32.000]  前面有個挑戰我們本身感謝你
[00:00:32.000 --> 00:00:35.000]  是因為你自己的孕顧
[00:00:35.000 --> 00:00:40.000]  願意甘心來到這個世上
[00:00:40.000 --> 00:00:43.000]  為我們釘上十字架
[00:00:43.000 --> 00:00:47.000]  求你讓我們明白
[00:00:47.000 --> 00:00:51.000]  這個福音是什麼
[00:00:51.000 --> 00:00:55.000]  我們要計算什麼代價來跟從你
[00:00:55.000 --> 00:00:58.000]  今天我們看這段聖經
[00:00:58.000 --> 00:01:01.000]  耶穌受審的時候
[00:01:01.000 --> 00:01:05.000]  再一次給我們得到提醒
[00:01:05.000 --> 00:01:09.000]  叫我們的心歸向你
[00:01:09.000 --> 00:01:14.000]  與你的說話成為我們生命的指引
[00:01:14.000 --> 00:01:15.000]  我們這樣禱告
[00:01:15.000 --> 00:01:17.000]  是奉耶穌基督命求
[00:01:17.000 --> 00:01:19.000]  阿們
[00:01:19.000 --> 00:01:25.000]  巴魯會曾經公演一場非常有名的戲劇
[00:01:25.000 --> 00:01:28.000]  叫做《象人》
[00:01:28.000 --> 00:01:32.000]  故事內容極之發人心醒
[00:01:32.000 --> 00:01:38.000]  劇中主角是一個外形超乎尋常醜陋的男人
[00:01:38.000 --> 00:01:40.000]  他口舌不清
[00:01:40.000 --> 00:01:42.000]  頭戴魚斗
[00:01:42.000 --> 00:01:45.000]  面上的皮膚一球一球
