
[00:00:00.000 --> 00:00:02.920]  (內容)
[00:00:02.920 --> 00:00:05.200]  《羅馬書》第九講
[00:00:05.200 --> 00:00:09.360]  《羅馬書》三章21-31節
[00:00:09.360 --> 00:00:12.960]  今天我給他一個很有意思的題目
[00:00:12.960 --> 00:00:17.040]  叫做「怎樣才能與神和好?」
[00:00:17.040 --> 00:00:20.240]  一個人怎樣才能與神和好?
[00:00:20.240 --> 00:00:22.880]  一個罪人怎能這樣做?
[00:00:22.880 --> 00:00:26.240]  其實今天這個問題是一個很重要的問題
[00:00:26.240 --> 00:00:30.240]  今天的經文Leon Morris這一位牧師
[00:00:30.240 --> 00:00:34.240]  他說是有史以來最重要經文的部分
[00:00:34.240 --> 00:00:37.840]  Donald Gray Barnhouse這位老牧者
[00:00:37.840 --> 00:00:41.280]  對《羅馬書》有他很獨特的見解
[00:00:41.280 --> 00:00:46.240]  他說今天的經文是全聖經當中最中心的信息
[00:00:46.240 --> 00:00:51.440]  今天這個問題也是聖經裏面很多人曾經問過
[00:00:51.440 --> 00:00:56.000]  在《馬太福音》第十九章有個少年的官走來問耶穌基督
[00:00:56.000 --> 00:01:00.640]  他說「我該作甚麼善事才能得永生?」
[00:01:00.640 --> 00:01:03.280]  在《路加福音》第十章
[00:01:03.280 --> 00:01:06.160]  又有一個律師同樣問耶穌基督
[00:01:06.160 --> 00:01:11.680]  他說「夫子,我該作甚麼才可以成熟永生?」
[00:01:11.680 --> 00:01:14.560]  在《使徒行傳》第二章
[00:01:14.560 --> 00:01:17.680]  當教會成立、聖靈降臨
[00:01:17.680 --> 00:01:19.680]  彼得說了一篇道
[00:01:19.680 --> 00:01:22.320]  眾人都擇心走去問他
[00:01:22.320 --> 00:01:25.200]  「我們當怎樣行呢?」
[00:01:25.200 --> 00:01:27.760]  而在《使徒行傳》第十六章
[00:01:27.760 --> 00:01:31.360]  記不記得保羅和西拉被捕入獄
[00:01:31.360 --> 00:01:34.160]  他們在監獄讚美神
[00:01:34.160 --> 00:01:35.600]  來禱告
[00:01:35.600 --> 00:01:38.000]  結果監獄的門大開
[00:01:38.000 --> 00:01:42.000]  獄卒以為囚犯已經逃脫了
[00:01:42.000 --> 00:01:43.600]  他們想自殺
[00:01:43.600 --> 00:01:46.320]  保羅和西拉就嚇著他們
[00:01:46.320 --> 00:01:49.440]  其中一個獄卒就問
[00:01:49.440 --> 00:01:53.120]  「我當怎樣行才可以得救?」
[00:01:53.120 --> 00:01:56.320]  這個問題很多人都問過
[00:01:56.320 --> 00:02:02.880]  一個罪人怎樣能夠與一位無限聖潔的神和好
[00:02:02.880 --> 00:02:06.640]  其實這是一個聖潔的問題
[00:02:06.640 --> 00:02:08.240]  有關聖潔
[00:02:08.240 --> 00:02:10.000]  神是無限聖潔
[00:02:10.000 --> 00:02:11.840]  人是有罪
[00:02:11.840 --> 00:02:13.120]  我們不聖潔
[00:02:13.120 --> 00:02:16.320]  其實早在利未記的十九章二節
[00:02:16.320 --> 00:02:18.880]  神已經曉如摩西
[00:02:18.880 --> 00:02:22.640]  說給以色列人重回重說
[00:02:22.640 --> 00:02:24.240]  「你們要聖潔
[00:02:24.240 --> 00:02:28.400]  因為我耶和華你們的神是聖潔的」
[00:02:28.400 --> 00:02:33.680]  一個人要聖潔才能親近神與神和好
[00:02:33.680 --> 00:02:36.720]  問題是一個人怎樣能聖潔
[00:02:36.720 --> 00:02:40.000]  這就是約伯所問的問題
[00:02:40.000 --> 00:02:43.360]  約伯在約伯記的二十五章四節
[00:02:43.360 --> 00:02:46.000]  他說「這樣在神面前
[00:02:46.000 --> 00:02:48.000]  人怎能稱義
[00:02:48.000 --> 00:02:51.280]  婦人所生的怎能潔淨?」
[00:02:51.280 --> 00:02:53.920]  約伯問到這個問題
[00:02:53.920 --> 00:02:57.360]  一個人怎樣能被神稱為義人
[00:02:57.360 --> 00:02:59.440]  我們怎樣能潔淨
[00:02:59.440 --> 00:03:02.000]  其實這裡有兩個問題
[00:03:02.000 --> 00:03:03.280]  不知道大家看不看得到
[00:03:03.280 --> 00:03:06.640]  第一個問題就是無限聖潔的神
[00:03:06.640 --> 00:03:09.360]  怎樣能與一個罪人和好
[00:03:09.360 --> 00:03:11.520]  這是第一個問題
[00:03:11.520 --> 00:03:13.040]  第二個問題
[00:03:13.040 --> 00:03:16.480]  神可以稱這個人為義人
[00:03:16.480 --> 00:03:19.120]  無條件赦免他的罪
[00:03:19.120 --> 00:03:20.720]  但如果這樣做的時候
[00:03:20.720 --> 00:03:23.520]  這位神自己是不是聖潔的神呢?
[00:03:23.520 --> 00:03:25.840]  是不是公義的神呢?
[00:03:25.840 --> 00:03:31.360]  這正是帕拉圖在主前五百年所問的問題
[00:03:31.360 --> 00:03:33.920]  他引用了蘇格拉底的話
[00:03:33.920 --> 00:03:36.960]  「也許神可以赦免罪
[00:03:36.960 --> 00:03:40.400]  但我看不出祂如何能做到」
[00:03:40.400 --> 00:03:42.400]  一位無限聖潔的神
[00:03:42.400 --> 00:03:45.360]  如果他百百無條件赦免人的罪
[00:03:45.360 --> 00:03:47.600]  他自己就不是聖潔了
[00:03:47.600 --> 00:03:51.680]  所以帕拉圖說我看不出祂如何能做到
[00:03:51.680 --> 00:03:55.280]  這正是我們今天要解答的問題
[00:03:55.280 --> 00:03:57.840]  首先我們剛才看到
[00:03:57.840 --> 00:03:59.760]  約伯記裏約伯說
[00:03:59.760 --> 00:04:02.080]  一個人怎能稱義
[00:04:02.080 --> 00:04:04.000]  稱義這個字是甚麼意思?
[00:04:04.000 --> 00:04:07.840]  稱義這個字不是一個虛構的概念
[00:04:07.840 --> 00:04:11.440]  稱義是神稱你為一個義人
[00:04:11.440 --> 00:04:14.240]  是一個潔淨的人與你和好
[00:04:14.240 --> 00:04:18.720]  今天的經文裏這個義字一共出現了十次
[00:04:18.720 --> 00:04:23.440]  在全部羅馬書裏這個義字一共出現了六十次
[00:04:23.440 --> 00:04:29.280]  所以稱義絕對是羅馬書裏一個主要的主題
[00:04:29.280 --> 00:04:31.360]  在羅馬書裏這個部分
[00:04:31.360 --> 00:04:35.200]  其實保羅用了兩個方式來回答這個問題
[00:04:35.200 --> 00:04:39.680]  第一個就是一個人如何可以恩信稱義
[00:04:39.680 --> 00:04:44.480]  就是今天的經文羅馬書三章二十一至三十一節
[00:04:44.480 --> 00:04:46.720]  有很多神學的教導
[00:04:46.720 --> 00:04:51.920]  下一次我會說羅馬書第四章
[00:04:51.920 --> 00:04:55.040]  保羅用了一個例子給我們看到
[00:04:55.040 --> 00:04:58.240]  以色列人之父阿伯拉罕
[00:04:58.240 --> 00:05:00.800]  是如何被神稱為一個義人
[00:05:00.800 --> 00:05:01.760]  有沒有看到?
[00:05:01.760 --> 00:05:03.440]  今天的經文是神學
[00:05:03.440 --> 00:05:05.120]  下次是實例
[00:05:05.120 --> 00:05:08.400]  這個好像我很喜歡下圍棋
[00:05:08.400 --> 00:05:12.880]  很多時候書會教你很多的戰略
[00:05:12.880 --> 00:05:14.320]  很多的教導
[00:05:14.320 --> 00:05:17.120]  然後給你一些實例
[00:05:17.120 --> 00:05:18.640]  這裏一模一樣
[00:05:18.640 --> 00:05:20.960]  先說神學就是今天
