
[00:00:00.000 --> 00:00:02.000]  各位同道早晨
[00:00:02.000 --> 00:00:04.000]  如果我問你自小
[00:00:04.000 --> 00:00:06.000]  誰跟你說的話
[00:00:06.000 --> 00:00:08.000]  你最記得是說錯的
[00:00:08.000 --> 00:00:10.000]  你最記得是哪句話呢?
[00:00:10.000 --> 00:00:12.000]  或者最好笑的說話呢?
[00:00:12.000 --> 00:00:14.000]  如果你問我呢
[00:00:14.000 --> 00:00:16.000]  我經常都跟人說
[00:00:16.000 --> 00:00:18.000]  我小時候有位先生跟我說
[00:00:18.000 --> 00:00:20.000]  他說走路呢
[00:00:20.000 --> 00:00:22.000]  千萬不要走那些
[00:00:22.000 --> 00:00:24.000]  修車
[00:00:24.000 --> 00:00:26.000]  修車 修理汽車
[00:00:26.000 --> 00:00:28.000]  那些路線
[00:00:28.000 --> 00:00:30.000]  修理汽車
[00:00:30.000 --> 00:00:32.000]  那些店鋪
[00:00:32.000 --> 00:00:34.000]  因為那些油味呢
[00:00:34.000 --> 00:00:36.000]  可以搞到你的頭脹到
[00:00:36.000 --> 00:00:38.000]  像豬頭那麼大
[00:00:38.000 --> 00:00:40.000]  當我小時候聽到的時候
[00:00:40.000 --> 00:00:42.000]  我就很怕
[00:00:42.000 --> 00:00:44.000]  有時走過那些修車的店鋪
[00:00:44.000 --> 00:00:46.000]  就馬上過馬路
[00:00:46.000 --> 00:00:48.000]  但到長大一點的時候
[00:00:48.000 --> 00:00:50.000]  我就懷疑
[00:00:50.000 --> 00:00:52.000]  為什麼修車的人頭不脹呢?
[00:00:52.000 --> 00:00:54.000]  慢慢我就覺得
[00:00:54.000 --> 00:00:56.000]  這個先生是騙我的
[00:00:56.000 --> 00:00:58.000]  其實小時候你聽過什麼呢?
[00:00:58.000 --> 00:01:00.000]  你都不記得
[00:01:00.000 --> 00:01:02.000]  但其實你是記得的
[00:01:02.000 --> 00:01:04.000]  當你年紀越老呢
[00:01:04.000 --> 00:01:06.000]  你剩下來記得的東西
[00:01:06.000 --> 00:01:08.000]  就是你最早期記得的東西
[00:01:08.000 --> 00:01:10.000]  我想
[00:01:10.000 --> 00:01:12.000]  你去教會
[00:01:12.000 --> 00:01:14.000]  幾十年呢
[00:01:14.000 --> 00:01:16.000]  你就一定很會唱剛才
[00:01:16.000 --> 00:01:18.000]  耶穌愛我這首歌的
[00:01:18.000 --> 00:01:20.000]  因為可能你在中學唱過的
[00:01:20.000 --> 00:01:22.000]  就是說呢
[00:01:22.000 --> 00:01:24.000]  其實你童年
[00:01:24.000 --> 00:01:26.000]  小時候聽的東西
[00:01:26.000 --> 00:01:28.000]  不但不會忘記
[00:01:28.000 --> 00:01:30.000]  還成為你唯一
[00:01:30.000 --> 00:01:32.000]  可以記得的東西
[00:01:32.000 --> 00:01:34.000]  剛才我們讀的聖經
[00:01:34.000 --> 00:01:36.000]  你看到
[00:01:36.000 --> 00:01:38.000]  保羅和提摩泰說
[00:01:38.000 --> 00:01:40.000]  你要知道
[00:01:40.000 --> 00:01:42.000]  跟誰學的
[00:01:42.000 --> 00:01:46.000]  你跟誰學呢?
[00:01:46.000 --> 00:01:48.000]  還有你自小
[00:01:48.000 --> 00:01:50.000]  明白聖經跟誰學呢?
[00:01:50.000 --> 00:01:52.000]  如果用提摩泰回答呢
[00:01:52.000 --> 00:01:54.000]  提摩泰就回答
[00:01:54.000 --> 00:01:56.000]  是跟他阿婆
[00:01:56.000 --> 00:01:58.000]  外祖母羅爾
[00:01:58.000 --> 00:02:00.000]  和他媽媽
[00:02:00.000 --> 00:02:02.000]  有離界
[00:02:02.000 --> 00:02:04.000]  這個是提摩泰後書第一章第五節
[00:02:04.000 --> 00:02:06.000]  保羅就說
[00:02:06.000 --> 00:02:08.000]  你一路以來
[00:02:08.000 --> 00:02:10.000]  跟你阿婆
[00:02:10.000 --> 00:02:12.000]  和你媽媽所聽的東西
[00:02:12.000 --> 00:02:14.000]  已經種在你心裏
[00:02:14.000 --> 00:02:16.000]  已經種在你心裏
[00:02:16.000 --> 00:02:18.000]  可能呢
[00:02:18.000 --> 00:02:20.000]  你遇到一個人
[00:02:20.000 --> 00:02:22.000]  你童年聽了一些很好的東西
[00:02:22.000 --> 00:02:24.000]  你會覺得他很好教
