
[00:00:00.000 --> 00:00:07.580]  各位大家好 歡迎大家參觀我們三藩市報道會
[00:00:07.580 --> 00:00:09.540]  網上的影堂崇拜
[00:00:09.540 --> 00:00:15.100]  我們繼續思想亂世皆然這個系列
[00:00:15.100 --> 00:00:17.100]  是時思記賢讀
[00:00:17.100 --> 00:00:19.100]  我們來到第四講
[00:00:19.100 --> 00:00:23.600]  題目叫做「舊約的上帝是否殘暴?」
[00:00:23.600 --> 00:00:27.140]  在開始思想這個題目之前
[00:00:27.140 --> 00:00:29.140]  請我們重新一同的禱告
[00:00:29.140 --> 00:00:34.520]  慈悲人的天父 我們多謝你
[00:00:34.520 --> 00:00:38.520]  因為我們知道你是一個滿有恩典
[00:00:38.520 --> 00:00:40.520]  滿有慈愛的神
[00:00:40.520 --> 00:00:43.520]  甚至你為愛我們的孺子
[00:00:43.520 --> 00:00:48.020]  與犧牲你的獨生子耶穌基督來到世上
[00:00:48.020 --> 00:00:50.020]  為我們釘上十字架
[00:00:50.020 --> 00:00:54.520]  在舊約的時候我們也看到神你屢次
[00:00:54.520 --> 00:00:58.520]  去拯救屬你的子民
[00:00:58.520 --> 00:01:01.520]  帶領他們脫離為奴之地
[00:01:01.520 --> 00:01:07.520]  在今天有很多人質疑你是否一個仁慈的神
[00:01:07.520 --> 00:01:10.520]  教導我們有聰明智慧
[00:01:10.520 --> 00:01:12.520]  懂得怎樣去護教
[00:01:12.520 --> 00:01:15.520]  懂得怎樣去明白你的真理
[00:01:15.520 --> 00:01:19.520]  懂得怎樣去看到原來我們所信的上帝
[00:01:19.520 --> 00:01:22.520]  是一個滿有恩典、慈愛的神
[00:01:22.520 --> 00:01:26.520]  我們今天思想這個時思記訊息的時候
[00:01:26.520 --> 00:01:29.520]  求你開開我們的眼睛
[00:01:29.520 --> 00:01:32.520]  叫我們能夠在你面前謙卑
[00:01:32.520 --> 00:01:34.520]  你與我們同在
[00:01:34.520 --> 00:01:36.520]  我們這樣禱告那人奉耶穌基督的名
[00:01:36.520 --> 00:01:38.520]  阿們
[00:01:38.520 --> 00:01:42.520]  舊約的神是否殘暴呢?
[00:01:42.520 --> 00:01:44.520]  當我們讀聖經的時候
[00:01:44.520 --> 00:01:48.520]  特別是舊約聖經時思記
[00:01:48.520 --> 00:01:50.520]  我們發覺不少時候
[00:01:50.520 --> 00:01:54.520]  神似乎不是按著常規行事
[00:01:54.520 --> 00:01:58.520]  給人的印象是很殘暴、不義
[00:01:58.520 --> 00:02:01.520]  不少的神學家和色經家
[00:02:01.520 --> 00:02:05.520]  讀到這些聖經時感到非常疑惑
[00:02:05.520 --> 00:02:08.520]  無神論者Richard Dawkins
[00:02:08.520 --> 00:02:12.520]  在他的《God Delusion》有以下的評論
[00:02:12.520 --> 00:02:15.520]  舊約的神無可否認
[00:02:15.520 --> 00:02:19.520]  是所有神話故事中最令人憎惡的人物
[00:02:19.520 --> 00:02:22.520]  他善忌卻引以為榮
[00:02:22.520 --> 00:02:26.520]  他小器不義、不恕不仁
[00:02:26.520 --> 00:02:28.520]  更是一個狂熱者
[00:02:28.520 --> 00:02:32.520]  他報復性心理極強、視察成性
[00:02:32.520 --> 00:02:36.520]  憎恨女性、厭惡同性戀者
[00:02:36.520 --> 00:02:39.520]  種族歧視、殺嬰至大強
[00:02:39.520 --> 00:02:43.520]  聖約代正式是一個大惡霸
[00:02:43.520 --> 00:02:46.520]  嘩!有沒有搞錯?
[00:02:46.520 --> 00:02:49.520]  為什麼Richard Dawkins會用這樣的說話
[00:02:49.520 --> 00:02:51.520]  來描繪我們仁慈的上帝呢?
[00:02:51.520 --> 00:02:56.520]  為什麼他的描繪這麼猛烈呢?
[00:02:56.520 --> 00:03:00.520]  似乎和我們對神的了解有這麼大分別呢?
[00:03:00.520 --> 00:03:03.520]  只要Dawkins看到有幾段聖經
[00:03:03.520 --> 00:03:07.520]  覺得這些聖經好像不合常規的經文
[00:03:07.520 --> 00:03:11.520]  於是就根據這些不合常規的經文來作出結論
[00:03:11.520 --> 00:03:13.520]  或者我們看看
[00:03:13.520 --> 00:03:17.520]  這些不合常規的經文包括什麼經文呢?
[00:03:17.520 --> 00:03:21.520]  Dawkins是引用幾段經文來支持他的看法
[00:03:21.520 --> 00:03:25.520]  第一約書亞記第八章二十四字
[00:03:25.520 --> 00:03:28.520]  似乎看來上帝是濫殺無辜的
[00:03:28.520 --> 00:03:31.520]  以色列人在田間和曠野
[00:03:31.520 --> 00:03:34.520]  殺盡了追趕一切艾城的居民
[00:03:34.520 --> 00:03:37.520]  艾城人倒在刀下直到滅盡
[00:03:37.520 --> 00:03:40.520]  以色列眾人就回到艾城
[00:03:40.520 --> 00:03:42.520]  用刀殺了城中的人
[00:03:42.520 --> 00:03:43.520]  當日殺滅的人
[00:03:43.520 --> 00:03:46.520]  連男帶女共有一萬二千人
[00:03:46.520 --> 00:03:49.520]  就是艾城所有的人
[00:03:49.520 --> 00:03:53.520]  撒姆爾基上十五章二字至三字有此說法
[00:03:53.520 --> 00:03:55.520]  萬軍之耶和華如處設
[00:03:55.520 --> 00:03:57.520]  以色列人出埃及的時候
[00:03:57.520 --> 00:03:59.520]  在路上亞馬里人怎樣待他們
[00:03:59.520 --> 00:04:01.520]  怎樣抵擋他們
[00:04:01.520 --> 00:04:03.520]  我都沒有忘記
[00:04:03.520 --> 00:04:05.520]  現在你們去擊打亞馬里人
