
[00:00:00.000 --> 00:00:03.000]  《羅馬書》三章夜一節
[00:00:03.000 --> 00:00:07.080]  我們今天繼續《羅馬書》
[00:00:07.080 --> 00:00:13.440]  首先要恭祝大家
[00:00:13.440 --> 00:00:16.560]  因為你們是被揀選的一群
[00:00:16.560 --> 00:00:18.840]  明天隨時不能崇拜的
[00:00:18.840 --> 00:00:22.880]  所以你們很聰明的已經選了今天來崇拜了
[00:00:22.880 --> 00:00:27.440]  我們先讀了這段經文
[00:00:27.440 --> 00:00:30.800]  由三章夜一節一直到尾
[00:00:30.800 --> 00:00:33.680]  我們一起來讀
[00:00:33.680 --> 00:00:39.280]  「但如今神的義在律法以外已經被顯明出來
[00:00:39.280 --> 00:00:42.080]  有律法和先知為證
[00:00:42.080 --> 00:00:44.080]  就是神的義
[00:00:44.080 --> 00:00:48.320]  加給一切相信的人
[00:00:48.320 --> 00:00:50.160]  並沒有分別
[00:00:50.160 --> 00:00:52.680]  因為世人都犯了罪
[00:00:52.680 --> 00:00:55.080]  虧欠了神的榮耀
[00:00:55.080 --> 00:00:57.680]  如今卻蒙神的恩典
[00:00:57.680 --> 00:01:02.480]  因基督耶穌作患而死亡
[00:01:02.480 --> 00:01:05.360]  神賜給耶穌作患回制
[00:01:05.360 --> 00:01:07.760]  是藉耶穌的血
[00:01:07.760 --> 00:01:09.480]  藉著人的信
[00:01:09.480 --> 00:01:11.560]  要顯明神的義
[00:01:11.560 --> 00:01:14.080]  因為祂用忍耐的心
[00:01:14.080 --> 00:01:17.680]  寬容人先時所犯的罪
[00:01:17.680 --> 00:01:21.160]  好在今時顯明祂的公義
[00:01:21.160 --> 00:01:24.080]  使人知道祂自己為義
[00:01:24.080 --> 00:01:27.080]  也稱信耶穌的人為義
[00:01:27.080 --> 00:01:28.680]  既是這樣
[00:01:28.680 --> 00:01:30.680]  那裡能誇厚呢?
[00:01:30.680 --> 00:01:32.680]  沒有可誇的了
[00:01:32.680 --> 00:01:34.680]  用何法認有?
[00:01:34.680 --> 00:01:37.480]  是用立功之法嗎?
[00:01:37.480 --> 00:01:40.480]  不是乃用信主之法
[00:01:40.480 --> 00:01:42.880]  所以我們看定了
[00:01:42.880 --> 00:01:45.480]  人稱義是人的信
[00:01:45.480 --> 00:01:47.880]  也作為人的忍耐
[00:01:47.880 --> 00:01:51.280]  難道神只作猶太人的神嗎?
[00:01:51.280 --> 00:01:54.280]  不也是作外邦人的神嗎?
[00:01:54.280 --> 00:01:57.680]  是的也作外邦人的神
[00:01:57.680 --> 00:01:59.680]  神既是一位
[00:01:59.680 --> 00:02:03.880]  祂就要因信稱那受割禮的為義
[00:02:03.880 --> 00:02:08.080]  也要因信稱那未受割禮的為義
[00:02:08.080 --> 00:02:11.880]  這樣我們因信廢了六百麼
[00:02:11.880 --> 00:02:15.480]  斷乎不是更是堅固六百
[00:02:15.480 --> 00:02:17.480]  好我們低頭做個禱告
[00:02:17.480 --> 00:02:21.480]  主耶穌是我們能夠來到你的面前
[00:02:21.480 --> 00:02:23.480]  是單單因為信
[00:02:23.480 --> 00:02:26.080]  我們相信基督的恩典
[00:02:26.080 --> 00:02:30.080]  相信基督為我們付出了罪的代價
[00:02:30.080 --> 00:02:33.080]  幫我們在我們的生活當中
[00:02:33.080 --> 00:02:36.080]  真的能夠將這一份的靈命
[00:02:36.080 --> 00:02:38.080]  這一份的真理活出來
[00:02:38.080 --> 00:02:39.880]  今天一段聽到的時間
[00:02:39.880 --> 00:02:41.080]  求你去祝福
[00:02:41.080 --> 00:02:43.080]  禱告奉耶穌基督名
[00:02:43.080 --> 00:02:45.080]  好
