
[00:00:00.000 --> 00:00:04.320]  各位頂智會平安
[00:00:04.320 --> 00:00:10.320]  今日我們會繼續出埃及記的訊息
[00:00:10.320 --> 00:00:18.720]  今日要和大家分享的是萬世戰爭何時了
[00:00:18.720 --> 00:00:22.080]  大概三百年前
[00:00:22.080 --> 00:00:24.080]  德國有一個哲學家
[00:00:24.080 --> 00:00:27.840]  他的名字叫希格爾
[00:00:27.840 --> 00:00:29.840]  他說了一句說話
[00:00:29.840 --> 00:00:38.400]  The only lesson we learned from history is that we learned nothing from history
[00:00:38.400 --> 00:00:48.960]  我們唯一在歷史學到的功課就是我們學不到任何東西
[00:00:48.960 --> 00:00:55.680]  而這句說話本身當我們留意看今日世界發生的事時
[00:00:55.680 --> 00:01:02.720]  原來那些東西在歷史上循環不斷重複
[00:01:02.720 --> 00:01:06.880]  人似乎完全學不到那些功課
[00:01:06.880 --> 00:01:14.640]  自從以巴、以黎、以伊、以敘這些戰爭開始
[00:01:14.640 --> 00:01:17.760]  無數人都在問一個問題
[00:01:17.760 --> 00:01:22.720]  以色列和阿拉伯國家的戰爭何時才會結束
[00:01:22.720 --> 00:01:32.080]  我今日很想和大家回到三千五百多年前的一場戰爭
[00:01:32.080 --> 00:01:39.360]  這場戰爭是記載在出埃及記的十七章八到十六節
[00:01:39.360 --> 00:01:47.040]  是有關以色列和阿瑪利人之間的戰爭
[00:01:47.040 --> 00:01:56.160]  成段聖經說:那時阿瑪利人來到尼菲丁和以色列人爭前
[00:01:56.160 --> 00:01:59.680]  摩西對約瑟雅說:你為甚麼選?
[00:01:59.680 --> 00:02:05.120]  你為我們選出人來出去和阿瑪利人爭前
[00:02:05.120 --> 00:02:11.120]  明日我手裡要拿著神的像站在山頂上
[00:02:11.120 --> 00:02:18.560]  於是約瑟雅照著摩西對他所說的話和阿瑪利人爭前
[00:02:18.560 --> 00:02:22.560]  摩西、阿倫和胡爾都上了山頂
[00:02:22.560 --> 00:02:26.000]  摩西哪時舉手以色列人得勝
[00:02:26.000 --> 00:02:29.200]  哪時垂手阿瑪利人得勝
[00:02:29.200 --> 00:02:31.680]  但摩西的手發沉
[00:02:31.680 --> 00:02:35.440]  他們搬石頭來放在他下面
[00:02:35.440 --> 00:02:37.600]  他坐在上面
[00:02:37.600 --> 00:02:40.720]  阿倫和胡爾扶著他的手
[00:02:40.720 --> 00:02:44.800]  一個在左邊一個在右邊
[00:02:44.800 --> 00:02:48.560]  因為這個緣故他的手就穩住了
[00:02:48.560 --> 00:02:50.960]  直到日落的時候
