
[00:00:00.000 --> 00:00:04.320]  活型都不敢扮 因為大家覺得好像那份刺激
[00:00:04.320 --> 00:00:08.040]  那份興趣好像減低了
[00:00:08.040 --> 00:00:11.920]  想不到大家讀經營還在第十屆
[00:00:11.920 --> 00:00:14.720]  為了你們的心真的很感恩
[00:00:14.720 --> 00:00:19.520]  我相信 渴慕神的話的人
[00:00:19.520 --> 00:00:22.080]  他一定會得到真正的飽足
[00:00:22.080 --> 00:00:24.680]  我知道這段時間裏面 在大家心靈裏面
[00:00:24.680 --> 00:00:26.360]  包括我們神學院都是
[00:00:26.360 --> 00:00:29.480]  大家都想起占中的事 是吧 同不同意
[00:00:29.480 --> 00:00:32.320]  很多問題 很多不知道怎麼做
[00:00:32.320 --> 00:00:35.400]  有些可能被人unfriend了 是吧
[00:00:35.400 --> 00:00:40.760]  就是你講 有些人不喜歡你的言論就會提出
[00:00:40.760 --> 00:00:43.880]  你放心一定有人不喜歡你的言論 一定有的
[00:00:43.880 --> 00:00:48.200]  你是黃的 有些黃絲帶 我紅的
[00:00:48.200 --> 00:00:55.640]  我看到有些黃絲帶 有些藍的
[00:00:55.640 --> 00:01:05.600]  你不講也有人說你 你站出來去關心學生
[00:01:05.600 --> 00:01:09.160]  有人說你 你不站出來更加有人說你
[00:01:09.160 --> 00:01:18.480]  而這個矛盾不僅在社會裏面 還去到家庭 是吧
[00:01:18.480 --> 00:01:24.440]  我相信做父母和子女之間的張力大到很令人害怕
[00:01:24.440 --> 00:01:28.160]  過去這個星期 我不是在我自己的教會
[00:01:28.160 --> 00:01:31.120]  我去別的地方講道 我太太回到家裏
[00:01:31.120 --> 00:01:35.440]  有些家長抱著我太太 媽媽抱著我太太哭
[00:01:35.440 --> 00:01:37.720]  她說我很擔心我女兒 但她不聽
[00:01:37.720 --> 00:01:40.760]  總是要去露宿街頭 不知道當中有沒有這樣的情況
[00:01:40.760 --> 00:01:44.200]  希望你沒有
[00:01:44.200 --> 00:01:48.160]  這個張力不僅在家庭 還在教會
[00:01:48.160 --> 00:01:51.720]  一班弟兄姊妹抓著我說
[00:01:51.720 --> 00:01:54.800]  我的教會存在著怎樣 為甚麼不表態
[00:01:54.800 --> 00:01:58.000]  是有很多這樣的張力
[00:01:58.000 --> 00:02:02.560]  當越是這樣的時候 我就越想起《尼希米記》
[00:02:02.560 --> 00:02:06.040]  《尼希米記》會不會給我們不僅是靈性
[00:02:06.040 --> 00:02:08.000]  我們怎樣去侍奉神
[00:02:08.000 --> 00:02:11.320]  其實《尼希米記》就是生活一個很多挑戰的時代
[00:02:11.320 --> 00:02:15.080]  它怎樣回應這個挑戰
[00:02:15.080 --> 00:02:20.480]  或者寬恕我講一講我最近的思路
[00:02:20.480 --> 00:02:27.080]  我不知道大家會不會很期望有人講佔中的看法
[00:02:27.080 --> 00:02:30.600]  是不是 我假設是這樣
[00:02:30.600 --> 00:02:33.720]  我上個星期去一個教會講一個堂慶
[00:02:33.720 --> 00:02:36.520]  那個教會是堂慶
[00:02:36.520 --> 00:02:41.600]  坦白講我進去的時候 我覺得整個氣氛好像喪禮一樣
[00:02:41.600 --> 00:02:44.720]  大家很沉重
[00:02:44.720 --> 00:02:51.560]  到講兒童信息 傳道童公主講兒童信息 都很沉重
[00:02:51.560 --> 00:02:55.080]  我覺得基本上它沒有講什麼信息 坦白講
[00:02:55.080 --> 00:02:59.280]  它講什麼呢 它說過去這個星期大家可能爭吵
[00:02:59.280 --> 00:03:03.960]  我都和我女兒吵架 接著它問上帝在哪裡
[00:03:03.960 --> 00:03:07.080]  那兒童信息就完了
[00:03:07.080 --> 00:03:09.360]  我覺得這樣崇拜不是最理想
[00:03:09.360 --> 00:03:11.960]  所以我就接著講我的信息
[00:03:11.960 --> 00:03:15.720]  我最後想回答上帝在哪裡 上帝在哪裡
[00:03:15.720 --> 00:03:19.440]  我相信同樣都能發生很多弟兄姊妹當中
[00:03:19.440 --> 00:03:23.080]  有些教會的立場 我不知道
[00:03:23.080 --> 00:03:24.280]  我專門不問你教會什麼立場
[00:03:24.280 --> 00:03:26.160]  所以我講什麼都可以的
[00:03:26.160 --> 00:03:28.520]  所以若有講錯 實屬我自己個人責任
[00:03:28.520 --> 00:03:31.480]  就不關教會的事 我沒有和你們教會談過
[00:03:31.480 --> 00:03:33.840]  有些教會不准講的
[00:03:33.840 --> 00:03:36.040]  結果有一次我們的神樂先生
[00:03:36.040 --> 00:03:39.720]  剛剛這禮拜我給他大家和我表達他的感受
[00:03:39.720 --> 00:03:44.560]  神樂先生起來講的時候 他說他發現一個很怪的現象
[00:03:44.560 --> 00:03:49.120]  教會的年輕人 有些大專生 有些中學生
[00:03:49.120 --> 00:03:53.080]  隻字不提佔中的事 是不是很奇怪呢
[00:03:53.080 --> 00:03:58.280]  然後教會不講 教會聚會照樣繼續進行
[00:03:58.280 --> 00:04:02.120]  教會是遊戲週 繼續遊戲週
[00:04:02.120 --> 00:04:04.480]  這個禮拜你們有沒有討論佔中的
[00:04:04.480 --> 00:04:07.000]  沒有 為什麼呢 因為遊戲週 所以繼續遊戲週
[00:04:07.000 --> 00:04:11.960]  他們的Facebook隻字不提 這麼奇怪的
[00:04:11.960 --> 00:04:15.920]  後來發現這幫年輕人找了另外一些
[00:04:15.920 --> 00:04:19.880]  我不太懂這些 網上另外一些群組
[00:04:19.880 --> 00:04:22.720]  彼此罵來罵去 罵得很厲害 佔中的事
[00:04:22.720 --> 00:04:26.960]  罵得很厲害 接著神樂先生就很慨嘆
[00:04:26.960 --> 00:04:29.520]  他為什麼我們model 或者我們製造的環境
[00:04:29.520 --> 00:04:34.480]  令到年輕人在教會和外面是另一個樣子
[00:04:34.480 --> 00:04:37.880]  他在教會 因為知道你不喜歡講 所以不講
[00:04:37.880 --> 00:04:41.600]  但不等於沒事 即是說教會是否在承設
[00:04:41.600 --> 00:04:46.000]  在牧養他 教導他 與他同行呢
[00:04:46.000 --> 00:04:48.640]  他生活在兩個很兩極的當中
[00:04:48.640 --> 00:04:51.360]  我們當他很小 不懂事 坐下來這樣
[00:04:51.360 --> 00:04:54.560]  但外面 他在帶領整個運動的人
[00:04:54.560 --> 00:04:56.640]  或者在支持這些運動的人
[00:04:56.640 --> 00:05:01.680]  你見到 你怎樣做都有困難的
[00:05:01.680 --> 00:05:05.000]  我無意今天就進入這個複雜的議題
[00:05:05.000 --> 00:05:07.200]  我只是想講一下我自己的經歷
[00:05:07.200 --> 00:05:12.320]  我是很持守到現在為止
[00:05:12.320 --> 00:05:15.760]  我都覺得很持守政教分離的立場
[00:05:15.760 --> 00:05:19.240]  我在不同的場合都發表過這樣的文章
[00:05:19.240 --> 00:05:22.720]  我覺得教會和政治應該是分開的
[00:05:22.720 --> 00:05:24.400]  教會整體不應該參與政治
[00:05:24.400 --> 00:05:28.600]  就算今天佔中事件 我都覺得不應該參與
[00:05:28.600 --> 00:05:30.400]  不應該發表意見
[00:05:30.400 --> 00:05:34.200]  不應該說哪個政權不好 哪個人要下台
[00:05:34.200 --> 00:05:36.960]  這些信仰不是教會應該講的
[00:05:36.960 --> 00:05:43.160]  但是教會對於道德 對於公義對錯問題
[00:05:43.160 --> 00:05:45.480]  應該發聲 應該有立場
[00:05:45.480 --> 00:05:48.000]  我正面的講 教會應該主動的關心
[00:05:48.000 --> 00:05:50.200]  這個社會上有需要的人
[00:05:50.200 --> 00:05:54.880]  包括學生 包括前線執勤的警務人員等等
[00:05:54.880 --> 00:05:59.680]  教會應該對道德 對有對錯 對信仰問題
[00:05:59.680 --> 00:06:02.880]  應該有它很堅定的立場
[00:06:02.880 --> 00:06:06.360]  問題就難在這裏 你要兩樣都做
[00:06:06.360 --> 00:06:10.440]  我又要保持政治的中立
[00:06:10.440 --> 00:06:11.880]  特別是作為教會的立場
[00:06:11.880 --> 00:06:13.240]  你可以個人有自己的取向
[00:06:13.240 --> 00:06:15.120]  但是整個教會不應該這樣做
[00:06:15.120 --> 00:06:18.640]  但是又要牽涉在這個行動裏面的人
[00:06:18.640 --> 00:06:20.600]  是很困難的
[00:06:20.600 --> 00:06:24.760]  我上個星期離開了香港一個星期
[00:06:24.760 --> 00:06:26.160]  我星期六晚上回來
[00:06:26.160 --> 00:06:27.400]  我星期六有這樣的祈禱
[00:06:27.400 --> 00:06:31.960]  我心想其實當學生和政府這麼大僵局的時間
[00:06:31.960 --> 00:06:33.080]  我們可以做什麼呢?
[00:06:33.080 --> 00:06:35.160]  我們正需要教會有信息
[00:06:35.160 --> 00:06:38.720]  可以幫助這個時代的人找到出路
[00:06:38.720 --> 00:06:41.640]  星期日早上 我星期六晚上祈禱
[00:06:41.640 --> 00:06:44.720]  星期日早上七點鐘就接到一個電話
[00:06:44.720 --> 00:06:50.520]  就說一幫人想做一些我剛剛所講的話
[00:06:50.520 --> 00:06:52.560]  我們持守政治中立
[00:06:52.560 --> 00:06:56.600]  但是我們可不可以主動去關心他們呢?
[00:06:56.600 --> 00:06:59.120]  結果我說好啊 我剛剛這樣祈禱
[00:06:59.120 --> 00:07:01.120]  我相信神在帶領我們做這件事
[00:07:01.120 --> 00:07:03.480]  我有能力之內 我都會盡力支持
[00:07:03.480 --> 00:07:06.080]  結果我們就在星期日晚上
[00:07:06.080 --> 00:07:10.200]  就去了金鐘的示威現場上面
[00:07:10.200 --> 00:07:12.600]  一個叫天馬公園 不知道大家知不知道
[00:07:12.600 --> 00:07:14.880]  都是政府總部那些附近的地方
[00:07:14.880 --> 00:07:16.360]  一個天馬公園
[00:07:16.360 --> 00:07:19.680]  我們設立了 不是我 我去支持他
[00:07:19.680 --> 00:07:22.000]  是一位叫張達明弟兄
