
[00:00:00.000 --> 00:00:02.000]  (字幕: 陳零九)
[00:00:03.000 --> 00:00:05.640]  有八句恭賀說話
[00:00:05.640 --> 00:00:07.640]  希望大家在新年的時候
[00:00:07.640 --> 00:00:11.000]  不用跟別人說那些很嗜賄的字
[00:00:11.000 --> 00:00:13.480]  只想著發財
[00:00:13.480 --> 00:00:17.000]  原來很多在聖經裏面有祝福說話
[00:00:17.000 --> 00:00:19.000]  有事主蒙福
[00:00:19.000 --> 00:00:20.520]  有靈命根生
[00:00:20.520 --> 00:00:22.240]  有多結果子
[00:00:22.240 --> 00:00:23.760]  有信望愛存
[00:00:23.760 --> 00:00:25.320]  有主恩常在
[00:00:25.320 --> 00:00:27.320]  有主恩救容
[00:00:27.320 --> 00:00:29.320]  有福杯滿日
[00:00:29.320 --> 00:00:31.320]  主賜平安
[00:00:31.320 --> 00:00:34.320]  愛主蒙恩
[00:00:34.320 --> 00:00:38.320]  最後一個就是八福臨門
[00:00:38.320 --> 00:00:41.320]  大家可能會有機會收到
[00:00:41.320 --> 00:00:44.320]  其中一張Helen寫的八福臨門
[00:00:44.320 --> 00:00:46.320]  八福臨門裏面其中有一個福
[00:00:46.320 --> 00:00:48.320]  在馬太方五章八節
[00:00:48.320 --> 00:00:51.320]  就說清心的人有福了
[00:00:51.320 --> 00:00:54.320]  因為他們必得見神
[00:00:54.320 --> 00:00:57.320]  能夠見到神至少有兩個意思
[00:00:57.320 --> 00:00:59.320]  一是當我們在地上
[00:00:59.320 --> 00:01:01.320]  你能否見到神的作為
[00:01:01.320 --> 00:01:03.320]  另一個當然我們很期待
[00:01:03.320 --> 00:01:05.320]  當我們的生命完結的時候
[00:01:05.320 --> 00:01:07.320]  我們能夠回到天家
[00:01:07.320 --> 00:01:10.320]  真真正正見到神的面
[00:01:10.320 --> 00:01:14.320]  但是怎樣才叫做清心呢?
[00:01:14.320 --> 00:01:16.320]  原來清心在原文裏面
[00:01:16.320 --> 00:01:18.320]  很直接的一個字
[00:01:18.320 --> 00:01:20.320]  就是Clean
[00:01:20.320 --> 00:01:21.320]  就是Pure
[00:01:21.320 --> 00:01:23.320]  你能否有一個清潔
[00:01:23.320 --> 00:01:25.320]  能否純正
[00:01:25.320 --> 00:01:27.320]  在我們的行為
[00:01:27.320 --> 00:01:29.320]  在我們的心靈
[00:01:29.320 --> 00:01:32.320]  在我們的道德層面
[00:01:32.320 --> 00:01:34.320]  在另外兩個版本
[00:01:34.320 --> 00:01:36.320]  NASB都是譯為Pure
[00:01:36.320 --> 00:01:38.320]  而在《環球聖經新譯本》
[00:01:38.320 --> 00:01:42.320]  它就說內心清潔的人有福了
[00:01:42.320 --> 00:01:44.320]  這裏不只是說你的外表
[00:01:44.320 --> 00:01:46.320]  外表清潔很容易
[00:01:46.320 --> 00:01:49.320]  第一是說你的內心
[00:01:49.320 --> 00:01:51.320]  怎樣會令到我們不清心
[00:01:51.320 --> 00:01:54.320]  怎樣會令到我們的心不清潔呢?
[00:01:54.320 --> 00:01:57.320]  原來在《馬太福音》23章25節裏說
[00:01:57.320 --> 00:01:59.320]  耶穌說一群猶太人
[00:01:59.320 --> 00:02:01.320]  說一群法利塞人
[00:02:01.320 --> 00:02:06.320]  說你們這群假冒為善的文士和法利塞人
[00:02:06.320 --> 00:02:08.320]  你不知道這兩個人的身份不要緊
[00:02:08.320 --> 00:02:10.320]  你當他們是很熟悉律法的
