
[00:00:00.000 --> 00:00:03.000]  我們回到剛才所讀的聖經
[00:00:03.000 --> 00:00:07.000]  因為剛才我們的師哥回應這段聖經所說
[00:00:07.000 --> 00:00:11.000]  在尼西米人生當中有一個很困難的時刻
[00:00:11.000 --> 00:00:14.000]  尼西米記第六章
[00:00:14.000 --> 00:00:18.000]  唐用聖經如果大家打開的話是七百頁
[00:00:18.000 --> 00:00:19.000]  七零零
[00:00:19.000 --> 00:00:23.000]  唐用聖經第七百頁我們看尼西米記第六章
[00:00:23.000 --> 00:00:27.000]  按著我們的主題看這個使命的人生
[00:00:27.000 --> 00:00:32.000]  我們將尼西米作為我們的研究和榜樣
[00:00:32.000 --> 00:00:39.000]  尼西米回到耶路撒冷重建城牆
[00:00:39.000 --> 00:00:41.000]  這個我相信大家已經很熟悉
[00:00:41.000 --> 00:00:42.000]  如果你是尼北宣家
[00:00:42.000 --> 00:00:44.000]  一直在過去這幾個月
[00:00:44.000 --> 00:00:47.000]  我們都會有在這方面的現答
[00:00:47.000 --> 00:00:51.000]  我和大家都曾經說過第二章和第三章
[00:00:51.000 --> 00:00:56.000]  尼西米他面對的挑戰實在是很大
[00:00:56.000 --> 00:00:58.000]  雖然尼西米他的官都不低
[00:00:58.000 --> 00:01:01.000]  他可以說是耶路撒冷
[00:01:01.000 --> 00:01:08.000]  也是巴勒斯坦波斯帝國派他去重建的一個最高領袖
[00:01:08.000 --> 00:01:11.000]  但是他碰見的困難也相當的大
[00:01:11.000 --> 00:01:13.000]  今天我們看第六章的時候
[00:01:13.000 --> 00:01:16.000]  我們想看一個方向一個問題
[00:01:16.000 --> 00:01:23.000]  就是當一個屬神的人他面對四面受敵的攻擊的時候
[00:01:23.000 --> 00:01:25.000]  究竟他怎樣去回應
[00:01:25.000 --> 00:01:28.000]  他的力量又從何而來
[00:01:28.000 --> 00:01:30.000]  我相信我這樣說的時候
[00:01:30.000 --> 00:01:33.000]  很多頂英姐妹就感覺到很共鳴
[00:01:33.000 --> 00:01:37.000]  不單單屬於一千幾年前的
[00:01:37.000 --> 00:01:46.000]  二千幾年前的尼西米所碰見的問題
[00:01:46.000 --> 00:01:49.000]  今天你和我都碰見同樣的問題
[00:01:49.000 --> 00:01:52.000]  在我們人生裡面多多少少
[00:01:52.000 --> 00:01:56.000]  或遲或早我們都碰見一些困難的日子
[00:01:56.000 --> 00:01:59.000]  我們發覺有很多不同的攻擊
[00:01:59.000 --> 00:02:01.000]  四面八方的來
[00:02:01.000 --> 00:02:04.000]  究竟在這樣的壓力底下
[00:02:04.000 --> 00:02:07.000]  我們應該怎樣去得勝呢?
[00:02:07.000 --> 00:02:09.000]  這個就是我們今天看這段聖經
[00:02:09.000 --> 00:02:12.000]  我們要集中的要思想的地方
[00:02:12.000 --> 00:02:15.000]  首先我們看尼西米在這段聖經裡面第六章
[00:02:15.000 --> 00:02:18.000]  他碰見的是甚麼的攻擊
[00:02:18.000 --> 00:02:21.000]  和甚麼的壓力和挑戰呢?
[00:02:21.000 --> 00:02:23.000]  我相信大家一定會
[00:02:23.000 --> 00:02:25.000]  如果看尼西米記又跟著下去
[00:02:25.000 --> 00:02:29.000]  你都知道有三個很重要的外邦的首領
[00:02:29.000 --> 00:02:31.000]  即不是猶太人的首領
[00:02:31.000 --> 00:02:35.000]  是很反對尼西米去幫助猶太人
[00:02:35.000 --> 00:02:40.000]  他自己的同胞去重建耶路撒冷的城牆
[00:02:40.000 --> 00:02:42.000]  因為重建城牆大家知道
[00:02:42.000 --> 00:02:46.000]  即表示他能夠保護他這個城邑
[00:02:46.000 --> 00:02:51.000]  表示他的權力和安全
[00:02:51.000 --> 00:02:57.000]  以至外國的外邦想佔據的人
[00:02:57.000 --> 00:03:00.000]  佔據軍隊的沒有辦法得勝
[00:03:00.000 --> 00:03:03.000]  所以讓他建城牆
[00:03:03.000 --> 00:03:06.000]  表示以後如果讓他建成的話
[00:03:06.000 --> 00:03:10.000]  這個耶路撒冷就屬於猶太人
[00:03:10.000 --> 00:03:12.000]  不是屬於他們
[00:03:12.000 --> 00:03:15.000]  所以他們一定會去破壞
[00:03:15.000 --> 00:03:20.000]  我們記得早前已經提出了這幾個人的名字
[00:03:20.000 --> 00:03:22.000]  都是來自不同的背景
[00:03:22.000 --> 00:03:24.000]  即是森巴拉
[00:03:24.000 --> 00:03:27.000]  今天我們所讀的聖經裏面都會見到他們的名字
[00:03:27.000 --> 00:03:29.000]  基善多比亞
[00:03:29.000 --> 00:03:32.000]  這三個是比較經常出現的人物
[00:03:32.000 --> 00:03:35.000]  三個都不是猶太人
[00:03:35.000 --> 00:03:40.000]  而且三個的官位都頗高
[00:03:40.000 --> 00:03:45.000]  大家知道森巴拉是和論人的總長
[00:03:45.000 --> 00:03:49.000]  多比亞是阿蒙人的總長
[00:03:49.000 --> 00:03:53.000]  基善是阿拉伯人的總長
[00:03:53.000 --> 00:03:56.000]  而且可能是阿拉伯人的皇帝
[00:03:56.000 --> 00:04:00.000]  因為在考古學裏面我們看到有這樣的記載
[00:04:00.000 --> 00:04:04.000]  所以其實這代表了很多周圍的勢力
[00:04:04.000 --> 00:04:06.000]  但今天我們留意看這段聖經
[00:04:06.000 --> 00:04:08.000]  剛才讀的時候可能沒有留意
[00:04:08.000 --> 00:04:10.000]  但如果我們再看仔細一點的時候
[00:04:10.000 --> 00:04:13.000]  其實尼西米作為一個領袖
[00:04:13.000 --> 00:04:16.000]  他要建立這個工程
[00:04:16.000 --> 00:04:18.000]  他面對的不只是外面的人
[00:04:18.000 --> 00:04:20.000]  其實他自己裏面的人
[00:04:20.000 --> 00:04:22.000]  一樣是反對他
[00:04:22.000 --> 00:04:26.000]  一樣有很多是不會和他合作的人
[00:04:26.000 --> 00:04:29.000]  所以我們說是內外來夾攻的
[00:04:29.000 --> 00:04:30.000]  那你說真的嗎?
[00:04:30.000 --> 00:04:32.000]  剛才你可能沒有留意我讀給大家聽
[00:04:32.000 --> 00:04:35.000]  我不用你找一些經文
