
[00:00:00.000 --> 00:00:08.720]  很快又來到文數記20和21章
[00:00:08.720 --> 00:00:19.360]  來到20和21章是一個很有意思的記節經文
[00:00:19.360 --> 00:00:24.320]  我們看到20章到25章
[00:00:24.320 --> 00:00:33.520]  其實是在新一代和第二代的當中
[00:00:33.520 --> 00:00:40.800]  我們知道第一代的以色列人在第一章數點人民時
[00:00:40.800 --> 00:00:46.560]  凡是大過20歲的由於他們不肯聽摩西的話
[00:00:46.560 --> 00:00:49.920]  不肯進入迦南應許之地
[00:00:49.920 --> 00:00:56.960]  全部大過20歲的除了迦納和約書亞都不能進入應許之地
[00:00:56.960 --> 00:01:05.680]  而當第二次數點人民在文數記第26章時
[00:01:05.680 --> 00:01:08.640]  我們知道大過20歲的成人
[00:01:08.640 --> 00:01:13.600]  除了約書亞和迦納兩個
[00:01:13.600 --> 00:01:18.320]  沒有再見到在第一次數點的成人有份
[00:01:18.320 --> 00:01:25.040]  我們看到20章是一個令人傷感的書
[00:01:25.040 --> 00:01:26.640]  剛才有讀過經文
[00:01:26.640 --> 00:01:31.600]  一開始我們看到米利安就是摩西的姐姐已經去世
[00:01:31.600 --> 00:01:35.200]  如果我們讀到20章的尾時
[00:01:35.200 --> 00:01:41.040]  我們會發覺連阿倫摩西的哥哥也相繼死亡
[00:01:41.040 --> 00:01:46.480]  而很快連摩西自己也會離開這個世界
[00:01:46.480 --> 00:01:52.000]  文數記20章沒有告訴我們時間是何時
[00:01:52.000 --> 00:01:55.280]  但我們知道20章尾阿倫去世
[00:01:55.280 --> 00:02:03.120]  在33章38節文數記也有告訴我們同一件事是阿倫去世
[00:02:03.120 --> 00:02:09.840]  但在33章告訴我們已經是出埃及後40年
[00:02:09.840 --> 00:02:16.880]  所以我們可以確定這20至25章已經是尾聲
[00:02:16.880 --> 00:02:18.800]  是去到最後的40年
[00:02:18.800 --> 00:02:25.200]  今日的經文是20至21章
[00:02:25.200 --> 00:02:30.160]  其實20至25章是講兩個先知的事
[00:02:30.160 --> 00:02:31.120]  很有趣
[00:02:31.120 --> 00:02:33.520]  一個是耶和華的先知
[00:02:33.520 --> 00:02:36.080]  是以色列人的先知摩西
[00:02:36.080 --> 00:02:41.200]  另外一個是外邦人的先知巴蘭
[00:02:41.200 --> 00:02:45.280]  巴蘭的事跡我將會在下星期跟大家講
[00:02:45.280 --> 00:02:48.560]  今日先講摩西神的僕人
[00:02:48.560 --> 00:02:50.640]  他有失誤
[00:02:50.640 --> 00:02:52.240]  我們看看他失誤在哪裏
[00:02:52.240 --> 00:02:57.600]  經文說到了尋的曠野會中沒有水殼
[00:02:57.600 --> 00:03:00.560]  就聚集攻擊摩西阿倫
[00:03:00.560 --> 00:03:03.440]  百姓向摩西爭鬧說
[00:03:03.440 --> 00:03:07.040]  我們的弟兄曾死在耶和華面前
[00:03:07.040 --> 00:03:10.240]  我們恨不得與他們同死
[00:03:10.240 --> 00:03:15.600]  這班以色列人我們見過一次又一次
