
[00:00:00.000 --> 00:00:04.000]  祝大家新年快乐
[00:00:04.000 --> 00:00:10.000]  我们继续思想黎智英的信息
[00:00:10.000 --> 00:00:12.000]  请我们做一次同心一起祈祷
[00:00:12.000 --> 00:00:14.000]  天父我们再次感谢你
[00:00:14.000 --> 00:00:16.000]  给你宝贵的话语作为我们生命的指引
[00:00:16.000 --> 00:00:18.000]  求你直接用你的话语去提醒
[00:00:18.000 --> 00:00:22.000]  劝勉 教导 安慰 督扎 改变我们
[00:00:22.000 --> 00:00:24.000]  奉耶稣基督名求 阿们
[00:00:24.000 --> 00:00:30.000]  有本名著叫伊索寓言
[00:00:30.000 --> 00:00:32.000]  伊索寓言有这样的故事
[00:00:32.000 --> 00:00:36.000]  祠堂里面有一些小青蛙
[00:00:36.000 --> 00:00:38.000]  平日就滋滋渣渣
[00:00:38.000 --> 00:00:40.000]  很开心 喜欢跳下东 喜欢跳下西
[00:00:40.000 --> 00:00:42.000]  喜欢搞下溜 喜欢搞下路
[00:00:42.000 --> 00:00:44.000]  很开心
[00:00:44.000 --> 00:00:48.000]  但是他们总是觉得这些青蛙散沙一盘
[00:00:48.000 --> 00:00:52.000]  各自各 各有各样
[00:00:52.000 --> 00:00:54.000]  每个都是游蛙式的
[00:00:54.000 --> 00:00:56.000]  各有各样
[00:00:56.000 --> 00:00:58.000]  没有来合作
[00:00:58.000 --> 00:01:00.000]  他们觉得不好
[00:01:00.000 --> 00:01:02.000]  这样的小祠堂青蛙是不行的
[00:01:02.000 --> 00:01:06.000]  于是就和天帝说
[00:01:06.000 --> 00:01:10.000]  我们想有个皇帝来统治我们
[00:01:10.000 --> 00:01:12.000]  我们散沙一盘
[00:01:12.000 --> 00:01:14.000]  不能合作
[00:01:14.000 --> 00:01:16.000]  果然之间
[00:01:16.000 --> 00:01:18.000]  那些青蛙翌日一起身
[00:01:18.000 --> 00:01:20.000]  一睁大眼睛看到
[00:01:20.000 --> 00:01:24.000]  祠堂里面有新的景象
[00:01:24.000 --> 00:01:27.000]  一块很大很大的木
[00:01:27.000 --> 00:01:29.000]  一块木
[00:01:29.000 --> 00:01:31.000]  里面插着一支旗
[00:01:31.000 --> 00:01:33.000]  写着青蛙皇帝一块木
[00:01:33.000 --> 00:01:35.000]  哇
[00:01:35.000 --> 00:01:37.000]  那些青蛙看到
[00:01:37.000 --> 00:01:39.000]  哇
[00:01:39.000 --> 00:01:41.000]  多厉害啊
[00:01:41.000 --> 00:01:43.000]  哇
[00:01:43.000 --> 00:01:45.000]  厉害啊
[00:01:45.000 --> 00:01:47.000]  又强大
[00:01:47.000 --> 00:01:49.000]  又威猛
[00:01:49.000 --> 00:01:51.000]  皇帝好耶
[00:01:51.000 --> 00:01:53.000]  皇帝万岁
[00:01:53.000 --> 00:01:55.000]  一块木万岁万岁万万岁
[00:01:55.000 --> 00:01:57.000]  青蛙齐齐欢呼
[00:01:57.000 --> 00:01:59.000]  哇 大家要庆典了
[00:01:59.000 --> 00:02:01.000]  我们现在有个新皇帝
[00:02:01.000 --> 00:02:03.000]  青蛙皇帝一块木
[00:02:03.000 --> 00:02:05.000]  多好啊
[00:02:05.000 --> 00:02:07.000]  接着呢
[00:02:07.000 --> 00:02:09.000]  搞完一连串的活动
[00:02:09.000 --> 00:02:11.000]  欢呼
[00:02:11.000 --> 00:02:13.000]  渐渐平静过来
[00:02:13.000 --> 00:02:15.000]  发觉有些东西不同
[00:02:15.000 --> 00:02:17.000]  发觉皇帝
[00:02:17.000 --> 00:02:19.000]  整天蹲在那里
[00:02:19.000 --> 00:02:21.000]  又没有眼睛看
[00:02:21.000 --> 00:02:23.000]  又没有耳听
[00:02:23.000 --> 00:02:25.000]  又没有脚步
[00:02:25.000 --> 00:02:27.000]  一块木
[00:02:27.000 --> 00:02:29.000]  这样的皇帝
[00:02:29.000 --> 00:02:31.000]  怎么行啊
[00:02:31.000 --> 00:02:33.000]  讲他又不明白
[00:02:33.000 --> 00:02:35.000]  又没有眼睛看着我们
[00:02:35.000 --> 00:02:37.000]  那怎么做皇帝啊
[00:02:37.000 --> 00:02:39.000]  有一只青蛙就说
[00:02:39.000 --> 00:02:41.000]  可能他闭上眼睛
[00:02:41.000 --> 00:02:43.000]  睡了觉我们走去
[00:02:43.000 --> 00:02:45.000]  那块木动一下他怎么样
[00:02:45.000 --> 00:02:47.000]  于是青蛙就跳上木头
[00:02:47.000 --> 00:02:49.000]  就滚动一下
[00:02:49.000 --> 00:02:51.000]  发觉挺好玩的
[00:02:51.000 --> 00:02:53.000]  滚来滚去
[00:02:53.000 --> 00:02:55.000]  试试能不能动
[00:02:55.000 --> 00:02:57.000]  于是青蛙就推到另一边
[00:02:57.000 --> 00:02:59.000]  皇帝依然没有反应
[00:02:59.000 --> 00:03:01.000]  一块木
[00:03:01.000 --> 00:03:03.000]  青蛙开始失望
[00:03:03.000 --> 00:03:05.000]  原来我们的
[00:03:05.000 --> 00:03:07.000]  青蛙皇帝
[00:03:07.000 --> 00:03:09.000]  真是一块木
[00:03:09.000 --> 00:03:11.000]  没用啊
[00:03:11.000 --> 00:03:13.000]  没有号令
[00:03:13.000 --> 00:03:15.000]  没有思想
[00:03:15.000 --> 00:03:17.000]  没有眼睛看
[00:03:17.000 --> 00:03:19.000]  没有耳听
[00:03:19.000 --> 00:03:21.000]  没有脚步
[00:03:21.000 --> 00:03:23.000]  怎么做皇帝啊
[00:03:23.000 --> 00:03:25.000]  于是他们就开始鼓噪
[00:03:25.000 --> 00:03:27.000]  开始搞革命
[00:03:27.000 --> 00:03:29.000]  开始很不开心
[00:03:29.000 --> 00:03:31.000]  于是就和天帝在那里
[00:03:31.000 --> 00:03:33.000]  吵吵架在那里抗议
[00:03:33.000 --> 00:03:37.000]  隔了一会
[00:03:37.000 --> 00:03:39.000]  有一天早上
[00:03:39.000 --> 00:03:41.000]  青蛙还没醒
[00:03:41.000 --> 00:03:43.000]  突然间被一种
[00:03:43.000 --> 00:03:45.000]  龙口坚定
[00:03:45.000 --> 00:03:47.000]  强大
[00:03:47.000 --> 00:03:49.000]  洪亮的声音吵醒了
[00:03:49.000 --> 00:03:51.000]  青蛙一睁眼
[00:03:51.000 --> 00:03:53.000]  看了一眼
[00:03:53.000 --> 00:03:55.000]  奇怪了
[00:03:55.000 --> 00:03:57.000]  青蛙皇帝一块木
[00:03:57.000 --> 00:03:59.000]  一块木
[00:03:59.000 --> 00:04:01.000]  他再看清楚
[00:04:01.000 --> 00:04:03.000]  厉害了
[00:04:03.000 --> 00:04:05.000]  原来在祠堂另外一边
[00:04:05.000 --> 00:04:07.000]  有一个大的老祠
[00:04:07.000 --> 00:04:09.000]  按着头
[00:04:09.000 --> 00:04:11.000]  发出
[00:04:11.000 --> 00:04:13.000]  洪亮的叫声
[00:04:13.000 --> 00:04:15.000]  叫醒了青蛙
[00:04:15.000 --> 00:04:17.000]  哇
[00:04:17.000 --> 00:04:19.000]  这个就是青蛙皇帝啊
[00:04:19.000 --> 00:04:21.000]  你看他的样子
[00:04:21.000 --> 00:04:23.000]  多威武啊
[00:04:23.000 --> 00:04:25.000]  不是一块木
[00:04:25.000 --> 00:04:27.000]  会叫的
[00:04:27.000 --> 00:04:29.000]  会飞的
[00:04:29.000 --> 00:04:31.000]  会走的
[00:04:31.000 --> 00:04:33.000]  于是青蛙睁开眼
[00:04:33.000 --> 00:04:35.000]  大声说
[00:04:35.000 --> 00:04:37.000]  老祠青蛙皇帝
[00:04:37.000 --> 00:04:39.000]  万岁万岁万万岁
[00:04:39.000 --> 00:04:41.000]  一池唱起雄歌
[00:04:41.000 --> 00:04:43.000]  一池唱起青蛙歌
[00:04:43.000 --> 00:04:45.000]  哇 个个都很厉害
[00:04:45.000 --> 00:04:47.000]  于是
[00:04:47.000 --> 00:04:49.000]  一连串的欢呼聚会
[00:04:49.000 --> 00:04:51.000]  过了不够一个月
[00:04:51.000 --> 00:04:53.000]  突然间
[00:04:53.000 --> 00:04:55.000]  发现小祠堂的青蛙
[00:04:55.000 --> 00:04:57.000]  没有叫声
[00:04:57.000 --> 00:05:01.000]  而且一只青蛙都看不到
[00:05:01.000 --> 00:05:03.000]  个个都躲在草里
[00:05:03.000 --> 00:05:05.000]  为什么啊
[00:05:05.000 --> 00:05:07.000]  因为发觉有些事情不妥
