
[00:00:00.000 --> 00:00:10.000]  大明寺廟早晨 我是黃牧師 很高興能夠再次在主日送拜的時間和大家分享主的道理
[00:00:10.000 --> 00:00:23.000]  讓我們先聽神的話 再一起同心禱告 慈悲的天父多謝你讓我們能夠再次回到你的說話面前 同心學習 求你幫助我們
[00:00:23.000 --> 00:00:35.000]  讓你的靈管束我們每人的心 保佑我們能夠更掌握你是怎樣的一位主 又是懂得怎樣尊重你 敬重你 馴服你
[00:00:35.000 --> 00:00:41.000]  我們同心的禱告感恩 是奉靠主耶穌的聖名至上 阿們
[00:00:41.000 --> 00:00:53.000]  今天會和大家一起思想的經文是魯德記 差不多來到魯德記的尾聲 今天可以說是尾二的一堂 下一堂就會是完結魯德記
[00:00:53.000 --> 00:01:05.000]  今天我們所看的經文是出自於魯德記的第四章第十三節至第十七節 今天的講題是同宮異曲
[00:01:05.000 --> 00:01:15.000]  讓我們先聽神的道義 再次打開聖經的話語 讓我們先明白多一點神的話是說甚麼
[00:01:15.000 --> 00:01:26.000]  如果大家有聖經的話 也一起同心打開魯德記的第四章 我們會從第十三節看到第十七節的上半節
[00:01:26.000 --> 00:01:39.000]  魯德記的第四章十三至十七節上 於是波亞斯娶了魯德為妻與他同房 耶華使他懷孕生了一個兒子
[00:01:39.000 --> 00:01:50.000]  夫人們對拿娥米說 耶華是應當稱重的 因為今日沒有撇下你 使你無至近的親屬
[00:01:50.000 --> 00:02:03.000]  願這孩子在以色列人中得名聲 她必提起你的精神 奉養你的腦 因為是愛慕你的那兒婦所生的
[00:02:03.000 --> 00:02:12.000]  有這兒婦比有七個兒子還好 拿娥米就把孩子抱在懷中 作他的養母
[00:02:12.000 --> 00:02:22.000]  十七節的上半節 論舍的婦人說 拿娥米得了兒子了 就給孩子起名叫娥比德
[00:02:22.000 --> 00:02:34.000]  在唐朝的時候 曾經有一個著名的官 或是一個文學家 他的名字叫韓愈
[00:02:34.000 --> 00:02:44.000]  在我讀中國文學的時候 我也曾經讀過他不少的文學 其中一篇在裏面他曾經進學解
[00:02:44.000 --> 00:02:54.000]  有幾句這樣的說話 夏帝裝梳太史所錄 子雲相如 同工而曲
[00:02:54.000 --> 00:03:08.000]  同工而曲這個成語的由來 就是從韓愈這番說話 去談及到有關於他主張的所謂文以再道的文學寫作的宗旨
[00:03:08.000 --> 00:03:15.000]  而在剛才我所讀的這幾句說話裏面 其實是涵蓋了很多中國的古典籍
[00:03:15.000 --> 00:03:23.000]  在這些古典籍當中 韓愈所說的就是 中原他們有各式各類的典籍寫作模式
[00:03:23.000 --> 00:03:32.000]  但是因著不同的人 而他們都能夠透過不同的文體 說出有實在意義的東西
[00:03:32.000 --> 00:03:40.000]  而寫作的宗旨就是寫任何的事情 都要言之有物 有其本身的意義
[00:03:40.000 --> 00:03:50.000]  雖然手法可能有些不同 但是最重要的宗旨不變 這個就是所謂同工而曲的意思
[00:03:50.000 --> 00:04:00.000]  可以同樣的心態 同樣的宗旨 但是可以透過不同的演繹 都可以將他的主旨提出來
[00:04:00.000 --> 00:04:06.000]  在歷史裏面 我們知道韓愈是一個很有才學的人
[00:04:06.000 --> 00:04:13.000]  不過同時在官場上 也因為他這份專注原則的緣故
[00:04:13.000 --> 00:04:20.000]  有很多時候他曾經經歷過高低起跌的官場生活
[00:04:20.000 --> 00:04:24.000]  並且在他人生當中也遇到很多坎坷的事件
[00:04:24.000 --> 00:04:36.000]  尤其是當他被貶官的時候 在路上甚至他的最愛的女兒也死去
[00:04:36.000 --> 00:04:44.000]  在這些歷史裏面 韓愈有很多在他的文章裏面透露到
[00:04:44.000 --> 00:04:52.000]  其實在人生當中有很多起起跌跌是非能言喻的
[00:04:52.000 --> 00:04:58.000]  在這些情況裏面 甚至可能導致一個人鬱鬱不得志的情況
[00:04:58.000 --> 00:05:04.000]  韓愈他寫的文章 我有很多的理解和閱讀
[00:05:04.000 --> 00:05:08.000]  但隨著他的人生也讓我想像到一件事
[00:05:08.000 --> 00:05:15.000]  就是在這個世界當中 失敗其實不是一件少見的事
[00:05:15.000 --> 00:05:20.000]  有時失敗不是因為個人的問題 可能是外在因素的問題
[00:05:20.000 --> 00:05:29.000]  但也有不少是因為自己內在的問題而導致自己被降職甚至被免職
[00:05:29.000 --> 00:05:38.000]  但在這種情況下 究竟被免職的人或被降職的人又如何去想呢?
[00:05:38.000 --> 00:05:43.000]  他是不是覺得全世界的人都很對不起他
[00:05:43.000 --> 00:05:47.000]  而這個世界沒有一個人真的明白他呢?
[00:05:47.000 --> 00:05:52.000]  在這種情況下 其實我從基督徒的角度來看
[00:05:52.000 --> 00:05:55.000]  失敗就是一個最值得我們反思反省的事
[00:05:55.000 --> 00:06:01.000]  究竟自己的能力或自己的靈性是怎樣的
[00:06:01.000 --> 00:06:11.000]  究竟有多少人有這樣的洞悉能力或覺悟能力去使自己反思自己的問題呢?
[00:06:11.000 --> 00:06:17.000]  還是只是老是去抵賴這個世界的人對他不好呢?
[00:06:17.000 --> 00:06:25.000]  實質上在這個世界當中也有不少人認為自己在這個世界上是不可一世
[00:06:25.000 --> 00:06:29.000]  甚至認為自己是宇宙最強的一位
[00:06:29.000 --> 00:06:34.000]  但當我們看到這些人有這樣的思維的時候
[00:06:34.000 --> 00:06:43.000]  往往在他們背後有一份很強烈的自我膨脹自大的心態
[00:06:43.000 --> 00:06:45.000]  不斷推動著這類人的思維
[00:06:45.000 --> 00:06:51.000]  他不但沒有反思 還認為全世界的人都對他不好
[00:06:51.000 --> 00:06:57.000]  但當我們看到一個人能夠承擔一些重要的職位的時候
[00:06:57.000 --> 00:07:01.000]  其實是很視乎那個人有沒有這樣的能力
[00:07:01.000 --> 00:07:06.000]  同樣的觀念在屬靈世界中也在運作中
[00:07:06.000 --> 00:07:10.000]  不只是我認為自己好
[00:07:10.000 --> 00:07:13.000]  那我就可以擔當一些很重要的職位
[00:07:13.000 --> 00:07:17.000]  別人不給我 只不過是別人對我不足
[00:07:17.000 --> 00:07:25.000]  其實在屬靈世界中 同樣的上帝給一個人能夠去承載的恩典
[00:07:25.000 --> 00:07:30.000]  甚至他對上帝的感恩 能夠承載上帝給他多少個祝福
[00:07:30.000 --> 00:07:33.000]  其實都可以有分別的
[00:07:33.000 --> 00:07:37.000]  所以當我們隨著今天我們所看的經文
[00:07:37.000 --> 00:07:42.000]  我們就會看到 當一個人的屬靈生命 甚至他自己的能力
[00:07:42.000 --> 00:07:47.000]  如果沒有一個自我檢整的機制在他裏面
[00:07:47.000 --> 00:07:51.000]  你問這個機制從何而來 我可以很直接的說
[00:07:51.000 --> 00:07:53.000]  這個是上帝所賦予人的
[00:07:53.000 --> 00:07:57.000]  而當一個人沒有這個承載的能力的時候
[00:07:57.000 --> 00:08:03.000]  即是說他自己要求有多高的權責交給他身上
[00:08:03.000 --> 00:08:07.000]  其實最終不單止他做不成這件事
[00:08:07.000 --> 00:08:14.000]  可能甚至為自己招致更多災難性的結果
[00:08:14.000 --> 00:08:19.000]  而今天我們去看的這段經文 就是想說這一點
[00:08:19.000 --> 00:08:25.000]  今天我們去看一下 同樣是上帝的子民
[00:08:25.000 --> 00:08:29.000]  同樣他們領受上帝的教導
[00:08:29.000 --> 00:08:33.000]  同樣他們都好像認識上帝的說話
[00:08:33.000 --> 00:08:37.000]  但是竟然可以塑造出一個截然不同
[00:08:37.000 --> 00:08:41.000]  甚至可以說是走向兩極化的一個狀態
[00:08:41.000 --> 00:08:47.000]  而在這些情況之下 這些人他們的取態是如何呢?
[00:08:47.000 --> 00:08:51.000]  今天我們看這段經文有一個很大的特色
[00:08:51.000 --> 00:08:56.000]  就是我們會看到在裏面所說的參與的人物
[00:08:56.000 --> 00:09:00.000]  其實有很多的 不過說話就只有一批人
[00:09:00.000 --> 00:09:06.000]  這批是什麼人呢?就是在百里行城裏面的眾婦女
[00:09:06.000 --> 00:09:11.000]  我們從這班眾婦女的說話裏面
[00:09:11.000 --> 00:09:15.000]  去看到一個真是上帝來到第四章
[00:09:15.000 --> 00:09:22.000]  將整個高潮 整個路德記的宗旨突顯了出來
[00:09:22.000 --> 00:09:28.000]  上帝究竟如何去揀選一些什麼人可以去承擔他的工作
[00:09:28.000 --> 00:09:33.000]  而不是只是不斷唱好那些人
[00:09:33.000 --> 00:09:38.000]  上帝同時用了一批的人在旁邊去托出
[00:09:38.000 --> 00:09:42.000]  原來當他們沒有這種崇靈生命的勝在能力的人
[00:09:42.000 --> 00:09:44.000]  他們的表現是如何呢?
[00:09:44.000 --> 00:09:47.000]  從而讓我們作為讀者 當我們讀到之後
[00:09:47.000 --> 00:09:50.000]  我們有一個更明白更突顯的反差
[00:09:50.000 --> 00:09:56.000]  使我們能夠準確去掌握到上帝要選用的人
[00:09:56.000 --> 00:09:59.000]  他們被塑造的時候
[00:09:59.000 --> 00:10:04.000]  他們承載上帝所交的責任是有什麼特點
[00:10:04.000 --> 00:10:08.000]  而這批人我們今天所看他們沒有這個特點的時候
[00:10:08.000 --> 00:10:10.000]  他們的表現是如何呢?
