
[00:00:00.000 --> 00:00:09.000]  在今早的崇拜,我們一起繼續思想亞國書的第三個主題
[00:00:09.000 --> 00:00:14.000]  也是最後一個主題了,就是貧窮與富裕
[00:00:14.000 --> 00:00:20.000]  貧窮與富裕這個也是亞國書裡面所強調
[00:00:20.000 --> 00:00:28.000]  但也可以成為我們今天現代生命和所面對的世界一種的演繹
[00:00:28.000 --> 00:00:35.000]  或者我們也聽過不少專家告訴我們
[00:00:35.000 --> 00:00:44.000]  接下來這一年,2023年,我們全球可能會進入一個經濟的嚴冬
[00:00:44.000 --> 00:00:48.000]  我們很相信由現在開始到接下來的一段日子
[00:00:48.000 --> 00:00:55.000]  經濟、財富、這些課題,經常會成為我們很困擾
[00:00:55.000 --> 00:00:59.000]  甚至時常討論的問題,甚至是很埋身的問題
[00:00:59.000 --> 00:01:03.000]  所以在亞國書裡面提到這個主題
[00:01:03.000 --> 00:01:07.000]  亞國書其實真的有五段的聖經,剛才我們讀了兩段
[00:01:07.000 --> 00:01:11.000]  稍後我們會再將其他的跟大家一起思想
[00:01:11.000 --> 00:01:19.000]  五張聖經裡面有五段講到貧窮與富裕肯定是一個很重要的主題
[00:01:19.000 --> 00:01:26.000]  所以我們發覺這個題目其實很有現代,也是當時他們有很大的需要
[00:01:26.000 --> 00:01:32.000]  我們曾經說過,亞國所寫的書信、信徒的背景
[00:01:32.000 --> 00:01:38.000]  基本上是猶太的、耶路撒冷的背景教會
[00:01:38.000 --> 00:01:46.000]  大家如果熟知能傳,你還記得保羅不斷在外邦的教會
[00:01:46.000 --> 00:01:54.000]  或者他的書信裡面提到他要籌款去支援耶路撒冷那些貧窮的教會弟兄
[00:01:54.000 --> 00:02:00.000]  就是這些,所以當時我相信教會裡面很多貧窮人
[00:02:00.000 --> 00:02:05.000]  坦白說,社會裡面也有很多貧窮人,貧富很懸殊
[00:02:05.000 --> 00:02:09.000]  甚至可能會懸殊過我們現在或將來
[00:02:09.000 --> 00:02:15.000]  為什麼呢?因為當時的羅馬世界,有錢的人很少
[00:02:15.000 --> 00:02:22.000]  只屬於那些,比如說貴族,以及那些能夠攀附貴族,做到大生意的人
[00:02:22.000 --> 00:02:28.000]  他們很有錢,有錢的人很厲害,貧窮的人大部分都很窮
[00:02:28.000 --> 00:02:33.000]  教會也是貧富夾雜,大家一起共存的一個地方
[00:02:33.000 --> 00:02:37.000]  就如今天我們教會打開門,什麼人都會進來
[00:02:37.000 --> 00:02:40.000]  所以教會裡面也有貧富,也有富
[00:02:40.000 --> 00:02:45.000]  相處面對這種越來越大的貧富之間的張力和壓力
[00:02:45.000 --> 00:02:50.000]  這個社會這些蓋起來的現象
[00:02:50.000 --> 00:02:57.000]  雅各一一的在他自己的書信裡面去面對和提議
[00:02:57.000 --> 00:03:02.000]  所以今天我們帶著這種心境,聽聽神藉著雅各跟我們說什麼
[00:03:02.000 --> 00:03:07.000]  然後又用在我們面對著這些風浪之中
[00:03:07.000 --> 00:03:10.000]  我相信很有意思
[00:03:10.000 --> 00:03:14.000]  好,我們劈頭就看了,雅各說什麼呢?關於貧富
