
[00:00:00.000 --> 00:00:10.560]  但你記得但爾利書第一和第二章的主角人物都是但爾利
[00:00:10.560 --> 00:00:14.720]  但爾利在第三章的時候是不存在的
[00:00:14.720 --> 00:00:16.960]  但爾利去了哪裡呢?
[00:00:16.960 --> 00:00:19.640]  他可能是出差去了,他是政府官
[00:00:19.640 --> 00:00:22.480]  可能他要出去巡視一些地方
[00:00:22.480 --> 00:00:26.160]  碰巧他不在就發生了一件大事
[00:00:26.160 --> 00:00:30.920]  或者你會問他既然不在他怎麼知道發生了什麼事呢?
[00:00:30.920 --> 00:00:35.080]  他能記得下來在第三章呢?
[00:00:35.080 --> 00:00:39.360]  其實聖經裡面的作者所寫出來的東西
[00:00:39.360 --> 00:00:41.360]  未必一定是親眼看到的
[00:00:41.360 --> 00:00:44.400]  因為聖經的真正作者是聖靈
[00:00:44.400 --> 00:00:46.560]  所以聖靈可以告訴他
[00:00:46.560 --> 00:00:49.280]  比如摩西知道神如何創造天地
[00:00:49.280 --> 00:00:51.440]  所以很多時候他們不在
[00:00:51.440 --> 00:00:54.560]  但他們寫出來都是寫事實的
[00:00:54.560 --> 00:00:56.560]  因為是神告訴他的
[00:00:56.560 --> 00:01:03.080]  這三位朋友第一章都有稍微出現
[00:01:03.080 --> 00:01:05.080]  第二章也有稍微出現
[00:01:05.080 --> 00:01:07.880]  但只是一個配角的角色
[00:01:07.880 --> 00:01:14.640]  我很慶幸這三位朋友能夠在第三章成為主角
[00:01:14.640 --> 00:01:19.800]  讓我們認識這三個人堅守信仰
[00:01:19.800 --> 00:01:22.440]  毫不妥協的那種榜樣
[00:01:22.440 --> 00:01:28.320]  也讓我們知道神是如何來恩代彈以來
[00:01:28.320 --> 00:01:31.040]  像這三個這麼好的朋友
[00:01:31.040 --> 00:01:36.800]  他們真的四個人一起有非常堅定的信仰
[00:01:36.800 --> 00:01:38.800]  所以他們能夠互相鼓勵
[00:01:38.800 --> 00:01:44.200]  我之前說過神所為彈以來所賜給他的恩典
[00:01:44.200 --> 00:01:48.400]  包括有三個朋友在他旁邊來幫助他
[00:01:48.400 --> 00:01:53.960]  所以這三個朋友在第三章之後是沒有再出現過的
[00:01:53.960 --> 00:01:57.040]  我們不知道這三個朋友之後是怎麼樣的
[00:01:57.040 --> 00:01:58.240]  但不要緊
[00:01:58.240 --> 00:02:02.640]  第三章發生這麼大的事
[00:02:02.640 --> 00:02:10.480]  我們已經知道這三位朋友的忠信和勇氣的榜樣
[00:02:10.480 --> 00:02:19.120]  這一章不僅僅是我們看尼泊爾革命沙漠殘暴的狂妄
[00:02:19.120 --> 00:02:28.000]  我們不僅僅是看到三位朋友忠信勇敢和勇氣的表現
[00:02:28.000 --> 00:02:31.120]  我們更加看到神的手在當中
[00:02:31.120 --> 00:02:35.840]  因為在第三章出現了一個很轟動的實跡
[00:02:35.840 --> 00:02:41.160]  在眾目睽睽之下看到這個實跡
[00:02:41.160 --> 00:02:48.560]  所以神的工作我們在《彈以來書》裡面是不能忽略的
[00:02:48.560 --> 00:02:51.880]  我們先來看第一部分
[00:02:51.880 --> 00:02:57.480]  我將這一章的《聖經》三十節分開有六個部分
[00:02:57.480 --> 00:03:05.080]  第一部分在你們的筆記上寫著尼泊爾革命沙皇的狂妄
[00:03:05.080 --> 00:03:08.040]  首先我們先看尼泊爾革命沙
[00:03:08.040 --> 00:03:11.640]  我之前也說過尼泊爾革命沙在《聖經》里
[00:03:11.640 --> 00:03:15.960]  是外邦人的王出現得最多次數
[00:03:15.960 --> 00:03:18.920]  他總共在紐約出現了九十次
