
[00:00:00.000 --> 00:00:14.000]  福音書記載,猶太的領袖問耶穌,誡命中第一是哪一條?
[00:00:14.000 --> 00:00:20.000]  所以他們不是問第一第二,他們只是問第一。
[00:00:20.000 --> 00:00:33.000]  最大的,你知道最大只有一個,今天我們英文常常都改了這個,one of the best,其實不是the best。
[00:00:33.000 --> 00:00:42.000]  但是耶穌的回答的確很清楚,說其次也相仿。
[00:00:42.000 --> 00:00:54.000]  如果其次就好像次要,沒那麼重要才是其次。第一,其次,就是首要、次要。
[00:00:54.000 --> 00:01:12.000]  不是,耶穌說一樣的,兩個的誡命都是第一,都是最大,無分輕重。
[00:01:12.000 --> 00:01:20.000]  只不過耶穌不可能用Night Cam同時兩節聖經一起讀,
[00:01:20.000 --> 00:01:25.000]  雖然他是神的兒子,不過他也不是隨便行無聊的神蹟。
[00:01:25.000 --> 00:01:39.000]  所以他講完了生命記六章四節五節,然後他說,還有一樣那麼重要的,愛人如己。
[00:01:39.000 --> 00:01:56.000]  愛人和愛神是兩條的誡命,是兩個的吩咐,但是主耶穌說是同樣最重要的吩咐。
[00:01:56.000 --> 00:02:08.000]  所以我們要留心,因為我們時時都覺得愛神怎樣都重要過愛人。
[00:02:08.000 --> 00:02:16.000]  當然了,神先行,神第一,所以我們先學習愛神。
[00:02:16.000 --> 00:02:27.000]  愛人還未學好,所以暫時也不懂得怎樣愛人,不過不要緊,我愛神。
[00:02:27.000 --> 00:02:33.000]  新約聖經怎樣說?如果你打開約翰一書,
[00:02:33.000 --> 00:02:45.000]  新約聖經約翰一書第四章第二十節二十一節,
[00:02:45.000 --> 00:02:57.000]  這裡說,人如果說我愛上帝,卻恨他的弟兄,就是說謊話的。
[00:02:57.000 --> 00:03:06.000]  約翰不是說他靈性未夠好,他還可以再學習下去,他已經很愛主了,
[00:03:06.000 --> 00:03:11.000]  不過對人是沒有那麼好,不要緊,慢慢學吧。
[00:03:11.000 --> 00:03:16.000]  先愛神,後愛人,理所當然,天公地道。
[00:03:16.000 --> 00:03:24.000]  不是,約翰很嚴格,他說,這人就是說謊話的。
[00:03:24.000 --> 00:03:36.000]  請問,新約聖經說過,說謊之人的父親是誰?是魔鬼。
[00:03:36.000 --> 00:03:45.000]  所以這樣的人仍然未屬神的兒女,這樣就很嚴重了。
[00:03:45.000 --> 00:03:54.000]  原來只是說愛上帝而不愛人,他未屬於上帝的兒女,
[00:03:54.000 --> 00:04:04.000]  他是說謊話的,說謊之人的父親不是上帝,是撒旦,是魔鬼。
[00:04:04.000 --> 00:04:16.000]  約翰繼續說下去,他說,你不愛他所看見的弟兄,怎能夠愛看不見的上帝?
[00:04:16.000 --> 00:04:29.000]  看得見的弟兄,當然包括姐妹,身邊的人,愛人如己,愛鄰舍如同自己。
[00:04:29.000 --> 00:04:38.000]  愛上帝也當愛弟兄,這是約翰的結論。
[00:04:38.000 --> 00:04:48.000]  所以耶穌說最大的誡明,第一,他說兩樣,愛神,愛人。
[00:04:48.000 --> 00:04:57.000]  約翰聽了主的教導,他說,你只是說愛神,你不愛人,
[00:04:57.000 --> 00:05:02.000]  這樣其實未屬神的兒女。
[00:05:02.000 --> 00:05:17.000]  愛神的也當愛弟兄,不愛所看見的弟兄,就不能愛沒有看見的上帝。
