
[00:00:00.000 --> 00:00:05.000]  我們多謝敬拜小組為我們預備這麼美好的詩歌
[00:00:05.000 --> 00:00:10.000]  我們需要主耶穌基督復活的大能
[00:00:10.000 --> 00:00:14.000]  在我們這個身體裏面彰顯出來
[00:00:14.000 --> 00:00:19.000]  否則的話 人性裏面 幽暗裏面
[00:00:19.000 --> 00:00:21.000]  會將我們敗壞
[00:00:21.000 --> 00:00:25.000]  教會這幾個禮拜的主題
[00:00:26.000 --> 00:00:30.000]  是講述到耶穌基督復活之後
[00:00:30.000 --> 00:00:32.000]  所講出來的話語
[00:00:32.000 --> 00:00:38.000]  我們對耶穌基督所講的十加七言都比較熟悉
[00:00:38.000 --> 00:00:40.000]  每一次的壽難節
[00:00:40.000 --> 00:00:44.000]  我們經常都會來到是透過施班
[00:00:44.000 --> 00:00:46.000]  透過宣讀神的話語
[00:00:46.000 --> 00:00:49.000]  將十加七言來到宣講出來
[00:00:49.000 --> 00:00:52.000]  認識到上帝祂給我們的慈愛
[00:00:53.000 --> 00:00:56.000]  耶穌基督為我們所成就的救恩
[00:00:56.000 --> 00:01:03.000]  有時耶穌基督復活之後所講出來的這番話
[00:01:03.000 --> 00:01:06.000]  我們一般稱為復活七言
[00:01:06.000 --> 00:01:11.000]  記載在約翰福音的二十章和二十一章裏面
[00:01:11.000 --> 00:01:14.000]  有時我們比較上是忽略了 沒注意
[00:01:14.000 --> 00:01:18.000]  主持教會呢 提出來
[00:01:18.000 --> 00:01:20.000]  讓我們認識到耶穌基督復活的大能
[00:01:21.000 --> 00:01:26.000]  對我們現在的生活 對教會的使命的重要
[00:01:26.000 --> 00:01:29.000]  十加七言的第一言
[00:01:29.000 --> 00:01:33.000]  當時耶穌基督復活之後向門徒顯現
[00:01:33.000 --> 00:01:36.000]  第一句說話就說 願你們平安
[00:01:36.000 --> 00:01:39.000]  耶穌基督將平安帶給世人
[00:01:39.000 --> 00:01:43.000]  第二言就是耶穌基督復活之後
[00:01:43.000 --> 00:01:49.000]  講到父如何差遣他們來到世上完成救恩
[00:01:50.000 --> 00:01:54.000]  同樣的 照樣的 他差遣我們來到世界裏面
[00:01:54.000 --> 00:01:59.000]  在世界每一個有需要的角落 在黑暗的地方裏面
[00:01:59.000 --> 00:02:04.000]  來為主作見證 做綱 做鹽 繼續的見證他
[00:02:04.000 --> 00:02:10.000]  今天我們一齊來思想復活七言的第三言
[00:02:10.000 --> 00:02:13.000]  當時耶穌基督講完這番說話
[00:02:13.000 --> 00:02:17.000]  在約翰福音二十章二十二節這樣說
[00:02:18.000 --> 00:02:24.000]  他就吹一口氣 說你們受聖靈
[00:02:24.000 --> 00:02:29.000]  你們赦免誰的罪 誰的罪就赦免了
[00:02:29.000 --> 00:02:34.000]  你們留下誰的罪 誰的罪就留下了
