
[00:00:00.000 --> 00:00:05.500]  學生最喜歡這段聖經
[00:00:05.500 --> 00:00:07.800]  讀書多身體疲倦
[00:00:07.800 --> 00:00:12.300]  所以我還是先去看電視打機
[00:00:12.300 --> 00:00:16.300]  大家千萬不要說聽到多身體疲倦
[00:00:16.300 --> 00:00:18.300]  所以這是睡覺的時候
[00:00:18.300 --> 00:00:21.800]  所樂門王不是這個意思
[00:00:21.800 --> 00:00:22.800]  不要解錯聖經
[00:00:22.800 --> 00:00:25.300]  我們一起同心低頭和祈禱
[00:00:25.300 --> 00:00:26.800]  天父我們再次感謝你
[00:00:26.800 --> 00:00:29.300]  給你寶貴華爾街環球的生命指引
[00:00:29.300 --> 00:00:35.300]  求你藉著你的話語提醒、勸勉、教導、督責、安慰
[00:00:35.300 --> 00:00:36.300]  警告我們
[00:00:36.300 --> 00:00:38.300]  叫我們能夠容得下你的話語
[00:00:38.300 --> 00:00:40.300]  在我們的生命中敬畏你
[00:00:40.300 --> 00:00:43.300]  奉耶穌名求,阿們
[00:00:43.300 --> 00:00:46.300]  那時候有一個年輕人
[00:00:46.300 --> 00:00:47.300]  很聰明
[00:00:47.300 --> 00:00:49.300]  讀書很厲害
[00:00:49.300 --> 00:00:52.300]  大學畢業後他就進了醫學院讀書
[00:00:52.300 --> 00:00:56.300]  每次教授說話都很留心聽
[00:00:56.300 --> 00:00:57.300]  不僅留心聽
[00:00:57.300 --> 00:00:58.800]  還要檢查教授說話
[00:00:58.800 --> 00:01:00.300]  說話是否正確
[00:01:00.300 --> 00:01:06.300]  有一次他預先讀了教科書
[00:01:06.300 --> 00:01:08.300]  再聽教授說話的時候
[00:01:08.300 --> 00:01:10.300]  咦!有出入
[00:01:10.300 --> 00:01:12.300]  下課後就去找教授
[00:01:12.300 --> 00:01:14.300]  教授,教授
[00:01:14.300 --> 00:01:16.300]  我有些事情不明白想問問你
[00:01:16.300 --> 00:01:18.300]  教授說有什麼事?
[00:01:18.300 --> 00:01:20.300]  你剛才所說的東西
[00:01:20.300 --> 00:01:22.300]  和書中所看的東西
[00:01:22.300 --> 00:01:25.300]  有出入,不對
[00:01:25.300 --> 00:01:27.300]  不知道那本書是否正確
[00:01:27.300 --> 00:01:31.300]  還是你說的話是正確
[00:01:31.300 --> 00:01:33.300]  教授就試了說
[00:01:33.300 --> 00:01:35.300]  你拿本書給我看看
[00:01:35.300 --> 00:01:37.300]  就拿了本書來
[00:01:37.300 --> 00:01:40.300]  在哪裡你覺得有出入
[00:01:40.300 --> 00:01:42.300]  於是他就看到
[00:01:42.300 --> 00:01:46.300]  121頁,122頁這樣說
[00:01:46.300 --> 00:01:48.300]  你剛才這樣說
[00:01:48.300 --> 00:01:52.300]  我就覺得好像有出入
[00:01:52.300 --> 00:01:54.300]  教授聽完之後笑笑口
[00:01:54.300 --> 00:01:55.300]  你給我那本書
[00:01:55.300 --> 00:01:57.300]  然後就將那本書
[00:01:57.300 --> 00:01:59.300]  121頁和122頁撕下來
[00:01:59.300 --> 00:02:01.300]  然後就給他
[00:02:01.300 --> 00:02:03.300]  笑笑口跟學生說
[00:02:03.300 --> 00:02:05.300]  現在沒有衝突了
[00:02:05.300 --> 00:02:09.300]  中國人有一句說話
[00:02:09.300 --> 00:02:11.300]  盡信書不如無書
[00:02:11.300 --> 00:02:13.300]  可能這個教授
[00:02:13.300 --> 00:02:17.300]  聽了中國人的一句說話
[00:02:17.300 --> 00:02:19.300]  所以就將書中撕了兩頁
[00:02:19.300 --> 00:02:21.300]  就說現在沒有衝突了
[00:02:21.300 --> 00:02:24.300]  我想一下牧師可不可以像教授那樣
[00:02:24.300 --> 00:02:26.300]  絕對不可以
[00:02:26.300 --> 00:02:28.300]  如果大家聽完我講道的時候
[00:02:28.300 --> 00:02:30.300]  拿本聖經來
[00:02:30.300 --> 00:02:33.300]  牧師你剛才所說的和這裡有衝突
[00:02:33.300 --> 00:02:35.300]  你給我看看哪裡有衝突
[00:02:35.300 --> 00:02:38.300]  那就是傳道書第十二章所說
[00:02:38.300 --> 00:02:44.300]  讀書多就是身體疲倦
[00:02:44.300 --> 00:02:46.300]  那就有衝突
[00:02:46.300 --> 00:02:48.300]  我越讀越精神
[00:02:48.300 --> 00:02:50.300]  我就撕了它
[00:02:50.300 --> 00:02:52.300]  行不行呢?不行
[00:02:52.300 --> 00:02:55.300]  為什麼做牧師沒有這樣的權利
[00:02:55.300 --> 00:02:57.300]  將教科書撕了呢?
[00:02:57.300 --> 00:02:59.300]  還是將聖經撕了呢?
[00:02:59.300 --> 00:03:00.300]  很簡單的一件事
[00:03:00.300 --> 00:03:04.300]  因為聖經和醫學的教科書是絕對不同的
[00:03:04.300 --> 00:03:05.300]  聖經是什麼?
[00:03:05.300 --> 00:03:08.300]  聖經說明聖經都是神所默示的
[00:03:08.300 --> 00:03:10.300]  於教訓督澤
