
[00:00:00.000 --> 00:00:06.000]  我想和大家今天分享的是聖靈的真理
[00:00:06.000 --> 00:00:09.580]  所以我們一起打開剛才我們所讀的聖經
[00:00:09.580 --> 00:00:14.500]  今天我們特別集中看聖經的羅馬書第八章
[00:00:14.500 --> 00:00:17.500]  羅馬書的第八章
[00:00:17.500 --> 00:00:21.000]  很重要的一段聖經關於聖靈的真理
[00:00:21.000 --> 00:00:25.500]  是我們新約的唐用聖經170頁
[00:00:25.500 --> 00:00:26.500]  大家可以打開
[00:00:26.500 --> 00:00:29.500]  因為我們今天特別研究這段聖經
[00:00:29.500 --> 00:00:34.500]  羅馬書第八章第一節到第三節
[00:00:34.500 --> 00:00:37.500]  如果留心看又明白的話
[00:00:37.500 --> 00:00:41.500]  有兩個非常重要的宣佈
[00:00:41.500 --> 00:00:47.500]  這兩個宣佈是通常在撒旦和魔鬼
[00:00:47.500 --> 00:00:51.500]  在我們心裡扭曲了的事實的宣佈
[00:00:51.500 --> 00:00:53.500]  第一個宣佈第一節
[00:00:53.500 --> 00:01:01.500]  就是如今那些在基督裡面的人就不會再被定罪了
[00:01:01.500 --> 00:01:03.500]  這個很重要的宣佈
[00:01:03.500 --> 00:01:05.500]  只要你是回歸基督的
[00:01:05.500 --> 00:01:07.500]  無論你犯了什麼罪
[00:01:07.500 --> 00:01:11.500]  無論你以為你的罪惡多麼深重
[00:01:11.500 --> 00:01:13.500]  沒有人可以饒恕
[00:01:13.500 --> 00:01:15.500]  甚至你自己都不饒恕的話
[00:01:15.500 --> 00:01:18.500]  在基督裡面都可以被饒恕
[00:01:18.500 --> 00:01:22.500]  千萬不要被魔鬼撒旦來迷惑你
[00:01:22.500 --> 00:01:25.500]  來扭曲這個事實
[00:01:25.500 --> 00:01:29.500]  沒有一樣罪神不可以饒恕的
[00:01:29.500 --> 00:01:31.500]  這個不是我們今天的重點
[00:01:31.500 --> 00:01:34.500]  今天我們講聖靈第二和第三節講聖靈
[00:01:34.500 --> 00:01:36.500]  第二個很重要的宣佈
[00:01:36.500 --> 00:01:40.500]  就是因為那個次生命聖靈的律
[00:01:40.500 --> 00:01:44.500]  是釋放了我們
[00:01:44.500 --> 00:01:47.500]  這個釋放就是說在你和我
[00:01:47.500 --> 00:01:50.500]  日常的生活裡面作為基督徒
[00:01:50.500 --> 00:01:52.500]  有很多的基督徒感覺到
[00:01:52.500 --> 00:01:56.500]  和仍然經歷著罪的捆綁
[00:01:56.500 --> 00:01:59.500]  覺得自己沒有辦法被釋放
[00:01:59.500 --> 00:02:01.500]  但是聖經有一個很重要的宣佈
[00:02:01.500 --> 00:02:03.500]  你不要被撒旦騙你
