
[00:00:00.000 --> 00:00:04.000]  最後一堂是最難說的
[00:00:04.000 --> 00:00:06.000]  為什麼時間過得這麼快呢?
[00:00:06.000 --> 00:00:10.000]  可不可以停了一個鐘,讓我可以盡情地說
[00:00:10.000 --> 00:00:18.000]  今早我起床,打開電腦重溫我跟傳福堂過去的交往
[00:00:18.000 --> 00:00:22.000]  總共是經過了七年的時間
[00:00:22.000 --> 00:00:27.000]  大家可能沒怎麼記,有沒有人第一次見我?
[00:00:27.000 --> 00:00:34.000]  有沒有?只有幾位,是你們的幸福
[00:00:34.000 --> 00:00:36.000]  遲些見我吧
[00:00:36.000 --> 00:00:41.000]  原來我計算過,我由2010年5月第一次在傳福堂講道
[00:00:41.000 --> 00:00:47.000]  我總共講了33堂,算上前兩天的4堂
[00:00:47.000 --> 00:00:50.000]  專題講了15個
[00:00:50.000 --> 00:00:54.000]  在講道當中,如果在這裡久了,第一年來就會記得
[00:00:54.000 --> 00:00:58.000]  我講過有彼得前書,我講過約翰夫音的《我時》
[00:00:58.000 --> 00:01:02.000]  講過鑒古詩金的人物,講過約翰一書
[00:01:02.000 --> 00:01:05.000]  講過三周年培靈會的一生何求
[00:01:05.000 --> 00:01:08.000]  二人同行三心齊法
[00:01:08.000 --> 00:01:14.000]  2016年去年的培靈會是同心合意見神家
[00:01:14.000 --> 00:01:18.000]  今年培靈會就是與神同行人生路
[00:01:18.000 --> 00:01:22.000]  講過15個不同的專題
[00:01:22.000 --> 00:01:25.000]  侍奉人員退休會講完,我講了三次
[00:01:25.000 --> 00:01:28.000]  第一次是侍奉者的內與外
[00:01:28.000 --> 00:01:30.000]  第二次是無愧工人
[00:01:30.000 --> 00:01:33.000]  第三次是星期六早上的精忠報主
[00:01:33.000 --> 00:01:37.000]  由岳飛開始講到我們教會的服事
[00:01:37.000 --> 00:01:40.000]  然後我講過小組組長訓練,小組茶經訓練
[00:01:40.000 --> 00:01:44.000]  一切由零開始,十部經法,團體的再思,領袖的再思
[00:01:44.000 --> 00:01:46.000]  我發現我都很多東西要講
[00:01:46.000 --> 00:01:49.000]  但我發現很開心跟大家服事
[00:01:49.000 --> 00:01:51.000]  所以再一次多謝大家
[00:01:51.000 --> 00:01:53.000]  今年是我最後一次來
[00:01:53.000 --> 00:01:56.000]  因為五月來過,今生年邊
[00:01:56.000 --> 00:01:59.000]  這次培靈會,下年沒記錯的話
[00:01:59.000 --> 00:02:02.000]  容牧師應該約了我九月來
[00:02:02.000 --> 00:02:06.000]  我提醒大家,九月是我生日那個月
[00:02:06.000 --> 00:02:09.000]  不過好像是生完日之後才來
[00:02:09.000 --> 00:02:12.000]  但無論如何,又大一歲了
[00:02:12.000 --> 00:02:15.000]  再一次提醒大家,手上這本大綱
[00:02:15.000 --> 00:02:21.000]  其實有兩個版本發給容牧師
[00:02:21.000 --> 00:02:27.000]  一個是Full Version,沒有縮減的
[00:02:27.000 --> 00:02:29.000]  另外一個是縮減版
[00:02:29.000 --> 00:02:32.000]  因為我用很多經文,創作利民生五卷書
[00:02:32.000 --> 00:02:35.000]  你要講通講透,真的不容易
[00:02:35.000 --> 00:02:40.000]  雖然我看了很久,我就將裡面的一些重點和大綱跟大家分享
[00:02:40.000 --> 00:02:43.000]  希望大家留意其中一個重點
[00:02:43.000 --> 00:02:45.000]  因為我講不完
[00:02:45.000 --> 00:02:47.000]  所以我就問容牧師
[00:02:47.000 --> 00:02:54.000]  你要一個精簡版,還是Full Version的整體版
[00:02:54.000 --> 00:02:56.000]  他就很好,回覆我
[00:02:56.000 --> 00:03:00.000]  他說我們教會決定是Full Version給弟兄姊妹
[00:03:00.000 --> 00:03:04.000]  我很開心,三十九頁的筆記超過一萬字
[00:03:04.000 --> 00:03:06.000]  裡面的經文都是選出來的
[00:03:06.000 --> 00:03:08.000]  就highlight了一些字
[00:03:08.000 --> 00:03:12.000]  這本書我再勸大家千萬不要回家就放在一邊
[00:03:12.000 --> 00:03:14.000]  你這樣做我會很傷心
[00:03:14.000 --> 00:03:17.000]  你知道我很會哭,所以你不要告訴我
[00:03:17.000 --> 00:03:20.000]  你又不知道放在哪裡,我真的很難過
[00:03:20.000 --> 00:03:22.000]  希望大家聽完這一堂
