
[00:00:00.000 --> 00:00:04.000]  各位電影節目平安
[00:00:04.000 --> 00:00:08.000]  今天我們沒有Wi-Fi
[00:00:08.000 --> 00:00:12.000]  所以我也連接不到電腦
[00:00:12.000 --> 00:00:16.000]  看我記性去到哪裏
[00:00:16.000 --> 00:00:20.000]  所以麻煩Ethan幫我們跟進網絡事件
[00:00:20.000 --> 00:00:24.000]  下星期就交給你了
[00:00:24.000 --> 00:00:28.000]  大家看這個題目 如果上次大家有去過Bridge
[00:00:28.000 --> 00:00:32.000]  我朋友又來了這裏 題目是一樣的
[00:00:32.000 --> 00:00:36.000]  內容有些不同 在現場的你
[00:00:36.000 --> 00:00:42.000]  認不認識甚麼叫內卷 甚麼叫躺平呢
[00:00:42.000 --> 00:00:46.000]  很多人轉頭問 內卷是甚麼意思呢
[00:00:46.000 --> 00:00:50.000]  躺平是甚麼意思呢 躺平就是這樣的
[00:00:50.000 --> 00:00:55.000]  如果你做太太的你 老公經常在家躺平
[00:00:55.000 --> 00:00:59.000]  你開心嗎 你很忙碌 上班回家
[00:00:59.000 --> 00:01:03.000]  很忙碌煮飯的時候 你又見到他躺平
[00:01:03.000 --> 00:01:07.000]  到你想照顧兒子的時候 他又躺平
[00:01:07.000 --> 00:01:11.000]  你都應該不太開心 內卷又是甚麼意思呢
[00:01:11.000 --> 00:01:15.000]  這個應該是簡筆字 所以沒有了手邊
[00:01:15.000 --> 00:01:19.000]  但內地一個很盛行的詞語
[00:01:19.000 --> 00:01:23.000]  所以那次我一說 陳牧師說我兩三年前已經聽了
[00:01:23.000 --> 00:01:28.000]  我上星期六才第一次聽 甚麼叫內卷
[00:01:28.000 --> 00:01:32.000]  不過有些人告訴我 最近看的電視劇
[00:01:32.000 --> 00:01:36.000]  經常都會說內卷 甚麼叫內卷呢
[00:01:36.000 --> 00:01:40.000]  英文是Involution 究竟是甚麼意思呢
[00:01:40.000 --> 00:01:44.000]  大家認不認識這條數式 剛才Anson說 人們認識嗎
[00:01:44.000 --> 00:01:48.000]  然後他說 你認識嗎 我說我都不認識
[00:01:48.000 --> 00:01:52.000]  我昨晚問Bruce Bruce我希望沒有說錯
[00:01:52.000 --> 00:01:58.000]  內卷原來可以用一條數式 所以現在如果你是在聽Johnson的YouTube頻道
[00:01:58.000 --> 00:02:02.000]  你就可以進來我們教會的網址 看PowerPoint
[00:02:02.000 --> 00:02:08.000]  你會看到第三行 它是Function of X
[00:02:08.000 --> 00:02:15.000]  然後是Function of X 即是甚麼呢
[00:02:15.000 --> 00:02:22.000]  即是說原來當你做了一些事 到你再做多一點
[00:02:22.000 --> 00:02:27.000]  就等於沒有做過 嘩 好像很完美
[00:02:27.000 --> 00:02:31.000]  我稍後會用一些時間去解釋這條數學公式
[00:02:31.000 --> 00:02:35.000]  你看看 中間有老闆 老闆在看
[00:02:35.000 --> 00:02:40.000]  看你公司是否在內卷 還是不是
[00:02:40.000 --> 00:02:46.000]  或者大家一起幫我分析一下 穆因究竟是內卷還是不是
[00:02:46.000 --> 00:02:51.000]  試試看 內卷躺平很多時候人們會一起說
[00:02:51.000 --> 00:02:55.000]  但我想先和大家去想一件事
[00:02:55.000 --> 00:02:59.000]  就是我這幾個星期不斷去想這件事是甚麼呢
[00:02:59.000 --> 00:03:07.000]  其實這個是教會 我想問有甚麼會令到一間教會是教會
[00:03:07.000 --> 00:03:12.000]  或者沒有了甚麼就覺得我不是回到教會
[00:03:12.000 --> 00:03:17.000]  我們想想 這個是不是教會呢
[00:03:17.000 --> 00:03:20.000]  不是 日新說不是
[00:03:20.000 --> 00:03:26.000]  大家可以說 甚麼是沒有了就不是教會
[00:03:26.000 --> 00:03:30.000]  信徒 沒了信徒就不是教會
[00:03:30.000 --> 00:03:37.000]  還有呢 沒了神 但神是無處不在
[00:03:37.000 --> 00:03:41.000]  還有甚麼呢 十字架
[00:03:41.000 --> 00:03:44.000]  我上星期在The Bridge有一個未信的朋友
[00:03:44.000 --> 00:03:48.000]  很開心 我星期六講完兩個講座 他未信的
[00:03:48.000 --> 00:03:51.000]  他星期日就來了The Bridge
[00:03:51.000 --> 00:03:56.000]  他第一句就說沒有十字架 就不是教會
[00:03:56.000 --> 00:04:00.000]  我們第一次去看場的時候
[00:04:00.000 --> 00:04:05.000]  一班弟兄姊妹進去看就說 這裡做教會?
[00:04:05.000 --> 00:04:09.000]  是一個貨倉來的 很多雜物
[00:04:09.000 --> 00:04:13.000]  我就說我最多搬走雜物 盡搬
[00:04:13.000 --> 00:04:19.000]  好在我們有個報警板 大家見到那個十字架嗎
[00:04:19.000 --> 00:04:26.000]  有了十字架會不會自動那個建築物成為教會呢
[00:04:26.000 --> 00:04:33.000]  我們就想想 有了十字架是不是自動那個建築物就成為教會呢
[00:04:33.000 --> 00:04:36.000]  然後我們盡量排椅子
[00:04:36.000 --> 00:04:42.000]  準備在星期四晚上去做彩排
[00:04:42.000 --> 00:04:47.000]  很感恩 上星期日有七十多人出席
[00:04:47.000 --> 00:04:53.000]  裡面有很多是未信 有很多是停了很久沒有實體崇拜
[00:04:53.000 --> 00:04:57.000]  也有很多是停了侍奉 然後再侍奉
[00:04:57.000 --> 00:05:01.000]  所以那天見到一幅很美麗的圖畫
[00:05:01.000 --> 00:05:07.000]  這個是不是教會呢 大家知不知道在哪裡
[00:05:07.000 --> 00:05:13.000]  是Richmond 那個教堂 很漂亮的
[00:05:13.000 --> 00:05:17.000]  上年九月九號我就幫這對新人做了正婚
[00:05:17.000 --> 00:05:21.000]  那次是我人生第一次做正婚 所以大家都笑得很開心
[00:05:21.000 --> 00:05:25.000]  剛剛就做完一次正婚了
[00:05:25.000 --> 00:05:29.000]  那這裡是不是教會呢
[00:05:29.000 --> 00:05:32.000]  這個建築物是不是教會呢
[00:05:32.000 --> 00:05:36.000]  你找到十字架嗎 找到的
[00:05:36.000 --> 00:05:40.000]  我不是想大家不開胃 找不到一張照片就看到十字架
[00:05:40.000 --> 00:05:43.000]  不要誤會 不要影響大家愛言的食慾
[00:05:43.000 --> 00:05:47.000]  這裡有十字架的 但這裡是不是教會呢
[00:05:47.000 --> 00:05:52.000]  照我所知這個建築物是沒有聚會的
[00:05:52.000 --> 00:05:57.000]  照我所知這個建築物是可以讓人去訂婚禮的
[00:05:57.000 --> 00:06:02.000]  照我所知這個建築物就算你是不是信耶穌都可以讓你訂的
[00:06:02.000 --> 00:06:08.000]  那這裡究竟是不是教會呢 剛才Mineral Chapel那裡究竟是不是呢
[00:06:08.000 --> 00:06:16.000]  而在馬太福音16:18那裡 耶穌說我要將我的教會建造在這個盆石上
[00:06:16.000 --> 00:06:20.000]  陰間的權柄不能勝過他
[00:06:20.000 --> 00:06:24.000]  教會的希臘文是Ekiseia
[00:06:24.000 --> 00:06:30.000]  Ekiseia就是Church或者Assembly
[00:06:30.000 --> 00:06:33.000]  就是一個聚集的地方
[00:06:33.000 --> 00:06:37.000]  這個位置很漂亮 我不是故意的
[00:06:37.000 --> 00:06:40.000]  我先拿回前面的照片 證明我不是故意的
[00:06:40.000 --> 00:06:45.000]  可以解Assembly或者Congregation或者In Every Church
[00:06:45.000 --> 00:06:52.000]  可以是一個建築物 但更加重要的是一群人
[00:06:52.000 --> 00:06:56.000]  所以剛才大家說得對 一群信徒走在一起
[00:06:56.000 --> 00:07:02.000]  一群信徒是被呼召的 被召喚出來的
[00:07:02.000 --> 00:07:05.000]  所以提摩太后書一章九節 她說神救了我們
[00:07:05.000 --> 00:07:09.000]  用一個神聖聖召去召喚我們
[00:07:09.000 --> 00:07:11.000]  不是按我們的行為
[00:07:11.000 --> 00:07:16.000]  不是靠我們有什麼令到上帝不肯找我們
[00:07:16.000 --> 00:07:20.000]  而是按他的旨意和因典
[00:07:20.000 --> 00:07:25.000]  這個因典是萬古之先在耶穌基督裡面賜給我們
