
[00:00:00.000 --> 00:00:02.500]  按過去的經驗
[00:00:02.500 --> 00:00:09.780]  一個中至大型的股災大概需要半年至一年
[00:00:09.780 --> 00:00:15.180]  有些嚴重的可能需要兩年的時間才可以復原
[00:00:15.180 --> 00:00:21.100]  香港自九七年十月開始的股災
[00:00:21.100 --> 00:00:23.900]  無論從深度至幅度
[00:00:23.900 --> 00:00:28.500]  絕對可以說是一個中型以上的股災
[00:00:28.500 --> 00:00:32.300]  從深度來說
[00:00:32.300 --> 00:00:40.500]  我們的股市上下的差點是去到八千零四十四點
[00:00:40.500 --> 00:00:45.100]  而幅度不單單是香港這個地方
[00:00:45.100 --> 00:00:48.100]  全球所有重要的市場
[00:00:48.100 --> 00:00:50.100]  無一倖免
[00:00:50.100 --> 00:00:55.900]  所以這個股災絕對是一個中型以上的股災
[00:00:55.900 --> 00:01:02.700]  現在的問題是兩年未來的復原期
[00:01:02.700 --> 00:01:06.900]  會不會是我們的經濟的冰河期呢
[00:01:06.900 --> 00:01:10.500]  如果這個冷凍期過了之後
[00:01:10.500 --> 00:01:15.300]  我們回到以前的舊世界 是不是呢
[00:01:15.300 --> 00:01:18.100]  等於一切如常
[00:01:18.100 --> 00:01:23.500]  就好像九七年十月之前那種興旺局面
[00:01:23.500 --> 00:01:25.500]  會不會是這樣呢
[00:01:25.500 --> 00:01:35.100]  或者我們更加需要去研究的
[00:01:35.100 --> 00:01:37.900]  就是說現在的經濟低迷
[00:01:37.900 --> 00:01:44.700]  其實正是表明我們正在經歷一場結構性的改變
[00:01:44.700 --> 00:01:48.500]  以致這個低迷期過了之後
[00:01:48.500 --> 00:01:51.500]  我們不是回到舊有的世界
[00:01:51.500 --> 00:01:54.100]  而是進入一個新的世界
[00:01:54.100 --> 00:01:59.500]  經濟的社會是按著新的秩序來運作的
[00:01:59.500 --> 00:02:04.900]  其實美國格林斯邦說我們全球面對的
[00:02:04.900 --> 00:02:08.700]  是一個二十一世紀的新金融體系
[00:02:08.700 --> 00:02:12.500]  他說的正是這樣的一回事
[00:02:12.500 --> 00:02:14.900]  現在我們的問題只是說
[00:02:14.900 --> 00:02:19.300]  沒有人從來沒有人知道這個新秩序
[00:02:19.300 --> 00:02:21.100]  到底性質是怎樣的
[00:02:21.100 --> 00:02:23.700]  它運作的規則又是怎樣的
[00:02:23.700 --> 00:02:25.700]  因為新秩序就是新秩序
[00:02:25.700 --> 00:02:27.700]  沒有人經歷過
[00:02:27.700 --> 00:02:30.700]  更加沒有人研究過
[00:02:30.700 --> 00:02:34.500]  如果你有留意香港的財經新聞
[00:02:34.500 --> 00:02:37.900]  你會發覺常常只有事後孔明
[00:02:37.900 --> 00:02:40.900]  事前亂說 事後孔明
[00:02:40.900 --> 00:02:45.700]  很多事情是事前完全沒有辦法預測的
[00:02:45.700 --> 00:02:47.900]  譬如說熱錢湧到
[00:02:47.900 --> 00:02:50.900]  湧到之後我們就告訴人家熱錢湧到
[00:02:50.900 --> 00:02:53.100]  但是湧到之後我們知道之後
[00:02:53.100 --> 00:02:56.100]  已經其實是明日黃花了
[00:02:56.100 --> 00:03:00.900]  我們沒有一個有這種第一手的資訊
[00:03:00.900 --> 00:03:05.100]  以致我們能夠保住我們的投資的本
[00:03:05.100 --> 00:03:08.100]  我就用一個很簡單的例子
[00:03:08.100 --> 00:03:11.100]  今天假如大家有看報紙
[00:03:11.100 --> 00:03:13.100]  你可能在很多的報紙
[00:03:13.100 --> 00:03:16.100]  今天的財經新聞
[00:03:16.100 --> 00:03:20.100]  你都會讀到一個香港很有名的一個基金經理
[00:03:20.100 --> 00:03:22.100]  或者是一個董事
[00:03:22.100 --> 00:03:26.100]  他說我們在八千八百點是阻力極大
[00:03:26.100 --> 00:03:27.100]  過不了的
[00:03:27.100 --> 00:03:33.100]  另外一個更加是一個有名的一個機構的發言
[00:03:33.100 --> 00:03:36.100]  他說我們在這一季的升勢
[00:03:36.100 --> 00:03:38.100]  下一個阻力位
[00:03:38.100 --> 00:03:41.100]  應該就是七月初那個高位
[00:03:41.100 --> 00:03:44.100]  就是八八六六點
[00:03:44.100 --> 00:03:47.100]  但是大家知不知道今天的收市是多少
[00:03:47.100 --> 00:03:50.100]  八九九零點
[00:03:50.100 --> 00:03:53.100]  這個這麼簡單的事例
[00:03:53.100 --> 00:03:59.100]  可以解釋了我們過去的財經新聞給我們的
[00:03:59.100 --> 00:04:01.100]  有時候你會懷疑
[00:04:01.100 --> 00:04:05.100]  他們到底是不明白那個市場
[00:04:05.100 --> 00:04:08.100]  資訊是遲一步
