
[00:00:00.000 --> 00:00:05.000]  各位兄姊妹 祝你平安
[00:00:05.000 --> 00:00:08.000]  多謝曾牧師的邀請
[00:00:08.000 --> 00:00:10.000]  讓我有機會
[00:00:10.000 --> 00:00:13.000]  今天中樹主日
[00:00:13.000 --> 00:00:17.000]  大家知道耶穌騎路進耶路撒冷城
[00:00:17.000 --> 00:00:21.000]  是復活節前的一個主日
[00:00:21.000 --> 00:00:23.000]  能夠來到大家當中
[00:00:23.000 --> 00:00:28.000]  一同參加聖餐的崇拜
[00:00:28.000 --> 00:00:30.000]  如果我沒有記錯
[00:00:30.000 --> 00:00:35.000]  宣道會很少聖餐是要走出來領的
[00:00:35.000 --> 00:00:38.000]  你有沒有印象
[00:00:38.000 --> 00:00:41.000]  很重要的
[00:00:41.000 --> 00:00:44.000]  如果你去聖公會
[00:00:44.000 --> 00:00:47.000]  還要是牧師一個人派給你
[00:00:47.000 --> 00:00:49.000]  他派給你的時候
[00:00:49.000 --> 00:00:51.000]  他講你的名字
[00:00:51.000 --> 00:00:54.000]  是呀 很感動的
[00:00:54.000 --> 00:00:56.000]  很浪費時間
[00:00:56.000 --> 00:00:59.000]  不是的 那段時間在神的面前
[00:00:59.000 --> 00:01:03.000]  難得專心安靜
[00:01:03.000 --> 00:01:05.000]  感謝主
[00:01:05.000 --> 00:01:09.000]  你們今年的主題
[00:01:09.000 --> 00:01:10.000]  記得吧
[00:01:10.000 --> 00:01:14.000]  已經過了三個半月
[00:01:14.000 --> 00:01:17.000]  懷抱報道初心
[00:01:17.000 --> 00:01:18.000]  接著呢
[00:01:18.000 --> 00:01:21.000]  福音遍及社群
[00:01:21.000 --> 00:01:24.000]  使徒行傳的金句
[00:01:24.000 --> 00:01:28.000]  我相信宣道會的弟兄姊妹
[00:01:28.000 --> 00:01:31.000]  一定滾瓜爛熟
[00:01:31.000 --> 00:01:33.000]  聖靈降臨
[00:01:33.000 --> 00:01:35.000]  得著能力
[00:01:35.000 --> 00:01:38.000]  從耶路撒冷直到地極
[00:01:38.000 --> 00:01:42.000]  作主的見證
[00:01:42.000 --> 00:01:47.000]  其實這句話不是耶穌本來準備講的
[00:01:47.000 --> 00:01:50.000]  所以我們由第六節開始讀起
[00:01:50.000 --> 00:01:56.000]  就明白「但」的連接詞開始
[00:01:56.000 --> 00:01:58.000]  門徒問耶穌
[00:01:58.000 --> 00:02:02.000]  你復興以色列國就在這時候嗎?
[00:02:02.000 --> 00:02:04.000]  今天也是
[00:02:04.000 --> 00:02:08.000]  總之世界有什麼變動
[00:02:08.000 --> 00:02:10.000]  加關稅
[00:02:10.000 --> 00:02:12.000]  就有人出來說
[00:02:12.000 --> 00:02:14.000]  主在內
[00:02:14.000 --> 00:02:17.000]  聖經的預言應驗
[00:02:17.000 --> 00:02:20.000]  不是的
[00:02:20.000 --> 00:02:23.000]  為什麼你會知道呢
[00:02:23.000 --> 00:02:25.000]  耶穌說的
[00:02:25.000 --> 00:02:27.000]  耶穌說什麼呢
[00:02:27.000 --> 00:02:29.000]  我們只記得第八節
[00:02:29.000 --> 00:02:30.000]  聖靈降臨
[00:02:30.000 --> 00:02:32.000]  我們不記得耶穌一開始說什麼
[00:02:32.000 --> 00:02:38.000]  「負憑著自己的權柄
[00:02:38.000 --> 00:02:42.000]  所定的時候日期」
[00:02:42.000 --> 00:02:44.000]  多謝powerpoint帶出來了
[00:02:44.000 --> 00:02:46.000]  一起讀下面那句
[00:02:46.000 --> 00:02:50.000]  「是你們可以知道的」
[00:02:50.000 --> 00:02:52.000]  任何一個講完站出來說
[00:02:52.000 --> 00:02:56.000]  我知道他比主耶穌厲害
[00:02:56.000 --> 00:02:58.000]  不可能的
[00:02:58.000 --> 00:03:01.000]  不是我們需要知道
[00:03:01.000 --> 00:03:02.000]  可以知道
[00:03:02.000 --> 00:03:04.000]  應該知道
[00:03:04.000 --> 00:03:06.000]  所以鮑威昆牧師有一次
[00:03:06.000 --> 00:03:08.000]  在培靈會講得很好
[00:03:08.000 --> 00:03:11.000]  他說我們是主的僕人
[00:03:11.000 --> 00:03:14.000]  主人什麼時候回來
[00:03:14.000 --> 00:03:16.000]  是僕人不會問的
[00:03:16.000 --> 00:03:18.000]  你家的飛龍、太龍、印龍
[00:03:18.000 --> 00:03:21.000]  每次出門都問你
[00:03:21.000 --> 00:03:22.000]  什麼時候回來
[00:03:22.000 --> 00:03:23.000]  上次來過
[00:03:23.000 --> 00:03:25.000]  他不是僕人
[00:03:25.000 --> 00:03:26.000]  反過來
[00:03:26.000 --> 00:03:28.000]  他是主人
[00:03:28.000 --> 00:03:31.000]  所以耶穌提醒我們
[00:03:31.000 --> 00:03:33.000]  不是問這個問題
[00:03:33.000 --> 00:03:34.000]  不過
[00:03:34.000 --> 00:03:36.000]  要問什麼
[00:03:36.000 --> 00:03:38.000]  聖靈降臨
[00:03:38.000 --> 00:03:40.000]  得著能力
