
[00:00:00.000 --> 00:00:13.840]  耶和華永要不要歸於我們 永要不要歸於我們
[00:00:13.840 --> 00:00:22.320]  要因祢的慈愛和祢的誠實 歸在祢的名下
[00:00:22.320 --> 00:00:30.000]  阿門 感謝上帝的恩典
[00:00:30.000 --> 00:00:36.320]  我相信每一位弟兄姊妹在這裏 我們的心都被恩感
[00:00:36.320 --> 00:00:38.320]  各位眾神
[00:00:38.320 --> 00:00:43.760]  剛才曾先生和蘇先生講回歷史
[00:00:43.760 --> 00:00:45.760]  提起我記得
[00:00:45.760 --> 00:00:53.680]  我第一次認識曾先生 曾繼強先生 不是在希伯倫堂
[00:00:53.680 --> 00:00:56.960]  可能他記得 他微微嘴笑
[00:00:56.960 --> 00:01:01.840]  是在宣導會區聯會的下令會
[00:01:01.840 --> 00:01:07.520]  他是我們藍宿舍的社監
[00:01:07.520 --> 00:01:10.240]  那你知道我們多頑皮
[00:01:10.240 --> 00:01:12.960]  但我記得的不是他做社監
[00:01:12.960 --> 00:01:17.520]  是星期五晚見證會之前
[00:01:17.520 --> 00:01:21.040]  他聚集我們一班男生頭
[00:01:21.040 --> 00:01:24.480]  坐在藍宿舍的門口
[00:01:24.480 --> 00:01:28.880]  他教我們怎樣講見證
[00:01:28.880 --> 00:01:30.880]  曾先生 多謝你
[00:01:30.880 --> 00:01:32.880]  我到今天都記得
[00:01:32.880 --> 00:01:38.640]  蘇振威先生在我很小的時候
[00:01:38.640 --> 00:01:40.640]  是一個傳奇人物
[00:01:41.600 --> 00:01:45.600]  剛才國志說無名氏
[00:01:45.600 --> 00:01:49.120]  我不是想奪去他天上的掌上
[00:01:49.120 --> 00:01:52.160]  不過這個也是特刊不會講的
[00:01:52.160 --> 00:01:56.000]  我第一次認識蘇先生
[00:01:56.000 --> 00:01:59.520]  是聽他的名字
[00:01:59.520 --> 00:02:01.520]  我不知道他是誰
[00:02:01.520 --> 00:02:03.520]  因為爸爸不肯講
[00:02:03.520 --> 00:02:05.520]  爸爸只是告訴我
[00:02:06.480 --> 00:02:12.480]  他是奉獻了教會所有光管的人
[00:02:12.480 --> 00:02:14.480]  我說是誰?
[00:02:14.480 --> 00:02:16.480]  他不肯講
