
[00:00:00.000 --> 00:00:16.720]  講到馬太這個人物 大家不可不知他是一個瑞利 羅馬當中的政府公務員
[00:00:16.720 --> 00:00:37.920]  講到瑞利我自己也有一些體會 因為我自己也做過稅務的工作 特別是做一個核數師的工作
[00:00:37.920 --> 00:00:47.920]  核數這件事最主要是為了什麼而做呢? 其實在這個過程當中我自己有很多的學習
[00:00:47.920 --> 00:00:59.920]  其中一個我自己的經歷就是原來很多人是做假的 核數的功夫其實不是找你麻煩
[00:00:59.920 --> 00:01:09.920]  而是幫助你知道你的麻煩在哪裡 讓你以後再不會有這些麻煩在你身上發生
[00:01:09.920 --> 00:01:17.920]  所以很多時候我從其他人的身上學習 究竟什麼叫核數 什麼叫audit
[00:01:17.920 --> 00:01:33.920]  最直接的就是問我的上司 因為我上司每逢我做一個評審之後 作了一些決定都會得到他允許才可以去拍板
[00:01:33.920 --> 00:01:41.920]  然後告知每一個應課稅的人的身上 究竟他們怎樣做
[00:01:41.920 --> 00:01:49.920]  在一個談話的過程當中 我曾經學到一件事是很寶貴的
[00:01:49.920 --> 00:01:58.920]  就是很多時候我或者是性格所言 我是一個比較嚴謹的人
[00:01:58.920 --> 00:02:06.920]  所以很多時候看到有很多的問題 我都會將它提出來 然後將那些問題成為了一些理據
[00:02:06.920 --> 00:02:17.920]  去否定一些人在稅務上的優待 或者他們走私漏稅的地方 我可以找出來追回去拿
[00:02:17.920 --> 00:02:27.920]  但是當我將這些議案提出給我的上司 我上司永遠提我一樣東西
[00:02:27.920 --> 00:02:39.920]  他就說當你去做一個決定要去追這些人去交稅 或者是你放鬆讓他們可以得到一些稅務優惠的時候
[00:02:39.920 --> 00:02:49.920]  你要明白你做這個決定究竟是值不值得你去做這個決定所帶來的後果呢
[00:02:49.920 --> 00:03:01.920]  他們就用了一個字眼就是有沒有實質的影響 英文叫做materialist
[00:03:01.920 --> 00:03:09.920]  那樣東西是不是這麼重要呢 是不是這麼需要用這麼多人力物力去追呢
[00:03:09.920 --> 00:03:19.920]  去這麼容易讓他們得到呢 因為完全是掌握在你自己手上的 你如果輕易的將一些稅務優惠交給人的話
[00:03:19.920 --> 00:03:27.920]  那些人將來會試更多的機會 博取更多的稅務優惠
[00:03:27.920 --> 00:03:37.920]  但如果你抓得很緊的時候 他就會很生氣 將來他又會做更多壞事 使政府更加損失很多稅務
[00:03:37.920 --> 00:03:49.920]  這個平衡點你一定要好好拿捏 這個也是我記得我在大學的時候讀會計學 特別是去核數學的時候
[00:03:49.920 --> 00:03:56.920]  老師有提過一點的 但這麼多年來我自己都不是很明白
[00:03:56.920 --> 00:04:08.920]  怎樣去拿捏這個決定性 怎樣去掌握呢 是一個困難的 因為每一個情況都不同
[00:04:08.920 --> 00:04:17.920]  今天不是和大家講稅務的問題 我是想和大家從馬太講到稅務 去講到我們作為信徒
[00:04:17.920 --> 00:04:29.920]  我們作為信徒其實都很類似的 每一天 由你的腳踏在地上那一刻開始 到你睡在床上那一刻
[00:04:29.920 --> 00:04:40.920]  其實有很多事情是需要很多的決定 而這個決定往往都只會在一個很簡單的問題就是
[00:04:40.920 --> 00:04:53.920]  究竟你去做還是不做好 因為我們的人生是有限的 我經常都講我們人生只有數十載的年期
[00:04:53.920 --> 00:05:05.920]  人生這幾十年裡 你想做的事和你應該做的事是可以有很大的分別的
[00:05:05.920 --> 00:05:20.920]  我們就要在過程當中做一個選擇 而這個選擇是某一個定規 某一個定了的程式來給你去計算究竟做不做
[00:05:20.920 --> 00:05:31.920]  往往是很視乎於你是由什麼主導你去做 決定做不做 特別我講到的是基督徒
[00:05:31.920 --> 00:05:44.920]  基督徒決定做一件事還是不做一件事 往往其實是很視乎於上帝的說話與聖靈在那一刻給你的引導
[00:05:44.920 --> 00:05:55.920]  所以為什麼在過去馬太福音從第十二十三十四章裡面我們已經講了很多有關於怎樣去掌握上帝的心思意念
[00:05:55.920 --> 00:06:01.920]  作為一個屬靈的人怎樣去明白上帝的心思意念是一件這麼重要的事
[00:06:01.920 --> 00:06:14.920]  當我們去明白上帝的心思意念的時候 我們就可以做到一些準確的決定 選擇做還是不做 參與還是不參與
[00:06:14.920 --> 00:06:29.920]  所以今天和大家一起直著這段經文所看的一個題目 就是我們有智慧地去挑選與天國有結緣的益智才去參與
[00:06:29.920 --> 00:06:41.920]  這個也希望能夠幫助到弟兄姊妹怎樣在這條屬靈的道路上繼續走 讓我們一起去看看這段經文說什麼
[00:06:41.920 --> 00:06:52.920]  剛才Karen和我們已經讀了一次 我們自己又再讀一次 好不好 是一段很熟悉的經文 熟悉到不堪的了
[00:06:52.920 --> 00:07:00.920]  只不過熟悉還不熟悉 你明白不明白當中的意思是想說什麼呢 這個反而是很重要
[00:07:00.920 --> 00:07:14.920]  打開《馬特福音》14章13至21節 讓我們一起讀一下這段經文 Matthew 14:13-21
[00:07:14.920 --> 00:07:42.920]  (看著這段經文)
[00:07:42.920 --> 00:08:10.920]  (看著這段經文)
[00:08:10.920 --> 00:08:38.920]  (看著這段經文)
[00:08:38.920 --> 00:08:45.920]  (看著這段經文)
[00:08:45.920 --> 00:08:55.920]  這段經文的前文說什麼呢 就是上星期我和大家一起說過的了 就是說到屬神的子民和一些滿載偏見的人
[00:08:55.920 --> 00:09:13.920]  其實他們的生命有絕大不同之處 屬神的子民是會向真理的源頭去投靠 而滿載偏見的人卻只會不斷去否定真理和真相
[00:09:13.920 --> 00:09:28.920]  甚至否定真理的源頭 結果他們反而掉進了自己的死胡同裏面 因為前文說的遭遇的人就是希律王
[00:09:28.920 --> 00:09:49.920]  他們不斷去纏繞在施洗約翰指出他的罪 但施洗約翰卻不同 由頭到尾都毀身在上帝的裏面 他作了一個選擇 就是在整個侍奉的裏面不住地去指出希律王的罪
[00:09:49.920 --> 00:10:01.920]  在這裏有些弟子或我上星期也沒有提及 為什麼施洗約翰可以做到這個職份呢?
[00:10:01.920 --> 00:10:22.920]  我們要重新去想想施洗約翰的背景 施洗約翰的父親是一位祭司叫撒加利亞 而他的母親大家也應該清楚知道是伊麗莎白
[00:10:22.920 --> 00:10:40.920]  兩個人都很清楚告訴他 原來施洗約翰是一個不折不扣的利美人的後裔 所以他能夠有這個特殊的身份
[00:10:40.920 --> 00:10:53.920]  因為原來施洗約翰的母親伊麗莎白在聖經按照路加福音記載 原來他是亞倫的後裔
[00:10:53.920 --> 00:11:13.920]  換言之施洗約翰有一個很特別的身份 他不單是利美之派 而且他擔任祭司的職份 於是他在這個雙重的特殊身份下可以去到希律的王宮
[00:11:13.920 --> 00:11:25.920]  甚至在希律王的面前向他進諫指出希律王的問題 這個背景對於我們來講是一個很重要的訊息
[00:11:25.920 --> 00:11:39.920]  一個屬神的子民知道自己的身份的時候 他懂得如何選擇正確的工作 正確需要參與的爭戰才去參與
[00:11:39.920 --> 00:11:51.920]  他不是什麼爭戰都隨便去參與的 今天我們來看這段聖經 聖經說什麼給我們聽呢 我會分開兩個部分和大家去看
[00:11:51.920 --> 00:12:10.920]  不過先說一般信徒對於耶穌基督餵飽五千人吃飽這個事件或這件經文的看法 一般信徒當看到這段聖經的時候 他們只會專注在聖經裡面的神蹟
[00:12:10.920 --> 00:12:37.920]  特別是談論到如何由五個餅兩條魚可以餵飽超過五千人 我首先要重申多次 五個餅兩條魚不只是餵飽五千人 而是超過五千人被餵飽 因為我們在這段聖經最後第21節有介紹到
[00:12:37.920 --> 00:12:50.920]  於是很多信徒看這段聖經就很著重於你和上帝和耶穌在一起 你就必定能夠有一個神蹟在你身上發生
[00:12:50.920 --> 00:13:08.920]  因此這段經文也有很多信徒用作為推薦信主和上帝走在一起 信耶穌 信了耶穌就沒有問題 有問題也會被上帝耶穌解決
