
[00:00:00.000 --> 00:00:08.760]  多謝施班現唱一首我很喜歡的歌
[00:00:08.760 --> 00:00:10.260]  本來是一首詩來的
[00:00:10.260 --> 00:00:15.560]  是一個喜歡作詩的神學家
[00:00:15.560 --> 00:00:19.960]  後來到70年代才有另一個人將它譜成一首歌
[00:00:19.960 --> 00:00:22.360]  就是剛才施班唱的那首歌
[00:00:22.360 --> 00:00:28.760]  題外話 潘博華也是一個很欣賞的基督徒
[00:00:28.760 --> 00:00:32.760]  也是神學家 如果大家想知道多一點他
[00:00:32.760 --> 00:00:37.560]  我不知道他們會唱 今天知道就多加一句
[00:00:37.560 --> 00:00:41.760]  見到神學院李文耀老師寫了一本書
[00:00:41.760 --> 00:00:43.360]  講潘博華的思想
[00:00:43.360 --> 00:00:45.160]  如果大家想知道多一點
[00:00:45.160 --> 00:00:48.160]  可以看看李文耀博士那本書
[00:00:48.160 --> 00:00:49.360]  叫什麼名字我不記得了
[00:00:49.360 --> 00:00:51.360]  總之就是講潘博華
[00:00:51.360 --> 00:00:55.360]  無論如何我們今天是聖誕節
[00:00:55.360 --> 00:00:58.360]  準備聖誕節就很快來到
[00:00:58.360 --> 00:01:01.760]  也是跟隨使徒信經的秩序
[00:01:01.760 --> 00:01:03.560]  使徒信經告訴我們
[00:01:03.560 --> 00:01:06.760]  我信我主耶穌基督上帝獨生的子
[00:01:06.760 --> 00:01:10.760]  因聖靈感恩 由童貞女瑪利亞所生
[00:01:10.760 --> 00:01:14.360]  使徒信經說完上主天父
[00:01:14.360 --> 00:01:16.960]  天父是創造天地的主之後
[00:01:16.960 --> 00:01:19.560]  就說到主耶穌的報成育身
[00:01:19.560 --> 00:01:21.960]  所以無論按照使徒信經
[00:01:21.960 --> 00:01:23.960]  或者按照聖誕的佳節
[00:01:23.960 --> 00:01:27.360]  其實都很適合說這個題目報成育身
[00:01:27.360 --> 00:01:29.360]  進入題目之前
[00:01:29.360 --> 00:01:32.360]  我們還是讀經文
[00:01:32.360 --> 00:01:35.360]  十八支經文比較長
[00:01:35.360 --> 00:01:38.360]  我們就用啟認的方法
[00:01:38.360 --> 00:01:42.360]  我讀啟 大家讀應
[00:01:42.360 --> 00:01:44.360]  大家讀雙數的經文
[00:01:44.360 --> 00:01:46.360]  我就讀單數的經文
[00:01:46.360 --> 00:01:48.360]  若行福音一章一節
[00:01:48.360 --> 00:01:51.360]  太初有道 道與神同在
[00:01:51.360 --> 00:01:53.360]  道就是神
[00:01:53.360 --> 00:01:55.360]  這道太初與神同在
[00:01:55.360 --> 00:01:58.360]  萬物是藉著他造的
[00:01:58.360 --> 00:02:02.360]  凡被造的 沒有一樣不是藉著他造的
[00:02:02.360 --> 00:02:04.360]  生命在他裡頭
[00:02:04.360 --> 00:02:07.360]  這生命就是人的光
[00:02:07.360 --> 00:02:09.360]  光照在黑暗裡
[00:02:09.360 --> 00:02:11.360]  黑暗卻不接受光
[00:02:11.360 --> 00:02:15.360]  有一個人是從神那裡猜來的
[00:02:15.360 --> 00:02:17.360]  名叫約翰
[00:02:17.360 --> 00:02:20.360]  這人來為耀作見證
[00:02:20.360 --> 00:02:22.360]  就是為光作見證
[00:02:22.360 --> 00:02:25.360]  叫眾人因他可以信
[00:02:25.360 --> 00:02:27.360]  他不是那光
[00:02:27.360 --> 00:02:30.360]  乃是要為光作見證
[00:02:30.360 --> 00:02:32.360]  那光是真光
[00:02:32.360 --> 00:02:35.360]  照亮一切生在世上的人
[00:02:35.360 --> 00:02:37.360]  他在世界
[00:02:37.360 --> 00:02:40.360]  世界也是藉著他造的
[00:02:40.360 --> 00:02:42.360]  世界卻不認識他
[00:02:42.360 --> 00:02:45.360]  他到自己的地方來
[00:02:45.360 --> 00:02:48.360]  自己的人都不接待他
[00:02:48.360 --> 00:02:49.360]  凡接待他的
[00:02:49.360 --> 00:02:51.360]  就是信他明的人
[00:02:51.360 --> 00:02:53.360]  他就似他們權柄
[00:02:53.360 --> 00:02:55.360]  作神的兒女
