
[00:00:00.000 --> 00:00:01.560]  各位電影姐妹們
[00:00:01.560 --> 00:00:04.980]  不要以為栽培是為了人
[00:00:04.980 --> 00:00:08.580]  兩個多三個禮拜前
[00:00:08.580 --> 00:00:11.280]  我和蔡依、龍姨去了澳門
[00:00:11.280 --> 00:00:15.800]  有一個特別的營會
[00:00:15.800 --> 00:00:22.400]  是給一幫初職和在大學裏面進修的
[00:00:22.400 --> 00:00:26.040]  三個不同的地方
[00:00:26.040 --> 00:00:29.540]  中國、澳門和香港
[00:00:29.540 --> 00:00:32.740]  一幫青年信徒準備的
[00:00:32.740 --> 00:00:35.740]  在這個營會裏面
[00:00:35.740 --> 00:00:41.440]  蔡依講及她心裏面最深的感觸
[00:00:41.440 --> 00:00:48.040]  就是由突破和教新的調查
[00:00:48.040 --> 00:00:51.040]  最近這五年裏面
[00:00:51.040 --> 00:00:55.540]  香港的教會初職大專
[00:00:55.540 --> 00:01:05.540]  清少的流失率令她深深感到害怕、擔心
[00:01:05.540 --> 00:01:11.540]  由清少進入大專流失一大截
[00:01:11.540 --> 00:01:16.540]  由大專進入初職又流失一大截
[00:01:16.540 --> 00:01:20.040]  到底普遍平均的流失率
[00:01:20.040 --> 00:01:22.040]  香港的教會是多少人呢?
[00:01:22.040 --> 00:01:24.540]  是百分之八十
[00:01:24.540 --> 00:01:28.540]  各位親愛的兄弟姐妹
[00:01:28.540 --> 00:01:31.540]  而這百分之八十的流失
[00:01:31.540 --> 00:01:33.540]  這些羊仔當中
[00:01:33.540 --> 00:01:38.540]  大部份甚至是第二代的信徒
[00:01:38.540 --> 00:01:42.540]  我們看到今天香港一個數年的爭戰
[00:01:42.540 --> 00:01:44.540]  各位做父母的
[00:01:44.540 --> 00:01:46.540]  我們希望和你們講一聲
[00:01:46.540 --> 00:01:49.540]  我們的價值觀是怎樣?
[00:01:49.540 --> 00:01:53.540]  是直接影響我們下一代的價值觀是怎樣?
[00:01:53.540 --> 00:01:57.540]  如果我們緊張他們的考試、他們的功課
[00:01:57.540 --> 00:02:02.540]  是過於他們對永恆的追求、品格的追求
[00:02:02.540 --> 00:02:05.540]  我可以預先預言
[00:02:05.540 --> 00:02:07.540]  當他們進入大學的時候
[00:02:07.540 --> 00:02:10.540]  他會和神拜拜
[00:02:10.540 --> 00:02:15.540]  縱使不是在大專的時候和神拜拜
[00:02:15.540 --> 00:02:19.540]  當他們進入到這個社會裏面工作的時候
[00:02:19.540 --> 00:02:21.540]  或者拍拖的時候
[00:02:21.540 --> 00:02:27.540]  他都會和教會拜拜、和神再見
[00:02:27.540 --> 00:02:30.540]  到底怎樣可以令到我們的下一代
[00:02:30.540 --> 00:02:34.540]  穩穩、盡盡、堅穩地站在神的裏面?
[00:02:34.540 --> 00:02:37.540]  而且不單止自己站得穩
[00:02:37.540 --> 00:02:39.540]  還可以影響同學
[00:02:39.540 --> 00:02:43.540]  一個一個能夠帶他們回來去領修
[00:02:43.540 --> 00:02:45.540]  帶他們回來去追求親戚
