
[00:00:00.000 --> 00:00:12.000]  我們大家有個祈禱,你的心裏面為他感恩,為神賜給他生命,賜給他教會,感謝上帝
[00:00:12.000 --> 00:00:19.000]  大家在你的座位裏面稍稍為你旁邊的弟兄姐妹有個感恩,跟著我帶大家再有祈禱
[00:00:19.000 --> 00:00:24.000]  教會的元首,我們的主耶穌基督,我們感謝你
[00:00:24.000 --> 00:00:30.000]  我們感謝你的愛深深淋到我們身上
[00:00:30.000 --> 00:00:35.000]  我們感謝你不單止請教我們一個人,你也請教一個群體
[00:00:35.000 --> 00:00:44.000]  成為我們的弟兄姐妹,在我們身邊成為我們的幫助,我們的鼓勵,我們的提醒
[00:00:44.000 --> 00:00:48.000]  主要我們為每一個生命獻上感恩
[00:00:48.000 --> 00:00:54.000]  你都為你自己赤下寶貴的聖靈在我們中間運行工作
[00:00:54.000 --> 00:01:03.000]  讓我們領受你給我們的應許,又激勵我們來跟隨你,追求成長,見證侍奉你
[00:01:03.000 --> 00:01:08.000]  一切都是你自己所做的工作,我們獻上感謝
[00:01:08.000 --> 00:01:14.000]  我們都為你在前面給我們應許,雖然我們感受自己仍然有很多不足的地方
[00:01:14.000 --> 00:01:19.000]  但主要我們知道你必要在我們中間承受你自己的應許
[00:01:19.000 --> 00:01:24.000]  但我們領受又進入你自己豐盛的生命裡面
[00:01:24.000 --> 00:01:29.000]  所以主要我們為你賜給我們國人,我們整個教會
[00:01:29.000 --> 00:01:34.000]  在未來所要蒙受的恩惠,我們獻上感謝
[00:01:34.000 --> 00:01:38.000]  主要你允許你自己要充滿你的教會
[00:01:38.000 --> 00:01:41.000]  你的豐盛要進入我們生命中
[00:01:41.000 --> 00:01:47.000]  所以主我們期待,亦都尋求等候在你的面前
[00:01:47.000 --> 00:01:53.000]  我們衷心仰望奉耶穌基督聖命求,阿門
[00:01:53.000 --> 00:01:59.000]  今天我們一起在《思想翻聖經》葉佛所說裡面關於教會的訊息
[00:01:59.000 --> 00:02:03.000]  有人會問教會是什麼呢?
[00:02:03.000 --> 00:02:08.000]  有人會以為教會只是很多不同的社會組織之一
[00:02:08.000 --> 00:02:16.000]  好像是一個校友會,或者是一個同鄉會
[00:02:16.000 --> 00:02:20.000]  甚至是一個政治的壓力團體
[00:02:20.000 --> 00:02:24.000]  很多人對教會有很重的了解
[00:02:24.000 --> 00:02:30.000]  但聖經裡面說到教會其實是一個屬靈的群體
[00:02:30.000 --> 00:02:33.000]  是一個spiritual body
[00:02:33.000 --> 00:02:38.000]  這個屬靈的群體都是領受了神給我們的呼召
[00:02:38.000 --> 00:02:41.000]  其中每一個領受神給我們的呼召
[00:02:41.000 --> 00:02:46.000]  這個呼召就是要我們歸屬於主耶穌
[00:02:46.000 --> 00:02:50.000]  而整體成為了基督的身體
[00:02:50.000 --> 00:02:56.000]  因此教會是一個屬靈的群體,一個基督的身體
[00:02:56.000 --> 00:03:03.000]  當說到基督的身體的時候,就說到教會和耶穌基督是聯合在一起
[00:03:03.000 --> 00:03:07.000]  和這位上帝是有一種聯合的關係
[00:03:07.000 --> 00:03:14.000]  聖經再進一步說,他說是那充滿萬有者所充滿的
[00:03:14.000 --> 00:03:20.000]  意味著這位上帝,至高至尊榮的掌管天地的上帝
[00:03:20.000 --> 00:03:25.000]  連同他一切的風聲都充滿在教會裡面
[00:03:25.000 --> 00:03:31.000]  我們這樣說的時候,可能我們頭腦上面會稍為了解
[00:03:31.000 --> 00:03:34.000]  但是其實當你再盡心去想的時候
[00:03:34.000 --> 00:03:40.000]  你發覺太奇妙太偉大,超越我們的理性所完全了解
[00:03:40.000 --> 00:03:50.000]  聖經說這位充滿萬有者,他一切的風聲連同他自己充滿在他的教會當中
[00:03:50.000 --> 00:03:57.000]  沒錯,我們今天也看到教會有很多軟弱的地方,很多的問題
[00:03:57.000 --> 00:04:03.000]  但是我們也看到教會沒錯,是一個成長中的教會
[00:04:03.000 --> 00:04:05.000]  它不是完美的
[00:04:05.000 --> 00:04:11.000]  但是我們不要忘記我們本身有的身份,或者說我們的本質
[00:04:11.000 --> 00:04:16.000]  因為聖經清楚說,我們是基督的身體
[00:04:16.000 --> 00:04:23.000]  神一定會按照祂的計劃,承傳祂的旨意在教會中
[00:04:23.000 --> 00:04:27.000]  我們會成為了基督的身體
[00:04:27.000 --> 00:04:32.000]  我們一步一步進入神比我們完全的豐富裡面
[00:04:32.000 --> 00:04:39.000]  所以在我們可能很多的困難當中,不忘記這個目標
[00:04:39.000 --> 00:04:46.000]  也放膽按照神對教會的心意,對教會的目標,繼續去追求
[00:04:46.000 --> 00:04:51.000]  或者說在其中不斷地向著這個目標祈禱
[00:04:51.000 --> 00:04:55.000]  讓神的旨意成就在我們中間
[00:04:55.000 --> 00:05:00.000]  你記得我們曾經提及過,在過去讀到達爾利書的時候
[00:05:00.000 --> 00:05:03.000]  達爾利先知道上帝有一個允許
[00:05:03.000 --> 00:05:09.000]  就是以色列人被擄七十年之後會回歸到他們的故土
[00:05:09.000 --> 00:05:13.000]  因此答應你就揭力禱告
[00:05:13.000 --> 00:05:18.000]  向著這個目標,向著這個神要成就的事情,不斷地祈禱
[00:05:18.000 --> 00:05:23.000]  讓神的旨意成就在他們中間
[00:05:23.000 --> 00:05:30.000]  也表明他們那種信心和開創的心靈是承接神將要成就的事情
[00:05:30.000 --> 00:05:35.000]  因此你也會放膽祈禱,不斷地為教會祈禱
[00:05:35.000 --> 00:05:38.000]  也不斷地向著這個目標去追求
[00:05:38.000 --> 00:05:45.000]  不是相信自己,而是知道神會按祂的允許成就這件事
[00:05:45.000 --> 00:05:50.000]  我們今天讀的聖經,在這份書中其中兩段討論
[00:05:50.000 --> 00:05:55.000]  也正正是保羅他很清楚,按照他對真理的認識
[00:05:55.000 --> 00:05:59.000]  說出他的禱告,他尋求的方向
[00:05:59.000 --> 00:06:04.000]  今天這個禱告也成為我們為教會禱告的方向
[00:06:04.000 --> 00:06:10.000]  大家看看聖經的第一章,我們先看第一個討論
[00:06:10.000 --> 00:06:17.000]  一開始的時候,你看到他是不斷為教會感恩和讚美的
[00:06:17.000 --> 00:06:20.000]  第十五節,一章十五節
[00:06:20.000 --> 00:06:24.000]  保羅說:因此我聽到你們在主耶穌裡的信心
[00:06:24.000 --> 00:06:30.000]  我對眾聖徒的愛心,我就不住的為你們獻上感謝
[00:06:30.000 --> 00:06:35.000]  我禱告的時候,上上的提到你們
[00:06:35.000 --> 00:06:41.000]  當你讀到保羅他很深切地為教會感恩的時候
[00:06:41.000 --> 00:06:45.000]  你會記得在之前,如果你有聖經打開的時候
[00:06:45.000 --> 00:06:48.000]  你會看到在聖經第一章一開始的時候
[00:06:48.000 --> 00:06:52.000]  保羅就不斷講述到神給教會的各種的恩惠
[00:06:52.000 --> 00:06:55.000]  第一章,例如第三節所提
[00:06:55.000 --> 00:07:00.000]  說我們的主耶穌基督的父臣是應當稱頌的
[00:07:00.000 --> 00:07:02.000]  為何稱頌祂?
[00:07:02.000 --> 00:07:09.000]  他在基督裡曾經把天上各種熟靈的福氣賜給我們
[00:07:09.000 --> 00:07:14.000]  聖經特別強調神將天上不單是地上
[00:07:14.000 --> 00:07:20.000]  更加是天上各種的福氣都賜給他的教會
[00:07:20.000 --> 00:07:22.000]  然後在第四節說
