
[00:00:00.000 --> 00:00:06.500]  很久沒有講這麼多人的講座
[00:00:06.500 --> 00:00:11.220]  多說一句話里有因
[00:00:11.220 --> 00:00:18.800]  因為搞這些講座有百多人參加
[00:00:18.800 --> 00:00:23.000]  我想十年來我都沒見過
[00:00:23.000 --> 00:00:36.000]  90年代21世紀和80年代都是不同的時代
[00:00:36.000 --> 00:00:46.000]  每個時代都會有不同的信仰氛圍或者氣象
[00:00:46.000 --> 00:00:55.000]  我自己感覺到90年代開始進入一種信仰不求甚解的狀態
[00:00:55.000 --> 00:00:59.000]  閱讀越來越低迷
[00:00:59.000 --> 00:01:08.000]  如果你今天叫頂姐妹用78元買一本書
[00:01:08.000 --> 00:01:16.000]  揭下去題目都挺吸引的
[00:01:16.000 --> 00:01:21.000]  78元可以吃自助餐
[00:01:21.000 --> 00:01:25.000]  我聽教會的頂姐妹說
[00:01:25.000 --> 00:01:31.000]  其中一個買書的方式就是超過50元的書就不買了
[00:01:31.000 --> 00:01:35.000]  我不知道她讀什麼
[00:01:35.000 --> 00:01:39.000]  潘凱華這個名字比較好叫
[00:01:39.000 --> 00:01:43.000]  彭博發現這個有好處
[00:01:43.000 --> 00:01:47.000]  大家看不清楚是什麼的時候
[00:01:47.000 --> 00:01:52.000]  有個距離就表示有一種陌生感
[00:01:52.000 --> 00:01:57.000]  好過出現一種情況以為潘凱華是中國人姓潘叫霍華
[00:01:57.000 --> 00:02:01.000]  我聽過這樣的情況很有趣
[00:02:01.000 --> 00:02:06.000]  有些甚至是說是神學院的神學生
[00:02:06.000 --> 00:02:10.000]  這個很有趣
[00:02:10.000 --> 00:02:14.000]  所以大陸的譯音我覺得很有意思
[00:02:14.000 --> 00:02:19.000]  將譯音譯出來有一種陌生感
[00:02:19.000 --> 00:02:22.000]  我們反而會嘗試瞭解多一些
[00:02:22.000 --> 00:02:28.000]  當然即使潘華華是我們熟悉的名字
[00:02:28.000 --> 00:02:31.000]  但我們也有另一個經驗
[00:02:31.000 --> 00:02:35.000]  對比較年輕的頂姐妹來說
[00:02:35.000 --> 00:02:40.000]  很少看過她的《追隨基督》和《團契生活》
[00:02:40.000 --> 00:02:44.000]  但對我來說在70年代80年代
[00:02:44.000 --> 00:02:48.000]  如果你是那個年代的信主或者是回教會
[00:02:48.000 --> 00:02:53.000]  《追隨基督》基本上是很多人都會看的一本著作
[00:02:53.000 --> 00:02:58.000]  特別是在那個年代流行所謂的門徒訓練
[00:02:58.000 --> 00:03:03.000]  當然《追隨基督》其實不能拿來做門徒訓練的手冊
[00:03:03.000 --> 00:03:08.000]  因為裡面有很濃厚的神學
[00:03:08.000 --> 00:03:11.000]  它也是另外一本在潘華華著作裡面
[00:03:11.000 --> 00:03:17.000]  另外一本我們叫做《神學的釋經》的一本作品
[00:03:17.000 --> 00:03:23.000]  而且這本《神學的釋經》的作品背後有相當重的路德神學在裡面
[00:03:23.000 --> 00:03:27.000]  說起信義宗或者路德神學
[00:03:27.000 --> 00:03:34.000]  很多人未必會想到潘華華是在這樣的信仰背景
[00:03:34.000 --> 00:03:38.000]  我想知道大家當中有沒有信義宗的背景?
[00:03:38.000 --> 00:03:40.000]  不是很多
[00:03:40.000 --> 00:03:45.000]  對於不是信義宗背景的頂姐妹來說
[00:03:45.000 --> 00:03:49.000]  在瞭解潘華華上有一定的困難
[00:03:49.000 --> 00:03:53.000]  特別是如果你看看《亞當與第亞當》裡面的基督徒學
[00:03:53.000 --> 00:03:56.000]  即是所謂第二亞當
[00:03:56.000 --> 00:03:58.000]  在耶穌基督裡面
[00:03:58.000 --> 00:04:01.000]  有些地方是看得出困難的
[00:04:01.000 --> 00:04:06.000]  比如說耶穌基督是以什麼方式臨在呢?
[00:04:06.000 --> 00:04:08.000]  以道的方式、聖道的方式臨在
[00:04:08.000 --> 00:04:11.000]  以聖禮的方式臨在
[00:04:11.000 --> 00:04:16.000]  在教會裡面,如果不是信義宗的傳統
[00:04:16.000 --> 00:04:19.000]  從來都不會這樣去說
[00:04:19.000 --> 00:04:21.000]  在主餐裡面
[00:04:21.000 --> 00:04:23.000]  我都不用"聖餐"這個詞
[00:04:23.000 --> 00:04:27.000]  在主餐、在聖禮或者水禮裡面
[00:04:27.000 --> 00:04:30.000]  從來都不會說是基督臨在
[00:04:30.000 --> 00:04:32.000]  這是非常老套的一種說法
