
[00:00:00.000 --> 00:00:02.800]  我們繼續聽到 實在感謝主
[00:00:02.800 --> 00:00:08.640]  我希望這個題目 感謝與凋謝
[00:00:08.640 --> 00:00:10.400]  我希望能夠入到你的心
[00:00:10.400 --> 00:00:12.640]  你能夠聽到我的心聲
[00:00:12.640 --> 00:00:14.640]  你能夠聽到我的心聲
[00:00:14.640 --> 00:00:16.640]  我希望你能夠聽到我的心聲
[00:00:16.640 --> 00:00:18.640]  我希望你能夠聽到我的心聲
[00:00:18.640 --> 00:00:20.640]  我希望你能夠聽到我的心聲
[00:00:20.640 --> 00:00:22.640]  我希望你能夠聽到我的心聲
[00:00:22.640 --> 00:00:24.640]  我希望你能夠聽到我的心聲
[00:00:24.640 --> 00:00:26.640]  我希望你能夠聽到我的心聲
[00:00:26.640 --> 00:00:28.640]  我希望你能夠聽到我的心聲
[00:00:28.640 --> 00:00:30.640]  你能夠做一個感恩的人
[00:00:30.640 --> 00:00:36.640]  香港的確是一個充滿了埋怨的城市
[00:00:36.640 --> 00:00:38.640]  埋怨氣氛相當濃厚
[00:00:38.640 --> 00:00:40.640]  不知道大家有沒有印象
[00:00:40.640 --> 00:00:44.640]  早一段時間在潘咸道有一棵古樹
[00:00:44.640 --> 00:00:48.640]  後來政府決定要拆掉
[00:00:48.640 --> 00:00:52.640]  不知道大家還記不記得這件事
[00:00:52.640 --> 00:00:56.640]  究竟應不應該將一棵古樹在這樣的情況下拋棄
[00:00:56.640 --> 00:00:58.640]  我不敢說
[00:00:58.640 --> 00:01:02.640]  因為我不是專業人士去做判斷
[00:01:02.640 --> 00:01:04.640]  不過我想說在這件事上
[00:01:04.640 --> 00:01:06.640]  我在電視上看到的新聞報導
[00:01:06.640 --> 00:01:10.640]  令我很不舒服的
[00:01:10.640 --> 00:01:12.640]  有一個立法會議員聲援
[00:01:12.640 --> 00:01:14.640]  覺得應該保留這棵樹
[00:01:14.640 --> 00:01:16.640]  但也不要緊 因為大家有不同的取向
[00:01:16.640 --> 00:01:18.640]  有不同專家的意見
[00:01:18.640 --> 00:01:20.640]  有不同的角度 也不要緊
[00:01:20.640 --> 00:01:22.640]  不過我不知道大家有沒有印象
[00:01:22.640 --> 00:01:25.640]  在一個電視訪問對著電視機的時間
[00:01:25.640 --> 00:01:31.640]  他說政府要拆這棵樹是可恥的
[00:01:31.640 --> 00:01:35.640]  我很難想像 為什麼會用這個字眼
[00:01:35.640 --> 00:01:41.640]  去形容一個好像和完全拉不上關係的事件
[00:01:41.640 --> 00:01:45.640]  總之有些事和我不同的意見
[00:01:45.640 --> 00:01:47.640]  無論是哪個黨派也好
[00:01:47.640 --> 00:01:49.640]  都會有人出來說一些相當負面的
[00:01:49.640 --> 00:01:51.640]  或者我更加直接的說話
[00:01:51.640 --> 00:01:53.640]  相當惡毒的說話
[00:01:53.640 --> 00:01:56.640]  而這種氣氛好像大家都接受的
[00:01:56.640 --> 00:01:59.640]  如果你要爭取 或者你要表達意見
[00:01:59.640 --> 00:02:01.640]  你用這樣的方法
[00:02:01.640 --> 00:02:06.640]  我希望我們剛才聽到和平之子這首獻詩的詩歌
[00:02:06.640 --> 00:02:08.640]  成為我們今天基督徒
[00:02:08.640 --> 00:02:12.640]  我們立定心智 用這樣的方法去回應
[00:02:12.640 --> 00:02:16.640]  相反來說 有些人不知道為什麼
[00:02:16.640 --> 00:02:18.640]  他充滿了上帝恩典
[00:02:18.640 --> 00:02:21.640]  在一些很困難的環境裏面
[00:02:21.640 --> 00:02:23.640]  好像怎樣去嘮叨他
[00:02:23.640 --> 00:02:25.640]  他都是說感恩的話
[00:02:25.640 --> 00:02:31.640]  可能大家都在生命裏有機會聽過
[00:02:31.640 --> 00:02:33.640]  騰近輝牧師說到
[00:02:33.640 --> 00:02:35.640]  我相信很多人都聽過他說到
[00:02:35.640 --> 00:02:39.640]  是一個上帝很重用的牧人 是我的前輩
[00:02:39.640 --> 00:02:41.640]  在他追思的禮拜裏面
[00:02:41.640 --> 00:02:46.640]  曾經就是蔡元雲醫生說過一件這樣的日事
[00:02:46.640 --> 00:02:48.640]  不知道大家有沒有聽過
[00:02:48.640 --> 00:02:56.640]  騰牧師在他身體比較強壯的時候
[00:02:56.640 --> 00:02:58.640]  到處去領會
[00:02:58.640 --> 00:03:03.640]  包括有一次他帶蔡醫生一起去台灣領會
[00:03:03.640 --> 00:03:05.640]  根據蔡元雲醫生說
[00:03:05.640 --> 00:03:07.640]  他去領會的時候
[00:03:07.640 --> 00:03:09.640]  騰牧師好像不累似的
[00:03:09.640 --> 00:03:11.640]  一直說三堂道
[00:03:11.640 --> 00:03:13.640]  說完之後好像很精神似的
[00:03:13.640 --> 00:03:15.640]  一年說一個禮拜
[00:03:15.640 --> 00:03:17.640]  然後他忍不住問騰牧師
[00:03:17.640 --> 00:03:19.640]  騰牧師你講到不累嗎?
[00:03:19.640 --> 00:03:23.640]  大家有沒有聽過這件事
[00:03:23.640 --> 00:03:25.640]  騰牧師就說
[00:03:25.640 --> 00:03:29.640]  他說講道是我最好休息的時間
[00:03:29.640 --> 00:03:31.640]  有多高境界
[00:03:31.640 --> 00:03:35.640]  講道是我最好休息的時間
[00:03:35.640 --> 00:03:37.640]  蔡醫生聽完之後
[00:03:37.640 --> 00:03:39.640]  他說騰牧師你真是厲害了
[00:03:39.640 --> 00:03:41.640]  講道是你最好休息的時間
[00:03:41.640 --> 00:03:43.640]  蔡元雲醫生自己這樣說
