
[00:00:00.000 --> 00:00:08.440]  每一個星期日,雖然是在疫情期間
[00:00:08.440 --> 00:00:14.080]  但其實有不少教會仍然有敬拜時的時間
[00:00:14.080 --> 00:00:17.400]  我想問大家一個問題
[00:00:17.400 --> 00:00:23.800]  在每一個星期日的時間我們去參加主日崇拜
[00:00:23.800 --> 00:00:32.960]  你猜猜在全世界這麼多信徒一起參加不同類型的教會的敬拜
[00:00:32.960 --> 00:00:41.360]  裡面真真正正是神的兒女、神的子民會有多少個百分比呢?
[00:00:41.360 --> 00:00:43.880]  有些人會這樣猜測
[00:00:43.880 --> 00:00:50.040]  每個主日這麼多人去,至少應該有九成吧
[00:00:50.040 --> 00:00:54.960]  有些基督徒就說比較保守一點
[00:00:54.960 --> 00:00:59.360]  他說九成可能太多了
[00:00:59.360 --> 00:01:03.680]  因為可能要包括一些在教會裡誤導的朋友
[00:01:03.680 --> 00:01:09.840]  或者只是路經到有朋友帶他們來的新來的來賓
[00:01:09.840 --> 00:01:14.880]  八成吧,七成八成左右都差不多了
[00:01:14.880 --> 00:01:20.720]  但是如果我們在教會裡活得久一點的信徒
[00:01:20.720 --> 00:01:23.080]  我們會開始有個疑問
[00:01:23.080 --> 00:01:25.240]  有時候我們發覺教會的信徒
[00:01:25.240 --> 00:01:28.560]  有些其實他們是不是真正的神的子民呢?
[00:01:28.560 --> 00:01:32.160]  因為他們的表現和思想行為
[00:01:32.160 --> 00:01:36.520]  以及他們所說出來的主張也好
[00:01:36.520 --> 00:01:38.000]  我們真的有個疑問
[00:01:38.000 --> 00:01:43.040]  特別是我以前也參加一些很大的教會
[00:01:43.040 --> 00:01:46.440]  在香港可以說是數一數二的大教會
[00:01:46.440 --> 00:01:49.000]  在裡面真的很多人參加的
[00:01:49.000 --> 00:01:50.920]  每一次去崇拜的時候
[00:01:50.920 --> 00:01:55.680]  好像去看電影一樣多的人湧出湧入的
[00:01:55.680 --> 00:02:00.600]  但是在一些教會的研究裡面
[00:02:00.600 --> 00:02:06.120]  曾經有一個很著名的教會的統計學家
[00:02:06.120 --> 00:02:07.600]  或者是分析員
[00:02:07.600 --> 00:02:09.800]  他就是叫做George Warner
[00:02:09.800 --> 00:02:12.920]  他在美國曾經做過一個研究
[00:02:12.920 --> 00:02:14.480]  他說在教會裡面
[00:02:14.480 --> 00:02:19.040]  其實真真正正積極參與在教會裡面的人
[00:02:19.040 --> 00:02:22.040]  其實不多於兩成
[00:02:22.040 --> 00:02:25.840]  至於其他八成的人是什麼人呢?
[00:02:25.840 --> 00:02:27.800]  他就在研究裡面說
[00:02:27.800 --> 00:02:33.200]  這個蠶集了很多不同類型信仰層次的一些信徒
[00:02:33.200 --> 00:02:38.880]  或者是一些只是來嘗試有一些心靈慰藉的人
[00:02:38.880 --> 00:02:40.480]  他們是不是真的信主呢?
[00:02:40.480 --> 00:02:42.040]  不一定是信主的
[00:02:42.040 --> 00:02:44.600]  但是在這個研究裡面
[00:02:44.600 --> 00:02:48.760]  卻是誘發了一個很值得我們思想的題目
[00:02:48.760 --> 00:02:51.840]  就是說究竟教會裡面
[00:02:51.840 --> 00:02:53.960]  今天我們回教會了
[00:02:53.960 --> 00:02:57.280]  在我們裡面有多少是真的屬神的子民
[00:02:57.280 --> 00:03:00.840]  或者是說神的兒女呢?
[00:03:00.840 --> 00:03:04.440]  這個是值得我們一起去思想的題目
[00:03:04.440 --> 00:03:06.920]  而這個問題也都不是只是
[00:03:06.920 --> 00:03:10.400]  今天我在講道開頭去提出的問題
[00:03:10.400 --> 00:03:13.000]  早在四千多年前
[00:03:13.000 --> 00:03:15.080]  曾經有一個人物
[00:03:15.080 --> 00:03:18.480]  這個人他很大膽
[00:03:18.480 --> 00:03:22.200]  他走到去和上帝討論這個問題
[00:03:22.200 --> 00:03:24.960]  這個人的名字大家都應該很熟悉的
[00:03:24.960 --> 00:03:28.000]  他的名字叫做阿伯蘭
[00:03:28.000 --> 00:03:30.880]  後來他的名字叫做阿伯拉罕
[00:03:30.880 --> 00:03:34.640]  他曾經在他一個侄兒
[00:03:34.640 --> 00:03:38.760]  當時他的侄兒就和他分開了
[00:03:38.760 --> 00:03:43.360]  因為侄兒覺得和叔叔或者阿伯
[00:03:43.360 --> 00:03:46.360]  和他的關係不是很好
[00:03:46.360 --> 00:03:49.000]  因為特別是他同族的人當中
[00:03:49.000 --> 00:03:50.360]  分開兩大批人
[00:03:50.360 --> 00:03:52.080]  於是他們就分開了
[00:03:52.080 --> 00:03:54.960]  這個侄兒就叫做羅德
