
[00:00:00.000 --> 00:00:04.720]  早晨 今天想和大家繼續思想路加夫音
[00:00:04.720 --> 00:00:07.200]  一段很奇怪很奇怪的聖經
[00:00:07.200 --> 00:00:13.440]  我給的題目叫「不事修補乃事重建」
[00:00:13.440 --> 00:00:19.280]  好幾年前 美國有一個叫Terry Shaver的女士
[00:00:19.280 --> 00:00:25.520]  她很想送一件禮物給她丈夫 作為聖誕禮物
[00:00:25.520 --> 00:00:30.640]  她丈夫是做警察的 收入也不是很高
[00:00:30.640 --> 00:00:36.160]  她心目中有一件禮物她很想送給她丈夫
[00:00:36.160 --> 00:00:38.000]  她很喜歡這件禮物
[00:00:38.000 --> 00:00:43.840]  去到商場見到售貨員 問他多少錢
[00:00:43.840 --> 00:00:49.040]  售貨員說是1270元 嘩 這麼貴
[00:00:49.040 --> 00:00:52.480]  想像不到這麼貴 她的袋子又不是那麼多錢
[00:00:52.480 --> 00:00:57.920]  但她又很喜歡這件禮物 又很想在聖誕之前送給她丈夫
[00:00:57.920 --> 00:01:01.760]  於是她對售貨員說 我可不可以分期付款
[00:01:01.760 --> 00:01:07.440]  我先給你500元 我不愛這件禮物
[00:01:07.440 --> 00:01:12.720]  聖誕之前我來拿這件禮物 以後就分期付款給你
[00:01:12.720 --> 00:01:20.640]  售貨員一聽到說 太太 我相信你一定很喜歡送這份禮物給你丈夫
[00:01:20.640 --> 00:01:23.200]  現在拿走它就可以了
[00:01:23.200 --> 00:01:29.600]  你給我500元 過個月你分期付款 給少許利息就可以了
[00:01:29.600 --> 00:01:36.240]  太太很高興 於是就拿了這份禮物送給她丈夫
[00:01:36.240 --> 00:01:41.760]  在10月1日星期六 她丈夫出監
[00:01:41.760 --> 00:01:47.840]  在街上見到一個可疑的汽車
[00:01:47.840 --> 00:01:52.000]  他就下去車上看看發生什麼事
[00:01:52.000 --> 00:01:56.560]  他正要走近車上的時候 突然間車門開了
[00:01:56.560 --> 00:02:02.160]  一個男人在司機位拿了一支1.45口徑的槍
[00:02:02.160 --> 00:02:04.480]  在他胸膛裏面開了兩槍
[00:02:04.480 --> 00:02:09.120]  他整個跌倒 但沒有死
[00:02:09.120 --> 00:02:14.320]  而且還可以自己拔槍出來還擊
[00:02:14.320 --> 00:02:18.800]  打傷了企圖謀殺他的男人
[00:02:18.800 --> 00:02:25.280]  而且馬上抓住他 拿了手銬 拉回警局
[00:02:25.280 --> 00:02:28.560]  你知不知道為什麼他不能死
[00:02:28.560 --> 00:02:34.160]  原來他太太送的禮物就是避彈衣
[00:02:34.160 --> 00:02:38.400]  如果太太說 這麼貴 不要買了
[00:02:38.400 --> 00:02:40.640]  那他就沒有了丈夫
[00:02:40.640 --> 00:02:45.600]  如果她說 哦 好啊 或者我聖誕之前才來拿
[00:02:45.600 --> 00:02:48.560]  那他就沒有了丈夫
[00:02:48.560 --> 00:02:51.840]  就是他百心一橫
[00:02:51.840 --> 00:02:54.000]  那個售貨員又好人
[00:02:54.000 --> 00:02:57.760]  就在那個時候買了這個避彈衣
[00:02:57.760 --> 00:02:59.520]  送了給她丈夫
[00:02:59.520 --> 00:03:04.560]  就在10月1日他出監的時候就遇到這件事
[00:03:04.560 --> 00:03:08.880]  但這份禮物就救了她丈夫的性命
[00:03:09.840 --> 00:03:15.440]  我想拖延是一件很大很大的問題
[00:03:15.440 --> 00:03:18.800]  如果我們不能當機立斷
[00:03:18.800 --> 00:03:23.920]  如果我們不能百心一橫決定有所行動
[00:03:23.920 --> 00:03:26.480]  而是拖延拖延
[00:03:26.480 --> 00:03:31.680]  或者反正我都買了 遲些再拿吧 沒所謂
[00:03:31.680 --> 00:03:35.040]  只是修補 不是做一個立即的行動
[00:03:35.040 --> 00:03:40.800]  去改變情況 她丈夫的性命就沒有了
[00:03:40.800 --> 00:03:43.040]  我想我們的問題在哪裡
[00:03:43.040 --> 00:03:46.480]  我們的問題往往是不能當機立斷
[00:03:46.480 --> 00:03:48.720]  做一些徹底的行動
[00:03:48.720 --> 00:03:51.280]  或者有很多人開頭的時候是威是勢
[00:03:51.280 --> 00:03:52.880]  好啊 買禮物了 買禮物了
[00:03:52.880 --> 00:03:53.760]  好啊 這麼貴的
[00:03:53.760 --> 00:03:55.120]  我說不要了 就肅殺走人了
