
[00:00:00.000 --> 00:00:06.000]  頂著會,午安!新年快樂!
[00:00:06.000 --> 00:00:13.000]  我想問問大家,新年期間,最多人恭喜你們一些什麼?
[00:00:13.000 --> 00:00:17.000]  有多少人被人恭喜過發財的舉手?
[00:00:17.000 --> 00:00:21.000]  有多少人發財的舉手?
[00:00:21.000 --> 00:00:25.000]  很難吧?因為是禮事
[00:00:25.000 --> 00:00:29.000]  還有呢?恭喜你什麼?
[00:00:29.000 --> 00:00:33.000]  身體健康!有多少人恭喜你身體健康的舉手?
[00:00:33.000 --> 00:00:35.000]  不要吃掉了
[00:00:35.000 --> 00:00:40.000]  還有,出入平安!有多少人有恭喜你出入平安?
[00:00:40.000 --> 00:00:44.000]  舉手!這麼少?
[00:00:44.000 --> 00:00:46.000]  很需要平安!
[00:00:46.000 --> 00:00:51.000]  我們發覺到新年期間,恭喜我們那些東西
[00:00:51.000 --> 00:00:56.000]  和我們恭喜人的那些絕大部分是接受的東西
[00:00:56.000 --> 00:01:00.000]  同不同意嗎?去拿的?去有的?
[00:01:00.000 --> 00:01:05.000]  有沒有人恭喜你,施比受更為有福?
[00:01:05.000 --> 00:01:10.000]  有的舉手?沒有啊!
[00:01:10.000 --> 00:01:16.000]  我今天是用聖經的,恭喜!和大家分享
[00:01:16.000 --> 00:01:22.000]  到底我們應該恭喜什麼?我們先做一個討論
[00:01:22.000 --> 00:01:26.000]  曾愛智的叔叔,謝謝你!
[00:01:26.000 --> 00:01:32.000]  由歲首到年終,你的愛常常顧念我們的需要
[00:01:32.000 --> 00:01:34.000]  從沒有離開過我們
[00:01:34.000 --> 00:01:40.000]  我們為一切感恩,求你幫助我們因為這樣的緣故
[00:01:40.000 --> 00:01:45.000]  也有一個願意回報你恩典的心
[00:01:45.000 --> 00:01:50.000]  帶領我們,當我們去到神的話語裡的時候
[00:01:50.000 --> 00:01:55.000]  更加清楚,你要我們追求的是什麼
[00:01:55.000 --> 00:01:59.000]  保守我們的心,奉耶穌基督的名求
[00:01:59.000 --> 00:02:05.000]  各位鼎姐妹,希伯來書今天我們去到最後一章
[00:02:05.000 --> 00:02:08.000]  和大家分享13章
[00:02:08.000 --> 00:02:13.000]  書信都有一個特定的格式
[00:02:13.000 --> 00:02:16.000]  就是開頭的部分是教義為主
[00:02:16.000 --> 00:02:20.000]  到後半章是生活為主
[00:02:20.000 --> 00:02:23.000]  開頭的部分是和我們的生命有關
[00:02:23.000 --> 00:02:27.000]  我們如何得救,得著豐盛的人生
[00:02:27.000 --> 00:02:29.000]  是各方面有關的
[00:02:29.000 --> 00:02:34.000]  到後半章是生活有關,是我們的付出有關
[00:02:34.000 --> 00:02:39.000]  是因為這樣,我們看到整個保羅的書信也好
[00:02:39.000 --> 00:02:41.000]  一般的書信,普通的書信也好
[00:02:41.000 --> 00:02:47.000]  都是按照這個特定的格式,繼續不斷提醒我們
[00:02:47.000 --> 00:02:50.000]  為什麼要這樣呢?因為很簡單
[00:02:50.000 --> 00:02:54.000]  因為信和行是不可以分開的
[00:02:54.000 --> 00:02:57.000]  是一個銀的兩面
[00:02:57.000 --> 00:03:00.000]  只有信沒有行,這種是死的信
[00:03:00.000 --> 00:03:02.000]  聖經裡面說得很清楚
[00:03:02.000 --> 00:03:06.000]  但唯有一個有行動、有行為的信心
[00:03:06.000 --> 00:03:10.000]  這種信心就是一個活的信心
[00:03:10.000 --> 00:03:13.000]  我們看到希伯來書從一章到十二章
[00:03:13.000 --> 00:03:17.000]  主要講到兩方面的教義
[00:03:17.000 --> 00:03:21.000]  一個是基督論,第二個是救恩論
[00:03:21.000 --> 00:03:26.000]  基督論的方面多次多方告訴我們
[00:03:26.000 --> 00:03:29.000]  耶穌基督是無可比擬的救主
[00:03:29.000 --> 00:03:34.000]  無可比擬的神,無可比擬的基督
[00:03:34.000 --> 00:03:39.000]  他是不可以和一般的先知相提並論
[00:03:39.000 --> 00:03:42.000]  他是遠超過先知
[00:03:42.000 --> 00:03:45.000]  第二,他不可以和天使相提並論
[00:03:45.000 --> 00:03:47.000]  他是遠超過天使
[00:03:47.000 --> 00:03:52.000]  第三,他是不可以和任何的信心偉人
[00:03:52.000 --> 00:03:55.000]  甚至宗教領袖相提並論
[00:03:55.000 --> 00:03:59.000]  因為他是遠超過好像摩西
[00:03:59.000 --> 00:04:01.000]  好像一切宗教的教子一樣
[00:04:01.000 --> 00:04:03.000]  是無可比擬的
[00:04:03.000 --> 00:04:07.000]  第四個方面,他甚至不可以和一切的祭司相提並論
[00:04:07.000 --> 00:04:11.000]  他是遠超過一切的祭司
[00:04:11.000 --> 00:04:15.000]  而實際上他是君王祭司先知的總結
[00:04:15.000 --> 00:04:17.000]  這就叫做基督
[00:04:17.000 --> 00:04:24.000]  聖嬰從各方面多面的完整的建立了一種這樣的基督論
[00:04:24.000 --> 00:04:25.000]  為什麼呢?
[00:04:25.000 --> 00:04:31.000]  就是因為他是實實在在的創造主
[00:04:31.000 --> 00:04:35.000]  他也是運行整個世界和宇宙的掌管者
[00:04:35.000 --> 00:04:39.000]  而第三,他自己本身到成為玉身來到這個世界
[00:04:39.000 --> 00:04:45.000]  他是唯一一個能夠透過他一次過獻上的活祭
[00:04:45.000 --> 00:04:49.000]  能夠叫所有人的罪一筆勾銷
[00:04:49.000 --> 00:04:54.000]  需要這樣的緣故,他就能夠將我們的罪全言的除去
[00:04:54.000 --> 00:04:57.000]  而一般的祭司自己都有罪
[00:04:57.000 --> 00:04:59.000]  自己也要為自己的罪獻祭
[00:04:59.000 --> 00:05:02.000]  而他是一次過搞定了
[00:05:02.000 --> 00:05:08.000]  當基督論搞定了,成立了,讓我們明白了之後
[00:05:08.000 --> 00:05:11.000]  聖經第二部分的教義就是救恩論
[00:05:11.000 --> 00:05:16.000]  而救恩論裡面連續用了五次主要的經文
[00:05:16.000 --> 00:05:18.000]  是一種警告的經文
[00:05:18.000 --> 00:05:22.000]  是警告信徒的本身不要離棄這個真道
[00:05:22.000 --> 00:05:26.000]  但我們看一方面,聖經非常清楚
[00:05:26.000 --> 00:05:28.000]  說到一次得救,永遠得救
[00:05:28.000 --> 00:05:31.000]  這個救恩是不會失落的
[00:05:31.000 --> 00:05:35.000]  但是另一方面,如果信徒離棄這個真道的時候
[00:05:35.000 --> 00:05:37.000]  他們會得著神的管教
[00:05:37.000 --> 00:05:41.000]  而這個管教是不是等於救恩會失落呢?
[00:05:41.000 --> 00:05:44.000]  從聖經裡面很清楚,不是
[00:05:44.000 --> 00:05:49.000]  反而是什麼呢?就好像以色列人
[00:05:49.000 --> 00:05:55.000]  當他們離開埃及,要進流奶與脈這種的境界
[00:05:55.000 --> 00:05:57.000]  但是就在抗野期間
[00:05:57.000 --> 00:06:02.000]  因為他們多次多方的不信服,頸硬口硬心硬
[00:06:02.000 --> 00:06:09.000]  因為這樣的緣故,他們是沒辦法得著流奶與脈的境界
[00:06:09.000 --> 00:06:12.000]  換句話來講,得救是一回事
[00:06:12.000 --> 00:06:14.000]  他們過了紅海,是一回事
[00:06:14.000 --> 00:06:18.000]  但是,豐盛的人生是另一回事
[00:06:18.000 --> 00:06:22.000]  如果他們不用信心來信服神的教導的時候
[00:06:22.000 --> 00:06:26.000]  他們也沒辦法過著豐盛的人生
[00:06:26.000 --> 00:06:30.000]  第二種方法,大陸更清楚地告訴我們
[00:06:30.000 --> 00:06:34.000]  離棄真道的人就好像一塊田
[00:06:34.000 --> 00:06:39.000]  得到各種不同的養分與水的供應
[00:06:39.000 --> 00:06:42.000]  但是反而長出很多的荊棘、窒泥的時候
[00:06:42.000 --> 00:06:44.000]  結局會是怎樣呢?
[00:06:44.000 --> 00:06:48.000]  結局就是焚燒
[00:06:48.000 --> 00:06:50.000]  焚燒什麼呢?
[00:06:50.000 --> 00:06:56.000]  焚燒這塊田上的荊棘和窒泥
[00:06:56.000 --> 00:07:00.000]  換句話來講,我們這個人就好像那塊田一樣
[00:07:00.000 --> 00:07:07.000]  如果我們自己離棄真道,不長進,不按主的話來行
[00:07:07.000 --> 00:07:10.000]  長滿我們身上有很多的荊棘窒泥
[00:07:10.000 --> 00:07:12.000]  很多問題出來的時候
[00:07:12.000 --> 00:07:15.000]  神會焚燒那些荊棘和窒泥
[00:07:15.000 --> 00:07:19.000]  換句話來講,把我們身上的三千八國
[00:07:19.000 --> 00:07:23.000]  傷害人的那些東西,會管教我們、剁削我們
[00:07:23.000 --> 00:07:27.000]  讓這些渣滓在我們身上一刀兩斷
[00:07:27.000 --> 00:07:29.000]  這就是神的方法
[00:07:29.000 --> 00:07:30.000]  目的是什麼呢?
[00:07:30.000 --> 00:07:33.000]  好讓這塊田更加肥沃
[00:07:33.000 --> 00:07:35.000]  能夠合乎監眾的人用
[00:07:35.000 --> 00:07:38.000]  這就是神自己給我們的心意
[00:07:38.000 --> 00:07:42.000]  當這個教義的部分搞清楚
[00:07:42.000 --> 00:07:45.000]  救恩是上帝為我們持守的
[00:07:45.000 --> 00:07:47.000]  是耶穌為我們持守的
[00:07:47.000 --> 00:07:50.000]  凡是祂裡面的那些得救了的人
[00:07:50.000 --> 00:07:57.000]  天父絕對會負責來保守他們的救恩
[00:07:57.000 --> 00:07:59.000]  而耶穌基督也很清楚說
[00:07:59.000 --> 00:08:03.000]  誰也不能從我的手中將他們奪去
[00:08:03.000 --> 00:08:07.000]  說完之後,接著祂就告訴我們
[00:08:07.000 --> 00:08:09.000]  既然神是一個這麼偉大的神
[00:08:09.000 --> 00:08:12.000]  創天造地的主,成為我們的救主
[00:08:12.000 --> 00:08:16.000]  祂又是讓我們的救恩有一個永恆的保障
[00:08:16.000 --> 00:08:20.000]  我們今天應該有一個怎樣的回應呢?
[00:08:20.000 --> 00:08:29.000]  我很想在今天用駕車來和大家比喻
[00:08:29.000 --> 00:08:39.000]  最近有一件令人心悶、很難過的新聞
[00:08:39.000 --> 00:08:43.000]  一家人趁著有假期
[00:08:43.000 --> 00:08:48.000]  去了紐西蘭開車遊
[00:08:48.000 --> 00:08:49.000]  主要是什麼呢?
