
[00:00:00.000 --> 00:00:08.000]  歷史歷代都有很多武術比賽
[00:00:08.000 --> 00:00:11.000]  或者一些比拼大會
[00:00:11.000 --> 00:00:16.000]  在古代我們看到一些西方他們用騎馬
[00:00:16.000 --> 00:00:27.000]  用長擊 用槍械來比拼決定哪個是聖 哪個是父
[00:00:27.000 --> 00:00:38.000]  中國我們經常以劍擊 武器 或者說功夫 拳術來比拼武功
[00:00:38.000 --> 00:00:42.000]  場面其實同樣是這麼激烈
[00:00:42.000 --> 00:00:46.000]  中國武術大師 大家如果看戲看得多
[00:00:46.000 --> 00:00:54.000]  或者讀書 有時看一些對中國的武術文章
[00:00:54.000 --> 00:01:03.000]  你會知道有霍元甲 有黃飛鴻 葉問 這些都是一級的大師
[00:01:03.000 --> 00:01:06.000]  武俠小說更加神奇
[00:01:06.000 --> 00:01:12.000]  武林大會 用武功來決定誰是武林盟主
[00:01:12.000 --> 00:01:16.000]  正邪之爭 黑道和白道
[00:01:16.000 --> 00:01:25.000]  有五大門派圍剿魔教 這些全部都是很激烈的場面
[00:01:25.000 --> 00:01:30.000]  今天我要和大家一起看舊約的一段經文
[00:01:30.000 --> 00:01:36.000]  而這段經文也是轟動當時整個以色列國
[00:01:36.000 --> 00:01:42.000]  不單單是兩個正邪的兩派之爭
[00:01:42.000 --> 00:01:47.000]  也是真神和假神的一個屬靈的大爭戰
[00:01:47.000 --> 00:01:52.000]  我們可以稱它為加密山風雲
[00:01:52.000 --> 00:01:56.000]  大家知道經過三年的旱災之後
[00:01:56.000 --> 00:02:02.000]  伊利亞出關 現在要來見阿哈
[00:02:02.000 --> 00:02:06.000]  昨天早上我們看到一個小人物出現
[00:02:06.000 --> 00:02:08.000]  這個小人物叫做俄巴底
[00:02:08.000 --> 00:02:12.000]  俄巴底的出現其實是要印證一件事
[00:02:12.000 --> 00:02:18.000]  就是神其實在阿哈王的邪惡統治下
[00:02:18.000 --> 00:02:22.000]  神留下了一些向他忠貞的人
[00:02:22.000 --> 00:02:27.000]  在俄巴底的供養下 最少有100個
[00:02:27.000 --> 00:02:32.000]  然後第十九章我們看到神保守的底下有7000個
[00:02:32.000 --> 00:02:38.000]  所以整個俄巴底出現是讓我們看到
[00:02:38.000 --> 00:02:44.000]  在一個惡劣的社會 在人欲橫流的情況下
[00:02:44.000 --> 00:02:47.000]  仍然有一股清流
[00:02:47.000 --> 00:02:52.000]  然後俄巴底就照著伊利亞的吩咐
[00:02:52.000 --> 00:02:56.000]  最後他去和阿哈說 叫阿哈來見他
[00:02:56.000 --> 00:03:04.000]  他們就約定了神明比拼大會在加密山上
[00:03:04.000 --> 00:03:11.000]  這個建議就是有一次的一次了斷
[00:03:11.000 --> 00:03:15.000]  就是說要證明哪一個是真
[00:03:15.000 --> 00:03:19.000]  哪一個是值得以色列百姓尊崇的神
[00:03:19.000 --> 00:03:24.000]  他建議阿哈帶450個巴黎先知上神
[00:03:24.000 --> 00:03:27.000]  而他有多少個?
[00:03:27.000 --> 00:03:28.000]  一個
[00:03:28.000 --> 00:03:31.000]  一對450
[00:03:31.000 --> 00:03:37.000]  那個贏數的比率其實是低至有底
[00:03:37.000 --> 00:03:40.000]  所以巴黎那邊是佔盡優勢
[00:03:40.000 --> 00:03:46.000]  伊利亞他要這樣做其實是讓人知道
[00:03:46.000 --> 00:03:51.000]  這個比拼的結果不會有不公平的地方
[00:03:51.000 --> 00:03:53.000]  在他這一方面
[00:03:53.000 --> 00:03:59.000]  因為他將所有的優勢全部給了他的敵人
[00:03:59.000 --> 00:04:03.000]  所以第20次我們看到阿哈就猜險人
[00:04:03.000 --> 00:04:10.000]  招聚以色列眾人和先知到上加密山
[00:04:10.000 --> 00:04:14.000]  在每一次的比拼大會
[00:04:14.000 --> 00:04:19.000]  我覺得其實讓整個的比拼大會之所以激烈
[00:04:19.000 --> 00:04:23.000]  不是因為他們打架的那些人
[00:04:23.000 --> 00:04:25.000]  或者比武的那些人
[00:04:25.000 --> 00:04:31.000]  旁邊有很多粉絲在那裡呼搖旗
[00:04:31.000 --> 00:04:33.000]  吶喊打鼓
[00:04:33.000 --> 00:04:35.000]  然後在那裡尖叫
[00:04:35.000 --> 00:04:42.000]  就是在那些粉絲裡面影響到這些情緒
[00:04:42.000 --> 00:04:45.000]  非常激昂的情緒
[00:04:45.000 --> 00:04:49.000]  所以你在那種情況下你很難保持中立
[00:04:49.000 --> 00:04:51.000]  你不是在這邊就是在那邊
[00:04:51.000 --> 00:04:56.000]  你不可以說我站著我看著我等著
[00:04:56.000 --> 00:04:58.000]  我現在都不知道支持哪一邊
[00:04:58.000 --> 00:05:00.000]  不可以的
[00:05:00.000 --> 00:05:05.000]  所以我們現在要從六個場景來看看
[00:05:05.000 --> 00:05:10.000]  加密山風雲到底是怎麼樣
[00:05:12.000 --> 00:05:16.000]  第一個場景就是對百姓說的話
[00:05:16.000 --> 00:05:18.000]  對百姓說的話
[00:05:18.000 --> 00:05:20.000]  第21節
[00:05:20.000 --> 00:05:27.000]  伊利亞前來對眾民說你們心慈兩意要到幾時呢
[00:05:27.000 --> 00:05:30.000]  若耶和華是神就當順從耶和華
[00:05:30.000 --> 00:05:34.000]  若巴力是神就當順從巴力
[00:05:34.000 --> 00:05:38.000]  你看看他們的反應
[00:05:38.000 --> 00:05:40.000]  他們怎樣
[00:05:40.000 --> 00:05:44.000]  眾人一言不答
[00:05:44.000 --> 00:05:50.000]  我們先說一下到底巴力神是一個什麼神
[00:05:50.000 --> 00:05:52.000]  巴力到底是什麼神明
[00:05:52.000 --> 00:05:57.000]  為什麼他能夠有這麼多的信眾在當時的情況
[00:05:57.000 --> 00:06:00.000]  巴力其實是眾數的
[00:06:00.000 --> 00:06:03.000]  不單單一個巴力
[00:06:03.000 --> 00:06:05.000]  是很多個巴力
[00:06:05.000 --> 00:06:07.000]  所以如果在看舊約聖經
[00:06:07.000 --> 00:06:10.000]  你會看到巴力哈門
[00:06:10.000 --> 00:06:12.000]  巴力比爾
[00:06:12.000 --> 00:06:15.000]  還有巴奧哈佐
[00:06:15.000 --> 00:06:18.000]  巴奧哈達
[00:06:18.000 --> 00:06:22.000]  很多的巴力的名稱
[00:06:22.000 --> 00:06:25.000]  所以他們在不同的領域
[00:06:25.000 --> 00:06:28.000]  巴力也有不同的稱號
