
[00:00:00.000 --> 00:00:08.000]  新節目早安 今天是復活節的第一個主日
[00:00:08.000 --> 00:00:12.200]  上一個禮拜就是復活節主日
[00:00:12.200 --> 00:00:14.200]  所以今天是第一個主日
[00:00:14.200 --> 00:00:18.400]  在教會一定的經文 通常大的節期
[00:00:18.400 --> 00:00:22.200]  我們是有幾個星期去紀念復活節
[00:00:22.200 --> 00:00:28.000]  所以今天我所選的經文就是跟著復活節之後
[00:00:28.000 --> 00:00:31.400]  所以昨天所講的道都是復活節之後
[00:00:31.400 --> 00:00:34.800]  都是跟著這個節期的經文
[00:00:34.800 --> 00:00:38.600]  還沒有出來吧 正在來
[00:00:38.600 --> 00:00:46.000]  經文就是用《約翰福音》
[00:00:46.000 --> 00:00:49.200]  未見而信有福了
[00:00:49.200 --> 00:00:52.400]  我們一起去讀
[00:00:52.400 --> 00:00:54.800]  總共有十一節聖經
[00:00:54.800 --> 00:00:58.600]  《約翰福音》20章19到29節
[00:00:58.600 --> 00:01:01.000]  20章不是2章 我打小了一個字
[00:01:01.000 --> 00:01:03.400]  20章 我們一起讀19節
[00:01:03.400 --> 00:01:07.600]  那一天就是七天的第一天晚上
[00:01:07.600 --> 00:01:13.000]  門徒因怕猶太人所在的地方門都關了
[00:01:13.000 --> 00:01:16.600]  耶穌來站在當中對他們說
[00:01:16.600 --> 00:01:18.400]  「願你們平安」
[00:01:18.400 --> 00:01:22.800]  說了這話就把手和肋旁給他們看
[00:01:22.800 --> 00:01:26.000]  門徒一看見主就喜樂了
[00:01:26.000 --> 00:01:28.600]  於是耶穌又對他們說
[00:01:28.600 --> 00:01:30.200]  「願你們平安」
[00:01:30.200 --> 00:01:35.000]  「父怎樣差遣了我 我也照樣差遣你們」
[00:01:35.000 --> 00:01:39.000]  說了這話就向他們吹一口氣
[00:01:39.000 --> 00:01:41.400]  說「領受聖靈吧」
[00:01:41.400 --> 00:01:45.600]  「你們赦免誰的罪 誰的罪就得赦免」
[00:01:45.600 --> 00:01:50.400]  「你們不赦免誰的罪 誰的罪就不得赦免」
[00:01:50.400 --> 00:01:55.200]  那十二使徒中有個叫底土馬的多馬
[00:01:55.200 --> 00:01:59.800]  耶穌來的時候 他們又和他們在一起
[00:01:59.800 --> 00:02:02.600]  其他的門徒就對他說
[00:02:02.600 --> 00:02:05.000]  「我們已經看見主了」
[00:02:05.000 --> 00:02:07.400]  多馬卻對他們說
[00:02:07.400 --> 00:02:10.600]  「除非我看見他手上的釘痕」
[00:02:10.600 --> 00:02:13.600]  「用我的指頭探入那釘痕」
[00:02:13.600 --> 00:02:18.000]  「用我的手探入他的肋旁 我總不信」
[00:02:18.000 --> 00:02:21.200]  過了八天 門徒又在屋裡
[00:02:21.200 --> 00:02:25.400]  多馬也和他們在一起 門都關了
[00:02:25.400 --> 00:02:28.400]  耶穌來站在當中 說
[00:02:28.400 --> 00:02:30.200]  「願你們平安」
[00:02:30.200 --> 00:02:32.400]  然後他對多馬說
[00:02:32.400 --> 00:02:37.000]  「把你的指頭伸到這裡來 看看我的手」
[00:02:37.000 --> 00:02:40.600]  「把你的手伸過來 探入我的肋旁」
[00:02:40.600 --> 00:02:43.200]  「不要疑惑 總要信」
[00:02:43.200 --> 00:02:45.800]  多馬回答對他說
[00:02:45.800 --> 00:02:48.000]  「我的主 我的上帝」
[00:02:48.000 --> 00:02:49.800]  耶穌對他說
[00:02:49.800 --> 00:02:52.800]  「你因為看見了 我才信嗎?」
[00:02:52.800 --> 00:02:57.800]  「那沒有看見卻信的又服了?」
[00:02:57.800 --> 00:03:01.200]  我們嘗試回到耶穌復活那天
[00:03:01.200 --> 00:03:05.800]  看看那天發生了什麼事情
[00:03:05.800 --> 00:03:09.400]  在七天的第一天的清晨
[00:03:09.400 --> 00:03:13.400]  莫大拉的瑪利亞和幾個婦女一起去墳墓
[00:03:13.400 --> 00:03:16.200]  發現石頭被拿走了
[00:03:16.200 --> 00:03:20.000]  他們很驚恐 沒有查清楚天還黑的時候
[00:03:20.000 --> 00:03:24.200]  就回去跟朋友說 說耶穌的身體不見了
[00:03:24.200 --> 00:03:27.400]  接著約翰和彼得就走去墳墓那裡
[00:03:27.400 --> 00:03:31.400]  彼得和約翰去的時候
[00:03:31.400 --> 00:03:35.400]  約翰先到 因為他比較年輕 走得快
[00:03:35.400 --> 00:03:38.200]  彼得後來就到
[00:03:38.200 --> 00:03:41.200]  約翰沒有進入墳墓裡面去檢查
[00:03:41.200 --> 00:03:44.200]  但彼得進去
[00:03:44.200 --> 00:03:47.200]  聖經記載一個很奇怪的就是
[00:03:47.200 --> 00:03:51.200]  他看見那絲布和那條筋沒有動過
[00:03:51.200 --> 00:03:53.200]  仍然放在那裡
[00:03:53.200 --> 00:03:57.200]  意思就是說 屍體不見了
[00:03:57.200 --> 00:03:59.200]  但屍體不見了 一般來說
[00:03:59.200 --> 00:04:01.200]  如果你將屍體拿走
[00:04:01.200 --> 00:04:04.200]  你一定要將那絲布拆開 放在一邊
[00:04:04.200 --> 00:04:07.200]  或者連那絲布一起搬走 是吧
[00:04:07.200 --> 00:04:09.200]  即是連整個拿走
[00:04:09.200 --> 00:04:11.200]  如果你不整個拿走那條螺絲體
[00:04:11.200 --> 00:04:13.200]  你就應該將那絲布拆開
[00:04:13.200 --> 00:04:16.200]  然後整堆東西放在一起
[00:04:16.200 --> 00:04:18.200]  就不是凝在那裡
[00:04:18.200 --> 00:04:20.200]  凝在那裡的意思就是
[00:04:20.200 --> 00:04:25.200]  身體不見了 但那絲布所包的形狀沒有改變
[00:04:25.200 --> 00:04:30.200]  就好像一個蠶 走出來空殼
[00:04:30.200 --> 00:04:33.200]  這個我在幾年前講過的
[00:04:33.200 --> 00:04:38.200]  約翰的記載這一點很獨特
[00:04:38.200 --> 00:04:40.200]  所以他印象很深
[00:04:40.200 --> 00:04:46.200]  接著約翰說 看見就相信
[00:04:46.200 --> 00:04:47.200]  相信什麼呢?
[00:04:47.200 --> 00:04:50.200]  相信耶穌復活? 相信身體不見了?
[00:04:50.200 --> 00:04:53.200]  這個信是帶有很大的疑惑
[00:04:53.200 --> 00:04:55.200]  所以接著那句就說
[00:04:55.200 --> 00:04:59.200]  他們還不明白耶穌復活的事
[00:04:59.200 --> 00:05:01.200]  就是他看見 相信什麼呢?
[00:05:01.200 --> 00:05:03.200]  屍體真的不見了
[00:05:03.200 --> 00:05:05.200]  但怎麼不見呢?
[00:05:05.200 --> 00:05:08.200]  是復活了還是被人偷呢?
[00:05:08.200 --> 00:05:11.200]  其實他們不知道
[00:05:11.200 --> 00:05:14.200]  帶著惶恐疑惑
[00:05:14.200 --> 00:05:18.200]  約翰和彼得就回到門徒那裡
[00:05:18.200 --> 00:05:22.200]  沒有再提 也不敢說
[00:05:22.200 --> 00:05:25.200]  心情就是這樣 很奇怪
[00:05:25.200 --> 00:05:31.200]  好了 莫大納瑪尼亞就回到墳墓
[00:05:31.200 --> 00:05:33.200]  其他的婦女再回的時候
[00:05:33.200 --> 00:05:36.200]  等一段時間 其他的婦女都離開了
[00:05:36.200 --> 00:05:38.200]  就剩下莫大納瑪尼亞
[00:05:38.200 --> 00:05:41.200]  後來莫大納瑪尼亞見到耶穌
[00:05:41.200 --> 00:05:45.200]  不認得 直到耶穌說話他才認得
[00:05:45.200 --> 00:05:47.200]  接著我們看到
[00:05:47.200 --> 00:05:49.200]  耶穌說不要摸我
[00:05:49.200 --> 00:05:51.200]  我還沒有升上天 別纏著我
[00:05:51.200 --> 00:05:53.200]  你回去跟門徒說
[00:05:53.200 --> 00:05:56.200]  於是莫大納瑪尼亞就回去跟門徒說
[00:05:56.200 --> 00:05:59.200]  我看見主了 耶穌真的復活了
[00:05:59.200 --> 00:06:04.200]  那個門徒很驚訝 真是看見主了
[00:06:04.200 --> 00:06:07.200]  當中有兩個門徒就離開他們
[00:06:07.200 --> 00:06:10.200]  就去二馬五舍 都是同一天
