
[00:00:00.000 --> 00:00:05.000]  請姐妹主愛平安
[00:00:05.000 --> 00:00:17.000]  我們來到第三堂討論思想主題永約的子民
[00:00:17.000 --> 00:00:22.000]  在廣恩的20週年
[00:00:22.000 --> 00:00:25.000]  堂慶的這一年
[00:00:25.000 --> 00:00:29.000]  我們選擇這段經文是因為
[00:00:29.000 --> 00:00:33.000]  剛才我們讀了《崔埃及記》十九章
[00:00:33.000 --> 00:00:38.000]  上帝透過摩西和以色列人說
[00:00:38.000 --> 00:00:41.000]  你們是被揀選的族類
[00:00:41.000 --> 00:00:43.000]  是有君尊的祭司
[00:00:43.000 --> 00:00:45.000]  是聖潔的國度
[00:00:45.000 --> 00:00:47.000]  是屬神的子民
[00:00:47.000 --> 00:00:50.000]  你不是背著《崔埃及記》
[00:00:50.000 --> 00:00:53.000]  我是背著彼得
[00:00:53.000 --> 00:00:59.000]  在他寫信給新約教會的弟兄姊妹
[00:00:59.000 --> 00:01:03.000]  和基督徒解釋
[00:01:03.000 --> 00:01:05.000]  我們是誰呀
[00:01:05.000 --> 00:01:07.000]  使徒彼得
[00:01:07.000 --> 00:01:10.000]  耶穌的大弟子
[00:01:10.000 --> 00:01:12.000]  在最早的時候
[00:01:12.000 --> 00:01:17.000]  他就引用上帝和以色列人
[00:01:17.000 --> 00:01:20.000]  所說的這幾句話
[00:01:20.000 --> 00:01:25.000]  所以納約的書卷
[00:01:25.000 --> 00:01:30.000]  在西乃納約的時候讀出
[00:01:30.000 --> 00:01:34.000]  是對著十二支派
[00:01:34.000 --> 00:01:42.000]  但是如果按照彼得這樣的解釋
[00:01:42.000 --> 00:01:47.000]  其實我們都是有份在其中
[00:01:47.000 --> 00:01:52.000]  我們都是上帝所揀選的族類
[00:01:52.000 --> 00:01:57.000]  我們都是上帝的子民
[00:01:57.000 --> 00:02:01.000]  不過我們從來都不是這麼緊張
[00:02:01.000 --> 00:02:07.000]  讀這些舊約的律法
[00:02:07.000 --> 00:02:12.000]  我們總是用一句金句就頂住的
[00:02:12.000 --> 00:02:16.000]  我們如今在恩典之下
[00:02:16.000 --> 00:02:19.000]  不再在律法之下
[00:02:19.000 --> 00:02:22.000]  小心!小心!
[00:02:22.000 --> 00:02:24.000]  這句話不是這麼解釋的
[00:02:24.000 --> 00:02:26.000]  所以我和大家都提過
[00:02:26.000 --> 00:02:29.000]  初海及記二十一章
[00:02:29.000 --> 00:02:36.000]  引進約書的經文的第一句標題
