
[00:00:00.000 --> 00:00:11.400]  在此先恭喜大家 新一年能夠有一個更好的新開始
[00:00:11.400 --> 00:00:15.400]  特別是在靈性上能夠有更加的成長
[00:00:15.400 --> 00:00:18.400]  在此也說幾句私人的說話
[00:00:18.400 --> 00:00:21.900]  多謝大家的關心
[00:00:21.900 --> 00:00:24.900]  無論在網絡上 過去一年當中
[00:00:24.900 --> 00:00:30.900]  我覺得很多弟子妹很關懷
[00:00:30.900 --> 00:00:34.900]  特別是上星期有一個姐妹問我
[00:00:34.900 --> 00:00:38.900]  不見了師母大師 她是否生病了
[00:00:38.900 --> 00:00:42.900]  她說不是病了 是一位很好的姐妹
[00:00:42.900 --> 00:00:44.900]  看到師母每星期都帶師
[00:00:44.900 --> 00:00:46.900]  她說不如我每個月帶一次
[00:00:46.900 --> 00:00:53.900]  我說這份見證是很值得我們一起協力去努力
[00:00:53.900 --> 00:00:57.900]  她也明白到這一點
[00:00:57.900 --> 00:01:00.900]  所以看到每個弟子妹的關懷
[00:01:00.900 --> 00:01:05.900]  也要多謝弟子妹寄來的聖誕卡
[00:01:05.900 --> 00:01:10.900]  有弟子妹送上祝福 很高興
[00:01:10.900 --> 00:01:17.900]  在此再次讓我們一起在主教裏學習感恩
[00:01:17.900 --> 00:01:20.900]  雖然我們教會不是很多人
[00:01:20.900 --> 00:01:26.900]  但我們的教會是充滿追求真理的教會
[00:01:26.900 --> 00:01:29.900]  彼此大家的接待
[00:01:29.900 --> 00:01:32.900]  在此也再次多謝弟子妹聖誕節
[00:01:32.900 --> 00:01:37.900]  送上朱古力 糖果
[00:01:37.900 --> 00:01:40.900]  雖然我不敢吃很多
[00:01:40.900 --> 00:01:47.900]  年紀大不敢吃那麼多甜食
[00:01:47.900 --> 00:01:50.900]  但很衷心多謝大家
[00:01:50.900 --> 00:01:53.900]  在此我們再次聆聽主導議先
[00:01:53.900 --> 00:01:55.900]  我們一起去同心禱告
[00:01:55.900 --> 00:01:57.900]  將為自己教會 我們常駐我們身
[00:01:57.900 --> 00:02:06.900]  父神多謝祢給我們在過去2025年整年的經歷
[00:02:06.900 --> 00:02:09.900]  日子過得非常之快
[00:02:09.900 --> 00:02:12.900]  好像剛剛才是一月
[00:02:12.900 --> 00:02:16.900]  就完成了2025年
[00:02:16.900 --> 00:02:19.900]  踏入另一個的一月
[00:02:19.900 --> 00:02:23.900]  但願我們在新的一年裏
[00:02:23.900 --> 00:02:28.900]  我們有一個新年的願望
[00:02:28.900 --> 00:02:30.900]  好好地預備
[00:02:30.900 --> 00:02:41.900]  更加符合進入到天國子民身份的學習和預備功夫
[00:02:41.900 --> 00:02:44.900]  讓每一個屬祢的子民
[00:02:44.900 --> 00:02:46.900]  無論是先上的
[00:02:46.900 --> 00:02:51.900]  或我們教會實體崇拜的每一個
[00:02:51.900 --> 00:02:56.900]  都能夠同樣在上主祢的聖靈引導之下
[00:02:56.900 --> 00:03:00.900]  走一條合神心意的道路
[00:03:00.900 --> 00:03:05.900]  無論遇的是信或是逆
[00:03:05.900 --> 00:03:08.900]  是合乎人的意願
[00:03:08.900 --> 00:03:14.900]  或是違背我們自己所期望的
[00:03:14.900 --> 00:03:16.900]  但我們要知道
[00:03:16.900 --> 00:03:18.900]  只要有上主祢的同在
[00:03:18.900 --> 00:03:24.900]  每一個經歷都是為著我們的益處而著想
[00:03:24.900 --> 00:03:26.900]  求祢的帶領
[00:03:26.900 --> 00:03:28.900]  也就是求祢的同在
[00:03:28.900 --> 00:03:33.900]  祢的應許成為我們每一個信徒走面前
[00:03:33.900 --> 00:03:37.900]  新一年的道路的依靠
[00:03:37.900 --> 00:03:41.900]  禱告奉靠主耶穌基督得勝的名字而求
[00:03:41.900 --> 00:03:42.900]  阿們
[00:03:42.900 --> 00:03:49.900]  很多年來教會都有一種迷信
[00:03:49.900 --> 00:03:55.900]  迷信要把教會搞得非常之大
[00:03:55.900 --> 00:04:00.900]  其實不只是這幾十年來
[00:04:00.900 --> 00:04:03.900]  我們經常聽到的社區教會
[00:04:03.900 --> 00:04:06.900]  或是使命教會才有這個觀念
[00:04:06.900 --> 00:04:11.900]  多年來教會都有這種思想
[00:04:11.900 --> 00:04:14.900]  想真一點
[00:04:14.900 --> 00:04:18.900]  很多時候因為要為教會的影響力
[00:04:18.900 --> 00:04:21.900]  保持在這個世界裏
[00:04:21.900 --> 00:04:23.900]  所以群眾越多
[00:04:23.900 --> 00:04:25.900]  信徒越大
[00:04:25.900 --> 00:04:28.900]  群眾越有影響力
[00:04:28.900 --> 00:04:32.900]  加上主耶穌說要傳道
[00:04:32.900 --> 00:04:35.900]  很多時候我們就以為
[00:04:35.900 --> 00:04:38.900]  一定要搞到人數多
[00:04:38.900 --> 00:04:40.900]  教會的建築宏偉
[00:04:40.900 --> 00:04:43.900]  加上事工多元化
[00:04:43.900 --> 00:04:47.900]  這種就叫做成功的傳道
[00:04:48.900 --> 00:04:51.900]  但當我們仔細看清楚
[00:04:51.900 --> 00:04:56.900]  在這個世界走向的發展
[00:04:56.900 --> 00:05:00.900]  就是基督教不斷地萎縮
[00:05:00.900 --> 00:05:02.900]  不要說基督教
[00:05:02.900 --> 00:05:05.900]  我們所謂的更正教派
[00:05:05.900 --> 00:05:08.900]  Reform這個傳統
[00:05:08.900 --> 00:05:11.900]  或者Protestant這個傳統
[00:05:11.900 --> 00:05:14.900]  天主教非常之擔心
[00:05:14.900 --> 00:05:18.900]  因為天主教不是一個教這麼簡單
[00:05:18.900 --> 00:05:20.900]  它是一個政權
[00:05:20.900 --> 00:05:24.900]  它是要資源 要錢來運作的
[00:05:24.900 --> 00:05:30.900]  教會多年來是以錢 財政 財力
[00:05:30.900 --> 00:05:32.900]  來影響世界
[00:05:32.900 --> 00:05:36.900]  但是當我們看見信徒越來越少的時候
[00:05:36.900 --> 00:05:39.900]  天主教最擔心的就是它的影響力
[00:05:39.900 --> 00:05:42.900]  隨著它的金錢越來越少
[00:05:42.900 --> 00:05:48.900]  反過在美國回看基督教圈子裏面
[00:05:48.900 --> 00:05:53.900]  特別是更正派或者Reform之後的教會
[00:05:53.900 --> 00:05:57.900]  就是更正派這個時代改變之後
[00:05:57.900 --> 00:06:00.900]  我們發覺在教會的發展裏面
[00:06:00.900 --> 00:06:02.900]  似乎好像很蓬勃
[00:06:02.900 --> 00:06:07.900]  在這些追求教會的數量大小
[00:06:07.900 --> 00:06:12.900]  以及人數都好像曾經盛極一時
[00:06:12.900 --> 00:06:15.900]  在華人教會 西方教會
[00:06:15.900 --> 00:06:17.900]  過去這三四十年裏面
[00:06:17.900 --> 00:06:25.900]  最喜歡或者迷信的就是這個所謂社區教會的觀念
[00:06:25.900 --> 00:06:29.900]  主張社會教會這個觀念的表表者
[00:06:29.900 --> 00:06:33.900]  我相信一定不能夠走漏了這個柳樹溪教會
[00:06:33.900 --> 00:06:37.900]  Willow Creek Community Church
[00:06:37.900 --> 00:06:41.900]  它成立於1975年10月12日
[00:06:41.900 --> 00:06:43.900]  至今已經50年的時間
[00:06:43.900 --> 00:06:51.900]  但是曾經被譽為世界教會最興旺的一個代表
[00:06:51.900 --> 00:06:58.900]  卻是被我們看見近這幾年之間急劇下降
[00:06:58.900 --> 00:07:06.900]  甚至連很多華人教會 西方教會追求的所謂使命教會
[00:07:06.900 --> 00:07:12.900]  它的始祖同樣他們的教會也都大量萎縮
[00:07:12.900 --> 00:07:14.900]  不要再說那些邪的基督教
[00:07:14.900 --> 00:07:18.900]  譬如喬·奧斯頓這一類的教會
[00:07:18.900 --> 00:07:22.900]  他們的回眾大量地去減少
[00:07:22.900 --> 00:07:30.900]  以10個 20個 30個的百分比去減少人數的時候
[00:07:30.900 --> 00:07:34.900]  上帝似乎好像在開玩笑
[00:07:34.900 --> 00:07:40.900]  但其實這正正就是上帝給我們一個很清楚的訊號
[00:07:40.900 --> 00:07:47.900]  追求人數 追求教會之大 以及事工的種類之多
[00:07:47.900 --> 00:07:51.900]  其實不是教會應該走的道路
[00:07:51.900 --> 00:07:56.900]  教會的角色是應該幫助人好好預備
[00:07:56.900 --> 00:08:01.900]  能夠回到上帝之前做好預備功夫
[00:08:01.900 --> 00:08:08.900]  能夠有符合進入到天國新天新地的條件
[00:08:08.900 --> 00:08:11.900]  雖然不在乎你真的受不受針
[00:08:11.900 --> 00:08:14.900]  有沒有在教會有沒有領聖餐
[00:08:14.900 --> 00:08:20.900]  當然這兩個的聖禮是在表彰或者見證你的信仰的其中一部分
[00:08:20.900 --> 00:08:29.900]  但這兩個的聖禮並不直接等同於你的屬靈生命是已經符合進入到天國的裏面
[00:08:29.900 --> 00:08:37.900]  今天教會失去的焦點就是如何去預備信徒
[00:08:37.900 --> 00:08:44.900]  在上帝的說話之下能夠進入到上帝裏面是符合水平
[00:08:46.900 --> 00:08:53.900]  所以這一點正正就是我們今天看到的但以理書
[00:08:53.900 --> 00:08:59.900]  接下來的這段經文 但以理直著天使的啟示
[00:08:59.900 --> 00:09:07.900]  來重新讓他認識到信徒或者神的子民真正的焦點在哪裏呢
[00:09:07.900 --> 00:09:12.900]  是否回到重建自己的國家 重建猶大國
[00:09:12.900 --> 00:09:17.900]  就等同於他們等同於真正神的子民呢
[00:09:17.900 --> 00:09:22.900]  是否符合進入到上帝的永恆國度裏面呢
[00:09:22.900 --> 00:09:29.900]  原來不是 天使卻是要打開一個很不同的角度
[00:09:29.900 --> 00:09:36.900]  讓但義對看真些 究竟他的所關心的猶大國的子民
[00:09:36.900 --> 00:09:40.900]  究竟他們前路應該怎樣走
[00:09:40.900 --> 00:09:46.900]  所以今天如果我們仍然去迷信教會
[00:09:46.900 --> 00:09:52.900]  只是要搞到大大間或者人數眾多
[00:09:52.900 --> 00:09:55.900]  就等同於全道成功
[00:09:55.900 --> 00:10:00.900]  事實上可能回教會的大部分的人
[00:10:00.900 --> 00:10:04.900]  根本沒有預備好進入到屬靈的永恆國度裏面
[00:10:04.900 --> 00:10:09.900]  你和我是否這樣其中一份子預備好進入上帝裏面呢
[00:10:09.900 --> 00:10:13.900]  這就是今天我們一起去看這段聖經
[00:10:13.900 --> 00:10:18.900]  不然的話我們很容易糾纏在和這個世界裏面
[00:10:18.900 --> 00:10:22.900]  有一些結連甚至被愚弄的狀態
[00:10:22.900 --> 00:10:29.900]  就好像過去這三四十年裏面迷信於這些社區教會的觀念
[00:10:29.900 --> 00:10:32.900]  甚至和它火拍
[00:10:32.900 --> 00:10:36.900]  當我們如果教會是和這些教會的觀念
[00:10:36.900 --> 00:10:43.900]  甚至他們以世界的觀念討好社區的觀念
[00:10:43.900 --> 00:10:46.900]  來一起以為成功的話
[00:10:46.900 --> 00:10:49.900]  可能你進入了一個愚昧當中
[00:10:49.900 --> 00:10:53.900]  所以今天的主題或者這段經文我給這個題目
[00:10:53.900 --> 00:10:57.900]  叫做與世界結連的愚昧
[00:10:57.900 --> 00:11:02.900]  The Ignorance of Acquainting with the World Values
[00:11:02.900 --> 00:11:06.900]  我們一起再次打開但爾利書第十一章
[00:11:06.900 --> 00:11:10.900]  第21至第35節我們一起讀一次好不好
[00:11:10.900 --> 00:11:13.900]  剛才彭明幫我們讀了一次
[00:11:13.900 --> 00:11:21.900]  不過我相信這段聖經讀多十次你都可能不會覺得多
[00:11:21.900 --> 00:11:24.900]  因為根本上裏面講的內容
[00:11:24.900 --> 00:11:28.900]  你覺得好像講什麼呢
[00:11:28.900 --> 00:11:33.900]  我們一起打開但爾利書第十一章
[00:11:33.900 --> 00:11:39.900]  從第21至第35節我們慢慢的一起讀一下好不好
[00:11:39.900 --> 00:11:41.900]  找到之後我們一起讀
[00:11:41.900 --> 00:11:48.900]  必有一個卑鄙的人興起接續為王
[00:11:48.900 --> 00:11:52.900]  人未曾將國的尊榮給他
[00:11:52.900 --> 00:11:58.900]  他卻趁人坦然無備的時候用烈微的話德國
[00:11:58.900 --> 00:12:02.900]  必有無數的軍兵勢如洪水
[00:12:02.900 --> 00:12:06.900]  在他面前充滿敗壞
[00:12:06.900 --> 00:12:09.900]  同盟的軍也必如此
[00:12:09.900 --> 00:12:14.900]  與那軍結盟之後他必行詭詐
[00:12:14.900 --> 00:12:20.900]  因為他必上來以微小的軍成為強盛
[00:12:20.900 --> 00:12:23.900]  趁人坦然無備的時候
[00:12:23.900 --> 00:12:27.900]  他必來到國中極肥美之地
[00:12:27.900 --> 00:12:32.900]  行他列祖和他列祖之祖所未曾行的
[00:12:32.900 --> 00:12:38.900]  將老物、略物和財寶散給眾人
[00:12:38.900 --> 00:12:41.900]  又要設計攻打保障
[00:12:41.900 --> 00:12:45.900]  然而這都是暫時的
[00:12:45.900 --> 00:12:51.900]  他必奮勇向前率領大軍攻擊南方王
[00:12:51.900 --> 00:12:57.900]  南方王也必以極大極強的軍兵與他爭戰
[00:12:57.900 --> 00:12:59.900]  卻站立不住
[00:12:59.900 --> 00:13:03.900]  因為有人設計謀害南方王
[00:13:03.900 --> 00:13:06.900]  吃黃線的必敗為他
[00:13:06.900 --> 00:13:12.900]  他的軍隊必被沖沒並且被殺的甚多
[00:13:12.900 --> 00:13:17.900]  至於這二王他們心懷惡計
[00:13:17.900 --> 00:13:21.900]  同夕說謊計謀卻不成就
[00:13:21.900 --> 00:13:25.900]  因為到了定期事就了結
[00:13:25.900 --> 00:13:30.900]  北方王必帶許多財寶回往本國
[00:13:30.900 --> 00:13:33.900]  他的心也反對承約
[00:13:33.900 --> 00:13:37.900]  任意而行回到本地
[00:13:37.900 --> 00:13:40.900]  到了定期他必返回
[00:13:40.900 --> 00:13:45.900]  來到南方後一次卻不如前一次
[00:13:45.900 --> 00:13:50.900]  因為機械戰船必來攻擊他
[00:13:50.900 --> 00:13:52.900]  他就喪膽而回
[00:13:52.900 --> 00:13:54.900]  又要老行承約
[00:13:54.900 --> 00:13:56.900]  任意而行
[00:13:56.900 --> 00:14:00.900]  他必回來聯絡背棄承約的人
[00:14:00.900 --> 00:14:02.900]  他必興兵
[00:14:02.900 --> 00:14:05.900]  這兵必竊逐勝地
[00:14:05.900 --> 00:14:09.900]  就是保障除掉上憲的繁際
[00:14:09.900 --> 00:14:12.900]  此立那行毀壞可憎的
[00:14:12.900 --> 00:14:15.900]  作惡違背承約的人
[00:14:15.900 --> 00:14:18.900]  他必用巧言勾引
[00:14:18.900 --> 00:14:23.900]  唯獨認識神的子民必剛強行事
[00:14:23.900 --> 00:14:26.900]  民間的智慧人必忿懦惰人
[00:14:26.900 --> 00:14:31.900]  然而他們多日必保在刀下
[00:14:31.900 --> 00:14:35.900]  或被火燒或被擄掠搶奪
[00:14:35.900 --> 00:14:39.900]  他們撲倒時少得輔助
[00:14:39.900 --> 00:14:44.900]  卻有許多人用烈眉的話親近他們
[00:14:44.900 --> 00:14:47.900]  智慧人中有些撲倒的
[00:14:47.900 --> 00:14:50.900]  為要熬練其餘的人
[00:14:50.900 --> 00:14:54.900]  使他們清靜潔白直到沒了
[00:14:54.900 --> 00:14:58.900]  因為到了定期事就了結
[00:14:58.900 --> 00:15:04.900]  《阿瑟格爾利書》其中一個很多人所說的
[00:15:04.900 --> 00:15:09.900]  就是要將《阿瑟格利書》中每一句說話
[00:15:09.900 --> 00:15:14.900]  展示將來哪個歷史環節清楚對應
[00:15:14.900 --> 00:15:18.900]  你就能成功解釋《阿瑟格利書》
[00:15:18.900 --> 00:15:19.900]  在過去我已說過
[00:15:19.900 --> 00:15:23.900]  因為我們採用彈性的釋經方式
[00:15:23.900 --> 00:15:25.900]  Dynamic Interpretation
[00:15:25.900 --> 00:15:27.900]  對於這些異象
[00:15:27.900 --> 00:15:30.900]  當沒有直接說是哪個時代哪個人物
[00:15:30.900 --> 00:15:34.900]  我們就不要隨便將這些人物套進去
[00:15:34.900 --> 00:15:37.900]  或將這些歷史事件套進去
[00:15:37.900 --> 00:15:39.900]  有人就去反對這種說法
[00:15:39.900 --> 00:15:41.900]  這種說法他就說
[00:15:41.900 --> 00:15:43.900]  哎呀牧師你不懂
[00:15:43.900 --> 00:15:46.900]  所以你才說不如不要說
[00:15:46.900 --> 00:15:49.900]  如果我是不懂
[00:15:49.900 --> 00:15:52.900]  我就不需要做這麼多功課
[00:15:52.900 --> 00:15:53.900]  很容易說的
[00:15:53.900 --> 00:15:55.900]  很多牧者不需要預備的
[00:15:55.900 --> 00:15:57.900]  說到上去就說得了
[00:15:59.900 --> 00:16:02.900]  聖經不是解碼書
[00:16:02.900 --> 00:16:09.900]  用一本充滿密碼的書卷讓你慢慢解碼
[00:16:09.900 --> 00:16:12.900]  聖經是一本啟示的書
[00:16:12.900 --> 00:16:15.900]  讓你知道他想說什麼
[00:16:15.900 --> 00:16:23.900]  在《但異地書》當你進入第十章至第十二章
[00:16:23.900 --> 00:16:26.900]  這三章書中
[00:16:26.900 --> 00:16:27.900]  十一十二
[00:16:27.900 --> 00:16:29.900]  你會發現到
[00:16:29.900 --> 00:16:31.900]  但異地經常有一個表現
[00:16:31.900 --> 00:16:34.900]  就是我不明白裡面說什麼
[00:16:34.900 --> 00:16:36.900]  甚至最後一節他也說
[00:16:36.900 --> 00:16:38.900]  我也不知道他說什麼
[00:16:38.900 --> 00:16:43.900]  這就是解《但異地書》的目的
[00:16:43.900 --> 00:16:46.900]  不是要你解釋裡面每一個細節的片段
[00:16:46.900 --> 00:16:50.900]  而是想說到一個更重要的訊息
[00:16:50.900 --> 00:16:55.900]  就是有什麼上帝要你在這些不知道的事件裡
[00:16:55.900 --> 00:16:57.900]  想顯示的主題
[00:16:57.900 --> 00:17:00.900]  如果你知道去看
[00:17:00.900 --> 00:17:01.900]  反而還有些問題
[00:17:01.900 --> 00:17:03.900]  你知道了歷史的片段
[00:17:03.900 --> 00:17:04.900]  你剛好縮進去
[00:17:04.900 --> 00:17:06.900]  你就會失去焦點
[00:17:06.900 --> 00:17:09.900]  我們來看看這段聖經
[00:17:09.900 --> 00:17:11.900]  既然如此
[00:17:11.900 --> 00:17:13.900]  他想說什麼呢
[00:17:13.900 --> 00:17:15.900]  裡面說了很多的東西
[00:17:15.900 --> 00:17:16.900]  很多的歷史
[00:17:16.900 --> 00:17:20.900]  如果真的要找歷史片段去對應
[00:17:20.900 --> 00:17:21.900]  是可以找得到的
[00:17:21.900 --> 00:17:22.900]  是可以的
[00:17:22.900 --> 00:17:23.900]  我可以告訴你
[00:17:23.900 --> 00:17:24.900]  我一會兒也會說給大家聽的
[00:17:25.900 --> 00:17:28.900]  但是如果我說得太多給你知道
[00:17:28.900 --> 00:17:30.900]  你就失去了焦點
[00:17:30.900 --> 00:17:35.900]  你以為聖經解碼書說將來發生的事件是很可信
[00:17:35.900 --> 00:17:36.900]  不是
[00:17:36.900 --> 00:17:40.900]  我們來看看這裡想說什麼主題
[00:17:40.900 --> 00:17:42.900]  第一部分
[00:17:42.900 --> 00:17:45.900]  從第21至第27節
[00:17:45.900 --> 00:17:49.900]  這裡想說的一個主題就是
[00:17:49.900 --> 00:17:51.900]  與罪為伍
[00:17:51.900 --> 00:17:56.900]  將會在定時的時候滿朝選
[00:17:56.900 --> 00:18:02.900]  用廣東話說得比較容易明白的就是
[00:18:02.900 --> 00:18:06.900]  當你和壞人走在一起的時候
[00:18:06.900 --> 00:18:12.900]  到時候你就會慘淡收場
[00:18:12.900 --> 00:18:13.900]  那你會明白了
[00:18:13.900 --> 00:18:18.900]  原來但以你在這裡得到
[00:18:18.900 --> 00:18:21.900]  加伯列這位天使的啟示
[00:18:21.900 --> 00:18:24.900]  不是要去做對應歷史的功課
[00:18:24.900 --> 00:18:28.900]  因為他也不可能知道將來的歷史發展是怎樣
[00:18:28.900 --> 00:18:30.900]  細節是什麼
[00:18:30.900 --> 00:18:33.900]  不過聖經當天使向他說的時候
[00:18:33.900 --> 00:18:36.900]  就用了一個很籠統
[00:18:36.900 --> 00:18:38.900]  涵蓋式的陳述
[00:18:38.900 --> 00:18:40.900]  我再說一次
[00:18:40.900 --> 00:18:43.900]  英文叫做generic discourse
[00:18:43.900 --> 00:18:45.900]  一個很涵蓋式的
[00:18:45.900 --> 00:18:48.900]  一個大綱式的說法
[00:18:48.900 --> 00:18:50.900]  一說給你聽發生了什麼事
[00:18:50.900 --> 00:18:53.900]  這些事很仔細的
[00:18:53.900 --> 00:18:55.900]  裡面說得很詳細
[00:18:55.900 --> 00:18:57.900]  我一會兒逐一和大家說
[00:18:57.900 --> 00:19:00.900]  但是說這麼多的東西
[00:19:00.900 --> 00:19:01.900]  他都沒有指明到
[00:19:01.900 --> 00:19:03.900]  只是指哪個王
[00:19:03.900 --> 00:19:04.900]  哪個時代
[00:19:04.900 --> 00:19:05.900]  哪個國家
[00:19:05.900 --> 00:19:06.900]  哪個國度
[00:19:06.900 --> 00:19:08.900]  他沒有說到這些東西
[00:19:08.900 --> 00:19:10.900]  最主要的就是
[00:19:10.900 --> 00:19:11.900]  因為他要想
[00:19:11.900 --> 00:19:13.900]  但是你知道
[00:19:13.900 --> 00:19:16.900]  如果你是和壞人走在一起
[00:19:16.900 --> 00:19:21.900]  今天你以為可以風生水起
[00:19:21.900 --> 00:19:25.900]  其實上帝早有定時
[00:19:25.900 --> 00:19:30.900]  最後你可能一敗塗地
[00:19:30.900 --> 00:19:34.900]  用剛才的例子來講
[00:19:34.900 --> 00:19:37.900]  華人教會
[00:19:37.900 --> 00:19:39.900]  我敢大膽說一句
[00:19:39.900 --> 00:19:41.900]  所有的華人教會
[00:19:41.900 --> 00:19:48.900]  都在很多的地方去崇拜
[00:19:48.900 --> 00:19:49.900]  不是上帝
[00:19:49.900 --> 00:19:54.900]  崇拜成為一間巨型的社區教會
[00:19:54.900 --> 00:19:59.900]  崇拜一間教會成為小組化教會
[00:19:59.900 --> 00:20:01.900]  這些你都聽過了
[00:20:01.900 --> 00:20:03.900]  你去任何旅行
[00:20:03.900 --> 00:20:05.900]  去參加一間教會聚會
[00:20:05.900 --> 00:20:06.900]  你留意一下
[00:20:06.900 --> 00:20:08.900]  很多教會都在這方面
[00:20:08.900 --> 00:20:11.900]  用很多的時間和資源去做
[00:20:11.900 --> 00:20:16.900]  但卻是原來一個很大的騙局
[00:20:16.900 --> 00:20:17.900]  社會
[00:20:17.900 --> 00:20:19.900]  這些所謂社區教會
[00:20:19.900 --> 00:20:22.900]  他最重要的函數是什麼呢
[00:20:22.900 --> 00:20:24.900]  就是他的目的或者做法
[00:20:24.900 --> 00:20:28.900]  就是我要做多些和這個社會貼近的事情
[00:20:28.900 --> 00:20:31.900]  人會喜歡的事情
[00:20:31.900 --> 00:20:34.900]  讓他們能夠打開一個接觸點
[00:20:34.900 --> 00:20:36.900]  來到我們教會裏面
[00:20:36.900 --> 00:20:40.900]  於是為什麼很多這些搞社區教會的
[00:20:40.900 --> 00:20:44.900]  無論中外教會
[00:20:44.900 --> 00:20:48.900]  他們都很喜歡在教會做很多社區工作
