
[00:00:00.000 --> 00:00:02.000]  各位主持人 早安
[00:00:02.000 --> 00:00:05.000]  今天我們一起來思想
[00:00:05.000 --> 00:00:11.000]  我們基督徒和教會為萬民禱告的使命
[00:00:11.000 --> 00:00:15.000]  請大家打開剛才所讀的聖經
[00:00:15.000 --> 00:00:20.000]  在我們唐用聖經的1790頁
[00:00:20.000 --> 00:00:26.000]  新約聖經的提摩太前書第二章和第三章
[00:00:26.000 --> 00:00:31.000]  為萬民禱告的教會
[00:00:31.000 --> 00:00:34.000]  為萬民禱告的基督徒
[00:00:34.000 --> 00:00:36.000]  是我們的使命
[00:00:36.000 --> 00:00:40.000]  我們一直思想使命教會
[00:00:40.000 --> 00:00:43.000]  使命人生
[00:00:43.000 --> 00:00:45.000]  今天我們看一個很重要的真理
[00:00:45.000 --> 00:00:47.000]  一個有使命的教會和使命的人生
[00:00:47.000 --> 00:00:53.000]  是為萬民禱告的人和萬民禱告的教會
[00:00:53.000 --> 00:00:56.000]  大家打開聖經
[00:00:56.000 --> 00:01:00.000]  因為我比較喜歡用這個新譯本
[00:01:00.000 --> 00:01:02.000]  所以我說的時候我們引用的是新譯本
[00:01:02.000 --> 00:01:04.000]  可以看旁邊那裡
[00:01:04.000 --> 00:01:12.000]  保羅在提摩太前書第二章第一和第二節提出了這個使命
[00:01:12.000 --> 00:01:18.000]  提出了使命和二戰一口氣一句話一口氣來下的
[00:01:18.000 --> 00:01:22.000]  他說我最重要的是要勸你們
[00:01:22.000 --> 00:01:27.000]  要為萬人君王和一切有權位的人來懇求
[00:01:27.000 --> 00:01:30.000]  禱告代求和感恩
[00:01:30.000 --> 00:01:38.000]  好讓我們可以在可以敬虔莊重的過平靜安穩的日子
[00:01:38.000 --> 00:01:44.000]  如果我們不是很明白這一句話的意思
[00:01:44.000 --> 00:01:49.000]  我們很容易會誤解很自私的一個動機
[00:01:49.000 --> 00:01:54.000]  我們要為在上位的有權的來禱告
[00:01:54.000 --> 00:02:00.000]  因為我們想過一個敬虔莊重平靜安穩的日子
[00:02:00.000 --> 00:02:02.000]  很自私的我想安安樂樂
[00:02:02.000 --> 00:02:04.000]  我想平平穩穩
[00:02:04.000 --> 00:02:08.000]  求神保住這一班在位掌權
[00:02:08.000 --> 00:02:15.000]  為什麼特別指著那些有權位的君王來祈禱呢?
[00:02:15.000 --> 00:02:19.000]  因為那些人他們一個的決定
[00:02:19.000 --> 00:02:24.000]  他一種的想法就影響很多很多的人
[00:02:24.000 --> 00:02:28.000]  是不是我們基督徒就說為他們祈禱
[00:02:28.000 --> 00:02:31.000]  為我們可以有個平安的日子過呢?
[00:02:31.000 --> 00:02:34.000]  我相信神不是這樣的意思
[00:02:34.000 --> 00:02:37.000]  並不是出於一個很自私的
[00:02:37.000 --> 00:02:41.000]  那麼少的一個自我的希望來祈禱
[00:02:41.000 --> 00:02:45.000]  因為最重要的第三節就說出了原因
[00:02:45.000 --> 00:02:48.000]  在我們的救主神體內
[00:02:48.000 --> 00:02:53.000]  這個是一件美好的和可以閱立的事
[00:02:53.000 --> 00:02:55.000]  這裡提出了有個理由
[00:02:55.000 --> 00:02:56.000]  理由不是第二節
[00:02:56.000 --> 00:02:58.000]  剛才說我們可以平平安安度日
[00:02:58.000 --> 00:03:01.000]  不是 第三節才是理由
[00:03:01.000 --> 00:03:04.000]  是因為神的心意是這樣
[00:03:04.000 --> 00:03:08.000]  這個美好這個字原文是Kalon
[00:03:08.000 --> 00:03:11.000]  是美麗 Beautiful
[00:03:11.000 --> 00:03:14.000]  就是說如果一個教會
[00:03:14.000 --> 00:03:18.000]  是為萬人來禱告的教會
[00:03:18.000 --> 00:03:20.000]  在神的眼中
[00:03:20.000 --> 00:03:21.000]  這句第三節的意思
[00:03:21.000 --> 00:03:23.000]  在神眼中看這間教會
[00:03:23.000 --> 00:03:25.000]  這間教會是美麗的
[00:03:25.000 --> 00:03:28.000]  有人是為著萬民來祈禱的時候
[00:03:28.000 --> 00:03:31.000]  神看這個人是美麗的人
[00:03:31.000 --> 00:03:34.000]  美麗的 並且是他可閱立
[00:03:34.000 --> 00:03:37.000]  就是適合他心意 他喜歡
[00:03:37.000 --> 00:03:41.000]  原來因為神喜歡 神看為美麗
[00:03:41.000 --> 00:03:44.000]  我們就要行這個標準
[00:03:44.000 --> 00:03:46.000]  所以難怪保祿很重要的
[00:03:46.000 --> 00:03:48.000]  他說最重要的
[00:03:48.000 --> 00:03:50.000]  在和合會中第一
[00:03:50.000 --> 00:03:52.000]  就是說最重要的
[00:03:52.000 --> 00:03:53.000]  你不要小看這件事
[00:03:53.000 --> 00:03:55.000]  如果沒有這件事的時候
[00:03:55.000 --> 00:03:57.000]  我們並未能夠在神的眼中
[00:03:57.000 --> 00:04:00.000]  看為美麗是適合他心意
[00:04:00.000 --> 00:04:03.000]  在神的眼中看美麗的教會
[00:04:03.000 --> 00:04:06.000]  不一定是一間大教會 頂姐妹
[00:04:06.000 --> 00:04:08.000]  一間大教會不一定在神眼中
[00:04:08.000 --> 00:04:11.000]  看為美麗和適合他心意
[00:04:11.000 --> 00:04:15.000]  一間建築得很宏偉的教會
[00:04:15.000 --> 00:04:17.000]  不一定在神眼中看為美麗
[00:04:17.000 --> 00:04:18.000]  你和我可能覺得美麗
[00:04:18.000 --> 00:04:20.000]  在神眼中不一定美麗
[00:04:20.000 --> 00:04:21.000]  神從來沒有說過
[00:04:21.000 --> 00:04:23.000]  我看一間大的教堂就美麗
[00:04:23.000 --> 00:04:25.000]  不是
[00:04:25.000 --> 00:04:28.000]  也不是一間活躍的教會
[00:04:28.000 --> 00:04:29.000]  神一定看為美麗
[00:04:29.000 --> 00:04:30.000]  神看為美麗的
[00:04:30.000 --> 00:04:34.000]  是一間願意為萬民禱告的教會
[00:04:34.000 --> 00:04:37.000]  合神心意的教會
[00:04:37.000 --> 00:04:40.000]  合神心意的禱告
[00:04:40.000 --> 00:04:42.000]  是一個怎樣的禱告呢
[00:04:42.000 --> 00:04:46.000]  接著我們要進到這段聖經
[00:04:46.000 --> 00:04:50.000]  和我們所讀的第三章的經文
[00:04:50.000 --> 00:04:55.000]  究竟怎樣才可以為萬民禱告呢
[00:04:55.000 --> 00:04:59.000]  去為那些在上的掌權的禱告
[00:04:59.000 --> 00:05:00.000]  剛才我們說
[00:05:00.000 --> 00:05:03.000]  因為他的一個決策
[00:05:03.000 --> 00:05:04.000]  他一種的想法
[00:05:04.000 --> 00:05:07.000]  是影響很多很多的人
[00:05:07.000 --> 00:05:09.000]  而神自己的心意
[00:05:09.000 --> 00:05:12.000]  就是要我們去紀念他 為他祈禱
[00:05:12.000 --> 00:05:15.000]  以致我們有一個什麼呢
[00:05:15.000 --> 00:05:17.000]  有一個莊重
[00:05:17.000 --> 00:05:22.000]  敬虔莊重的過平安
[00:05:22.000 --> 00:05:25.000]  平靜安穩的日子
[00:05:25.000 --> 00:05:26.000]  這裡說四樣東西
[00:05:26.000 --> 00:05:28.000]  原文有四個字
[00:05:28.000 --> 00:05:30.000]  我想和大家說一點點
[00:05:30.000 --> 00:05:33.000]  這個神的心意
[00:05:33.000 --> 00:05:37.000]  神的心意我就按照聖經說
[00:05:37.000 --> 00:05:39.000]  說的時候可能有一點點反潮流
[00:05:39.000 --> 00:05:41.000]  可能得罪人
[00:05:41.000 --> 00:05:44.000]  我知道我說這裡可能會出界
[00:05:44.000 --> 00:05:45.000]  但是我都不怕的
[00:05:45.000 --> 00:05:46.000]  我說得出來我就不怕
[00:05:46.000 --> 00:05:47.000]  因為我按照聖經說的
[00:05:47.000 --> 00:05:50.000]  你不喜歡你就可以罵我
[00:05:50.000 --> 00:05:53.000]  這裡我沒辦法
[00:05:53.000 --> 00:05:54.000]  我研究了這麼久
[00:05:54.000 --> 00:06:00.000]  這四個字都是一個靜態和穩定的字
[00:06:00.000 --> 00:06:02.000]  就不是一個鬥爭
[00:06:02.000 --> 00:06:06.000]  推翻顛覆的字
[00:06:06.000 --> 00:06:10.000]  我們不是說神在這個世界的計劃
[00:06:10.000 --> 00:06:12.000]  不可以透過推翻
