
[00:00:00.000 --> 00:00:05.960]  我們在主裡面能夠一起敬拜
[00:00:05.960 --> 00:00:09.560]  是否實在是極大的福分
[00:00:09.560 --> 00:00:14.120]  我們除了剛才可以敬拜、頌讚
[00:00:14.120 --> 00:00:16.440]  也可以聽經課
[00:00:16.440 --> 00:00:21.080]  接著我們還有信息的時間
[00:00:21.080 --> 00:00:26.080]  都是根據我們第三段的經課來看的
[00:00:26.080 --> 00:00:28.840]  請大家打開雅各書
[00:00:28.840 --> 00:00:31.080]  第三章
[00:00:31.080 --> 00:00:33.080]  雅各書第三章
[00:00:33.080 --> 00:00:37.320]  我們今天是看第一至十二節
[00:00:37.320 --> 00:00:39.720]  我們作為主的兒女
[00:00:39.720 --> 00:00:41.720]  我們有極大的福分
[00:00:41.720 --> 00:00:44.080]  就是主給我們的
[00:00:44.080 --> 00:00:47.360]  凡是我們所需要的
[00:00:47.360 --> 00:00:51.840]  是沒有一樣他是不捨得給我們的
[00:00:51.840 --> 00:00:54.640]  他是很闊綽、很慷慨的
[00:00:54.640 --> 00:00:55.920]  聖經告訴我們
[00:00:55.920 --> 00:00:58.320]  當我們當中如果有人缺乏智慧
[00:00:58.320 --> 00:01:01.600]  我們只要堅定的心
[00:01:01.600 --> 00:01:05.200]  來向天上的父求
[00:01:05.200 --> 00:01:11.480]  這位天父是一位厚賜恩典
[00:01:11.480 --> 00:01:15.240]  美善的恩賜都是從他而來
[00:01:15.240 --> 00:01:18.480]  而他更加願意賜給他兒女的
[00:01:18.480 --> 00:01:20.480]  是我們絕對需要的
[00:01:20.480 --> 00:01:22.480]  叫做智慧
[00:01:22.480 --> 00:01:26.880]  今天很多人有常識、有學識
[00:01:26.880 --> 00:01:31.920]  但是未必有主所說的那種智慧
[00:01:31.920 --> 00:01:34.720]  如果你是渴求智慧的
[00:01:34.720 --> 00:01:37.520]  我們應該是來向天父求
[00:01:37.520 --> 00:01:41.120]  因為聖經說他是不會苛責人
[00:01:41.120 --> 00:01:44.080]  就是不會來求厭你麻煩
[00:01:44.080 --> 00:01:46.320]  不會求覺得你不配
[00:01:46.320 --> 00:01:47.920]  你來求的時候
[00:01:47.920 --> 00:01:50.720]  他就是樂意的來賞賜給我們
[00:01:50.720 --> 00:01:54.200]  雅各書是教導我們智慧生活的一本書
[00:01:54.200 --> 00:01:57.160]  而人的智慧很重要的一樣東西
[00:01:57.160 --> 00:02:00.200]  就是從他的言語裡面表達出來
[00:02:00.200 --> 00:02:04.600]  如果我們的說話是不恰當
[00:02:04.600 --> 00:02:10.120]  如果我們不懂得善用主給我們的言語來說
[00:02:10.120 --> 00:02:14.040]  那我們就沒有辦法在這個生活裡面
[00:02:14.040 --> 00:02:17.000]  來流露出主給我們的智慧
[00:02:17.000 --> 00:02:19.000]  親愛的弟兄姊妹
[00:02:19.000 --> 00:02:28.840]  我不知道你覺得自己在管理言語、管理舌頭方面是怎樣的呢?
[00:02:28.840 --> 00:02:32.520]  雅各給我們一面的鏡是照得很透的
[00:02:32.520 --> 00:02:34.040]  他首先告訴我們
[00:02:34.040 --> 00:02:37.880]  我的弟兄們不要多人作師傅
[00:02:37.880 --> 00:02:43.560]  因為曉得我們要受更重的判斷
[00:02:43.560 --> 00:02:45.560]  不要這麼急
[00:02:45.560 --> 00:02:49.880]  我們是想著要成為別人的導師、別人的教師
[00:02:49.880 --> 00:02:51.400]  特別是古代的時候
[00:02:51.400 --> 00:02:54.760]  當你做拉比、做老師、做教法師的時候
[00:02:54.760 --> 00:02:56.120]  地位特別崇高
[00:02:56.120 --> 00:02:57.320]  很多人是來到
[00:02:57.320 --> 00:02:59.880]  是真的很景仰你
[00:02:59.880 --> 00:03:02.040]  你也覺得自己非常有權位
[00:03:02.040 --> 00:03:03.560]  當時也有這樣的人
[00:03:03.560 --> 00:03:08.600]  包括一些在傳一些混亂的信息的人
[00:03:08.600 --> 00:03:11.080]  在那裡做所謂的教師
[00:03:11.080 --> 00:03:16.840]  所以雅各就說你們不要這麼多人想著要上來教人
[00:03:16.840 --> 00:03:21.320]  是不是當教會需要教導者的時候
[00:03:21.320 --> 00:03:24.920]  我們就說你不要想著要做教導者
[00:03:24.920 --> 00:03:26.520]  當你想報讀神學
[00:03:26.520 --> 00:03:28.760]  希望將來做傳導人的時候
[00:03:28.760 --> 00:03:30.520]  你不要想著要做
[00:03:30.520 --> 00:03:31.960]  如果是這樣的話
[00:03:31.960 --> 00:03:34.680]  我們需要的人就買少見少
[00:03:35.400 --> 00:03:41.720]  我們也很有理由逃避上帝給我們的教務的呼召
[00:03:41.720 --> 00:03:44.120]  我相信這裡所說的
[00:03:44.120 --> 00:03:46.680]  是針對於當時的情況
[00:03:46.680 --> 00:03:50.200]  和針對於人的一個不良的動機
[00:03:50.200 --> 00:03:54.680]  如果我經常想著我可以成為到處教導人的人
[00:03:54.680 --> 00:03:57.160]  其實我沒有資格做這件事
[00:03:57.160 --> 00:04:00.920]  一開口就教訓人的那些人
[00:04:00.920 --> 00:04:04.760]  其實我懷疑是不是上帝真的呼召他做教導者
[00:04:04.760 --> 00:04:09.880]  一個教導者真的要好像以塞亞那裡所說的
[00:04:09.880 --> 00:04:12.600]  就是求你給我受教者的舌頭
[00:04:12.600 --> 00:04:13.960]  我要聽你的話語
[00:04:13.960 --> 00:04:16.440]  然後謹慎我的言語
[00:04:16.440 --> 00:04:19.720]  不要每個人都做教師
[00:04:19.720 --> 00:04:22.200]  如果每個人都做教師就是沒有人做學生
[00:04:22.200 --> 00:04:24.200]  就是大家都不聽大家
[00:04:24.200 --> 00:04:27.560]  這樣的情況不是應該有的
[00:04:27.560 --> 00:04:30.600]  而雅各所說的就是為什麼不要做呢
[00:04:30.600 --> 00:04:35.720]  原因就是我們要受更重的判斷
[00:04:35.720 --> 00:04:38.280]  原來指手畫腳
[00:04:38.280 --> 00:04:40.520]  原來自以為是
[00:04:40.520 --> 00:04:42.600]  原來在那裡教訓人
