
[00:00:00.000 --> 00:00:09.000]  今日我們的主題就是安息 進入安息
[00:00:09.000 --> 00:00:15.000]  我相信大家看到這個主題就知道我的心想和大家回到聖經裏面
[00:00:15.000 --> 00:00:20.000]  在整個話語裏面去看這個我們很需要的主題
[00:00:20.000 --> 00:00:27.000]  作為教會的目者 我覺得我不可以當沒有發生事情
[00:00:27.000 --> 00:00:37.000]  但這也是一個困難 我不想大家聽到的時候就幫我對號入座
[00:00:37.000 --> 00:00:46.000]  我已經說了我的標準原則就是我不會在講台上講我的政治立場
[00:00:46.000 --> 00:00:54.000]  你就不要一直看他這句話是什麼 如果這麼有興趣不如留心聽阿神的話
[00:00:54.000 --> 00:01:07.000]  我相信也不需要我多講為什麼我會選擇這個題目在今天這個時間裏面講
[00:01:07.000 --> 00:01:14.000]  在兩個禮拜前我是星期六講到 所以星期天可能大家沒有聽到這篇
[00:01:14.000 --> 00:01:23.000]  但你可以回去聽 當天我已經和大家說了我從阿伯拉罕所犯的錯誤裏面
[00:01:23.000 --> 00:01:30.000]  我們看到很多時候我們都犯同樣的錯誤 最後的結論裏面
[00:01:30.000 --> 00:01:39.000]  我們很多時候不斷聽人的聲音 不是人的聲音不需要聽
[00:01:39.000 --> 00:01:47.000]  不是不需要早上起來看傳媒的新聞 不是我們不看新聞
[00:01:47.000 --> 00:01:54.000]  不是我們坐下來聊天的時候就不講這個話題 現在我們變成了進了魔羊
[00:01:54.000 --> 00:02:00.000]  起來的時候半夜都不能不停在那裏 看看發生了什麼事
[00:02:00.000 --> 00:02:06.000]  那邊為什麼會這樣講 於是就多弄一篇文章 我們發現我們停不了
[00:02:06.000 --> 00:02:11.000]  然後我們坐下來聊天的時候就停不了講這個話題
[00:02:11.000 --> 00:02:18.000]  變成我們充塞了話題 今早我做了一些實驗 坐地鐵的時候四處看人們在看什麼
[00:02:18.000 --> 00:02:25.000]  七個裏面有四個在看昨晚淘大商場的場面
[00:02:25.000 --> 00:02:30.000]  心裏面很沉重 當然你和我一會兒都會一起分享
[00:02:30.000 --> 00:02:37.000]  但是我上一次的講道裏面最後我說 與其我們不斷聽人的聲音的話
[00:02:37.000 --> 00:02:44.000]  我們應該更多聽神自己的聲音 就在這個時間裏面我們特別需要多聽神的聲音
[00:02:44.000 --> 00:02:49.000]  所以我自己都是這樣做 在這個日子裏面多讀聖經 多聽神的聲音
[00:02:49.000 --> 00:02:55.000]  今天我就想用我在過去一兩個星期裏面所聽到的 看到的神的聲音
[00:02:55.000 --> 00:02:59.000]  和大家一起分享 好不好 讓我們回到神自己的面前 看看祂
[00:02:59.000 --> 00:03:04.000]  所以今天那篇道理我不是一定要句號入座說
[00:03:04.000 --> 00:03:11.000]  這句是這樣 這句是這樣 和今天有關 不行的 神的說話就是神的說話 好不好 請你了解
[00:03:11.000 --> 00:03:14.000]  所以神的說話我就按照神的說話來講
[00:03:14.000 --> 00:03:17.000]  不過當中有很多實在給我很多的啟迪
[00:03:17.000 --> 00:03:23.000]  對於你和我今天如何能夠進入神的安息
[00:03:23.000 --> 00:03:28.000]  為什麼用這段聖經在伯來書第四章呢
[00:03:28.000 --> 00:03:33.000]  因為你看看剛才讀的時候可能有留意到 有些翻譯裏面都沒有用到這個字
[00:03:33.000 --> 00:03:42.000]  其實安息這個字 在這十一節聖經裏面出現了十三次
[00:03:42.000 --> 00:03:46.000]  就是說一節裏面不止一次 平均來講
[00:03:46.000 --> 00:03:49.000]  就是說這個肯定是一個很重要的信息
[00:03:49.000 --> 00:03:51.000]  但可能心裏會說究竟是什麼來的呢
[00:03:51.000 --> 00:03:55.000]  剛才讀那段聖經的時候又理悶又貪悶 不知道他在說什麼
[00:03:55.000 --> 00:03:59.000]  沒錯 有時候不是那麼容易了解
[00:03:59.000 --> 00:04:06.000]  因為希伯來書的作者是在向二千年前的猶太人的背景來講的
[00:04:06.000 --> 00:04:11.000]  所以他們很多掙扎關心的說法和問題
[00:04:11.000 --> 00:04:16.000]  並不是今天你和我同樣面對的問題
[00:04:16.000 --> 00:04:20.000]  不過不要緊 最重要的是當中有真理
[00:04:20.000 --> 00:04:23.000]  我看到有三個很重要的真理
[00:04:23.000 --> 00:04:27.000]  相信是你和我都可以從中得到啟迪的
[00:04:27.000 --> 00:04:32.000]  有些真理是特別可以用在我們今天所面對的 所嚮往的
[00:04:32.000 --> 00:04:35.000]  究竟我們怎樣才可以安息呢
[00:04:35.000 --> 00:04:38.000]  有時候你和我都有一種這樣的感覺
[00:04:38.000 --> 00:04:41.000]  好像詩人說我們的心不受安慰
[00:04:41.000 --> 00:04:44.000]  難過到一個地步 我都不懂得怎樣形容
[00:04:44.000 --> 00:04:47.000]  我不知道我這樣說會不會給你一些共鳴
[00:04:47.000 --> 00:04:52.000]  我們發覺我們每天的生活裏面充滿了停不下來的憂慮
[00:04:52.000 --> 00:04:57.000]  停不下來的憤怒 甚至有很大的痛苦
[00:04:57.000 --> 00:05:01.000]  我自己看回我自己最大的傷痛就是
[00:05:01.000 --> 00:05:05.000]  好像大家一起都著了魔一樣
[00:05:05.000 --> 00:05:10.000]  幾十年的朋友 認識了幾十年朋友
[00:05:10.000 --> 00:05:12.000]  竟然可以這樣說話 你明白嗎
[00:05:12.000 --> 00:05:15.000]  那種痛不是因為他錯了 還是我對了 什麼問題
[00:05:15.000 --> 00:05:18.000]  我不是時事評論上的問題
[00:05:18.000 --> 00:05:21.000]  是這個朋友為什麼這麼多年
[00:05:21.000 --> 00:05:23.000]  竟然可以和我說他這樣的說話
[00:05:23.000 --> 00:05:27.000]  對我這麼不信任 在關係上的撕裂
[00:05:27.000 --> 00:05:30.000]  我相信我不知道我這樣說有沒有誇張
[00:05:30.000 --> 00:05:32.000]  我自己一定可以告訴你
[00:05:32.000 --> 00:05:36.000]  我一樣是每天和大家一起 經歷著這種難過
[00:05:36.000 --> 00:05:39.000]  有時候在家庭裏面 有時候在一些很好的朋友裏面
[00:05:39.000 --> 00:05:41.000]  甚至在弟兄姊妹之間
[00:05:41.000 --> 00:05:45.000]  為什麼會這樣去想
[00:05:45.000 --> 00:05:50.000]  幾天前我才離開了一個群組
[00:05:50.000 --> 00:05:53.000]  不是因為生氣 而是心裏很難過
[00:05:53.000 --> 00:05:57.000]  這個群組你知不知道是七十多個牧師
[00:05:57.000 --> 00:06:00.000]  或者是教會領袖的群組
[00:06:00.000 --> 00:06:04.000]  這個群組裏面我為什麼會離開呢
[00:06:04.000 --> 00:06:08.000]  因為我在兩個星期前 我自己在看聖經裏面
[00:06:08.000 --> 00:06:12.000]  在阿伯拉罕所犯的錯誤和家庭裏面
[00:06:12.000 --> 00:06:15.000]  我稱之為一種復仇的循環裏面
[00:06:15.000 --> 00:06:20.000]  看到心裏面的感動 所以就寫了我自己的分享
