
[00:00:00.000 --> 00:00:05.000]  跌序表中間副業講到大綱
[00:00:05.000 --> 00:00:11.000]  你會發覺今日的講題不是真善美的侍奉
[00:00:11.000 --> 00:00:15.000]  這是上星期高牧師的講道
[00:00:15.000 --> 00:00:21.000]  對不起,這是我們的疏忽,令你有些誤會
[00:00:21.000 --> 00:00:25.000]  我們的講題是封面最頂那行
[00:00:25.000 --> 00:00:30.000]  聖靈彼此接納
[00:00:30.000 --> 00:00:35.000]  從復活節之後聖靈降臨節
[00:00:35.000 --> 00:00:39.000]  一直到十一月的將臨節
[00:00:39.000 --> 00:00:42.000]  去年十一月我們開始這樣讀聖經
[00:00:42.000 --> 00:00:44.000]  如果你一直在這裏的話
[00:00:44.000 --> 00:00:47.000]  這半年的時間
[00:00:47.000 --> 00:00:50.000]  從聖誕到復活節
[00:00:50.000 --> 00:00:52.000]  復活節之後又到聖誕節
[00:00:52.000 --> 00:00:58.000]  這半年的時間我們跟著教會的傳統讀聖經
[00:00:58.000 --> 00:01:03.000]  不是耶穌的生平事蹟
[00:01:03.000 --> 00:01:06.000]  而是趁這半年的機會
[00:01:06.000 --> 00:01:10.000]  可以按著經文的次序讀
[00:01:10.000 --> 00:01:12.000]  所以你有沒有留意到
[00:01:12.000 --> 00:01:15.000]  我們其實每個星期是在讀馬太音
[00:01:15.000 --> 00:01:18.000]  一章一章這樣讀下去
[00:01:18.000 --> 00:01:22.000]  所以這個好處就是
[00:01:22.000 --> 00:01:24.000]  教會讀聖經講道
[00:01:24.000 --> 00:01:29.000]  不需要每次都遇到問題
[00:01:29.000 --> 00:01:32.000]  你是不是針對我訂這個題目呢?
[00:01:32.000 --> 00:01:36.000]  你不相信,下星期去一間聖公會聚會
[00:01:36.000 --> 00:01:38.000]  我們早了一星期讀的
[00:01:38.000 --> 00:01:44.000]  下星期其他的教會就會讀我們今天這三段經課
[00:01:44.000 --> 00:01:47.000]  馬太福音第十八章
[00:01:47.000 --> 00:01:52.000]  耶穌回答彼得一個提問
[00:01:52.000 --> 00:01:56.000]  彼得進前來問耶穌說
[00:01:56.000 --> 00:02:00.000]  主啊,我弟兄得罪我
[00:02:00.000 --> 00:02:04.000]  我當饒恕他幾次呢?
[00:02:04.000 --> 00:02:07.000]  我經常說我們對彼得的印象
[00:02:07.000 --> 00:02:09.000]  就是他說是又說不是又說
[00:02:09.000 --> 00:02:11.000]  總之就是說多錯多
[00:02:11.000 --> 00:02:13.000]  但其實你留心看
[00:02:13.000 --> 00:02:17.000]  彼得這個問題很有意思
[00:02:17.000 --> 00:02:21.000]  首先彼得不是不肯饒恕他的弟兄
[00:02:21.000 --> 00:02:23.000]  所以還有一句我剛才沒有讀到
[00:02:23.000 --> 00:02:25.000]  不過你應該記得
[00:02:25.000 --> 00:02:29.000]  彼得接著問到七次可以嗎?
[00:02:29.000 --> 00:02:31.000]  七次都幾多了
[00:02:31.000 --> 00:02:34.000]  你在辦公室那裡犯了錯
[00:02:34.000 --> 00:02:36.000]  事不過三
[00:02:36.000 --> 00:02:38.000]  第一次口頭警告
[00:02:38.000 --> 00:02:39.000]  第二次書面警告
[00:02:39.000 --> 00:02:41.000]  第三次就開除了
[00:02:41.000 --> 00:02:45.000]  所以三次機會已經是最高的
[00:02:45.000 --> 00:02:48.000]  彼得說我乘二再加一
[00:02:48.000 --> 00:02:50.000]  七次夠了嗎?
[00:02:50.000 --> 00:02:52.000]  七次有時候都不會
[00:02:52.000 --> 00:02:54.000]  不需要,沒有那麼多
[00:02:54.000 --> 00:02:58.000]  彼得不是一個很mean的人
[00:02:58.000 --> 00:03:02.000]  和耶穌爭論要不要饒恕
[00:03:02.000 --> 00:03:03.000]  不是不是
[00:03:03.000 --> 00:03:04.000]  更加重要的就是
[00:03:04.000 --> 00:03:05.000]  你有沒有留意到
[00:03:05.000 --> 00:03:09.000]  彼得說是我的弟兄得罪我
[00:03:09.000 --> 00:03:11.000]  有沒有聽到這句話
[00:03:11.000 --> 00:03:17.000]  他不是假設在弟兄中間
[00:03:17.000 --> 00:03:20.000]  應該和睦同居
[00:03:20.000 --> 00:03:23.000]  他沒有假設到
[00:03:23.000 --> 00:03:25.000]  這個是我們的假設
[00:03:25.000 --> 00:03:29.000]  教會不應該有弟兄
[00:03:29.000 --> 00:03:30.000]  當然包括姐妹
[00:03:30.000 --> 00:03:32.000]  你明白不過聖經從來都不是弟兄姐妹
[00:03:32.000 --> 00:03:34.000]  這麼沉氣地說
[00:03:34.000 --> 00:03:36.000]  不應該有人得罪我的
[00:03:36.000 --> 00:03:38.000]  外面這個世界會
[00:03:38.000 --> 00:03:39.000]  辦公室會
[00:03:39.000 --> 00:03:40.000]  家裡都會
[00:03:40.000 --> 00:03:41.000]  教會不會
[00:03:41.000 --> 00:03:42.000]  如果教會會
[00:03:42.000 --> 00:03:43.000]  我找另一間
[00:03:43.000 --> 00:03:45.000]  你會很失望
[00:03:45.000 --> 00:03:48.000]  有人的地方就會
[00:03:48.000 --> 00:03:51.000]  教會不同其他地方
[00:03:51.000 --> 00:03:56.000]  不是因為教會不會發生這樣的事情
[00:03:56.000 --> 00:04:01.000]  是因為教會發生了這樣的事情之後
[00:04:01.000 --> 00:04:02.000]  怎樣做
[00:04:02.000 --> 00:04:04.000]  分得出來嗎
[00:04:04.000 --> 00:04:05.000]  有時候我們搞錯
[00:04:05.000 --> 00:04:06.000]  不會
[00:04:06.000 --> 00:04:08.000]  彼得不用問這個問題
[00:04:08.000 --> 00:04:10.000]  會
[00:04:10.000 --> 00:04:12.000]  那怎樣做
[00:04:12.000 --> 00:04:13.000]  如果我們懂得怎樣做
[00:04:13.000 --> 00:04:15.000]  我們都不用問這個問題
[00:04:15.000 --> 00:04:16.000]  何必問耶穌
[00:04:16.000 --> 00:04:17.000]  我知道怎樣做
[00:04:17.000 --> 00:04:18.000]  我饒恕他七次夠了嗎
[00:04:18.000 --> 00:04:19.000]  夠了
[00:04:19.000 --> 00:04:20.000]  不是
[00:04:20.000 --> 00:04:21.000]  彼得厲害
[00:04:21.000 --> 00:04:22.000]  彼得問這個問題
[00:04:22.000 --> 00:04:23.000]  他說主啊
[00:04:23.000 --> 00:04:25.000]  我就想饒恕他七次
[00:04:25.000 --> 00:04:28.000]  你認為如何呢
[00:04:28.000 --> 00:04:29.000]  你看到嗎
[00:04:29.000 --> 00:04:31.000]  教會弟兄姐妹
[00:04:31.000 --> 00:04:34.000]  我們是蒙恩得救的罪人
[00:04:34.000 --> 00:04:37.000]  我們知道我們會犯錯
[00:04:37.000 --> 00:04:40.000]  不是不會犯錯
[00:04:40.000 --> 00:04:42.000]  什麼時候我們有這樣的印象
[00:04:42.000 --> 00:04:45.000]  其實很不幸
[00:04:45.000 --> 00:04:47.000]  我們不是經常犯錯
[00:04:47.000 --> 00:04:48.000]  不過一犯錯
[00:04:48.000 --> 00:04:49.000]  人們就說
[00:04:49.000 --> 00:04:51.000]  不是
[00:04:51.000 --> 00:04:52.000]  是錯了
