
[00:00:00.000 --> 00:00:12.000]  真、誠、敬、拜是我們今年的希伯論堂每個月講到的總題
[00:00:12.000 --> 00:00:14.000]  大家知道吧?
[00:00:14.000 --> 00:00:22.000]  按照每個星期主日崇拜的讀經編排
[00:00:22.000 --> 00:00:32.000]  1月份第二個主日今天我們就讀到耶穌受洗
[00:00:32.000 --> 00:00:40.000]  水禮和敬拜有什麼關係?
[00:00:40.000 --> 00:00:47.000]  是否指上台負責帶領敬拜的弟兄姊妹
[00:00:47.000 --> 00:00:54.000]  就像守聖餐一樣必須要已經接受水禮
[00:00:54.000 --> 00:01:01.000]  然後才可以帶領敬拜呢?
[00:01:01.000 --> 00:01:03.000]  什麼是水禮?
[00:01:03.000 --> 00:01:05.000]  你想起水禮
[00:01:05.000 --> 00:01:07.000]  剛才笑崇的時候
[00:01:07.000 --> 00:01:09.000]  他們的主席深水清
[00:01:09.000 --> 00:01:15.000]  他說:你也是在希伯論堂受浸的吧?
[00:01:15.000 --> 00:01:17.000]  我說:是的
[00:01:17.000 --> 00:01:19.000]  很多年前了
[00:01:19.000 --> 00:01:24.000]  1969年在東方街
[00:01:24.000 --> 00:01:27.000]  有多少人去過東方街?
[00:01:27.000 --> 00:01:29.000]  真的不是很多
[00:01:29.000 --> 00:01:35.000]  這些都是上了年紀的了
[00:01:35.000 --> 00:01:39.000]  水禮就是一個人走進去浸池
[00:01:39.000 --> 00:01:44.000]  牧師和他施浸
[00:01:44.000 --> 00:01:46.000]  你說:等等
[00:01:46.000 --> 00:01:50.000]  我年老的母親在醫院信主
[00:01:50.000 --> 00:01:55.000]  牧師沒有叫她回來浸池那裡受浸
[00:01:55.000 --> 00:01:58.000]  有沒有這樣的見證?
[00:01:58.000 --> 00:01:59.000]  有啊
[00:01:59.000 --> 00:02:07.000]  是牧師去到病床上為她施行水禮
[00:02:07.000 --> 00:02:14.000]  用一碗水在她額頭上為她灑禮
[00:02:14.000 --> 00:02:18.000]  按照希伯論堂的章程
[00:02:18.000 --> 00:02:21.000]  我們既接受浸禮
[00:02:21.000 --> 00:02:25.000]  也接受灑禮
[00:02:25.000 --> 00:02:30.000]  如果你過去隔離幾條街浸信會就不行了
[00:02:30.000 --> 00:02:33.000]  什麼是水禮?
[00:02:33.000 --> 00:02:35.000]  有些人就繼續說
[00:02:35.000 --> 00:02:37.000]  不是啊
[00:02:37.000 --> 00:02:40.000]  我是一出生就洗禮了
[00:02:40.000 --> 00:02:42.000]  那些叫做什麼?
[00:02:42.000 --> 00:02:45.000]  那些叫做鷹鞋洗禮
[00:02:45.000 --> 00:02:47.000]  那希伯論堂就沒有了
[00:02:47.000 --> 00:02:50.000]  我們如果生了嬰兒
[00:02:50.000 --> 00:02:53.000]  父母都是教會的會友
[00:02:53.000 --> 00:02:55.000]  我們會鼓勵他做什麼事?
[00:02:55.000 --> 00:02:58.000]  鷹鞋奉獻禮
[00:02:58.000 --> 00:03:01.000]  你說這麼麻煩
[00:03:01.000 --> 00:03:03.000]  我們還沒有說很多麻煩的東西
[00:03:03.000 --> 00:03:11.000]  水禮參加的人到底應該穿黑袍還是穿白袍?
[00:03:11.000 --> 00:03:14.000]  還是穿深藍色的袍?
[00:03:14.000 --> 00:03:18.000]  裡面要不要穿游泳衣?
[00:03:18.000 --> 00:03:24.000]  是啊 有位長者他參加教會浸禮七十多歲
[00:03:24.000 --> 00:03:27.000]  他很認真地問他的女兒
[00:03:27.000 --> 00:03:29.000]  要不要戴眼鏡?
[00:03:29.000 --> 00:03:32.000]  很多問題要問的
[00:03:32.000 --> 00:03:36.000]  是要站在浸禮中講見證?
[00:03:36.000 --> 00:03:39.000]  還是牧師問他兩句?
[00:03:39.000 --> 00:03:41.000]  還是我以前
[00:03:41.000 --> 00:03:43.000]  我爸爸幫我師洗的
[00:03:43.000 --> 00:03:44.000]  不問的
[00:03:44.000 --> 00:03:47.000]  下去就舉手奉父子聖靈的名
[00:03:47.000 --> 00:03:49.000]  為你施浸阿門
[00:03:49.000 --> 00:03:51.000]  還提醒我們
[00:03:51.000 --> 00:03:53.000]  阿門才好閉氣
[00:03:53.000 --> 00:03:56.000]  如果你奉開始閉氣
[00:03:56.000 --> 00:03:58.000]  到阿門你就吸氣了
[00:03:58.000 --> 00:04:00.000]  下水就喝一口水
[00:04:00.000 --> 00:04:02.000]  很多這些的
[00:04:02.000 --> 00:04:06.000]  你開始就會問了
[00:04:06.000 --> 00:04:09.000]  其實聖經怎麼說呢?
[00:04:09.000 --> 00:04:11.000]  是不是? 很自然的
[00:04:11.000 --> 00:04:13.000]  有這麼多不同的意見
[00:04:13.000 --> 00:04:15.000]  甚至爭拗
[00:04:15.000 --> 00:04:18.000]  最好你告訴我聖經怎麼教
[00:04:18.000 --> 00:04:20.000]  我就怎麼做
[00:04:20.000 --> 00:04:22.000]  一了百了解就解決了
