
[00:00:00.000 --> 00:00:03.000]  我們今天講感恩的心
[00:00:03.000 --> 00:00:06.000]  但感恩的心對於很多大朋友
[00:00:06.000 --> 00:00:08.000]  對於很多家長來說
[00:00:08.000 --> 00:00:10.000]  好像覺得很難教的
[00:00:10.000 --> 00:00:12.000]  不知道大家有沒有這樣覺得
[00:00:12.000 --> 00:00:16.000]  怎樣教小朋友懂得去感恩呢?
[00:00:16.000 --> 00:00:20.000]  對於我這個在香港來了不久的人
[00:00:20.000 --> 00:00:26.000]  對感恩節好像沒有什麼特別的感覺
[00:00:26.000 --> 00:00:28.000]  但當我說感恩節的時候
[00:00:28.000 --> 00:00:30.000]  會想起什麼呢?
[00:00:30.000 --> 00:00:32.000]  想起火雞
[00:00:32.000 --> 00:00:34.000]  在這裡的火雞
[00:00:34.000 --> 00:00:36.000]  明天就是感恩節
[00:00:36.000 --> 00:00:38.000]  想起火雞
[00:00:38.000 --> 00:00:40.000]  或者火雞大餐
[00:00:40.000 --> 00:00:42.000]  或者你有沒有想到呢?
[00:00:42.000 --> 00:00:44.000]  有隻火雞出來了
[00:00:44.000 --> 00:00:46.000]  是不是這樣的?
[00:00:46.000 --> 00:00:50.000]  這個火雞是2013年拍的
[00:00:50.000 --> 00:00:52.000]  這個火雞有名的
[00:00:52.000 --> 00:00:54.000]  叫做Pork Horn
[00:00:54.000 --> 00:00:56.000]  叫爆谷
[00:00:56.000 --> 00:01:02.000]  美國每年都有特赦火雞的儀式
[00:01:02.000 --> 00:01:07.000]  2013年奧巴馬去特赦這隻火雞
[00:01:07.000 --> 00:01:09.000]  他說了一句這樣的說話
[00:01:09.000 --> 00:01:11.000]  他說我以總統之名
[00:01:11.000 --> 00:01:13.000]  特赦爆谷
[00:01:13.000 --> 00:01:17.000]  爆谷你可以免於被塞滿香料和藍莓醬
[00:01:17.000 --> 00:01:19.000]  我們祝你好運
[00:01:19.000 --> 00:01:23.000]  原來每年美國會選一隻至兩隻火雞
[00:01:23.000 --> 00:01:25.000]  特赦它
[00:01:25.000 --> 00:01:27.000]  然後就可以回到農場
[00:01:27.000 --> 00:01:29.000]  永享天年
[00:01:29.000 --> 00:01:31.000]  直到它回天家那一天
[00:01:31.000 --> 00:01:33.000]  美國就是這樣
[00:01:33.000 --> 00:01:35.000]  如果說感恩節呢?
[00:01:35.000 --> 00:01:39.000]  加拿大的感恩節先呢?
[00:01:39.000 --> 00:01:41.000]  還是美國的感恩節先呢?
[00:01:41.000 --> 00:01:43.000]  果然大家考試合格
[00:01:43.000 --> 00:01:45.000]  是加拿大先的
[00:01:45.000 --> 00:01:50.000]  原來加拿大的感恩節可以追溯到1578年
[00:01:50.000 --> 00:01:53.000]  比美國早了大約42年
[00:01:53.000 --> 00:01:55.000]  有一位探險家
[00:01:55.000 --> 00:01:57.000]  就是這位朋友
[00:01:57.000 --> 00:02:03.000]  他在英格蘭經歷過三次很艱險的旅程
[00:02:03.000 --> 00:02:06.000]  又有冰山又有很多的風暴
[00:02:06.000 --> 00:02:10.000]  最後來到紐芬蘭的地方
[00:02:10.000 --> 00:02:12.000]  他做什麼呢?
[00:02:12.000 --> 00:02:15.000]  原來他是為了感謝上帝
[00:02:15.000 --> 00:02:16.000]  為什麼呢?
[00:02:16.000 --> 00:02:19.000]  因為讓他的生命能夠存留
[00:02:19.000 --> 00:02:21.000]  然後為了感謝上帝
[00:02:21.000 --> 00:02:23.000]  他就開始了第一次的感恩節
[00:02:23.000 --> 00:02:25.000]  他找了一位牧師Robert
[00:02:25.000 --> 00:02:26.000]  和他一起
[00:02:26.000 --> 00:02:28.000]  不是吃火雞
[00:02:28.000 --> 00:02:30.000]  是領聖餐
[00:02:30.000 --> 00:02:34.000]  嘩!原來加拿大的感恩節是這麼淑靈的
[00:02:34.000 --> 00:02:38.000]  原來不只是想著哪一間店舖有折扣
[00:02:38.000 --> 00:02:41.000]  不只是想著怎樣做那隻火雞
[00:02:41.000 --> 00:02:44.000]  原來也不是慶祝
[00:02:44.000 --> 00:02:46.000]  未必是完全慶祝豐收
[00:02:46.000 --> 00:02:49.000]  原來只是很簡單的要求
[00:02:49.000 --> 00:02:53.000]  是慶祝我的命還在
[00:02:53.000 --> 00:02:54.000]  來到感謝
[00:02:54.000 --> 00:02:56.000]  不知道大家身處加拿大的你
[00:02:56.000 --> 00:02:59.000]  又怎樣慶祝感恩節
[00:02:59.000 --> 00:03:00.000]  或者我經常都會覺得
[00:03:00.000 --> 00:03:02.000]  好像人長大了
[00:03:02.000 --> 00:03:05.000]  越來越不懂得感恩
[00:03:05.000 --> 00:03:07.000]  不知道是不是呢?
[00:03:07.000 --> 00:03:08.000]  有些人都點頭
[00:03:08.000 --> 00:03:10.000]  越長大好像不懂得感恩
[00:03:10.000 --> 00:03:12.000]  我們今天從一個家庭
[00:03:12.000 --> 00:03:15.000]  去思考感恩的意義
[00:03:15.000 --> 00:03:18.000]  這個比喻就是浪子的比喻
[00:03:18.000 --> 00:03:20.000]  今天又有新朋友
[00:03:20.000 --> 00:03:23.000]  又有很少回教會的朋友
[00:03:23.000 --> 00:03:25.000]  我都說一點背景
[00:03:25.000 --> 00:03:28.000]  但是當一說到浪子回家這個比喻
[00:03:28.000 --> 00:03:30.000]  你會想起誰呢?
[00:03:30.000 --> 00:03:32.000]  就想起那個浪子
[00:03:32.000 --> 00:03:34.000]  即是那個壞小子回家
[00:03:34.000 --> 00:03:38.000]  或者想起很慈愛的爸爸
[00:03:38.000 --> 00:03:42.000]  每天以慮盼望著小朋友回來
[00:03:42.000 --> 00:03:45.000]  但很多時候忽略了另一個角色
[00:03:45.000 --> 00:03:46.000]  是誰呢?
[00:03:46.000 --> 00:03:48.000]  是大兒子
[00:03:48.000 --> 00:03:49.000]  我們經常忽略了他
[00:03:49.000 --> 00:03:51.000]  今天很想和你一起思考大兒子
[00:03:51.000 --> 00:03:53.000]  不過思考大兒子之前
[00:03:53.000 --> 00:03:54.000]  原來這個比喻
[00:03:54.000 --> 00:03:59.000]  是由一宗分家產的案件開始的
[00:03:59.000 --> 00:04:00.000]  揭開序幕
[00:04:00.000 --> 00:04:02.000]  但是這個聖經怎樣說呢?
