
[00:00:00.000 --> 00:00:04.440]  今天我們講一個題目叫信耶穌真好
[00:00:04.440 --> 00:00:06.580]  為什麼要信耶穌?
[00:00:06.580 --> 00:00:09.260]  信耶穌有什麼好?
[00:00:09.260 --> 00:00:12.280]  今天這一段的聖經很有意思
[00:00:12.280 --> 00:00:13.680]  因為這個作者保羅
[00:00:13.680 --> 00:00:16.200]  他本來是一個反基督教的人
[00:00:16.200 --> 00:00:17.840]  不肯信耶穌的人
[00:00:17.840 --> 00:00:19.640]  後來他信了耶穌
[00:00:19.640 --> 00:00:22.040]  信了耶穌之後他寫出來
[00:00:22.040 --> 00:00:24.280]  我相信是一個切身的體驗
[00:00:24.280 --> 00:00:26.200]  他想告訴我們
[00:00:26.200 --> 00:00:29.240]  究竟信了耶穌有什麼不同?
[00:00:29.520 --> 00:00:31.240]  今天我看著這段聖經的時候
[00:00:31.240 --> 00:00:32.960]  我也想透過這段聖經
[00:00:32.960 --> 00:00:35.000]  和你們大家一起分享
[00:00:35.000 --> 00:00:36.960]  尤其當中如果我們有一些朋友
[00:00:36.960 --> 00:00:38.040]  我們很歡迎你
[00:00:38.040 --> 00:00:41.560]  你還在基督教信仰的邊緣
[00:00:41.560 --> 00:00:43.600]  或者是考慮當中的時候
[00:00:43.600 --> 00:00:45.160]  希望今天這段聖經
[00:00:45.160 --> 00:00:46.560]  這段的說話
[00:00:46.560 --> 00:00:48.200]  包括我自己
[00:00:48.200 --> 00:00:50.000]  用我自己切身的體驗
[00:00:50.000 --> 00:00:52.840]  一起和你拿心出來講
[00:00:52.840 --> 00:00:54.680]  究竟信了耶穌有什麼不同?
[00:00:54.680 --> 00:00:56.800]  我相信這個都在你心底裡面
[00:00:56.800 --> 00:00:58.600]  是有問了很多次的問題
[00:00:58.600 --> 00:01:00.720]  不如今天我們就很坦誠地
[00:01:00.720 --> 00:01:01.840]  就面對這個
[00:01:01.840 --> 00:01:03.200]  就用這段聖經
[00:01:03.200 --> 00:01:04.800]  一起來思想
[00:01:04.800 --> 00:01:06.680]  這段聖經
[00:01:06.680 --> 00:01:07.920]  告訴了我們
[00:01:07.920 --> 00:01:11.680]  我把它分成有五個很重要的重點
[00:01:11.680 --> 00:01:14.080]  信耶穌有什麼不同?
[00:01:14.080 --> 00:01:14.840]  有五樣東西
[00:01:14.840 --> 00:01:15.440]  第一
[00:01:15.440 --> 00:01:17.920]  開始一個新的關係
[00:01:17.920 --> 00:01:19.080]  第二
[00:01:19.080 --> 00:01:22.680]  體會新的安全感
[00:01:22.680 --> 00:01:24.200]  第三
[00:01:24.200 --> 00:01:27.880]  對將來永恆有一個新的把握
[00:01:28.400 --> 00:01:29.320]  第四
[00:01:29.320 --> 00:01:32.720]  甚至在今生的患難當中
[00:01:32.720 --> 00:01:36.280]  都有新的力量和意義去面對
[00:01:36.280 --> 00:01:37.160]  第五
[00:01:37.160 --> 00:01:40.520]  對愛有一種新的體驗
[00:01:40.520 --> 00:01:42.680]  我相信這五樣東西
[00:01:42.680 --> 00:01:45.080]  都是我們人生追尋
[00:01:45.080 --> 00:01:46.880]  和我們體會裡面
[00:01:46.880 --> 00:01:49.000]  最核心最重要的東西
[00:01:49.000 --> 00:01:52.480]  宗教也都要面對這些問題
[00:01:52.480 --> 00:01:54.880]  不過今天我想跟你說的就是
[00:01:54.880 --> 00:01:57.640]  不是單單想你今天信教
[00:01:57.960 --> 00:01:59.360]  或者信基督教
[00:01:59.360 --> 00:02:01.040]  因為第一點
[00:02:01.040 --> 00:02:03.440]  聖經就告訴了我們
[00:02:03.440 --> 00:02:05.320]  基督教和所有的宗教
[00:02:05.320 --> 00:02:06.920]  有一個很不同的地方
[00:02:06.920 --> 00:02:08.040]  我不是告訴你
