
[00:00:00.000 --> 00:00:07.000]  領召會很難得在第四屆唐慶的時候
[00:00:07.000 --> 00:00:12.000]  和大家一起有整個星期六、星期日的崇拜
[00:00:12.000 --> 00:00:15.000]  我們一起可以去領受神自己的說話
[00:00:15.000 --> 00:00:20.000]  所以我就按照教會的提議
[00:00:20.000 --> 00:00:24.000]  我就預備了三篇不同的內容的講章
[00:00:24.000 --> 00:00:26.000]  想和大家一起來思想
[00:00:26.000 --> 00:00:33.000]  那個總的題目就是勇往直前的信仰
[00:00:33.000 --> 00:00:36.000]  現在我們踏入第五年的時候
[00:00:36.000 --> 00:00:40.000]  我們希望全福堂繼續向前成為一個
[00:00:40.000 --> 00:00:47.000]  能夠有成長的、得勝的、無遺憾的教會
[00:00:47.000 --> 00:00:52.000]  這三個信息對每一個弟兄姊妹都是有意思的
[00:00:52.000 --> 00:00:57.000]  希望我們每一個全福堂的弟兄姊妹都成為一個有成長的
[00:00:57.000 --> 00:01:01.000]  一個得勝的、一個無憾的基督徒
[00:01:01.000 --> 00:01:03.000]  這是我自己的心意
[00:01:03.000 --> 00:01:05.000]  不是我自己說的
[00:01:05.000 --> 00:01:07.000]  我和聖經裡面和大家一起說
[00:01:07.000 --> 00:01:13.000]  三點鐘的時候我和大家已經說了一個屬靈的成長的課題
[00:01:13.000 --> 00:01:17.000]  現在我和大家按照過去兩個月
[00:01:17.000 --> 00:01:20.000]  其實兩個月本來想說聖靈就說完了
[00:01:20.000 --> 00:01:22.000]  但上一次就說不完
[00:01:22.000 --> 00:01:26.000]  所以今天就把它也說了
[00:01:26.000 --> 00:01:31.000]  就是關於聖靈是第三方面很重要的真理
[00:01:31.000 --> 00:01:34.000]  我也不再重複以往所提過的
[00:01:34.000 --> 00:01:36.000]  我們在《約翰福音》裡面看到
[00:01:36.000 --> 00:01:38.000]  聖靈是我們的保衛師
[00:01:38.000 --> 00:01:40.000]  是我們的counselor
[00:01:40.000 --> 00:01:42.000]  陪著我們24小時在我們裡面
