
[00:00:00.000 --> 00:00:04.200]  各位网友你们好
[00:00:04.200 --> 00:00:08.160]  欢迎大家收看《心灵鸡汤之路加呼音》研读
[00:00:08.160 --> 00:00:09.960]  我是苏永强牧师
[00:00:09.960 --> 00:00:14.480]  我们研读《路加呼音》来到第四十三课
[00:00:14.480 --> 00:00:17.240]  题目叫《踏上征途》
[00:00:17.240 --> 00:00:22.720]  经文是《路加呼音》第八章 一节至三节
[00:00:22.720 --> 00:00:28.000]  过了不多日 耶稣周游各城各乡全途
[00:00:28.000 --> 00:00:30.360]  宣讲神国的呼音
[00:00:30.360 --> 00:00:33.560]  和祂同去的有十二个门徒
[00:00:33.560 --> 00:00:38.040]  还有被恶鬼所负 被疾病所累
[00:00:38.040 --> 00:00:40.600]  已经治好的几个妇女
[00:00:40.600 --> 00:00:44.160]  内宗又称为「莫大拉的玛利亚」
[00:00:44.160 --> 00:00:47.120]  曾有七个鬼从祂身上赶出来
[00:00:47.120 --> 00:00:51.440]  又有希律的家宰 普萨的妻子 约阿娜
[00:00:51.440 --> 00:00:55.240]  并苏萨娜和好赛别的妇女
[00:00:55.240 --> 00:00:59.800]  都使用自己的财物供给耶稣和门徒
[00:00:59.800 --> 00:01:04.080]  慕尼黑 著名的小丑维尼坦
[00:01:04.080 --> 00:01:07.960]  很喜欢在舞台里演一副这样的短剧
[00:01:07.960 --> 00:01:13.840]  舞台只有一支街灯照着舞台的一个光圈
[00:01:13.840 --> 00:01:17.680]  只见维尼坦在这个光圈里走来走去
[00:01:17.680 --> 00:01:21.200]  好像很着急找些很重要的东西
[00:01:21.200 --> 00:01:26.120]  看他样子满头大汗 面有忧虑之色
[00:01:26.120 --> 00:01:29.440]  一望而知他肯定是找些非常重要的东西
[00:01:29.440 --> 00:01:31.440]  不见了 他要找了
[00:01:31.440 --> 00:01:34.120]  忽然之间有一个警察走来
[00:01:34.120 --> 00:01:35.640]  见他那么可怜就问他
[00:01:35.640 --> 00:01:38.320]  先生 先生 你是不是不见了东西
[00:01:38.320 --> 00:01:39.880]  我可不可以帮你手
[00:01:39.880 --> 00:01:43.240]  维尼坦就说 是啊 是啊 是啊 警察先生
[00:01:43.240 --> 00:01:46.720]  我不见了我家大门的锁匙
[00:01:46.720 --> 00:01:50.040]  家里又没有人 现在又那么黑
[00:01:50.040 --> 00:01:53.440]  如果找不到人帮我去开门
[00:01:53.440 --> 00:01:55.800]  恐怕我今晚要睡街了
