
[00:00:00.000 --> 00:00:05.000]  各位看福的弟兄姊妹
[00:00:05.000 --> 00:00:09.280]  10樓、9樓和直播的每一位
[00:00:09.280 --> 00:00:13.480]  今天過了一個星期
[00:00:13.480 --> 00:00:17.280]  似乎街外的人都熱鬧了
[00:00:17.280 --> 00:00:22.740]  所以我比上次來輕鬆了一點
[00:00:22.740 --> 00:00:25.800]  不會說到一半才脫口罩
[00:00:25.800 --> 00:00:29.140]  隔這麼遠大家不要介意
[00:00:29.140 --> 00:00:35.080]  經過一個星期
[00:00:35.080 --> 00:00:40.220]  其實我們的生活都是再一次
[00:00:40.220 --> 00:00:44.000]  在這個世上的路程
[00:00:44.000 --> 00:00:47.500]  到底是前進了還是退步了
[00:00:47.500 --> 00:00:52.800]  其實真的都作為一個基督徒
[00:00:52.800 --> 00:00:55.480]  我們都不諱言
[00:00:55.480 --> 00:01:01.420]  自己其實是在世上掙扎、在失敗裏面
[00:01:01.420 --> 00:01:06.000]  我覺得想起一些人說
[00:01:06.000 --> 00:01:10.960]  啊 誰誰 真是好啊
[00:01:10.960 --> 00:01:16.880]  天父選了你做牧師、做傳道
[00:01:16.880 --> 00:01:24.600]  你真是一定是非常神聖、非常淑靈的人
[00:01:24.600 --> 00:01:27.520]  有一個人就說
[00:01:27.520 --> 00:01:32.800]  其實當我蒙召的時候
[00:01:32.800 --> 00:01:35.820]  就好像天父跟我說
[00:01:35.820 --> 00:01:38.960]  我之所以叫你做傳道人
[00:01:38.960 --> 00:01:43.600]  因為我信不過你會做一個好的平信徒
[00:01:43.600 --> 00:01:48.500]  你明白就明白了
[00:01:48.500 --> 00:01:56.620]  我是讀書的時候被特許做童軍領袖的
[00:01:56.620 --> 00:02:00.700]  被特許做班長的
[00:02:00.700 --> 00:02:05.860]  被特許派出國去表演的
[00:02:05.860 --> 00:02:08.920]  完全是因為他信不過我
[00:02:08.920 --> 00:02:13.200]  做一個班裏面的普通的學生
[00:02:13.200 --> 00:02:17.740]  所以就帶他出來可以經常盯著他、看著他
[00:02:17.740 --> 00:02:20.960]  我覺得自己是很不配
[00:02:20.960 --> 00:02:25.480]  可以在大家當中來服侍、來分享
[00:02:25.480 --> 00:02:30.280]  另外我看回我們的彼得前書
[00:02:30.280 --> 00:02:33.280]  想起主耶穌教導的
[00:02:33.280 --> 00:02:36.820]  我們走的要選擇的
[00:02:36.820 --> 00:02:40.360]  有兩條路 一條路是闊的路
[00:02:40.360 --> 00:02:43.020]  在上面的人都很多
[00:02:43.020 --> 00:02:45.600]  一條路是窄的路
[00:02:45.600 --> 00:02:48.500]  走在上面的人也少
[00:02:48.500 --> 00:02:51.140]  不過終點很不同
[00:02:51.140 --> 00:02:55.760]  我再思考彼得書信裏面所說的
[00:02:55.760 --> 00:02:58.820]  其實你越聽越不舒服
[00:02:58.820 --> 00:03:02.420]  你會不覺得爽
[00:03:02.420 --> 00:03:05.280]  因為它差不多跟你說
[00:03:05.280 --> 00:03:10.340]  苦中尋樂 煩中尋平安
[00:03:10.340 --> 00:03:14.160]  即是在這條路上面
[00:03:14.160 --> 00:03:21.100]  一直走都要避過障礙物
[00:03:21.100 --> 00:03:25.640]  要跨過困難 要穿過火爐
[00:03:25.640 --> 00:03:30.680]  我就想起就好像你那條路塞滿東西
[00:03:30.680 --> 00:03:35.060]  很窄 很多荊棘 很艱難的時候
[00:03:35.060 --> 00:03:37.480]  你跟它可以怎樣呢?
[00:03:37.480 --> 00:03:42.000]  你橫衝直撞地開行急車
[00:03:42.000 --> 00:03:44.660]  淋行油 衝過去嗎?
[00:03:44.660 --> 00:03:49.260]  你以為自己好像在走在街上很舒服嗎?
[00:03:49.260 --> 00:03:51.380]  對不起
[00:03:51.380 --> 00:03:56.680]  有時候真的要低低地灌一泡 鑽過去
[00:03:56.680 --> 00:04:02.240]  有時候要側下身這樣攝過去
[00:04:02.240 --> 00:04:09.380]  這個令我對於信仰一直都覺得
[00:04:09.380 --> 00:04:15.560]  踏實些 平凡些 辛苦些
[00:04:15.560 --> 00:04:19.320]  可能是更加真實的
[00:04:19.320 --> 00:04:22.420]  因為有很多時候我們聽見一些
[00:04:22.420 --> 00:04:27.620]  誇耀自己怎樣蒙恩典
[00:04:27.620 --> 00:04:32.300]  怎樣大有能力 大有威望
[00:04:32.300 --> 00:04:37.020]  其實出來的結果是很體貼肉體
[00:04:37.020 --> 00:04:42.520]  很世俗 甚至借上帝賜福之名
[00:04:42.520 --> 00:04:50.700]  來扭曲整個人生觀 世界觀
[00:04:50.700 --> 00:04:54.980]  我不知道你覺不覺
[00:04:54.980 --> 00:05:00.400]  我昨天去了一個是福的40週年
[00:05:00.400 --> 00:05:06.460]  有很大的一種感觸 一種激勵
[00:05:06.460 --> 00:05:11.980]  當人失去視力 甚至雙眼完全失明的時候
[00:05:11.980 --> 00:05:16.320]  其實可以將一個人打得很低
[00:05:16.320 --> 00:05:19.260]  但是我聽著他們一起
[00:05:19.260 --> 00:05:24.120]  事存的人一起歌頌感謝神的時候
[00:05:24.120 --> 00:05:27.300]  真的起雞皮疙瘩
[00:05:27.300 --> 00:05:33.640]  可能我們的生命真的需要一種歷練
[00:05:33.640 --> 00:05:36.340]  因為太多時候
[00:05:36.340 --> 00:05:41.340]  迷惑人的今天仍然是迷惑人
[00:05:41.340 --> 00:05:44.800]  藉著上帝的美善
[00:05:44.800 --> 00:05:48.460]  他都有本事去迷惑人
[00:05:48.460 --> 00:05:50.020]  你聽不聽得懂我說什麼
[00:05:50.020 --> 00:05:51.840]  我說的一個最基本的東西
[00:05:51.840 --> 00:05:55.420]  其實基督徒根本沒有第二條路可以選擇
[00:05:55.420 --> 00:06:00.520]  除了十字架路 除了一條窄路
[00:06:00.520 --> 00:06:03.520]  這個大概就是彼得書信裡面
[00:06:03.520 --> 00:06:05.720]  給我們一個很重要的提醒
[00:06:05.720 --> 00:06:09.440]  上次他提到作伏人的
[00:06:09.440 --> 00:06:13.240]  就算有乖僻的主人都要馴服
[00:06:13.240 --> 00:06:16.960]  你們要馴服人的一切制度
[00:06:16.960 --> 00:06:24.840]  如果他上次說的很差的主人都要馴服
[00:06:24.840 --> 00:06:28.280]  接著就來到我們第三章一開始
[00:06:28.280 --> 00:06:32.280]  他就說你們作妻子的要馴服
[00:06:32.280 --> 00:06:35.200]  我想妻子就真的很不服
[00:06:35.200 --> 00:06:39.240]  如果上文是說馴服一個很差的主人
[00:06:39.240 --> 00:06:41.800]  下文就說要馴服你的丈夫
[00:06:41.800 --> 00:06:44.600]  是妻子都會反彈
[00:06:44.600 --> 00:06:46.500]  不過就算不是這樣
[00:06:46.500 --> 00:06:49.480]  其實我想都是在反彈的
[00:06:49.480 --> 00:06:51.640]  一叫人要馴服
[00:06:51.640 --> 00:06:57.920]  我們心裡面的眼鏡蛇就好像聽到摸一摸
[00:06:57.920 --> 00:07:07.320]  我沒多久之前就紀念了我結婚40年
[00:07:07.320 --> 00:07:12.520]  40年其實是很難得的因典
[00:07:12.520 --> 00:07:16.680]  我就看到有些人post一些祝賀
[00:07:16.680 --> 00:07:21.600]  說結婚當然是兩個都如魚得水
[00:07:21.600 --> 00:07:24.660]  水與蛟融 非常之快樂
[00:07:24.660 --> 00:07:27.320]  我心想其實有時候結婚
[00:07:27.320 --> 00:07:29.360]  到底是一個得獎賞
[00:07:29.360 --> 00:07:32.120]  另一個背十架還是怎麼樣呢?
[00:07:32.120 --> 00:07:36.440]  誰是榮耀 誰是得試煉呢?
[00:07:36.440 --> 00:07:41.700]  其實你結婚久的人你都知道
[00:07:41.700 --> 00:07:44.380]  完全什麼都是Hallelujah
[00:07:44.380 --> 00:07:48.680]  什麼都是玫瑰花香
[00:07:48.680 --> 00:07:51.920]  我想有時候你會發覺
[00:07:51.920 --> 00:07:58.100]  婚姻真的是一條十架路來的
[00:07:58.100 --> 00:08:01.400]  我很記得有位長輩牧師
[00:08:01.400 --> 00:08:04.460]  當時我見他都80多歲了
[00:08:04.460 --> 00:08:08.900]  在外國來的 他在那裡等車
[00:08:08.900 --> 00:08:14.900]  一邊等的時候 師母就一邊在那裡說
[00:08:14.900 --> 00:08:17.520]  師母就好像很沒耐性
[00:08:17.520 --> 00:08:20.220]  牧師一開始都沒事的
[00:08:20.220 --> 00:08:22.460]  後來我見到那個牧師
[00:08:22.460 --> 00:08:28.380]  就是很猛的拿起他的拐杖
[00:08:28.380 --> 00:08:31.000]  在地上動了三下
[00:08:31.000 --> 00:08:34.440]  好像摩西打盤石那樣
[00:08:34.440 --> 00:08:37.320]  我就突然間覺得
[00:08:37.320 --> 00:08:41.460]  牧師師母結婚超過50年了
[00:08:41.460 --> 00:08:43.280]  應該是很好的了
[00:08:43.280 --> 00:08:47.660]  其實都是想忍你那幾年
[00:08:47.660 --> 00:08:49.220]  或者那幾個月
[00:08:49.220 --> 00:08:52.480]  或者忍你一個星期
[00:08:52.480 --> 00:08:57.580]  所以如果有人經常跟你說
[00:08:57.580 --> 00:09:00.600]  很風花雪月很浪漫的事情
[00:09:00.600 --> 00:09:03.680]  大概他只是說了一點點
[00:09:04.520 --> 00:09:10.240]  有恩典 但其實都有很多的苦楚
[00:09:10.240 --> 00:09:13.920]  真正的信仰其實是
[00:09:13.920 --> 00:09:18.680]  我們的所謂村崩 鬥皮撚雞 軟弱
[00:09:18.680 --> 00:09:23.040]  其實是不能躲 也不能走
[00:09:23.040 --> 00:09:25.080]  不過聖靈的編寫
[00:09:25.080 --> 00:09:26.120]  有時候我們去看
[00:09:26.120 --> 00:09:29.360]  我都覺得有一種幽默感
[00:09:29.360 --> 00:09:31.200]  有一種很奧妙的地方
[00:09:31.200 --> 00:09:33.600]  原來彼得不是說了
[00:09:33.600 --> 00:09:36.200]  乖僻的主人你都要信服
[00:09:36.200 --> 00:09:37.360]  他說完之後
[00:09:37.360 --> 00:09:41.200]  是攝了耶穌基督釘十字架
[00:09:41.200 --> 00:09:43.320]  祂的美好的榜樣
[00:09:43.320 --> 00:09:45.520]  叫我們跟著祂的腳蹤行
[00:09:45.520 --> 00:09:50.600]  然後再說完主耶穌的十字架的經歷
[00:09:50.600 --> 00:09:54.320]  然後再說你們作妻子的
[00:09:54.320 --> 00:09:57.920]  要信服你們的丈夫
[00:09:57.920 --> 00:10:02.600]  就等沒那麼快有這個反彈
