
[00:00:00.000 --> 00:00:07.280]  各位原浸的頂展會前面的各位年輕人
[00:00:07.280 --> 00:00:11.440]  老實說很高興今天可以跟大家分享神的話
[00:00:11.440 --> 00:00:15.280]  今天的故事內容很豐富
[00:00:15.280 --> 00:00:19.680]  所以我的powerpoint有很多聖經的話
[00:00:19.680 --> 00:00:21.520]  字太密不要緊
[00:00:21.520 --> 00:00:24.160]  我會很清楚的解釋重點
[00:00:24.160 --> 00:00:28.800]  這兩個經文我想大家都會聽過
[00:00:28.800 --> 00:00:33.360]  所以我兩個故事一起講相對少一點
[00:00:33.360 --> 00:00:36.960]  希望大家仔細的聆聽
[00:00:36.960 --> 00:00:39.760]  我在70年代的時候還是學生
[00:00:39.760 --> 00:00:44.000]  經常坐巴士經過現在舊的啟德K牆
[00:00:44.000 --> 00:00:47.280]  當時在九龍城外邊有一個很大的牌
[00:00:47.280 --> 00:00:50.320]  一個教會外邊寫了這句話
[00:00:50.320 --> 00:00:53.760]  人死後你的靈魂將往何處
[00:00:53.760 --> 00:00:56.240]  信耶穌得永生
[00:00:56.240 --> 00:00:59.680]  我覺得很挑戰性的究竟永生是什麼
[00:00:59.680 --> 00:01:02.000]  當時我還未信基督
[00:01:02.000 --> 00:01:04.400]  當時我還小的時候
[00:01:04.400 --> 00:01:09.200]  可能是人死後生命的延續繼續下去
[00:01:09.200 --> 00:01:12.880]  有些人想不如買個保險
[00:01:12.880 --> 00:01:16.080]  基督徒說如果不是永生就永死
[00:01:16.080 --> 00:01:17.920]  要不去天堂要不去地獄
[00:01:17.920 --> 00:01:20.880]  買個保險去教會
[00:01:20.880 --> 00:01:23.280]  可能這就是一些人的想法
[00:01:23.280 --> 00:01:26.880]  今天我要解釋這段經文的時候
[00:01:26.880 --> 00:01:31.200]  我會將馬路加、馬太、馬可福音
[00:01:31.200 --> 00:01:34.480]  三個福音都有講這段經文的第一個故事
[00:01:34.480 --> 00:01:36.160]  我會結合在一起
[00:01:36.160 --> 00:01:38.800]  因為有些字我要加進去
[00:01:38.800 --> 00:01:44.400]  例如第十八節講到這個官是年輕的官
[00:01:44.400 --> 00:01:47.360]  其實馬可福音講到他去到耶穌面前
[00:01:47.360 --> 00:01:49.120]  他跪在耶穌面前
[00:01:49.120 --> 00:01:50.000]  即是他是真誠的
[00:01:50.000 --> 00:01:52.640]  他不是說笑的不是玩的
[00:01:52.640 --> 00:01:55.200]  他問耶穌善良的老師
[00:01:55.200 --> 00:02:00.640]  我該做些什麼事可以承受這個永生
[00:02:00.640 --> 00:02:02.320]  耶穌沒有直接回答他
[00:02:02.320 --> 00:02:03.760]  反而問他一個問題
[00:02:03.760 --> 00:02:05.760]  為什麼說我是善良呢?
[00:02:05.760 --> 00:02:08.640]  除了神之外沒有人是善良
[00:02:08.640 --> 00:02:12.640]  這段到十二到二十節之間
[00:02:12.640 --> 00:02:14.400]  馬太福音就加多句
[00:02:14.400 --> 00:02:19.040]  你若要入永生就要遵守誡命
[00:02:19.040 --> 00:02:20.560]  耶穌說的誡命就是
[00:02:20.560 --> 00:02:23.840]  你知道的不可姦淫不可殺淫等等
[00:02:23.840 --> 00:02:25.840]  馬太福音加多句
[00:02:25.840 --> 00:02:28.640]  由當愛倫如己
[00:02:28.640 --> 00:02:31.360]  這個年輕有錢的軍官說
[00:02:31.360 --> 00:02:33.520]  我一切都遵守了
[00:02:33.520 --> 00:02:34.880]  耶穌聽見了
[00:02:34.880 --> 00:02:36.880]  在馬福音加多句
[00:02:36.880 --> 00:02:38.320]  耶穌愛他
[00:02:38.320 --> 00:02:40.560]  這個年輕人是真誠的
[00:02:40.560 --> 00:02:41.840]  耶穌愛他
[00:02:41.840 --> 00:02:43.200]  對他說
[00:02:43.200 --> 00:02:44.800]  還缺少一件事
[00:02:44.800 --> 00:02:47.040]  就是你要變賣你一切所有的
[00:02:47.040 --> 00:02:48.480]  分給窮人
[00:02:48.480 --> 00:02:50.480]  必有財寶在天上
[00:02:50.480 --> 00:02:52.480]  你還要來跟從我
[00:02:52.480 --> 00:02:55.920]  這個年輕人聽見耶穌這個說話之後
[00:02:55.920 --> 00:02:56.960]  就很憂愁
[00:02:56.960 --> 00:02:59.440]  馬太福音說憂愁地走了
[00:02:59.440 --> 00:03:01.440]  因為他很富有
