
[00:00:00.000 --> 00:00:08.600]  其實今晚吸引我來到這裏的都是
[00:00:08.600 --> 00:00:11.200]  相覆所定的題目
[00:00:11.200 --> 00:00:14.000]  他們給我一封信
[00:00:14.000 --> 00:00:16.600]  所以我看到這個題目
[00:00:16.600 --> 00:00:19.000]  這個題目令我很想聽
[00:00:19.000 --> 00:00:23.600]  吸引我有興趣
[00:00:23.600 --> 00:00:26.000]  伊甸園外的家春秋
[00:00:26.000 --> 00:00:27.600]  雅各家族
[00:00:27.600 --> 00:00:32.600]  雖然很長,但引起我有很多的思想
[00:00:32.600 --> 00:00:34.600]  當然我不是想聽我自己說話
[00:00:34.600 --> 00:00:36.600]  我自己說話何必來這裏聽呢
[00:00:36.600 --> 00:00:43.600]  我的意思是這個題目引起我想聽聖經說甚麼
[00:00:43.600 --> 00:00:48.600]  相覆的童工大概文筆非常之好
[00:00:48.600 --> 00:00:50.600]  看看這一段的介紹
[00:00:50.600 --> 00:00:53.600]  嘗試從一個舊約的家庭
[00:00:53.600 --> 00:00:56.600]  你們有沒有這張傳單
[00:00:56.600 --> 00:00:58.600]  有些人有,有些人沒有,讀給你聽
[00:00:58.600 --> 00:01:00.600]  嘗試從一個舊約的家庭
[00:01:00.600 --> 00:01:07.600]  去了解為何既然生活在同一屋簷下的親人
[00:01:07.600 --> 00:01:11.600]  竟然會產生無數的紛爭
[00:01:11.600 --> 00:01:15.600]  猜疑,仇恨和詭責
[00:01:15.600 --> 00:01:21.600]  搞到家人四散,各自為政,互不理睬
[00:01:21.600 --> 00:01:25.600]  昔日歷史中人遇到的難題
[00:01:25.600 --> 00:01:29.600]  今天我們或許會同樣的面對
[00:01:29.600 --> 00:01:36.600]  自古以來人的罪性總是成為家庭問題的死結
[00:01:36.600 --> 00:01:40.600]  我們可以怎樣借古鑒今
[00:01:40.600 --> 00:01:46.600]  來建立一個健康喜樂和平的安樂窩呢
[00:01:46.600 --> 00:01:49.600]  再看他介紹兩晚的題目
[00:01:49.600 --> 00:01:52.600]  第一晚今晚是我在父家的日子
[00:01:52.600 --> 00:01:55.600]  剛才問的時候你馬上彈出這個題目
[00:01:55.600 --> 00:01:56.600]  很深印象
[00:01:56.600 --> 00:02:02.600]  未婚者如何理智面對家庭中各樣的問題
[00:02:02.600 --> 00:02:08.600]  包括已經結婚的兄弟姐妹帶回來的困難呢
[00:02:08.600 --> 00:02:10.600]  下星期更厲害
[00:02:10.600 --> 00:02:12.600]  我成家之後的日子
[00:02:12.600 --> 00:02:14.600]  結婚從來都不是兩個人的事
[00:02:14.600 --> 00:02:21.600]  婚後的歲月才是真正面對兩個家族歷史的開始
[00:02:21.600 --> 00:02:27.600]  究竟應該如何作好心理和實際的準備呢
[00:02:27.600 --> 00:02:30.600]  如果只看這兩段就可能是
[00:02:30.600 --> 00:02:33.600]  好像聽婚前輔導
[00:02:33.600 --> 00:02:40.600]  或者應該是我同事蔡太或者是Ellen姐來說差不多
[00:02:40.600 --> 00:02:47.600]  心理學、社會學、輔導各方面給我們有很多的提醒
[00:02:47.600 --> 00:02:50.600]  這個是非常重要的
[00:02:50.600 --> 00:02:55.600]  不過我要提出我們要很小心
[00:02:55.600 --> 00:02:59.600]  聖經不可以給我們用來做
[00:02:59.600 --> 00:03:02.600]  好像怎樣說呢
[00:03:02.600 --> 00:03:06.600]  做好蛋糕之後在上面灑些糖霜
[00:03:06.600 --> 00:03:09.600]  灑些金句上去
[00:03:09.600 --> 00:03:13.600]  將一些我們都知道的答案
[00:03:13.600 --> 00:03:16.600]  原封不動的包裝好給我們
[00:03:16.600 --> 00:03:18.600]  這樣讀聖經法
[00:03:18.600 --> 00:03:23.600]  似乎心急了一點
[00:03:23.600 --> 00:03:26.600]  很多時候我們今天都覺得
[00:03:26.600 --> 00:03:27.600]  我們其實知道答案了
[00:03:27.600 --> 00:03:30.600]  不過總是基督徒就要問聖經說什麼呢
[00:03:30.600 --> 00:03:31.600]  就插進去
[00:03:31.600 --> 00:03:33.600]  不是不好
[00:03:33.600 --> 00:03:36.600]  不過反效果就是很多時候
[00:03:36.600 --> 00:03:45.600]  我們越來越少耐性去聽聖經想跟我們說什麼
[00:03:45.600 --> 00:03:49.600]  聖經想跟我們說什麼我們都知道
[00:03:49.600 --> 00:03:51.600]  這個就是最大的問題
[00:03:51.600 --> 00:03:54.600]  我們以為我們全都知道
[00:03:54.600 --> 00:03:57.600]  所以不讀都知道
[00:03:57.600 --> 00:04:00.600]  其實我說我一接到這個題目的時候
[00:04:00.600 --> 00:04:03.600]  引起我想今晚來聽的
[00:04:03.600 --> 00:04:05.600]  就正是我每一次打開聖經
[00:04:05.600 --> 00:04:10.600]  特別一些不是我預期的題目
[00:04:10.600 --> 00:04:12.600]  多數是別人給我的
[00:04:12.600 --> 00:04:14.600]  出一個題目考試
[00:04:14.600 --> 00:04:18.600]  我真的打開聖經來讀的時候
[00:04:18.600 --> 00:04:20.600]  我發覺聖經跟我說的話
[00:04:20.600 --> 00:04:23.600]  跟我原先想的東西有很大出入
[00:04:23.600 --> 00:04:25.600]  我不知道你有沒有這樣的經驗
[00:04:25.600 --> 00:04:28.600]  如果你有的話大概你明白我的意思
[00:04:28.600 --> 00:04:31.600]  我們需要學習放下
[00:04:31.600 --> 00:04:35.600]  我們自己知道也好不知道也好
[00:04:35.600 --> 00:04:38.600]  總之就是那些東西
[00:04:38.600 --> 00:04:40.600]  我有個女兒我經常都喜歡說她
[00:04:40.600 --> 00:04:42.600]  她快要抗議了
[00:04:42.600 --> 00:04:45.600]  我發覺跟小朋友說話很重要
[00:04:45.600 --> 00:04:47.600]  父母懂得跟小朋友說話
[00:04:47.600 --> 00:04:50.600]  第一件事是你看著我
[00:04:50.600 --> 00:04:51.600]  很重要的
[00:04:51.600 --> 00:04:53.600]  如果小朋友不看著你
[00:04:53.600 --> 00:04:54.600]  他聽不到你說話
[00:04:54.600 --> 00:04:56.600]  他在想他自己的那些東西
[00:04:56.600 --> 00:04:57.600]  看著我
