
[00:00:00.000 --> 00:00:04.480]  各位大宣姐妹你們好
[00:00:04.480 --> 00:00:07.280]  歡迎大家參加我們網上崇拜
[00:00:07.280 --> 00:00:10.400]  我們繼續思想哈佛局書的訊息
[00:00:10.400 --> 00:00:15.360]  今天我們會看到第三章第一節到第二節
[00:00:15.360 --> 00:00:19.040]  題目叫做二人必因順特生
[00:00:19.040 --> 00:00:25.280]  在中國雙氧變化有一個很出名的故事
[00:00:25.280 --> 00:00:28.480]  叫做「骰木立順」的故事
[00:00:28.480 --> 00:00:31.200]  故事是這樣的
[00:00:31.200 --> 00:00:35.440]  秦孝公為了叫秦國復興
[00:00:35.440 --> 00:00:41.280]  強大起來請了法家雙氧來秦國推行變法
[00:00:41.280 --> 00:00:43.760]  雙氧來到秦國的時候
[00:00:43.760 --> 00:00:45.600]  他發覺問題所在
[00:00:45.600 --> 00:00:48.240]  就是執政者沒有信用
[00:00:48.240 --> 00:00:51.680]  人民根本就不信任這個政府
[00:00:51.680 --> 00:00:53.440]  以至國家積弱
[00:00:53.440 --> 00:00:57.760]  他想到一個方法可以改變人民對國家的看法
[00:00:57.760 --> 00:01:06.480]  他在京城的南門寫了一張三丈高的木桿
[00:01:06.480 --> 00:01:09.600]  而且出了一個告示
[00:01:09.600 --> 00:01:17.600]  誰能夠將這個木桿抬到北門上黃金十兩
[00:01:17.600 --> 00:01:20.560]  雖然圍觀的人很多
[00:01:20.560 --> 00:01:23.360]  但個個都不信以為真
[00:01:23.360 --> 00:01:25.920]  木桿又不是太重
[00:01:25.920 --> 00:01:31.040]  從南門搬到北門不是太難的事
[00:01:31.040 --> 00:01:33.600]  一定是有些警棍
[00:01:33.600 --> 00:01:35.280]  引蛇出洞
[00:01:35.280 --> 00:01:37.440]  不知道有什麼詭計
[00:01:37.440 --> 00:01:40.640]  讓人民進入政府的圈套
[00:01:40.640 --> 00:01:43.360]  所以就沒有這樣做
[00:01:43.360 --> 00:01:45.120]  到了下午的時候
[00:01:45.120 --> 00:01:47.440]  雙氧無人問津
[00:01:47.440 --> 00:01:50.000]  於是再貼了一個告示
[00:01:50.000 --> 00:01:54.720]  將賞金提升到五十兩黃金
[00:01:54.720 --> 00:01:57.280]  但仍然沒有人問津
[00:01:57.280 --> 00:01:59.040]  這個時候有一個人
[00:01:59.040 --> 00:02:02.400]  不知道是不是因為失業、窮
[00:02:02.400 --> 00:02:04.400]  還是他蠢蠢的
[00:02:04.400 --> 00:02:07.200]  他就不理三七二十一
[00:02:07.200 --> 00:02:12.640]  就將這個木桿輕而易舉抬到北門
[00:02:12.640 --> 00:02:16.960]  雙氧果然之間就升到五十兩黃金
[00:02:16.960 --> 00:02:19.040]  並且向眾人宣佈
[00:02:19.040 --> 00:02:22.480]  說秦孝公委託我推行新法
[00:02:22.480 --> 00:02:27.840]  今後凡是按著法令辦事的人皆有獎賞
[00:02:27.840 --> 00:02:31.760]  違蓋法令的皆受處分
[00:02:31.760 --> 00:02:37.040]  於是人民就開始改變他們對政府的看法
[00:02:37.040 --> 00:02:41.680]  相信這個政府是講得出做得到
[00:02:41.680 --> 00:02:44.000]  有誠信的政府
[00:02:44.000 --> 00:02:46.080]  所以今天有個成語就說
[00:02:46.080 --> 00:02:48.880]  「骰木立信」
[00:02:48.880 --> 00:02:50.160]  孔夫子也說
[00:02:50.160 --> 00:02:54.000]  「仁義無信,不知其可也」
[00:02:54.000 --> 00:02:58.240]  如果政府是得不到人民的信任
[00:02:58.240 --> 00:03:00.560]  時常都搬龍門的
[00:03:00.560 --> 00:03:02.400]  朝令夕改的
[00:03:02.400 --> 00:03:03.600]  這樣的時候
[00:03:03.600 --> 00:03:06.560]  人民怎麼會信得過你呢?
[00:03:06.560 --> 00:03:08.560]  但信是雙方面的
[00:03:08.560 --> 00:03:10.720]  一方面是知道一個人
[00:03:10.720 --> 00:03:12.320]  如果要人相信你
[00:03:12.320 --> 00:03:14.080]  你一定要有誠信
[00:03:14.080 --> 00:03:15.920]  講得出做得到
[00:03:15.920 --> 00:03:17.600]  但另一方面
[00:03:17.600 --> 00:03:20.400]  人們都要主動去相信你
[00:03:20.400 --> 00:03:22.560]  如果你是有誠信
