
[00:00:00.000 --> 00:00:03.080]  (猜拳)
[00:00:03.080 --> 00:00:05.160]  今個月是猜拳月
[00:00:05.160 --> 00:00:09.760]  最後一個禮拜
[00:00:09.760 --> 00:00:14.480]  在西方的神學思想裏面
[00:00:14.480 --> 00:00:16.680]  有個說法就是
[00:00:16.680 --> 00:00:19.640]  上帝是一個
[00:00:19.640 --> 00:00:22.600]  不應該譯作猜拳的上帝
[00:00:22.600 --> 00:00:25.280]  God is a missional God
[00:00:25.280 --> 00:00:28.240]  上帝是一個有使命的上帝
[00:00:28.240 --> 00:00:31.240]  使命不一定只是
[00:00:31.240 --> 00:00:33.360]  我們現在這樣說
[00:00:33.360 --> 00:00:39.440]  猜拳祂的子民、祂的兒女去傳福音
[00:00:39.440 --> 00:00:41.840]  使命呢
[00:00:41.840 --> 00:00:46.720]  你會發覺上帝的使命其實由創世到現在
[00:00:46.720 --> 00:00:48.400]  一直到將來
[00:00:48.400 --> 00:00:52.000]  有些恆常的元素是沒有變過的
[00:00:52.000 --> 00:00:56.760]  而最基本、最恆常、最基礎的元素
[00:00:56.760 --> 00:01:00.240]  上帝的使命就是要人認識祂
[00:01:00.240 --> 00:01:02.160]  要人認識祂之後
[00:01:02.160 --> 00:01:05.040]  是要人跟從祂
[00:01:05.040 --> 00:01:06.360]  與祂同行
[00:01:06.360 --> 00:01:09.240]  這個也是尼加書裏面的訊息
[00:01:09.240 --> 00:01:11.120]  剛才我們所看見第三章那裏
[00:01:11.120 --> 00:01:13.920]  罵啊罵啊罵啊罵以色列的首領
[00:01:13.920 --> 00:01:15.600]  瓦國的長官
[00:01:15.600 --> 00:01:17.680]  罵先知、罵祭司
[00:01:17.680 --> 00:01:24.400]  基本上是猶大的精英
[00:01:24.400 --> 00:01:28.880]  但是如果我們看到在尼加書裏面
[00:01:28.880 --> 00:01:30.200]  最出名的那一節
[00:01:30.200 --> 00:01:31.720]  我們剛才沒有讀的
[00:01:31.720 --> 00:01:33.480]  就是尼加書六章第八節
[00:01:33.480 --> 00:01:34.800]  有些其他經文
[00:01:34.800 --> 00:01:36.280]  你聽我讀出就可以
[00:01:36.280 --> 00:01:37.800]  如果你手上有聖經
[00:01:37.800 --> 00:01:40.000]  都可以翻開聖經
[00:01:40.000 --> 00:01:42.080]  尼加書有記住的經文
[00:01:42.080 --> 00:01:46.440]  其實尼加書我們一向最熟悉的
[00:01:46.440 --> 00:01:48.400]  最出名的那一節經文
[00:01:48.400 --> 00:01:51.680]  就在第八節六章那裏
[00:01:51.680 --> 00:01:53.280]  那裏說西人
