
[00:00:00.000 --> 00:00:07.200]  文素記很快又去到十一章十二章
[00:00:07.200 --> 00:00:13.840]  我們說文素記的一至十章
[00:00:13.840 --> 00:00:16.840]  以色列人都是有可取之處
[00:00:16.840 --> 00:00:22.640]  一至四章神要他們是數點他們成為他的精兵
[00:00:22.640 --> 00:00:26.560]  五至六章神要他們是分別為聖
[00:00:26.560 --> 00:00:33.560]  七至八章是我們看到以色列人透過他們的敬拜
[00:00:33.560 --> 00:00:34.760]  透過他們的侍奉
[00:00:34.760 --> 00:00:37.960]  彼此是順從彼此相愛
[00:00:37.960 --> 00:00:40.360]  而上一次跟大家說
[00:00:40.360 --> 00:00:45.960]  第九第十章我們看到以色列人是緊緊跟隨著神的帶領
[00:00:45.960 --> 00:00:49.560]  跟著雲處跟著火柱
[00:00:49.560 --> 00:00:54.560]  但是我們看到去到第十一章就出現問題
[00:00:54.560 --> 00:01:00.560]  我們看到十一章是他們開始埋怨開始犯罪
[00:01:00.560 --> 00:01:07.560]  其實在十一章和十二章一共出現了三件事情
[00:01:07.560 --> 00:01:11.560]  第一件事在文素記一至三節
[00:01:11.560 --> 00:01:17.560]  是以色列人出了西奶的礦野向嘉南地行的時候
[00:01:17.560 --> 00:01:20.560]  三天就開始埋怨
[00:01:20.560 --> 00:01:26.560]  第二件事是文素記一章是四至三十五節
[00:01:26.560 --> 00:01:31.560]  是說到以色列人是投訴埋怨是沒肉吃
[00:01:31.560 --> 00:01:36.560]  而第三件事我們看到米利暗阿倫
[00:01:36.560 --> 00:01:42.560]  就是摩西的姐姐和哥哥都開始埋怨是毀旁摩西
[00:01:42.560 --> 00:01:46.560]  我們一起來看看這三件事
[00:01:46.560 --> 00:01:47.560]  先看第一件事
[00:01:47.560 --> 00:01:51.560]  說三天就開始埋怨
[00:01:51.560 --> 00:01:54.560]  你說什麼以色列人這麼沒用
[00:01:54.560 --> 00:01:57.560]  走了三天就開始埋怨
[00:01:57.560 --> 00:02:01.560]  其實這件事已經一年前發生過
[00:02:01.560 --> 00:02:04.560]  當摩西帶領他們出埃及
[00:02:04.560 --> 00:02:11.560]  過紅海出埃及之後三天就埋怨
[00:02:11.560 --> 00:02:13.560]  說沒有水喝沒有東西吃
[00:02:13.560 --> 00:02:19.560]  這次的經文沒有告訴我們究竟他們埋怨的是什麼
[00:02:19.560 --> 00:02:21.560]  但是可想而知
[00:02:21.560 --> 00:02:26.560]  雖然你說為什麼三天這麼快就埋怨
[00:02:26.560 --> 00:02:28.560]  其實三天不簡單
[00:02:28.560 --> 00:02:32.560]  你想想六十萬以色列的藍丁
[00:02:32.560 --> 00:02:34.560]  加上老人家婦孺
[00:02:34.560 --> 00:02:37.560]  你看到二百萬的人口
[00:02:37.560 --> 00:02:40.560]  在礦野裏攜腦
[00:02:40.560 --> 00:02:44.560]  扶老攜少來走走
[00:02:44.560 --> 00:02:46.560]  不是一件容易的事
[00:02:46.560 --> 00:02:52.560]  我經常在Facebook都看到Simon和John Lee走山
[00:02:52.560 --> 00:02:54.560]  我很羨慕他們
[00:02:54.560 --> 00:02:55.560]  我經常都和自己說
[00:02:55.560 --> 00:02:58.560]  有一天我想參加他們的行山
[00:02:58.560 --> 00:03:03.560]  但隨即想到你要自知Sidney
[00:03:03.560 --> 00:03:05.560]  你不是像他們那樣
[00:03:05.560 --> 00:03:07.560]  你三天不要說三天
[00:03:07.560 --> 00:03:09.560]  說不定我走三個小時
[00:03:09.560 --> 00:03:12.560]  三分鐘我已經埋怨了
[00:03:12.560 --> 00:03:14.560]  投訴到不得了
[00:03:14.560 --> 00:03:17.560]  後來想清楚不要找這些事搞
[00:03:17.560 --> 00:03:19.560]  不要和他們一行山
[00:03:19.560 --> 00:03:23.560]  其實文素記一章一節所說的埋怨這個字
[00:03:23.560 --> 00:03:26.560]  和我們所說一年前
[00:03:26.560 --> 00:03:30.560]  以色列人在春安及記十五章到十七章的埋怨
[00:03:30.560 --> 00:03:32.560]  這個字是兩個字
[00:03:32.560 --> 00:03:34.560]  不是同一個字
[00:03:34.560 --> 00:03:37.560]  文素記一章一節這個埋怨
[00:03:37.560 --> 00:03:39.560]  又解釋什麼
[00:03:39.560 --> 00:03:41.560]  我們能夠看到
[00:03:41.560 --> 00:03:45.560]  在耶利米哀歌三章三十九節
[00:03:45.560 --> 00:03:49.560]  這個字和一個字根的字曾經出現過
[00:03:49.560 --> 00:03:51.560]  在那段經文
[00:03:51.560 --> 00:03:54.560]  經文說因自己的罪受罰
[00:03:54.560 --> 00:03:57.560]  為何發怨言呢
[00:03:57.560 --> 00:03:59.560]  有些是在怪自己的
[00:03:59.560 --> 00:04:02.560]  明明是你自己做得不對
[00:04:02.560 --> 00:04:04.560]  你還去怨什麼
[00:04:04.560 --> 00:04:05.560]  這些就是他們的怨行
[00:04:05.560 --> 00:04:07.560]  是自哀自怨
[00:04:07.560 --> 00:04:08.560]  在自己怨行
[00:04:08.560 --> 00:04:10.560]  不是怨天尤人
[00:04:10.560 --> 00:04:12.560]  是在怪自己
[00:04:12.560 --> 00:04:13.560]  你真是傻了
[00:04:13.560 --> 00:04:15.560]  你跟了柯西出哀及
[00:04:15.560 --> 00:04:17.560]  你留在哀及就好了
