
[00:00:00.000 --> 00:00:10.000]  多謝大衛、何弟兄剛才跟我們讀出今天我要分享的經文的一部份
[00:00:10.000 --> 00:00:13.000]  以及安排今天網上的聚會
[00:00:13.000 --> 00:00:20.000]  各位在新加坡、香港、澳洲、珠海的朋友和大兄姐妹
[00:00:20.000 --> 00:00:22.000]  多謝你們今天參與
[00:00:22.000 --> 00:00:25.000]  我先介紹一下自己,我是許樹元,Ron
[00:00:25.000 --> 00:00:30.000]  我以前是香港大學電子電機工程系的講座教授
[00:00:30.000 --> 00:00:34.000]  以及是在倫敦帝國理工學院的講座教授
[00:00:34.000 --> 00:00:41.000]  我今年3月開始就轉到新加坡南洋理工大學作為講座教授
[00:00:41.000 --> 00:00:45.000]  兼任倫敦帝國理工學院的講座教授
[00:00:45.000 --> 00:00:50.000]  我今天跟大家分享的經文是《馬太福音》21-25章
[00:00:50.000 --> 00:00:58.000]  這段經文是耶穌基督在最後一個星期入耶路撒冷的時候所講的教訓
[00:00:58.000 --> 00:01:04.000]  耶穌基督在星期日的下午和傍晚的時分入耶路撒冷
[00:01:04.000 --> 00:01:08.000]  他星期一就去結晶聖殿
[00:01:08.000 --> 00:01:13.000]  見到一個無花果樹沒有結果子
[00:01:13.000 --> 00:01:19.000]  他就做一個神蹟,使得這個無花果樹枯萎
[00:01:19.000 --> 00:01:27.000]  在星期二他講了今天在21-25章的大部分教訓
[00:01:27.000 --> 00:01:32.000]  我今天首先跟大家解釋這5章的結構
[00:01:32.000 --> 00:01:36.000]  特別是我會首先解釋21-24章
[00:01:36.000 --> 00:01:40.000]  然後最後就去解釋第25章
[00:01:40.000 --> 00:01:47.000]  而第25章結尾的部分就是一個很出名的綿羊和山羊的秘語
[00:01:47.000 --> 00:01:51.000]  大家看到左邊的這些是綿羊
[00:01:51.000 --> 00:01:55.000]  綿羊的特點是毛很長,他們不怕冷
[00:01:55.000 --> 00:02:00.000]  所以在晚上的時候他們可以在戶外繼續睡覺
[00:02:00.000 --> 00:02:04.000]  而山羊的毛很短
[00:02:04.000 --> 00:02:07.000]  所以他們晚上會怕冷
[00:02:07.000 --> 00:02:12.000]  所以當時的牧羊人晚上要把綿羊和山羊分開
[00:02:12.000 --> 00:02:16.000]  因為山羊要放在戶內讓他們可以取暖
[00:02:16.000 --> 00:02:24.000]  耶穌基督就是用分開綿羊和山羊的情況去秘語
[00:02:24.000 --> 00:02:28.000]  得救和不得救人在審判的時候的情形
[00:02:28.000 --> 00:02:34.000]  所以我希望今天可以跟大家了解耶穌基督這個重要的教訓
[00:02:34.000 --> 00:02:39.000]  因為對很多我們在教會裡面的人來說
[00:02:39.000 --> 00:02:44.000]  我們都要明白究竟我們在哪一個的淑玲光景裡面
[00:02:44.000 --> 00:02:52.000]  這個的秘語有些解經家就覺得不是一個秘語
[00:02:52.000 --> 00:02:57.000]  是耶穌基督的宣告多於秘語,為什麼呢?
[00:02:57.000 --> 00:03:05.000]  他們覺得除了左邊不得救的是山羊,右邊得救的是綿羊之外
[00:03:05.000 --> 00:03:09.000]  其實耶穌基督所說的都是一些宣告
[00:03:09.000 --> 00:03:14.000]  例如說大家開始看,我用顏色去把這個結構讓大家容易看到
[00:03:14.000 --> 00:03:20.000]  第一,大家留意到耶穌基督首先第一個宣告就是
[00:03:20.000 --> 00:03:25.000]  他會很榮耀的和天使一起降臨
[00:03:25.000 --> 00:03:29.000]  就是說耶穌基督會有再降臨的日子
[00:03:29.000 --> 00:03:34.000]  這是第一個宣告,第二個宣告就是他榮耀在寶座上
[00:03:34.000 --> 00:03:40.000]  是會審判所有人,將他們分開兩部分,得救和不得救
[00:03:40.000 --> 00:03:48.000]  而得救的部分,他會說審判時候的標準
[00:03:48.000 --> 00:03:54.000]  在得救的部分,耶穌基督就說我餓了,渴了,作女客
[00:03:54.000 --> 00:04:00.000]  赤身怒體,病了,在監獄裡面,你們服侍過我,幫過我
[00:04:00.000 --> 00:04:07.000]  那些得救的人就很驚訝,因為他們記不起他們什麼時候去侍奉耶穌
[00:04:07.000 --> 00:04:14.000]  耶穌就說,你在一個最小的兄弟身上,和我做這件事就等於在我身上做
[00:04:14.000 --> 00:04:20.000]  同一樣,對不得救的人來說,那些會去永火的人來說
[00:04:20.000 --> 00:04:23.000]  離開神的人來說,也是這幾個的標準
[00:04:23.000 --> 00:04:27.000]  而他們因為不在一個最小的弟兄身上做
[00:04:27.000 --> 00:04:31.000]  所以就沒有在耶穌身上做,結果只有兩個
[00:04:31.000 --> 00:04:37.000]  耶穌的宣告就是,人的結局,要麼去永生,要麼去永死,或者永刑裡面
[00:04:37.000 --> 00:04:42.000]  就是這個結構,這個故事其實是很震撼性的
[00:04:42.000 --> 00:04:48.000]  因為得救的人,他在這個審判裡面有很多的驚喜
[00:04:48.000 --> 00:04:51.000]  他記不起他什麼時候去侍奉過上帝
[00:04:51.000 --> 00:04:55.000]  而不得救的那些,就有個驚嚇在這裡
[00:04:55.000 --> 00:04:57.000]  最後關頭才知道,不可以
[00:04:57.000 --> 00:05:00.000]  大家請留意,這支就算不得救的人也好
[00:05:00.000 --> 00:05:03.000]  他叫耶穌基督,也是叫主啊主啊
[00:05:03.000 --> 00:05:08.000]  就是說,他們都是在教會裡面,渴望入天國的人
[00:05:08.000 --> 00:05:15.000]  但最後耶穌基督告訴他們,離開我,你們不可以去永生那裡
[00:05:15.000 --> 00:05:19.000]  所以我今天希望去解釋這段經文
[00:05:19.000 --> 00:05:26.000]  整個結構看完之後,解釋最後這段經文
[00:05:26.000 --> 00:05:31.000]  我的目的不是要告訴大家,你得救或者不得救
[00:05:31.000 --> 00:05:34.000]  因為得不得救,只有上帝知道
[00:05:34.000 --> 00:05:39.000]  得救的人,真的有聖靈在心裡面的人知道
[00:05:39.000 --> 00:05:42.000]  我今天主要的目的就是,把這些經文解釋
[00:05:42.000 --> 00:05:50.000]  讓大家可以藉著上帝的啟示,反省我們每一個的淑靈光景
[00:05:50.000 --> 00:05:55.000]  我今天結束這個講道的時候,我是會用登山的部分
[00:05:55.000 --> 00:05:58.000]  在馬太福音第七章登山的部分,耶穌基督
[00:05:58.000 --> 00:06:02.000]  下山之前,最後三個教訓去回應
[00:06:02.000 --> 00:06:04.000]  今天解釋的這段經文
[00:06:04.000 --> 00:06:10.000]  這段經文也很特別,就是耶穌基督解釋這些標準的時候
[00:06:10.000 --> 00:06:13.000]  祂是用了我了、我了、我了作為旅客
[00:06:13.000 --> 00:06:18.000]  而得救或者不得救的人,祂是在行為上表達出來
