
[00:00:00.000 --> 00:00:04.800]  親愛的主耶穌,多謝禰
[00:00:04.800 --> 00:00:08.520]  讓我們有這份自由敬拜禰
[00:00:08.520 --> 00:00:11.240]  親近禰,聽禰的話,傳揚禰的話
[00:00:11.240 --> 00:00:14.600]  我們真的感覺到好得目彼
[00:00:14.600 --> 00:00:17.000]  因為看到現在這個世界上
[00:00:17.000 --> 00:00:22.800]  這種空間,原來好像民主的美國
[00:00:22.800 --> 00:00:25.920]  都越來越窄,越來越少
[00:00:25.920 --> 00:00:32.720]  何況是其他那些不容許基督教傳播的地方
[00:00:32.720 --> 00:00:36.320]  天父求禰幫助我們,珍惜這份自由
[00:00:36.320 --> 00:00:38.320]  好好地裝備自己
[00:00:38.320 --> 00:00:40.520]  以至我們去到每一個不同的地方
[00:00:40.520 --> 00:00:45.120]  無孔不入,都可以和人分享你自己的真理
[00:00:45.120 --> 00:00:47.920]  聽我們禱告,恩代我們下輩子的時間
[00:00:47.920 --> 00:00:51.120]  讓聽的,說的,一切都是因為你的話
[00:00:51.120 --> 00:00:55.120]  得到激勵,奉耶穌基督的名,阿們
[00:00:56.120 --> 00:01:03.120]  昨天下午去觀塘科音堂
[00:01:03.120 --> 00:01:10.120]  我們分享完出軌的神學
[00:01:10.120 --> 00:01:13.120]  現在在各個不同的神學領域里
[00:01:13.120 --> 00:01:17.120]  有哪些異端,極端在影響信徒
[00:01:17.120 --> 00:01:21.120]  完了之後,我就坐的士回家
[00:01:21.120 --> 00:01:25.120]  路途還是很遠的
[00:01:25.120 --> 00:01:30.120]  所以我就有機會和他分享福音
[00:01:30.120 --> 00:01:33.120]  我很感恩,一直和他講的時候
[00:01:33.120 --> 00:01:36.120]  他都願意去回應
[00:01:36.120 --> 00:01:40.120]  他說他的女婿一家都是去開教會的
[00:01:40.120 --> 00:01:43.120]  不過他自己本身就沒有任何信仰
[00:01:43.120 --> 00:01:45.120]  他覺得沒有什麼必要
[00:01:45.120 --> 00:01:49.120]  最後我就有機會和他分享田家炳
[00:01:49.120 --> 00:01:52.120]  最近離世的時候,他的見證
[00:01:52.120 --> 00:01:55.120]  我一直講,他都說這個真是大好人
[00:01:55.120 --> 00:01:59.120]  萬眾無一,怎麼可能將自己的家產
[00:01:59.120 --> 00:02:02.120]  百分之九十以上捐出來
[00:02:02.120 --> 00:02:04.120]  我都沒有可能做到
[00:02:04.120 --> 00:02:07.120]  捐了百分之十,百分之二十
[00:02:07.120 --> 00:02:10.120]  這個已經了不起了
[00:02:10.120 --> 00:02:14.120]  然後我就和他講
[00:02:14.120 --> 00:02:16.120]  田家炳十幾歲的時候
[00:02:16.120 --> 00:02:19.120]  他已經接觸到宣教士
[00:02:19.120 --> 00:02:21.120]  接觸到耶穌基督
[00:02:21.120 --> 00:02:25.120]  他就立志要學校他們的腳蹤
[00:02:25.120 --> 00:02:29.120]  後來將他父親教導的
[00:02:29.120 --> 00:02:31.120]  諸子自家格言
[00:02:31.120 --> 00:02:35.120]  作為他一生裡面的座右銘
[00:02:35.120 --> 00:02:38.120]  然後我就和他講
[00:02:38.120 --> 00:02:43.120]  我六年前開始和他查聖經
[00:02:43.120 --> 00:02:46.120]  越查越發覺
[00:02:46.120 --> 00:02:48.120]  聖經裡面有很多教導
[00:02:48.120 --> 00:02:53.120]  和我們中國文化有很多相近的地方
[00:02:53.120 --> 00:02:55.120]  二十年前和他吃一餐飯
[00:02:55.120 --> 00:02:57.120]  他已經覺得了
[00:02:57.120 --> 00:02:59.120]  和他講到孝道
[00:02:59.120 --> 00:03:02.120]  我說全世界只有兩個國家這麼注重孝
[00:03:02.120 --> 00:03:04.120]  一個就是中國
[00:03:04.120 --> 00:03:08.120]  其實另一個是以色列
[00:03:08.120 --> 00:03:13.120]  而且以色列注重孝道到一個地步
[00:03:13.120 --> 00:03:17.120]  是將這個成為十界裡面其中一界
[00:03:17.120 --> 00:03:19.120]  你要孝敬父母
[00:03:19.120 --> 00:03:23.120]  使你們在世長壽
[00:03:23.120 --> 00:03:25.120]  然後我就講我自己一個無神論
[00:03:25.120 --> 00:03:27.120]  唯物論進化論的人
[00:03:27.120 --> 00:03:29.120]  為什麼後來我會信
[00:03:29.120 --> 00:03:31.120]  一路和他講見證
[00:03:31.120 --> 00:03:34.120]  我講到和田家炳講
[00:03:34.120 --> 00:03:36.120]  他一開始也是不信的
[00:03:36.120 --> 00:03:39.120]  他覺得做不就行了
[00:03:39.120 --> 00:03:41.120]  為什麼要信耶穌呢
[00:03:41.120 --> 00:03:45.120]  我就和他用了一個比喻
[00:03:45.120 --> 00:03:47.120]  這個比喻就是
[00:03:47.120 --> 00:03:50.120]  世伯,你有這麼多子女
[00:03:50.120 --> 00:03:52.120]  如果你的子女自小
[00:03:52.120 --> 00:03:53.120]  好聽你的話
[00:03:53.120 --> 00:03:55.120]  你叫他做什麼他全部做了
[00:03:55.120 --> 00:03:57.120]  什麼都做
[00:03:57.120 --> 00:03:59.120]  不過呢
[00:03:59.120 --> 00:04:02.120]  他從頭到尾都不叫你做爸爸
[00:04:02.120 --> 00:04:03.120]  不會看你
[00:04:03.120 --> 00:04:05.120]  不會看你
[00:04:05.120 --> 00:04:07.120]  你接不接受得到
[00:04:07.120 --> 00:04:09.120]  不行,怎麼行
[00:04:09.120 --> 00:04:11.120]  子女來的嘛
[00:04:11.120 --> 00:04:14.120]  子女不看爸爸
[00:04:14.120 --> 00:04:16.120]  怎麼行
[00:04:16.120 --> 00:04:20.120]  我和他講
[00:04:20.120 --> 00:04:22.120]  你知不知道
[00:04:22.120 --> 00:04:24.120]  神和我們的關係
[00:04:24.120 --> 00:04:26.120]  祂就是我們的天父
[00:04:26.120 --> 00:04:27.120]  我們不理睬祂
[00:04:27.120 --> 00:04:29.120]  不認祂
[00:04:29.120 --> 00:04:31.120]  祂喜不喜歡呢
[00:04:31.120 --> 00:04:34.120]  然後他就說
[00:04:34.120 --> 00:04:36.120]  我怎麼踩祂,怎麼影祂呢
[00:04:36.120 --> 00:04:38.120]  看也看不到
[00:04:38.120 --> 00:04:40.120]  摸也摸不到
[00:04:40.120 --> 00:04:42.120]  好空泛啊
[00:04:42.120 --> 00:04:45.120]  好飄渺啊
[00:04:45.120 --> 00:04:47.120]  我跟著就和他講
[00:04:47.120 --> 00:04:50.120]  其實祂離我們不遠
[00:04:50.120 --> 00:04:52.120]  你只要用心
[00:04:52.120 --> 00:04:54.120]  你相信祂
[00:04:54.120 --> 00:04:56.120]  你可以經歷祂
[00:04:56.120 --> 00:04:59.120]  然後就說
[00:04:59.120 --> 00:05:02.120]  為什麼做好人
[00:05:02.120 --> 00:05:05.120]  上不了天堂呢
[00:05:05.120 --> 00:05:07.120]  將來見到
[00:05:07.120 --> 00:05:09.120]  我當然相信他
[00:05:09.120 --> 00:05:11.120]  但是現在沒見到
[00:05:11.120 --> 00:05:13.120]  我怎麼相信呢
[00:05:13.120 --> 00:05:16.120]  我說上天堂
[00:05:16.120 --> 00:05:19.120]  哪些人可以去到啊
[00:05:19.120 --> 00:05:22.120]  他說好人就去到
[00:05:22.120 --> 00:05:26.120]  我跟著就拿了一張照片
[00:05:26.120 --> 00:05:30.120]  是穿著那些保護衣物
[00:05:30.120 --> 00:05:33.120]  去探隔離病房的照片
[00:05:33.120 --> 00:05:34.120]  給他看
